시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 01:30,2026.06.15(월) 11:12,리그 오브 레전드|이터널 리턴|talk,전체,ㅇㅅㅇ,9.7,84,56,3874,11,
2026.06.14(일) 01:30,2026.06.14(일) 14:18,미설정|마인크래프트|talk,전체,ㅇㅅㅇ,12.8,76,43,3322,-1,
2026.06.13(토) 01:30,2026.06.13(토) 10:24,명조:워더링 웨이브|승리의 여신: 니케|talk,전체,ㅇ<-<,8.9,68,35,2062,-5,
2026.06.12(금) 01:29,2026.06.12(금) 11:54,리그 오브 레전드|이터널 리턴|마인크래프트|talk,전체,ㅇㅅㅇ,10.4,71,46,3094,3,
2026.06.11(목) 01:30,2026.06.11(목) 10:06,이환|이터널 리턴|talk,전체,ㅇ<-<,8.6,73,46,1908,2,
2026.06.10(수) 01:30,2026.06.10(수) 15:06,점프 킹|마인크래프트|talk,전체,ㅇ<-<,13.6,49,36,2565,3,
2026.06.09(화) 01:30,2026.06.09(화) 14:24,마인크래프트|talk,전체,ㅇ<-<,12.9,53,35,2252,-2,
2026.06.08(월) 01:29,2026.06.08(월) 16:42,마인크래프트|talk,전체,ㅇㅅㅇ,15.2,52,34,2471,1,
2026.06.07(일) 01:29,2026.06.07(일) 16:18,마인크래프트|talk,전체,ㅇㅅㅇ,14.8,81,44,4115,-4,
2026.06.06(토) 01:30,2026.06.06(토) 16:12,마인크래프트|talk,전체,마크 전에 서브컬쳐 일숙 부터,14.7,61,38,2685,3,
2026.06.05(금) 04:34,2026.06.05(금) 16:00,마인크래프트|talk,전체,ㅇㅅㅇ,11.4,61,39,2988,18,
2026.06.05(금) 01:30,2026.06.05(금) 04:30,이터널 리턴|talk,전체,제가 5000팔을 오늘 할 수 있을까요??,3,60,46,965,8,
2026.06.04(목) 01:29,2026.06.04(목) 10:24,음악/노래|이터널 리턴|승리의 여신: 니케|talk,전체,ㅇㅅㅇ,8.9,71,49,2685,7,
2026.06.03(수) 01:30,2026.06.03(수) 10:48,승리의 여신: 니케|talk,전체,ㅇㅅㅇ,9.3,112,74,3205,7,
2026.06.02(화) 01:30,2026.06.02(화) 10:06,림버스 컴퍼니|talk,전체,ㅇㅅㅇ,8.6,122,79,4561,10,
2026.06.01(월) 09:04,2026.06.01(월) 15:30,talk,성인,황제를 위하여 / 용서받지 못한 자 / 황해 같이 보기! (다 안본 뇌),6.4,94,55,45,20,
2026.06.01(월) 01:30,2026.06.01(월) 09:00,승리의 여신: 니케|talk,전체,와 6월이라니,7.5,109,74,2579,6,
2026.05.31(일) 01:30,2026.05.31(일) 12:54,림버스 컴퍼니|talk,전체,ㅇㅅㅇ,11.4,141,84,3487,23,
2026.05.30(토) 06:23,2026.05.30(토) 13:24,리그 오브 레전드|명조:워더링 웨이브|talk,전체,더 자고 싶은데 못 잤어.........................................,7,70,46,3023,5,
2026.05.29(금) 01:30,2026.05.29(금) 21:24,라이브러리 오브 루이나|talk,전체,ㅇㅅㅇ,19.9,66,46,3569,9,
2026.05.28(목) 01:30,2026.05.28(목) 13:24,리그 오브 레전드|승리의 여신: 니케|라이브러리 오브 루이나|talk,전체,ㅇㅅㅇ,11.9,68,55,3819,3,
2026.05.27(수) 01:30,2026.05.27(수) 10:30,라이브러리 오브 루이나|talk,전체,ㅇ<-<,9,73,50,1856,-1,
2026.05.26(화) 01:30,2026.05.26(화) 10:36,라이브러리 오브 루이나|talk,전체,굿모닝! 띵띵띵~ 빰빰빰 빰빰 빰빰빰빰 굿모닝~,9.1,67,50,1543,6,
2026.05.25(월) 01:29,2026.05.25(월) 11:00,리그 오브 레전드|라이브러리 오브 루이나|talk,전체,ㅇ<-<,9.5,81,58,2402,1,
2026.05.24(일) 01:30,2026.05.24(일) 14:48,이환|리그 오브 레전드|명조:워더링 웨이브|승리의 여신: 니케|talk,전체,ㅇ<----<,13.3,99,62,5129,4,
2026.05.23(토) 01:29,2026.05.23(토) 10:06,마인크래프트|talk,전체,점심 먹고 마크 하코런,8.6,90,64,5249,13,
2026.05.22(금) 01:30,2026.05.22(금) 10:00,라이브러리 오브 루이나|talk,전체,ㅇㅅㅇ,8.5,71,55,1663,2,
2026.05.21(목) 01:30,2026.05.21(목) 15:12,로스트아크|라이브러리 오브 루이나|talk,전체,ㅇㅅㅇ,13.7,73,48,2105,-2,
2026.05.20(수) 01:30,2026.05.20(수) 14:48,리그 오브 레전드|로스트아크|던전앤파이터|talk,전체,님들아,13.3,70,55,4320,-2,
2026.05.19(화) 01:30,2026.05.19(화) 10:00,라이브러리 오브 루이나|talk,전체,ㅇㅅㅇ,8.5,68,48,1628,2,
2026.05.18(월) 01:30,2026.05.18(월) 10:42,라이브러리 오브 루이나|talk,전체,정신 나갈 것 같아,9.2,57,43,1629,3,
2026.05.17(일) 01:30,2026.05.17(일) 09:12,음악/노래|라이브러리 오브 루이나|talk,전체,ㅇㅅㅇ,7.7,78,55,1335,3,
2026.05.16(토) 01:30,2026.05.16(토) 13:12,리그 오브 레전드|승리의 여신: 니케|talk,전체,굿모닝 띵띵띵~ 빰빰빰 빰빰 빰빰빰빰 굿모닝~,11.7,93,66,6200,7,
2026.05.15(금) 01:30,2026.05.15(금) 09:54,라이브러리 오브 루이나|talk,전체,ㅇㅅaㅇ,8.4,54,41,1150,-4,
2026.05.14(목) 01:30,2026.05.14(목) 10:24,림버스 컴퍼니|라이브러리 오브 루이나|talk,전체,ㅇㅅㅇ,8.9,73,46,1597,1,
2026.05.13(수) 01:30,2026.05.13(수) 10:24,리그 오브 레전드|음악/노래|talk,전체,굿모닝 띵띵띵~ 빰빰빰 빰빰 빰빰빰빰 굿모닝~,8.9,99,61,3013,16,
2026.05.12(화) 01:30,2026.05.12(화) 10:30,리그 오브 레전드|음악/노래|talk,전체,ㅇㅅㅇ,9,73,51,1586,9,
2026.05.11(월) 03:34,2026.05.11(월) 10:48,talk,전체,파워 디지몬 같이 보기,7.2,97,58,770,8,
2026.05.11(월) 01:30,2026.05.11(월) 03:30,talk,전체,ㅇㅅㅇ,2,64,47,551,2,
2026.05.10(일) 01:30,2026.05.10(일) 12:30,리그 오브 레전드|승리의 여신: 니케|림버스 컴퍼니|talk,전체,ㅇㅅㅇ,11,76,59,4712,13,
2026.05.09(토) 01:30,2026.05.09(토) 14:18,승리의 여신: 니케|talk,전체,니케 45 46 이벤스 몰아서 다 보기!,12.8,179,88,3549,7,
2026.05.08(금) 01:30,2026.05.08(금) 09:24,이환|리그 오브 레전드|talk,전체,ㅇㅅㅇ,7.9,72,54,2335,9,
2026.05.07(목) 01:30,2026.05.07(목) 11:24,이환|talk,전체,ㅇㅅㅇ,9.9,98,65,1574,13,
2026.05.06(수) 01:30,2026.05.06(수) 10:00,승리의 여신: 니케|로스트아크,전체,로요일,8.5,72,54,2275,4,
2026.05.05(화) 01:30,2026.05.05(화) 16:06,이환|음악/노래|마인크래프트|talk,전체,ㅇㅅaㅇ,14.6,125,61,2413,14,
