시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 03:00,2026.06.13(토) 08:30,음악/노래|talk,전체,독+1 독+1 독+1 독+1,5.5,92,73,4601,10,
2026.06.12(금) 09:00,2026.06.12(금) 18:54,성세천하: 여제의 탄생 Ⅱ|talk,전체,2시간 일찍 온 중전마마,9.9,67,41,4871,3,
2026.06.11(목) 11:00,2026.06.11(목) 17:42,성세천하: 여제의 탄생 Ⅱ|talk,전체,중전마마 납시오,6.7,79,51,4099,2,
2026.06.09(화) 11:00,2026.06.09(화) 17:12,ASMR|talk,성인,자려고 누웠는데 갑자기,6.2,238,72,5781,21,
2026.06.08(월) 13:41,2026.06.08(월) 18:00,미설정|talk,성인,황해 처음보는 뇌 같이보쟈,4.3,74,55,527,8,
2026.06.08(월) 12:00,2026.06.08(월) 13:30,talk,전체,워료일이닷,1.5,53,43,1100,1,
2026.06.07(일) 03:00,2026.06.07(일) 08:36,talk,전체,뽀잉보잉,5.6,100,66,3194,4,
2026.06.06(토) 03:00,2026.06.06(토) 12:06,talk,전체,저저저저저기요,9.1,95,60,3426,2,
2026.06.04(목) 11:00,2026.06.04(목) 17:48,믹스테이프|talk,전체,한강데이트,6.8,77,56,4572,-2,
2026.06.02(화) 11:00,2026.06.02(화) 12:00,talk,전체,잠깐이지만 얘기하고 싶어,1,53,43,598,0,
2026.06.01(월) 11:00,2026.06.01(월) 18:00,음악/노래|talk,전체,반뉴걸 입니다,7,99,76,4661,18,
2026.05.30(토) 03:00,2026.05.30(토) 08:24,talk,성인,3일차 뉴걸 입니다,5.4,135,85,4311,7,
2026.05.29(금) 11:00,2026.05.29(금) 18:24,리테일 헬|talk,전체,새로운 얼굴 이식 후기,7.4,82,58,5381,-2,
2026.05.28(목) 11:00,2026.05.28(목) 13:48,talk,전체,2주년 기념 뉴여링 공개 🤍,2.8,122,104,5158,17,
2026.05.26(화) 11:00,2026.05.26(화) 14:30,talk,전체,구여링 마지막 방송,3.5,66,55,3224,7,
2026.05.23(토) 03:00,2026.05.23(토) 09:24,승리의 여신: 니케|talk,전체,좋은 주말 🤍,6.4,74,58,3211,10,
2026.05.21(목) 11:00,2026.05.21(목) 14:48,ASMR|talk,전체,안녕하다,3.8,177,70,2170,5,
2026.05.20(수) 11:00,2026.05.20(수) 17:00,Behind the Frame: 가장 아름다운 경치|talk,전체,여링이 와써,6,57,46,3890,-3,
2026.05.19(화) 11:55,2026.05.19(화) 15:42,talk,전체,히든싱어 같이 보기 !!!!!!!!!,3.8,115,71,3031,9,
2026.05.19(화) 10:50,2026.05.19(화) 11:48,talk,전체,여링이 와써,1,63,49,830,0,
2026.05.16(토) 11:31,2026.05.16(토) 20:18,talk,성인,🤍 여링 생일 기념 방송 🤍,8.8,83,67,1501,4,
