시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 01:02,2026.06.13(토) 08:12,명조:워더링 웨이브,전체,루실라 연구소 파산,7.2,320,153,2816,18,
2026.06.10(수) 11:07,2026.06.10(수) 16:30,원신|이환|명조:워더링 웨이브|젠레스 존 제로|스텔라 소라|명일방주: 엔드필드|ELDEN RING 밤의 통치자,전체,루실라 예습하기,5.4,115,82,4004,6,
2026.06.10(수) 00:50,2026.06.10(수) 02:48,리그 오브 레전드,전체,낭만을 찾아서,2,98,64,292,1,
2026.06.08(월) 10:45,2026.06.08(월) 22:36,명조:워더링 웨이브|ELDEN RING 밤의 통치자,전체,루시 영상 스피드런,11.8,113,81,5717,20,
2026.06.08(월) 01:05,2026.06.08(월) 10:42,명조:워더링 웨이브,전체,루시 레베카 연구소,9.6,196,138,3188,16,
2026.06.07(일) 11:46,2026.06.07(일) 15:12,이환|붕괴: 스타레일|명조:워더링 웨이브|젠레스 존 제로|스텔라 소라,전체,"루시, 레베카 예습하기",3.4,122,88,1702,5,
2026.06.06(토) 09:52,2026.06.07(일) 00:30,원신|젠레스 존 제로|명일방주: 엔드필드,전체,[20:30] 젠존제 3.0 공방,14.6,198,96,7388,9,
2026.06.05(금) 16:25,2026.06.05(금) 23:24,명일방주: 엔드필드|talk,전체,야호~,7,98,78,3320,0,
2026.06.05(금) 03:44,2026.06.05(금) 08:36,명일방주: 엔드필드,전체,아직도 방을 안 뺀 장방이,4.9,232,177,3102,8,
2026.06.03(수) 01:05,2026.06.03(수) 08:30,이환,전체,토마토 100%,7.4,187,119,4099,5,
2026.06.02(화) 10:00,2026.06.02(화) 17:42,원신|이환|명조:워더링 웨이브|젠레스 존 제로|스텔라 소라|명일방주: 엔드필드|몬길: STAR DIVE|talk,전체,이환 열차 등반,7.7,115,92,5673,2,
2026.06.01(월) 04:00,2026.06.01(월) 17:30,원신|이환|엘든 링 황금 나무의 그림자|명조:워더링 웨이브|젠레스 존 제로|스텔라 소라|명일방주: 엔드필드|몬길: STAR DIVE|talk,전체,월요닝뇽,13.5,191,129,9057,27,
2026.05.29(금) 17:57,2026.05.29(금) 22:30,명조:워더링 웨이브|철권 8|몬길: STAR DIVE|talk,전체,명조 3.4 공방 요약 스피드런,4.5,62,50,1416,4,
2026.05.29(금) 16:08,2026.05.29(금) 17:54,명조:워더링 웨이브,전체,명조 3.4 공방 요약 스피드런,1.8,93,82,1219,3,
2026.05.29(금) 10:09,2026.05.29(금) 16:06,명조:워더링 웨이브,전체,[20:00] 명조 x 엣지러너 공방,5.9,124,78,3220,-1,
2026.05.28(목) 10:01,2026.05.28(목) 21:24,원신|이환|명조:워더링 웨이브|젠레스 존 제로|스텔라 소라|명일방주: 엔드필드|몬길: STAR DIVE,전체,하위,11.4,62,41,1887,2,
2026.05.27(수) 04:00,2026.05.27(수) 09:12,젠레스 존 제로|ELDEN RING 밤의 통치자|몬길: STAR DIVE,전체,스 타 라 이 트 빌 리,5.2,132,98,2029,4,
2026.05.26(화) 10:49,2026.05.26(화) 19:36,원신|이환|명조:워더링 웨이브|젠레스 존 제로|스텔라 소라|명일방주: 엔드필드|몬길: STAR DIVE,전체,지각생 등장,8.8,95,75,3734,-3,
2026.05.23(토) 07:36,2026.05.23(토) 15:24,원신|이환|명조:워더링 웨이브|젠레스 존 제로|스텔라 소라|명일방주: 엔드필드|몬길: STAR DIVE,전체,데니아 스토리,7.8,144,89,4657,7,
2026.05.22(금) 11:00,2026.05.22(금) 22:36,원신|이환|붕괴: 스타레일|명조:워더링 웨이브|젠레스 존 제로|스텔라 소라|명일방주: 엔드필드|ELDEN RING 밤의 통치자|몬길: STAR DIVE,전체,[1부] 엔필 공방 / [2부] 붕스 공방,11.6,160,89,6099,7,
