시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.12(금) 11:43,2026.06.12(금) 14:48,명조:워더링 웨이브,전체,【명어게인 2장 2막 진입】,3.1,12,11,207,0,
2026.06.10(수) 11:14,2026.06.10(수) 13:54,명조:워더링 웨이브,전체,【명조 2장 이제 진입인데 사펑가능한가】,2.7,14,12,363,0,
2026.06.04(목) 11:06,2026.06.04(목) 13:24,리그 오브 레전드|명조:워더링 웨이브,전체,【1장 8막 끝내고 방종】,2.3,18,12,154,0,
2026.06.02(화) 11:13,2026.06.02(화) 16:48,리그 오브 레전드|명조:워더링 웨이브|talk,전체,【발더스를 할까 롤을할 까 이터널리턴을 할까】,5.6,15,12,344,0,
2026.05.30(토) 02:57,2026.05.30(토) 13:06,명조:워더링 웨이브|발더스 게이트 3|talk,전체,【명조 1장 7막 끝내고 발더스게이트】,10.1,17,13,1521,1,
2026.05.29(금) 10:33,2026.05.29(금) 17:18,명조:워더링 웨이브,전체,【명조 2장 가고 싶습니다.】,6.7,14,12,295,0,
2026.05.25(월) 05:26,2026.05.25(월) 11:00,명조:워더링 웨이브|talk,전체,【명조 아님 이환】,5.6,17,14,521,0,
2026.05.23(토) 01:19,2026.05.23(토) 13:42,림버스 컴퍼니|talk,전체,【림버스 9장 밀고 오타쿠 gta】,12.4,22,15,1546,3,
2026.05.22(금) 12:03,2026.05.22(금) 14:30,림버스 컴퍼니,전체,【한달에 몇번 안오는 사람】,2.4,15,12,350,0,
2026.05.22(금) 10:40,2026.05.22(금) 12:00,림버스 컴퍼니|talk,전체,【한달에 몇번 안오는 사람】,1.3,12,11,190,0,
2026.05.09(토) 12:07,2026.05.09(토) 15:42,이환,전체,【마따끄 gta】,3.6,10,8,452,0,
2026.05.07(목) 10:22,2026.05.07(목) 13:06,talk,전체,【호날두식 수면법】,2.7,14,12,943,1,
2026.04.21(화) 11:42,2026.04.21(화) 13:48,talk,전체,【드디어 온 백귀야행】,2.1,14,12,267,0,
2026.04.08(수) 11:45,2026.04.08(수) 13:48,림버스 컴퍼니|talk,전체,【림버스 만우절 진행하고 소개팅 등 노가리하고 자러감】,2,15,11,308,0,
2026.04.03(금) 14:13,2026.04.03(금) 15:00,talk,전체,【내일 소개팅 대비 소개팅 시뮬레이션】,0.8,11,10,87,0,
2026.04.01(수) 11:46,2026.04.01(수) 13:24,talk,전체,【소개팅 주선받았습니다 만우절 아닙니다】,1.6,14,12,323,0,
2026.03.28(토) 12:23,2026.03.28(토) 15:54,talk,전체,【밥먹고 배탈남】,3.5,13,12,134,0,
2026.03.28(토) 05:27,2026.03.28(토) 10:12,림버스 컴퍼니,전체,【8.5장 절차탁춘 진행】,4.7,15,11,332,0,
2026.03.24(화) 10:23,2026.03.24(화) 13:36,테이블탑 시뮬레이터|talk,전체,【퇴근】,3.2,13,11,421,0,
2026.03.21(토) 10:47,2026.03.21(토) 14:24,리그 오브 레전드|오버워치|talk,전체,【정해진 날에 안하는 백귀야행】,3.6,12,10,131,0,
2026.03.17(화) 10:55,2026.03.17(화) 13:30,스타듀 밸리|talk,전체,【조용하게 힐링하러옴】,2.6,12,11,250,0,
2026.03.14(토) 10:09,2026.03.14(토) 15:36,포 더 킹|전략적 팀 전투: 신화와 전설|이터널 리턴|talk,전체,【포더킹 제발 깨고 싶습니다.】,5.4,15,12,526,0,
2026.03.10(화) 10:33,2026.03.10(화) 13:00,talk,전체,"【나무위키 미제사건, 사건사고 찾아보기, 괴담 읽기】",2.4,13,10,122,0,
2026.03.05(목) 10:25,2026.03.05(목) 13:36,talk,전체,【멘헤라 데년】,3.2,13,12,560,0,
2026.02.28(토) 12:20,2026.02.28(토) 13:30,talk,전체,【찐따인 내가 혼자 서울에 온 이유:한강(처음임)】,1.2,3,1,42,0,
2026.02.28(토) 06:12,2026.02.28(토) 06:24,talk,전체,【2.28) 서울여행(계획없음)】,0.2,1,1,14,0,
2026.02.28(토) 04:33,2026.02.28(토) 05:30,talk,전체,【2.28) 서울 왔는데 촌놈이라 뭘해야할지 몰라서 야방킴】,0.9,4,2,125,0,
2026.02.28(토) 03:15,2026.02.28(토) 03:42,talk,전체,【2.28) 서울 왔는데 촌놈이라 뭘해야할지 몰라서 야방킴】,0.4,1,1,50,0,
2026.02.24(화) 10:54,2026.02.24(화) 13:36,talk,전체,【2.24) 제2회 백귀야행: 고귀한 취향을 연구하는 학술회】,2.7,12,11,290,0,
2026.02.16(월) 09:38,2026.02.17(화) 14:00,리그 오브 레전드|산나비|로블록스|언더테일|마인크래프트|talk,전체,【2.16) 설기념 노방종 1부: 산나비 *스포x 겜안분임】,28.4,29,14,2509,3,
2026.02.10(화) 08:30,2026.02.10(화) 09:30,talk,전체,"【2.10)오늘 휴방하면 다음주 월, 화 노방종하죠】",1,8,8,360,0,
2026.02.08(일) 05:38,2026.02.08(일) 09:06,애니메이션,전체,【2.8)엔딩보면 청소하러감】,3.5,14,12,168,0,
2026.02.04(수) 10:56,2026.02.04(수) 13:48,애니메이션,전체,【2.3)애니 봤습니다. 요약본 안봤습니다. 소설도 봤습니다. 기억회귀 입니다.】,2.9,15,13,353,0,
2026.02.03(화) 10:31,2026.02.03(화) 14:12,애니메이션,전체,【2.3)나도 사망회귀 줘】,3.7,15,13,370,0,
2026.01.31(토) 19:34,2026.01.31(토) 20:30,리그 오브 레전드|talk,전체,【2.1)re 제로부터시작하는 덕질생활】,0.9,14,12,57,0,
2026.01.31(토) 16:52,2026.01.31(토) 19:30,talk,전체,【2.1)re 제로부터시작하는 덕질생활】,2.6,19,15,291,0,
2026.01.31(토) 12:18,2026.01.31(토) 16:48,림버스 컴퍼니,전체,【1.31)림버스 8장 엔딩보는날】,4.5,16,14,545,0,
2026.01.28(수) 10:47,2026.01.28(수) 14:00,림버스 컴퍼니,전체,【1.28)림버스 8장 드디어 가치우햄이다】,3.2,16,14,552,0,
2026.01.23(금) 10:40,2026.01.23(금) 19:12,림버스 컴퍼니,전체,【1.23)림버스 8장 드디어 진행】,8.5,16,14,567,0,
2026.01.23(금) 10:32,2026.01.23(금) 10:36,림버스 컴퍼니,전체,【1.23)림버스 8장 드디어 진행】,0.1,7,7,0,0,
2026.01.22(목) 10:37,2026.01.22(목) 13:42,림버스 컴퍼니,전체,【1.22)림버스 6.5장 진행】,3.1,15,13,476,0,
2026.01.20(화) 10:39,2026.01.20(화) 14:00,talk,전체,【1.20)백귀야행: 심연탐방】,3.3,16,14,588,1,
2026.01.14(수) 10:38,2026.01.14(수) 13:48,스타듀 밸리|talk,전체,【1.14)공부하러 왔습니다.】,3.2,14,12,448,0,
2026.01.12(월) 10:28,2026.01.12(월) 13:42,활협전,전체,【1.12) 날 좋아하고(없음) 지켜주며(배신당함) 존중해주는(왕따임) 가족 같은(아님) 당문가 직전제자(노예임)입니다.】,3.2,15,12,255,-1,
2026.01.05(월) 10:34,2026.01.05(월) 10:42,활협전,전체,【1.5) 날 좋아하고(없음) 지켜주며(배신당함) 존중해주는(왕따임) 가족 같은(아님) 당문가 직전제자(노예임)입니다.】,0.1,12,7,32,0,
2026.01.01(목) 03:58,2026.01.01(목) 13:12,활협전|talk,전체,"【1.1)새해기념 떡국(토마토 주스로 떡을 불리고 파워에이드로 육수를 내며 식초, 트러플 마요네즈, 귤껍질을 첨가해서 고수와 슈크림빵을 고명으로 올려 먹는)먹방 】",9.2,14,12,447,1,
2026.12.31(수) 10:25,2026.12.31(수) 17:48,리그 오브 레전드|talk,전체,【12.31)올 한해 방송 안했는데 끝나있음】,7.4,13,12,744,0,
2026.12.29(월) 12:18,2026.12.29(월) 13:36,talk,전체,【12.29)술마셨습니다.】,1.3,10,9,194,0,
2026.12.27(토) 10:44,2026.12.27(토) 15:30,림버스 컴퍼니|talk,전체,【12.27)인터넷 각성12.27)인터넷 진(眞) 각성의 날】,4.8,15,12,709,0,
2026.12.24(수) 13:12,2026.12.24(수) 13:30,talk,전체,【12.24) 아무것도 아닌 날】,0.3,11,11,73,0,
2026.12.24(수) 12:42,2026.12.24(수) 13:12,talk,전체,【12.24) 아무것도 아닌 날】,0.5,11,11,70,0,
2026.12.24(수) 12:39,2026.12.24(수) 12:42,talk,전체,【12.24) 아무것도 아닌 날】,0,12,12,23,0,
2026.12.24(수) 12:01,2026.12.24(수) 12:36,talk,전체,【12.24) 아무것도 아닌 날】,0.6,13,12,136,0,
2026.12.24(수) 11:48,2026.12.24(수) 12:00,talk,전체,【12.24) 아무것도 아닌 날】,0.2,10,10,59,0,
2026.12.24(수) 11:37,2026.12.24(수) 11:48,talk,전체,【12.24) 아무것도 아닌 날】,0.2,13,10,17,0,
2026.12.09(화) 10:35,2026.12.09(화) 13:42,talk,전체,【12.9) 데레입니다.】,3.1,15,13,277,0,
2026.12.09(화) 10:12,2026.12.09(화) 10:30,talk,전체,【12.9) 데레입니다.】,0.3,13,12,15,0,
2026.12.09(화) 10:00,2026.12.09(화) 10:06,talk,전체,【12.9) 데레입니다.】,0.1,12,12,0,0,
2026.11.30(일) 08:58,2026.11.30(일) 13:00,테이블탑 시뮬레이터|talk,전체,【11.30) 11월 끝나는데 이제 처음 킨사람】,4,14,12,391,0,
2026.10.25(토) 09:16,2026.10.25(토) 20:00,리그 오브 레전드|스타듀 밸리|언더테일|포켓로그|talk,전체,【10.25)포켓로그 195층 트레이너 정상을 노린다.】,10.7,14,10,1216,1,
2026.10.23(목) 12:13,2026.10.23(목) 14:00,talk,전체,【10.23) 생일】,1.8,5,3,189,0,
2026.10.23(목) 11:45,2026.10.23(목) 12:12,talk,전체,【10.23) 생일】,0.4,3,2,145,0,
2026.10.22(수) 10:44,2026.10.22(수) 16:24,림버스 컴퍼니,전체,【10.22) 콜라보 스토리 막차】,5.7,12,9,640,0,
2026.10.12(일) 09:42,2026.10.12(일) 15:54,스타듀 밸리|클로버핏|테이블탑 시뮬레이터,전체,【10.12) 도파민 아저씨】,6.2,18,16,278,0,
2026.10.09(목) 11:33,2026.10.09(목) 16:12,활협전|스타듀 밸리,전체,【10.9) 활협전】,4.6,17,15,110,0,
2026.10.07(화) 10:25,2026.10.07(화) 15:54,종합 게임|스타듀 밸리|유희왕 마스터 듀얼,전체,【10.7)as dust falls 디트로이트 비컴 휴먼같은 게임】,5.5,19,17,374,0,
2026.10.06(월) 10:47,2026.10.06(월) 16:18,넷마블 윷놀이|테이블탑 시뮬레이터|끄투코리아,전체,【10.6)반갑습니다.윷놀이 하러 왔습니다.】,5.5,21,16,414,3,
2026.09.25(목) 13:25,2026.09.25(목) 15:06,테이블탑 시뮬레이터,전체,【9.25) 후열 보드게임】,1.7,10,9,53,0,
2026.09.25(목) 13:16,2026.09.25(목) 13:18,테이블탑 시뮬레이터,전체,【9.25) 후열 보드게임】,0,7,7,23,0,
2026.09.25(목) 07:59,2026.09.25(목) 13:12,림버스 컴퍼니,전체,【9.25) 가챠하고 갑니다.】,5.2,11,8,913,0,
2026.09.23(화) 10:21,2026.09.23(화) 13:54,프린세스 메이커 2 리제네레이션,전체,【9.23) 프린세스 메이커2 엔딩】,3.5,9,8,335,0,
2026.09.19(금) 10:28,2026.09.19(금) 16:18,종합 게임|talk,전체,【9.19】 마이크 정상화,5.8,15,13,507,0,
2026.09.14(일) 09:43,2026.09.14(일) 13:36,프린세스 메이커 2 리제네레이션,전체,【9.14) 아이가 생겼습니다..】,3.9,9,7,269,0,
2026.09.12(금) 09:50,2026.09.12(금) 14:36,림버스 컴퍼니|프린세스 메이커 2 리제네레이션,전체,【9.12) 패륜(7장)끝내고 내일 햄햄팡팡이다】,4.8,10,8,436,0,
2026.09.08(월) 10:17,2026.09.08(월) 14:36,림버스 컴퍼니,전체,【9.8)조용히 짧게 7장 진행】,4.3,12,8,605,0,
2026.09.07(일) 10:33,2026.09.07(일) 13:36,림버스 컴퍼니,전체,【9.7)룸메오기전까지 7장진행】,3,10,8,397,1,
