시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.07(일) 15:48,2026.06.07(일) 17:48,리그 오브 레전드,전체,보고 싶어써?o.o,2,15,10,465,-1,
2026.05.16(토) 15:52,2026.05.16(토) 19:00,데드 바이 데이라이트|talk,전체,오늘 생일인데 나랑 놀아줄 친구가 님들밖에 없네..◠‿◠,3.1,9,6,402,0,
2026.05.13(수) 19:13,2026.05.13(수) 20:36,리그 오브 레전드,전체,오늘 떡볶이 파티 했다~,1.4,8,7,144,0,
2026.05.10(일) 15:29,2026.05.10(일) 17:54,리그 오브 레전드|데드 바이 데이라이트,전체,행궁동 사람 짱많아,2.4,12,9,299,0,
2026.05.08(금) 20:06,2026.05.08(금) 20:54,데드 바이 데이라이트,전체,나ㅏ 약속 지키러 와따................,0.8,7,5,130,0,
2026.05.02(토) 14:47,2026.05.02(토) 16:00,talk,전체,짧게 데바데라도 할랫더니 업데이트가 있지 모야,1.2,10,7,146,0,
2026.04.19(일) 15:32,2026.04.19(일) 19:18,데드 바이 데이라이트|PUBG: 배틀그라운드,전체,귀여움 ㅈㅣ수가 또로지쟈나😟,3.8,21,16,1414,0,
2026.04.12(일) 16:07,2026.04.12(일) 18:00,데드 바이 데이라이트|talk,전체,오랜만에 왔더니 캠이 맛이 갔옹,1.9,16,13,485,1,
2026.03.26(목) 19:37,2026.03.26(목) 20:48,종합 게임|데드 바이 데이라이트,전체,스팀 봄세일 조와,1.2,9,7,204,0,
2026.03.23(월) 20:11,2026.03.23(월) 21:00,데드 바이 데이라이트,전체,김따꿍 살아있따........,0.8,7,4,84,0,
2026.03.15(일) 14:45,2026.03.15(일) 17:18,데드 바이 데이라이트,전체,앙 >.o,2.5,18,12,754,1,
2026.03.08(일) 17:58,2026.03.08(일) 19:42,리그 오브 레전드,전체,Grrrrrrrr,1.7,10,7,234,1,
2026.03.06(금) 18:54,2026.03.06(금) 20:54,데드 바이 데이라이트,전체,gosu,2,11,7,197,0,
2026.03.02(월) 15:22,2026.03.02(월) 17:00,데드 바이 데이라이트,전체,(시참) 무료 시참 하고 가십셔! (듣보 가능),1.6,14,10,383,5,
2026.02.28(토) 16:41,2026.02.28(토) 18:48,데드 바이 데이라이트,전체,중요 공지!,2.1,15,11,356,0,
2026.02.22(일) 16:24,2026.02.22(일) 21:42,파피 플레이타임,전체,남들 다 파피5 할 때 나는 파피4를 닦는다.....,5.3,10,6,560,-1,
