시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.12(금) 20:06,2026.06.13(토) 00:42,리그 오브 레전드,전체,업데이트 된 증바람 해보기!,4.6,8,4,174,0,
2026.06.09(화) 20:20,2026.06.09(화) 23:36,종합 게임|talk,전체,안녕하세요,3.3,10,6,490,0,
2026.06.07(일) 21:22,2026.06.07(일) 23:54,talk,전체,안녕하세요,2.5,11,8,825,0,
2026.06.05(금) 21:25,2026.06.05(금) 23:54,talk,전체,안녕하세요,2.5,14,10,1237,0,
2026.06.04(목) 21:21,2026.06.04(목) 23:00,talk,전체,안녕하세요,1.6,10,6,574,0,
2026.06.01(월) 21:40,2026.06.02(화) 01:48,talk,전체,오랜만에 토크뱅,4.1,16,10,1775,1,
2026.05.26(화) 21:07,2026.05.27(수) 00:24,서브노티카 2,전체,햇병아리,3.3,9,7,260,0,
2026.05.26(화) 20:46,2026.05.26(화) 21:06,서브노티카 2|talk,전체,안녕하세요,0.3,7,6,83,-1,
2026.05.25(월) 21:30,2026.05.26(화) 00:12,talk,전체,잃어버린 F 감수성 찾기,2.7,15,9,936,-1,
2026.05.22(금) 20:28,2026.05.23(토) 01:24,윈드로즈,전체,해적왕 되어보기,4.9,7,4,325,1,
2026.05.21(목) 19:49,2026.05.21(목) 23:30,윈드로즈,전체,해적왕 되어보기,3.7,7,5,247,0,
2026.05.20(수) 18:07,2026.05.20(수) 23:18,윈드로즈,전체,해적왕 되어보기,5.2,9,5,215,1,
2026.05.19(화) 19:59,2026.05.19(화) 23:36,윈드로즈,전체,윈드로즈 합방,3.6,5,4,95,0,
2026.05.18(월) 21:48,2026.05.19(화) 02:36,종합 게임,전체,월요일~,4.8,9,6,706,1,
