시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 14:00,2026.06.15(월) 17:30,종합 게임|talk,성인,방장 자전거 타다가 넘어져써...( ﾟдﾟ ),3.5,15,10,948,2,
2026.06.10(수) 14:00,2026.06.10(수) 19:48,종합 게임|talk,전체,수요일의 눈나가 왔어 (ノ・∀・)ノ,5.8,13,9,1845,0,
2026.06.09(화) 18:00,2026.06.09(화) 22:36,성세천하: 여제의 탄생 Ⅱ|talk,전체,저녁방송에 눈나의 등장이라...(ノ・∀・)ノ,4.6,10,6,1075,-1,
2026.06.08(월) 14:13,2026.06.08(월) 19:24,종합 게임|talk,전체,월요일은 눈나랑 토크하는날（╹3╹）,5.2,10,7,1773,1,
2026.06.03(수) 14:01,2026.06.03(수) 18:00,종합 게임|talk,전체,휴일엔 눈나와 토크토크 (⁀ᗢ⁀),4,13,9,1551,1,
2026.06.01(월) 14:04,2026.06.01(월) 18:36,종합 게임|talk,전체,월요일이니까 눈나랑 토크하쟈(⁀ᗢ⁀),4.5,10,6,1003,0,
2026.05.27(수) 13:57,2026.05.27(수) 19:36,종합 게임|talk,전체,수요일엔 눈나랑 토크를 하쟈*⸜( •ᴗ• )⸝*,5.6,10,7,1064,0,
2026.05.25(월) 14:00,2026.05.25(월) 18:00,종합 게임|talk,전체,휴일이니까 눈나랑 토크하쟈(´ε｀ )♡,4,18,11,829,2,
2026.05.20(수) 14:00,2026.05.20(수) 19:18,종합 게임|talk,전체,비오는날엔 눈나와 토크하쟈,5.3,13,9,1708,1,
2026.05.18(월) 14:00,2026.05.18(월) 18:36,종합 게임|talk,전체,월요일니까 눈나랑 토크하쟈,4.6,12,6,869,0,
2026.05.13(수) 14:00,2026.05.13(수) 19:42,종합 게임|talk,성인,씽나는 수요일 토크토크,5.7,11,6,596,0,
2026.05.11(월) 14:01,2026.05.11(월) 18:24,종합 게임|talk,전체,눈나와 월요일 토크토크하쟈,4.4,12,8,1446,1,
2026.05.05(화) 14:00,2026.05.05(화) 20:30,종합 게임|talk,전체,어린이날의 토크토크,6.5,10,7,1191,1,
2026.05.04(월) 13:59,2026.05.04(월) 19:18,종합 게임|talk,전체,월요일 점심의 토크토크~!,5.3,17,10,424,-1,
2026.04.28(화) 13:57,2026.04.28(화) 17:48,종합 게임|talk,전체,화요일의 토크토크~!,3.8,12,8,1377,-1,
2026.04.27(월) 14:00,2026.04.27(월) 18:54,종합 게임|talk,전체,월요일엔 신나게 토크토크,4.9,13,8,580,1,
2026.04.21(화) 13:58,2026.04.21(화) 18:42,종합 게임|talk,전체,기괴한 도트 공포게임- 미드나잇 스페셜 - 오늘 엔딩봅니다!,4.7,13,8,1201,1,
2026.04.20(월) 14:02,2026.04.20(월) 19:54,종합 게임|talk,전체,비오는 월요일의 토크토크,5.9,19,11,825,1,
2026.04.13(월) 14:39,2026.04.13(월) 18:06,그림/아트|talk,전체,신나는 월요일 토크토크,3.4,12,9,1197,0,
2026.04.07(화) 13:58,2026.04.07(화) 19:42,종합 게임|talk,전체,화요일의 토크토크,5.7,9,6,1231,1,
2026.04.06(월) 13:59,2026.04.06(월) 18:54,종합 게임|talk,전체,월요일의 토크토크,4.9,12,8,431,-1,
2026.03.31(화) 14:00,2026.03.31(화) 17:54,종합 게임|talk,전체,화요일 점심의 신나는 토크토크,3.9,11,7,609,1,
2026.03.30(월) 13:59,2026.03.30(월) 18:42,종합 게임|talk,전체,월요일엔 신나는 토크토크,4.7,13,7,701,0,
2026.03.23(월) 14:02,2026.03.23(월) 18:36,종합 게임|talk,전체,월요일 점심의 토크토크,4.6,13,7,1030,3,
2026.03.17(화) 13:58,2026.03.17(화) 18:06,종합 게임|talk,전체,신나는 화요일의 토크토크,4.1,11,7,794,0,
2026.03.16(월) 14:00,2026.03.16(월) 19:12,종합 게임|talk,전체,월요일 오후의 토크토크,5.2,11,7,1379,0,
2026.03.09(월) 14:37,2026.03.09(월) 18:06,talk,전체,마지막 방송 ㅠㅠ (채팅창 고정확인),3.5,14,9,799,0,
2026.03.03(화) 14:00,2026.03.03(화) 18:06,종합 게임|talk,전체,화요일 오후의 토크토크,4.1,15,9,883,0,
2026.03.02(월) 14:43,2026.03.02(월) 18:42,종합 게임|talk,전체,월요일 신입이 토크를 하러왔다구~!,4,14,10,484,1,
2026.02.27(금) 09:44,2026.02.27(금) 12:24,종합 게임|talk,전체,모오오오닝 지각 헤헤,2.7,5,3,314,0,
2026.02.25(수) 09:00,2026.02.25(수) 11:42,종합 게임|talk,전체,모오오오닝 토크,2.7,8,6,340,-1,
2026.02.20(금) 10:32,2026.02.20(금) 12:24,파피 플레이타임|talk,전체,굿모닝! 아침뱅송은 처음이예요!,1.9,12,9,293,0,
2026.02.19(목) 13:36,2026.02.19(목) 19:36,파피 플레이타임|talk,전체,2시에 파피 플레이타임5 시작합니다아아아,6,17,12,1558,2,
2026.02.18(수) 15:00,2026.02.18(수) 20:18,종합 게임|talk,전체,연휴에 신나는 토크토크,5.3,11,7,737,2,
2026.02.12(목) 13:59,2026.02.12(목) 19:24,종합 게임|talk,전체,토크하다가 공포게임 할거에용ദ്ദി˘•ω•˘ ),5.4,16,10,1104,1,
2026.02.11(수) 14:57,2026.02.11(수) 18:42,종합 게임|talk,전체,오후 토크토크,3.7,12,8,774,0,
2026.02.08(일) 21:42,2026.02.08(일) 23:36,예능,전체,천하제빵 2화🥐제빵자격증 보유자와 함께,1.9,12,9,1272,1,
2026.02.08(일) 20:59,2026.02.08(일) 21:36,예능|talk,전체,천하제빵 2화 대기방🥐,0.6,6,5,164,0,
2026.02.06(금) 13:56,2026.02.06(금) 18:30,우미가리|talk,전체,엔딩 보겠습니다앗,4.6,11,8,884,1,
2026.02.05(목) 14:00,2026.02.05(목) 19:18,우미가리|talk,전체,자 이리와서 나랑 토크해(^._.^)ﾉ,5.3,15,10,1311,2,
2026.02.04(수) 14:00,2026.02.04(수) 19:06,종합 게임|talk,전체,졸린 이시간에는 끝내주는 토크토크~!,5.1,16,11,1389,0,
2026.02.01(일) 21:05,2026.02.01(일) 23:24,예능|talk,전체,🍞9시 30분 천하제빵 대기방🍞,2.3,13,9,593,1,
2026.01.29(목) 15:03,2026.01.29(목) 19:00,종합 게임|talk,전체,추울땐 따끈한 토크를 하쟈ʕꔸﻌꔸʔ,3.9,15,11,1128,0,
2026.01.28(수) 14:53,2026.01.28(수) 19:00,종합 게임|talk,전체,수다떨다가 공포게임을 할거예요૮₍ •̀ᴥ•́ ₎ა,4.1,15,11,1196,1,
2026.01.22(목) 15:06,2026.01.22(목) 18:54,종합 게임|talk,전체,토크 말아주는 눈나가 와써❤️,3.8,11,8,1158,1,
2026.01.21(수) 13:38,2026.01.21(수) 18:12,종합 게임|talk,전체,보고싶어서 일찍 와쏘💕,4.6,16,11,1400,4,
2026.01.16(금) 14:01,2026.01.16(금) 21:18,종합 게임|talk,전체,토크 잘말아주는 신입(?),7.3,17,11,1072,2,
2026.01.15(목) 14:01,2026.01.15(목) 18:00,종합 게임|talk,전체,당장 눈나랑 토크해!,4,12,7,618,0,
2026.01.14(수) 14:01,2026.01.14(수) 19:06,종합 게임|talk,전체,눈나가 돌아와쪄٩(៸៸ᵔꇴᵔ៸៸)و,5.1,11,8,897,0,
2026.01.07(수) 13:59,2026.01.07(수) 18:54,종합 게임|talk,전체,눈나와 함께하는 토크시간!,4.9,12,9,743,-2,
2026.01.01(목) 14:00,2026.01.01(목) 18:00,종합 게임|talk,전체,2026 새해맞이 눈나의 덕담방,4,19,14,656,2,
2026.12.31(수) 13:58,2026.12.31(수) 18:18,종합 게임|몬스터 헌터 와일즈|talk,전체,2025년 마지막날 방송!!,4.3,20,12,910,6,
2026.12.25(목) 17:31,2026.12.25(목) 17:48,여행,전체,서울 일러스트페어 야방!!,0.3,6,6,116,0,
2026.12.25(목) 17:07,2026.12.25(목) 17:30,여행,전체,서울 일러스트페어 야방!!,0.4,8,6,62,0,
2026.12.24(수) 13:58,2026.12.24(수) 19:06,종합 게임|talk,성인,크리스마스에는 눈나와 토크를 하쟈~!,5.1,12,8,326,0,
2026.12.18(목) 13:57,2026.12.18(목) 17:54,종합 게임|talk,전체,연말이니까 눈나랑 수다떨자(˵ ͡° ͜ʖ ͡°˵),3.9,14,10,730,2,
2026.12.17(수) 13:51,2026.12.17(수) 18:00,종합 게임|데드 바이 데이라이트|talk,전체,눈나랑 토크하다가 추리게임 하러가쟈(^・ω・^ ),4.1,18,11,881,2,
2026.12.10(수) 13:59,2026.12.10(수) 17:54,종합 게임|talk,전체,눈나랑 수다떨면서 월루하자ฅ(˘ω˘ )ฅ,3.9,10,8,751,0,
2026.12.05(금) 14:00,2026.12.05(금) 18:18,종합 게임|talk,전체,읏추! 읏추! 토크,4.3,13,8,521,-1,
2026.12.04(목) 13:57,2026.12.04(목) 18:36,종합 게임|talk,성인,추운날은? 토크토크,4.6,12,9,427,0,
2026.12.03(수) 14:01,2026.12.03(수) 19:24,종합 게임|talk,성인,오늘 춥지? 눈나가 호호 해줄게,5.4,15,9,998,1,
2026.11.30(일) 18:21,2026.11.30(일) 20:54,그림/아트,전체,갑자기 그림을 그리러 와써╰( ▪‿▪)╮,2.5,12,9,432,0,
2026.11.27(목) 15:00,2026.11.27(목) 19:42,데드 바이 데이라이트|talk,전체,눈나랑 수다떨래?💛╰( ▪‿▪)╮,4.7,17,10,612,10,
2026.11.26(수) 14:00,2026.11.26(수) 19:00,종합 게임|talk,성인,화끈하게 토크 말아주는 유부눈나야( ･ὢ･ ),5,15,11,868,2,
2026.11.20(목) 13:59,2026.11.20(목) 18:24,종합 게임|talk,전체,추운날엔 토크 토₍₍ (̨̡´°꒳°`)̧̢ ₎₎,4.4,11,7,816,6,
2026.11.19(수) 13:10,2026.11.19(수) 18:36,골목길 : 귀흔|talk,전체,여러분 보고싶어서 일찍 와쏘₍₍ (̨̡´°꒳°`)̧̢ ₎₎,5.4,14,8,747,3,
2026.11.13(목) 15:02,2026.11.13(목) 19:42,윌모트 웍스 잇 아웃|talk,전체,수능 파이팅!!! 눈나가 응원한다구~!,4.7,12,8,431,1,
2026.11.12(수) 14:09,2026.11.12(수) 17:54,피어스 투 패덤 - 아이언바크 룩아웃|talk,전체,수다떨려고 일찍와쏘!,3.7,15,7,481,1,
2026.11.10(월) 14:46,2026.11.10(월) 16:42,talk,전체,누나 어디 바뀐것같지 않아?,1.9,10,7,351,3,
2026.11.05(수) 14:21,2026.11.05(수) 19:18,종합 게임|talk,전체,토크하고 싶어서 일찍 와쏘(◠⤙◠),4.9,15,10,1304,1,
2026.10.30(목) 14:16,2026.10.30(목) 18:42,리애니멀|RV 데어 옛?|talk,전체,3시 합방 전에 토크하러 와써잉,4.4,15,9,755,4,
2026.10.29(수) 14:43,2026.10.29(수) 18:30,종합 게임|talk,전체,수요일이니까 눈나랑 토크하쟈,3.8,12,8,911,1,
2026.10.23(목) 15:04,2026.10.23(목) 19:00,종합 게임|오브라 딘 호의 귀환|talk,전체,토크하다가 오브라딘호의 귀환 하러갑니다!,3.9,13,9,1268,1,
2026.10.22(수) 14:43,2026.10.22(수) 21:30,오브라 딘 호의 귀환|talk,전체,누나랑 토크 조금 하고 추리게임 하러가쟈💐(^.^ )>,6.8,14,11,1101,-1,
2026.10.19(일) 14:32,2026.10.19(일) 15:48,talk,전체,갑자기 방송켜서 토크하기💐(^.^ )>,1.3,10,7,269,1,
2026.10.16(목) 14:57,2026.10.16(목) 20:30,종합 게임|talk,전체,누나랑 토크하자ദ്ദി˶ˊᵕˋ˵),5.5,12,8,1300,0,
2026.10.15(수) 13:21,2026.10.15(수) 18:24,방 탈출 시뮬레이터|종합 게임|talk,전체,일찍 왔어요! 눈나랑 토크하쟈ƪ('ε' ƪ),5,12,9,1211,2,
2026.10.13(월) 14:59,2026.10.13(월) 18:42,피어스 투 패덤 - 아이언바크 룩아웃|talk,전체,추석이 왔어요~ 공포게임이 끝났어요~,3.7,14,9,440,3,
2026.10.08(수) 15:00,2026.10.08(수) 21:24,종합 게임|talk,전체,[신입 8일차]추석토크 하다가 공포게임 합니다!,6.4,17,11,2154,1,
2026.10.03(금) 14:44,2026.10.03(금) 19:12,종합 게임|talk,전체,[신입7일차] 눈나랑 토크하쟈,4.5,14,10,1584,1,
2026.10.01(수) 12:41,2026.10.01(수) 19:00,종합 게임|talk,성인,[신입 6일차]누나 일찍왔어! 토크하자!,6.3,12,9,651,3,
2026.09.25(목) 14:01,2026.09.25(목) 20:12,종합 게임|talk,전체,신입 4일차! 토크하다가 공포게임 하러갑니다!!,6.2,12,8,1227,0,
2026.09.24(수) 12:42,2026.09.24(수) 20:00,덕 디텍티브: 더 고스트 오브 글램핑|종합 게임|슬라임 랜쳐 2|talk,전체,[신입]수다떨자!! 2시간이나 일찍 와버렸어~!,7.3,13,9,1228,2,
2026.09.18(목) 13:58,2026.09.18(목) 18:30,노|아임 낫 어 휴먼|talk,전체,노아임낫어휴먼 하기 전에 잠깐 토크!,4.5,14,10,754,0,
2026.09.17(수) 14:52,2026.09.17(수) 18:42,미설정|talk,전체,버추얼 신입과 함께 심야괴담회 보자,3.8,66,29,668,11,
2026.09.17(수) 13:28,2026.09.17(수) 14:48,talk,전체,일찍 왔어요!❤️버추얼 3시에 공개하기 전에 토크합니다,1.3,13,8,287,0,
2026.09.11(목) 13:48,2026.09.11(목) 17:00,종합 게임|talk,전체,오후에 잠깨는 토크토크,3.2,12,8,509,0,
2026.09.10(수) 14:17,2026.09.10(수) 17:42,배드 치즈|talk,전체,일찍왔어요! 공겜-배드 치즈 하기 전에 토크토크~,3.4,11,7,562,1,
2026.09.07(일) 14:12,2026.09.07(일) 17:00,미설정|그림/아트,전체,방장 오늘 생일이야!! 기념으로 짧게 그림 방송 합니다•̅ ̫ •̅ ♡,2.8,17,14,538,1,
2026.09.04(목) 13:54,2026.09.04(목) 16:30,종합 게임|음악/노래|talk,전체,"토크 조금 하다가, 공포게임 Last Report",2.6,7,5,360,0,
2026.09.03(수) 13:36,2026.09.03(수) 19:24,종합 게임|talk,전체,(●ˇ∀ˇ●)더우니까 서핑갔던 썰 풀어볼게,5.8,8,6,733,0,
2026.08.28(목) 14:57,2026.08.28(목) 18:00,종합 게임|talk,전체,💪(｀ω´ )누나가 오늘도 공포게임 해줄게,3,16,10,766,1,
2026.08.27(수) 14:58,2026.08.27(수) 18:18,종합 게임|몬스터 헌터 와일즈|talk,전체,(ﾉ›_‹)ﾉ♡퇴사했다! 깜짝 몬헌방송~시참 가능!,3.3,16,10,945,0,
2026.08.22(금) 10:46,2026.08.22(금) 13:12,몬스터 헌터 와일즈|talk,전체,(ﾉ›_‹)ﾉ♡퇴사했다! 깜짝 아침방송~,2.4,26,17,615,10,
2026.08.19(화) 20:54,2026.08.19(화) 23:36,시간 탐정 김탐정|talk,전체,유부눈나가 왓써어( ˶ ̇ ̵ ̇˶ )♡이따가 추리게임 합니다!,2.7,10,7,506,1,
