시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 05:54,2026.06.14(일) 20:00,리그 오브 레전드|talk,전체,이겨주라 티원 응원방 #LckWatchParty🐝,14.1,12,8,1007,1,
2026.06.13(토) 10:50,2026.06.13(토) 21:42,리그 오브 레전드|talk,전체,해~~위!🐝,10.9,13,7,815,3,
2026.06.12(금) 07:58,2026.06.12(금) 21:24,미설정|리그 오브 레전드|talk,전체,협곡 해본 사람의 티원응원방 #LckWatchParty🐝,13.4,14,6,1470,-1,
2026.06.11(목) 11:13,2026.06.11(목) 22:06,리그 오브 레전드|talk,전체,이 사람은 오늘 생일입니다. 🐝,10.9,12,8,1223,0,
2026.06.10(수) 11:28,2026.06.11(목) 00:06,리그 오브 레전드|talk,전체,해윙~🐝,12.6,20,10,1905,4,
2026.06.09(화) 10:35,2026.06.09(화) 21:24,리그 오브 레전드|talk,전체,해윙~🐝,10.8,20,8,1261,3,
2026.06.07(일) 10:54,2026.06.07(일) 21:30,리그 오브 레전드|talk,전체,아잇 피곤해🐝,10.6,16,8,897,0,
2026.06.06(토) 02:38,2026.06.06(토) 19:48,종합 게임|리그 오브 레전드|talk,전체,안녕하십니다!🐝,17.2,15,9,2935,4,
2026.06.04(목) 13:51,2026.06.04(목) 22:24,종합 게임|talk,전체,패턴이란게 없어진 청년🐝,8.5,11,8,427,1,
2026.06.03(수) 10:31,2026.06.03(수) 23:18,리그 오브 레전드|마비노기 모바일|talk,전체,일단 햄버거 좀 먹쟈! 🐝,12.8,23,12,2094,1,
2026.05.31(일) 11:10,2026.06.01(월) 11:00,종합 게임|talk,전체,해윙~~ 🐝,23.8,20,12,1380,1,
2026.05.29(금) 13:23,2026.05.30(토) 12:06,종합 게임|리그 오브 레전드|talk,전체,간만에 기절해따~ 🐝,22.7,16,9,1017,-1,
2026.05.28(목) 09:42,2026.05.28(목) 23:06,종합 게임|리그 오브 레전드|talk,전체,티원. 응원하기전에 ? #LckWatchParty 🐝,13.4,17,11,905,0,
