시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 17:00,2026.06.15(월) 22:12,리듬 닥터|던전앤파이터,전체,잔잔한 라디오방송,5.2,34,17,1711,1,
2026.06.13(토) 10:00,2026.06.13(토) 14:00,던전앤파이터,전체,일찍일어난펭구리가태초서약먹는다,4,28,22,1570,0,
2026.06.12(금) 17:00,2026.06.12(금) 22:06,컬트 오브 더 램|던전앤파이터,전체,펭하,5.1,24,16,1367,0,
2026.06.11(목) 18:00,2026.06.11(목) 22:00,던전앤파이터,전체,펭하,4,26,19,1076,-1,
2026.06.10(수) 17:00,2026.06.10(수) 22:12,컬트 오브 더 램|던전앤파이터,전체,떠허ㅓㅓ,5.2,39,26,1762,0,
2026.06.09(화) 17:00,2026.06.09(화) 22:00,리테일 헬|승리의 여신: 니케|던전앤파이터|13F,전체,떠허..,5,40,25,1777,2,
2026.06.08(월) 17:00,2026.06.08(월) 22:00,리테일 헬|던전앤파이터|talk,전체,나는월요일이밉다..,5,31,17,1729,-1,
2026.06.06(토) 10:00,2026.06.06(토) 14:42,던전앤파이터,전체,크아앙크앙ㅇㅇㅇㅇㅇㅇ,4.7,27,21,1871,1,
2026.06.05(금) 17:00,2026.06.05(금) 19:18,던전앤파이터,전체,던파하자던파,2.3,30,18,712,0,
2026.06.04(목) 18:00,2026.06.05(금) 00:06,던전앤파이터,전체,던앤터 ㄱ?,6.1,28,22,2260,-1,
2026.06.02(화) 17:00,2026.06.03(수) 00:00,던전앤파이터|메이플스토리 월드,전체,던파하자던파,7,33,24,2860,1,
2026.06.01(월) 17:00,2026.06.01(월) 22:54,러스티 레이크 호텔|던전앤파이터|talk,전체,태초주세양태초주세양태초주세양,5.9,31,20,2733,1,
2026.05.30(토) 10:00,2026.05.30(토) 14:30,던전앤파이터,전체,악연2업둥하실붐,4.5,25,18,1579,-2,
2026.05.29(금) 17:00,2026.05.29(금) 23:00,던전앤파이터|메이플스토리 월드,전체,던파하자던파,6,43,32,2683,6,
2026.05.28(목) 18:00,2026.05.28(목) 22:00,던전앤파이터,전체,던파하자던파,4,23,19,1444,1,
2026.05.27(수) 17:00,2026.05.27(수) 21:00,던전앤파이터|캡처드 2,전체,펭하 1부 던파 2부 캡쳐2,4,27,17,1371,0,
2026.05.26(화) 20:15,2026.05.26(화) 22:42,메이플스토리 월드,전체,오늘 목표는 70레벨,2.4,34,30,1243,1,
2026.05.26(화) 17:00,2026.05.26(화) 20:00,던전앤파이터|메이플스토리 월드,전체,헬돌아서 오늘의 운 테스트,3,41,25,1380,1,
2026.05.25(월) 17:00,2026.05.26(화) 00:00,던전앤파이터|메이플스토리 월드|talk,전체,펭하,7,43,30,3142,8,
2026.05.23(토) 10:00,2026.05.23(토) 13:42,던전앤파이터,전체,펭구이..졸려..,3.7,45,34,1611,-1,
2026.05.22(금) 17:00,2026.05.22(금) 23:06,던전앤파이터|메이플스토리 월드,전체,태초서약이랑 결정 먹고싶어양,6.1,33,21,2506,4,
2026.05.21(목) 18:01,2026.05.21(목) 22:00,던전앤파이터,전체,7시에 상던 같이가용,4,30,23,1484,-2,
2026.05.20(수) 17:00,2026.05.20(수) 22:12,던전앤파이터|메이플스토리 월드,전체,라방 어땟나양,5.2,32,22,2166,-1,
2026.05.19(화) 17:00,2026.05.19(화) 22:18,미사오|던전앤파이터|메이플스토리 월드,전체,던파는 계시를 뿌려라...제발요,5.3,40,24,2602,2,
2026.05.18(월) 17:00,2026.05.18(월) 21:54,미사오|던전앤파이터,전체,계시도없고에소도없고 내던생망했븜,4.9,40,25,1448,2,
2026.05.16(토) 10:00,2026.05.16(토) 12:36,던전앤파이터,전체,떠허ㅓㅓ,2.6,30,22,752,0,
2026.05.15(금) 17:00,2026.05.15(금) 22:12,던전앤파이터,전체,헬+아보카도+중천스토리구경,5.2,19,19,5,0,
