시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 18:33,LIVE,몬스터 헌터 월드: 아이스본,전체,LIVE,3.9,27,23,1335,2,
2026.06.15(월) 18:11,2026.06.15(월) 18:30,몬스터 헌터 월드: 아이스본,전체,나르카 잡는데 4시간 그럼 티가렉스는..?,0.3,25,18,122,0,
2026.06.15(월) 18:02,2026.06.15(월) 18:06,몬스터 헌터 월드: 아이스본,전체,나르카 잡는데 4시간 그럼 티가렉스는..?,0.1,16,16,36,0,
2026.06.15(월) 17:05,2026.06.15(월) 18:00,몬스터 헌터 월드: 아이스본|talk,전체,왼쪽이 피카츄 굿즈라는데 어떻게 봐야 피카츄인거지,0.9,16,11,126,0,
2026.06.10(수) 17:02,2026.06.11(목) 02:18,성세천하: 여제의 탄생 Ⅱ|talk,전체,스위치 2 사면 제대로 쓸 수 있을까,9.3,17,12,971,0,
2026.06.08(월) 17:01,2026.06.09(화) 03:30,몬스터 헌터 월드: 아이스본|talk,전체,오후 5시 우리가게 영업합니다,10.5,30,21,2306,0,
2026.06.06(토) 09:44,2026.06.06(토) 18:00,몬스터 헌터 월드: 아이스본,전체,도스쟈그라스를 몇 마리 잡아야 하는거야...,8.3,38,30,2123,3,
2026.06.03(수) 17:02,2026.06.04(목) 02:30,종합 게임|talk,전체,밥먹으러 나갔다가 자빠져서 무릎 깨먹은 사람,9.5,21,16,743,1,
2026.06.01(월) 17:00,2026.06.02(화) 01:54,몬스터 헌터 월드: 아이스본|talk,전체,어느새 6월.. 반 년을 낭비한 걸까? 응~ 반 년 더 살면 돼~,8.9,32,24,2195,3,
2026.05.29(금) 11:45,2026.05.29(금) 15:48,몬스터 헌터 월드: 아이스본,전체,몬헌 하다 잠들었는데 일어나자마자 몬헌 하고 싶어서 방송 킨 사람,4,31,23,907,2,
2026.05.29(금) 10:06,2026.05.29(금) 11:18,몬스터 헌터 월드: 아이스본,전체,몬헌 하다 잠들었는데 일어나자마자 몬헌 하고 싶어서 방송 킨 사람,1.2,34,18,192,-1,
2026.05.28(목) 17:03,2026.05.29(금) 03:36,몬스터 헌터 월드: 아이스본|talk,전체,저챗소재 정리하다가 혹해서 3만원 쓴사람,10.5,29,20,1929,2,
2026.05.26(화) 17:00,2026.05.27(수) 03:42,종합 게임|몬스터 헌터 월드: 아이스본|붉은사막|talk,전체,점차 습도가 오르는 화요일,10.7,36,21,1373,2,
2026.05.20(수) 17:01,2026.05.21(목) 04:48,종합 게임|붉은사막|talk,전체,잇츠 레이니 데이,11.8,26,15,1320,2,
2026.05.18(월) 18:00,2026.05.19(화) 03:06,종합 게임|talk,전체,왕지각 죄송합니다ㅠㅠ,9.1,26,16,680,0,
