시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.12(금) 13:10,2026.06.12(금) 16:06,몬스터 헌터 와일즈,전체,[노마이크] 와일즈 뉴비대회 2일차,2.9,7,4,186,0,
2026.06.11(목) 14:16,2026.06.11(목) 16:06,몬스터 헌터 와일즈,전체,[노마이크] 뉴비대회 내일 밤 마지막 기회를 위한 빌드업,1.8,12,7,287,0,
2026.06.11(목) 02:23,2026.06.11(목) 07:18,몬스터 헌터 와일즈,전체,몬헌 와일즈 뉴비 대회 참여중,4.9,21,16,1056,8,
2026.06.10(수) 14:47,2026.06.10(수) 16:30,몬스터 헌터 월드: 아이스본|몬스터 헌터 와일즈,전체,[노마이크] 2018년작 몬스터헌터 월드 아이스본,1.7,11,6,291,0,
2026.06.09(화) 09:36,2026.06.09(화) 13:00,몬스터 헌터 월드: 아이스본,전체,[노마이크] 2018년작 몬스터헌터 월드 아이스본,3.4,11,8,487,-1,
2026.06.09(화) 09:35,2026.06.09(화) 09:36,몬스터 헌터 월드: 아이스본,전체,[노마이크] 2018년작 몬스터헌터 월드 아이스본,0,0,0,0,0,
2026.06.02(화) 11:50,2026.06.02(화) 15:12,몬스터 헌터 월드: 아이스본,전체,[노마이크] 2018년작 몬스터헌터 월드 아이스본,3.4,14,9,476,-1,
2026.06.01(월) 14:36,2026.06.01(월) 16:36,종합 게임,전체,오늘 생일이에여! 생일기념 똥겜 ㄱㄱ,2,7,5,156,0,
2026.06.01(월) 07:10,2026.06.01(월) 11:30,종합 게임,전체,오늘 생일이에여! 생일기념 똥겜 ㄱㄱ,4.3,14,8,604,0,
2026.05.31(일) 12:22,2026.05.31(일) 15:42,몬스터 헌터 월드: 아이스본,전체,[노마이크] 2018년작 몬스터헌터 월드: 아이스본,3.3,11,8,658,1,
2026.05.24(일) 13:22,2026.05.24(일) 16:00,몬스터 헌터 월드: 아이스본,전체,2018년작 몬스터헌터 월드: 아이스본,2.6,12,8,526,0,
2026.05.23(토) 13:20,2026.05.23(토) 16:06,몬스터 헌터 월드: 아이스본,전체,2018년작 몬스터헌터 월드: 아이스본,2.8,15,11,646,0,
2026.05.22(금) 12:24,2026.05.22(금) 16:00,몬스터 헌터 월드: 아이스본,전체,2018년작 몬스터헌터 월드: 아이스본,3.6,14,9,587,1,
2026.05.21(목) 12:50,2026.05.21(목) 16:24,몬스터 헌터 월드: 아이스본,전체,2018년작 몬스터헌터 월드: 아이스본,3.6,16,11,763,2,
