시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 08:00,2026.06.15(월) 14:00,talk,전체,안뇽하세요 오늘 저 500일이에여 준비한 건 없찌만 기여운 저를 보고가세여,6,19,13,2037,1,
2026.06.14(일) 08:00,2026.06.14(일) 14:00,종합 게임|talk,전체,핫뿌링클 먹고 배탈난 구미호? 그건 바로 나 지옥을 경험했다 살려쭈세요,6,13,10,1137,0,
2026.06.13(토) 06:00,2026.06.13(토) 12:42,원신|talk,전체,잇떼 잇떼 앗떼 있떼 잇떼 오때 잇떼 잇떼 잇떼 잇떼,6.7,16,10,1179,2,
2026.06.11(목) 08:00,2026.06.11(목) 14:00,음악/노래|talk,전체,비가 오는군 주르르르르르륵,6,19,13,2778,0,
2026.06.10(수) 08:00,2026.06.10(수) 14:00,리그 오브 레전드|발로란트|talk,전체,안냥하세여 프래그마타 쿠션이 도착했는데 말이쬬 귀찮아서 아직 안 뜯어써요,6,19,11,1996,2,
2026.06.09(화) 08:00,2026.06.09(화) 14:00,마인크래프트|talk,전체,했숴요 저 성공 했쒀요!!!!! 마크 공포맵 설치 성공 했쒀요,6,15,10,1441,0,
2026.06.08(월) 08:00,2026.06.08(월) 14:00,talk,전체,등가교환이다! 내 인생 절반 줄 테니까 네 인생도 절반 줘!!!,6,18,13,2137,-1,
2026.06.06(토) 06:00,2026.06.06(토) 12:00,원신|서브노티카 2|talk,전체,그냥 일찍 일어났다가 다시 잠들어서 늦게 일어난 청년,6,17,12,1522,0,
2026.06.05(금) 08:00,2026.06.05(금) 14:00,리그 오브 레전드|서브노티카 2|talk,전체,만두 30000000000개 먹기,6,15,10,1611,0,
2026.06.04(목) 08:00,2026.06.04(목) 14:00,talk,전체,에구 에구구 에구구구 에구구구구 에구구구구마,6,21,16,2256,1,
2026.06.03(수) 08:00,2026.06.03(수) 14:00,오버워치|talk,전체,에뿌삐에스 고수가 되기 위해 손톱 갈고 왔숩네다,6,27,14,1822,3,
2026.06.02(화) 12:17,2026.06.02(화) 14:00,talk,전체,황해 재미쏘따,1.7,12,9,358,0,
2026.06.02(화) 11:26,2026.06.02(화) 12:12,talk,성인,[안본 뇌] 이게 그 김먹방이라던데..이게 그 족발방망이라던데...,0.8,29,23,0,0,
2026.06.02(화) 09:32,2026.06.02(화) 11:24,talk,성인,[안본 뇌] 이게 그 김먹방이라던데..이게 그 족발방망이라던데...,1.9,48,33,0,5,
2026.06.02(화) 08:00,2026.06.02(화) 09:24,talk,전체,오느룽 황해 보눙 날,1.4,13,10,618,2,
2026.06.01(월) 06:00,2026.06.01(월) 16:00,종합 게임|talk,전체,안냐세여 오늘 왤케 일찍 왔냐구여? 10시간 노방종때문에 일찍 왔습니다 하하하하하하하하하하하하,10,22,16,3252,3,
2026.05.30(토) 06:00,2026.05.30(토) 12:06,원신|talk,전체,어 나 구만데 빵송 켰다!!!!! 들어와라!!!!!!!!!!,6.1,18,13,1774,1,
2026.05.29(금) 08:00,2026.05.29(금) 14:00,PUBG: 배틀그라운드|talk,전체,"1시 20분 취침 성공!!!! 저에게 뜨거운 박수를, 과한 칭찬을 주십시오 감사합니다.",6,17,13,1701,1,
2026.05.28(목) 08:00,2026.05.28(목) 14:00,talk,전체,엄청 커다란 🛞벌레가 나타나버렸어 징그러웠어!!!!! 징그러워썩!!!!!!!!,6,20,16,2544,1,
2026.05.27(수) 08:00,2026.05.27(수) 14:12,종합 게임|talk,전체,안늉하세여 안늉하세여 안늉하세여 안늉하세여 안늉하세여 안늉하세여 안늉하세여 안늉하세여 안늉하세여,6.2,24,15,1185,1,
2026.05.26(화) 10:42,2026.05.26(화) 14:00,talk,전체,나님 등장! 나님 등장! 나님 등장! 나님 등장! 나님 등장! 나님 등장! 나님 등장! 나님 등장!,3.3,20,14,1372,0,
2026.05.23(토) 06:00,2026.05.23(토) 14:00,서브노티카 2|talk,전체,구마가 해양생물이 된다면 뭐가 어울릴까여 못생긴 거 안댐 암튼 안댐 이쁜 것만 가능,8,16,12,2116,0,
2026.05.22(금) 08:00,2026.05.22(금) 14:00,종합 게임|talk,전체,어제는 분명히 추웠잖아 근데 왜 오늘은 갑자기 더워?!?!?!!,6,18,13,1252,0,
2026.05.21(목) 08:00,2026.05.21(목) 14:00,오버워치|talk,전체,한순간에 잘못된 선택으로 섬에 갇혀버렸습니다 무슨 얘기냐구요? 어제 손오포 엔딩....,6,17,13,1720,0,
2026.05.20(수) 08:00,2026.05.20(수) 16:42,종합 게임|talk,전체,구마 오늘 기분이 좋아욤 왜 좋냐구욤? 이따가 알려드릴게욤 (¬_¬),8.7,14,11,973,0,
2026.05.19(화) 08:00,2026.05.19(화) 14:00,종합 게임|talk,전체,오늘은 공포게임 하는 날인데여 추리게임이구여 2시간 컷 하겠습니당 완전 난리자베스 ㅋ_ㅋ,6,20,16,1513,-1,
2026.05.18(월) 08:00,2026.05.18(월) 14:00,서브노티카 2|talk,전체,아니 이렇게 시원한 걸 나만 몰랐단 말이야?!?!?!,6,21,16,1960,1,
2026.05.16(토) 06:00,2026.05.16(토) 12:00,원신|서브노티카 2|talk,전체,난 테토라 손톱 옆에 거스러미 걍 뜯었어 근데 염증 생길 거 같아₍•̀ ⚇ •́₎,6,21,13,1609,0,
2026.05.15(금) 08:00,2026.05.15(금) 14:00,서브노티카 2|talk,전체,내 쇼츠 알고리즘을 돌려내 내 쇼츠 알고리즘을 돌려내 내 쇼츠 알고리즘을 돌려내 내 쇼츠 알고리즘을 돌려내 내 쇼츠 알고리즘을 돌려내 내 쇼츠 알고리즘을 돌려내,6,18,13,1871,0,
2026.05.14(목) 08:00,2026.05.14(목) 14:00,종합 게임|talk,전체,🍠똔방구똔방구똔방구똔방구똔방구✌🏻(•ᴗ<),6,17,13,1418,0,
2026.05.13(수) 08:00,2026.05.13(수) 14:00,talk,전체,"[중대발표] ""안녕하세요. 치지직 스트리머 꽁구마입니다.""",6,20,14,2466,-1,
2026.05.12(화) 08:00,2026.05.12(화) 14:00,종합 게임|talk,성인,[V] 🍠어제 마지막 기억은 결국 빤쭈구나 (ㅎᗨㅎ),6,19,14,1306,1,
2026.05.11(월) 12:26,2026.05.11(월) 14:00,talk,전체,[V] 🍠디지몬은 중독적인 똥내 ε(>ᗜᴖ)っ,1.6,13,10,598,0,
2026.05.11(월) 09:21,2026.05.11(월) 12:24,talk,전체,[안본뇌] 🍠그 자식 잡는거 봐야한다 ε(>ᗜᴖ)っ,3,31,22,846,3,
2026.05.11(월) 08:00,2026.05.11(월) 09:18,talk,전체,[V] 🍠누가 니 머리에 꽁쌌어 ε(>ᗜᴖ)っ,1.3,13,9,653,0,
2026.05.09(토) 06:00,2026.05.09(토) 11:12,원신|talk,전체,[V] 🍠폐급 고구마 ಠ_ಠ,5.2,23,15,1273,3,
2026.05.08(금) 08:00,2026.05.08(금) 14:00,리그 오브 레전드|발로란트|talk,전체,[V] 🍠구마망 ʕ⁠っ⁠•⁠ᴥ⁠•⁠ʔ⁠っ,6,18,14,2345,0,
2026.05.07(목) 08:00,2026.05.07(목) 14:00,종합 게임|talk,전체,[V] 🍠비타민을 잘 묵짜 ( ՞- ·̫ -՞)ᐝ,6,20,15,1427,0,
2026.05.06(수) 08:00,2026.05.06(수) 14:00,오버워치|PUBG: 배틀그라운드|talk,전체,[V] 🍠뉴 말랑이 개봉식 (✧≖ ͜ʖ≖),6,17,11,1391,1,
2026.05.05(화) 08:00,2026.05.05(화) 14:00,종합 게임|talk,전체,[V] 🍠안녕하세요 어린이입니다 (•̀ᴗ•́)و ̑̑,6,20,15,1488,-1,
2026.05.04(월) 09:14,2026.05.04(월) 14:00,talk,전체,[안본 뇌] 🍠첫 디지몬이 파워디지몬?! (◔‿◔),4.8,29,20,1568,8,
2026.05.04(월) 07:57,2026.05.04(월) 09:12,talk,전체,[V] 🍠디지몬 보는 날!! (◔‿◔),1.2,13,10,386,0,
2026.05.02(토) 06:00,2026.05.02(토) 12:00,원신|talk,전체,[V] 🍠만두 300개 먹기 (･ω･ ϶ )з,6,17,13,1355,0,
2026.05.01(금) 07:59,2026.05.01(금) 14:06,종합 게임|사이버펑크 2077|talk,전체,[V] 🍠뇸뇸 (⚈₋₍⚈),6.1,19,11,1235,2,
2026.04.30(목) 08:00,2026.04.30(목) 14:00,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,[V] 🍠난 아직도 두쫀쿠를 먹어 (●´⌓`●),6,13,10,1874,1,
2026.04.29(수) 08:00,2026.04.29(수) 14:18,종합 게임|talk,전체,[V] 🍠이 도자기가 아니야!! ᗜ‸ᗜก՞՞,6.3,14,11,733,0,
2026.04.28(화) 08:00,2026.04.28(화) 14:06,종합 게임|리그 오브 레전드|talk,전체,[V] 🍠멍충몽충 빔!!! ·̑◡·̑,6.1,21,14,1719,0,
2026.04.27(월) 08:00,2026.04.27(월) 14:00,발로란트|오버워치|talk,전체,[V] 🍠내일 할 공겜 고르기 (。・ρ・),6,15,10,1195,2,
2026.04.25(토) 06:00,2026.04.25(토) 12:00,원신|프래그마타|talk,전체,[V] 🍠히히 바보 등장 (◉‿◉),6,24,16,1716,1,
2026.04.24(금) 08:00,2026.04.24(금) 15:12,프래그마타|talk,전체,[V] 🍠고구마 아닙니다. ˙Ⱉ˙,7.2,15,11,653,1,
2026.04.23(목) 08:00,2026.04.23(목) 14:00,프래그마타|talk,전체,[V] 🍠꽁쫀쿠 ʕ◍ -ᴗ• ◍ʔ,6,15,11,1177,0,
2026.04.22(수) 08:00,2026.04.22(수) 14:00,오버워치|프래그마타|talk,전체,[V] 🍠이런 2007살이 오디가 좋다구 (⑅•ᴗ•⑅),6,21,13,1275,0,
2026.04.21(화) 08:00,2026.04.21(화) 15:48,백룸: 이스케이프 투게더|프래그마타|talk,전체,[V] 🍠나 프사 바꿔써 ~(ᵕ ̫ ᵕ~),7.8,20,12,2317,3,
