시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:23,LIVE,종합 게임,전체,LIVE,3.7,13,9,497,1,
2026.06.13(토) 09:57,2026.06.14(일) 00:06,종합 게임,전체,오늘 할 게임은?,14.1,17,11,2148,0,
2026.06.12(금) 10:24,2026.06.12(금) 21:18,종합 게임,전체,18세기 프랑스 고니 (card shark,10.9,16,11,543,0,
2026.06.11(목) 11:08,2026.06.11(목) 18:36,바이오쇼크 인피니트,전체,오눌은 dlc를 해봅니다,7.5,16,11,982,0,
2026.06.10(수) 18:10,2026.06.10(수) 19:30,talk,전체,뭐임,1.3,12,8,309,1,
2026.06.10(수) 09:35,2026.06.10(수) 18:00,바이오쇼크 인피니트,전체,졸려..,8.4,14,10,1330,0,
2026.06.09(화) 09:38,2026.06.09(화) 21:42,종합 게임|바이오쇼크 인피니트,전체,힘내세요,12.1,17,10,1555,1,
2026.06.08(월) 10:45,2026.06.08(월) 14:06,바이오쇼크|바이오쇼크 인피니트,성인,갓겜인가,3.3,14,9,312,0,
2026.06.06(토) 10:34,2026.06.06(토) 20:54,바이오쇼크,성인,갓겜인가,10.3,14,10,0,0,
2026.06.05(금) 11:03,2026.06.05(금) 21:18,종합 게임|바이오쇼크|바이오쇼크 인피니트,성인,lullaby 게임을 하자,10.2,16,11,746,1,
2026.06.04(목) 09:07,2026.06.04(목) 16:42,종합 게임|talk,전체,아직 정해져있는 않은 방송,7.6,16,11,669,0,
2026.06.03(수) 07:40,2026.06.03(수) 18:48,종합 게임|암네시아: 더 다크 디센트,전체,1부 오리탐정 고스트 오브 글램핑,11.1,15,10,1199,1,
2026.06.01(월) 00:12,2026.06.01(월) 04:06,덕 디텍티브: 더 시크릿 살라미,전체,오리추리,3.9,9,6,206,-1,
2026.05.31(일) 09:45,2026.05.31(일) 16:36,서브노티카 2,전체,이게 재밌다고하다는데 으심되,6.8,19,14,1156,1,
2026.05.30(토) 11:54,2026.05.30(토) 21:42,엑스컴 2,전체,지구인들아 돈내놔라,9.8,17,11,949,2,
2026.05.29(금) 10:27,2026.05.29(금) 22:24,007 퍼스트 라이트|엑스컴 2|talk,성인,문제해결방법이 키류와 크게 다르지않음,11.9,14,9,1058,0,
2026.05.28(목) 10:15,2026.05.28(목) 19:42,007 퍼스트 라이트,전체,오랜만인것같은느낌,9.4,12,8,1051,0,
2026.05.27(수) 10:23,2026.05.27(수) 18:00,007 퍼스트 라이트,전체,오랜만인것같은느낌,7.6,12,7,873,0,
2026.05.24(일) 12:30,2026.05.25(월) 02:12,엑스컴 2,전체,늦었습니다 ...,13.7,14,9,1590,0,
2026.05.23(토) 12:12,2026.05.23(토) 23:42,엑스컴 2,전체,게임중독자의 삶 / 쉬움철인 오늘엔딩보나?,11.5,18,11,1245,0,
2026.05.22(금) 10:21,2026.05.22(금) 22:06,엑스컴 2,전체,쉬운데어려움 /철인,11.7,16,9,594,2,
2026.05.20(수) 10:42,2026.05.21(목) 01:48,엑스컴 2,전체,2일차 새로운지구,15.1,15,8,1942,1,
2026.05.19(화) 10:09,2026.05.19(화) 19:18,엑스컴 2|헬다이버즈 2,전체,잘함 (못함),9.1,14,9,1319,1,
2026.05.18(월) 10:28,2026.05.18(월) 21:06,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|헬다이버즈 2|talk,전체,우리는 지옥으로 간다,10.6,16,10,2340,0,
2026.05.17(일) 10:44,2026.05.17(일) 18:42,종합 게임,전체,FAITH: The Unholy Trinity 공겜?,8,13,10,728,0,
2026.05.16(토) 09:50,2026.05.16(토) 20:30,헬다이버즈 2,전체,잘해보겠다,10.7,17,11,1403,3,
2026.05.14(목) 10:26,2026.05.14(목) 18:18,헬다이버즈 2,전체,민주주의 펀치 //누비가 맞아요,7.9,14,10,1113,1,
2026.05.13(수) 10:00,2026.05.13(수) 17:42,헬다이버즈 2,전체,대체로 부정적게임 해볼게요,7.7,21,16,1231,3,
2026.05.12(화) 15:11,2026.05.12(화) 17:42,헬다이버즈 2,전체,대체로 부정적게임 해볼게요,2.5,18,15,328,1,
2026.05.12(화) 11:01,2026.05.12(화) 15:00,헬다이버즈 2,전체,머선게임이에요,4,13,10,872,5,
2026.05.11(월) 09:31,2026.05.11(월) 18:42,모탈 셸|종합 게임|뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈,전체,1부 뱀파이어가 나오는 게임,9.2,14,9,1100,1,
2026.05.09(토) 09:18,2026.05.09(토) 17:48,엘든 링|바이오하자드 레퀴엠,전체,룰씨 머스트 다이..,8.5,16,11,690,0,
2026.05.08(금) 10:22,2026.05.08(금) 18:30,엘든 링|마피아 데피니티브 에디션,전체,프랭크가 배신을 했다 안카요,8.1,11,7,434,0,
2026.05.07(목) 10:24,2026.05.07(목) 17:36,엘든 링|마피아 데피니티브 에디션,전체,모시모시 키코에테루~,7.2,15,9,531,0,
2026.05.05(화) 10:07,2026.05.05(화) 19:12,그랑블루 판타지: 리링크,전체,그랑~ 리링크~ (3일차,9.1,16,10,1080,1,
2026.05.04(월) 10:10,2026.05.04(월) 19:18,엘든 링|그랑블루 판타지: 리링크|talk,전체,그랑 ~ 리링크 (3일차 / 강해진 나,9.1,18,9,1572,0,
2026.05.03(일) 09:23,2026.05.03(일) 16:24,그랑블루 판타지: 리링크,전체,그랑 ~ 리링크 (2일차,7,16,11,414,1,
2026.05.02(토) 10:18,2026.05.02(토) 18:24,엘든 링|그랑블루 판타지: 리링크,전체,처음해보는사람,8.1,17,12,1008,0,
2026.05.01(금) 10:29,2026.05.01(금) 18:24,엘든 링|히어로즈 오브 마이트 앤 매직: 올든 에라,전체,앗 농 (골든에이지 5월 1일이라지요,7.9,13,10,1008,0,
2026.04.30(목) 09:35,2026.04.30(목) 17:48,엘든 링,전체,앗 농 (골든에이지,8.2,16,11,1202,1,
2026.04.27(월) 09:08,2026.04.27(월) 15:12,엘든 링,전체,골든에이지를 해보는 누비,6.1,16,10,882,1,
2026.04.26(일) 10:23,2026.04.26(일) 16:30,엘든 링,전체,안녕하세요 잘부탁드려요,6.1,13,10,647,-1,
2026.04.25(토) 07:59,2026.04.25(토) 14:54,엘든 링|talk,전체,test,6.9,16,12,810,2,
2026.04.24(금) 09:53,2026.04.24(금) 19:18,엘든 링,전체,허거덩거덩스한 게임,9.4,15,11,1208,-2,
2026.04.23(목) 07:27,2026.04.23(목) 14:06,엘든 링,전체,인생,6.6,15,11,1046,1,
2026.04.22(수) 10:18,2026.04.22(수) 17:24,엘든 링,전체,npc이벤트를 열심히하는사람,7.1,21,14,835,-1,
2026.04.20(월) 11:04,2026.04.20(월) 18:24,엘든 링,전체,대변먹는자 인형만들기,7.3,15,10,940,1,
2026.04.19(일) 09:53,2026.04.19(일) 15:30,엘든 링,전체,좋은 주말,5.6,18,13,971,0,
2026.04.18(토) 09:45,2026.04.18(토) 18:12,엘든 링,전체,오늘 저녁은 케일리드에서 먹는다,8.4,17,12,1063,0,
2026.04.17(금) 08:42,2026.04.17(금) 14:18,엘든 링,전체,강해지고있는 나,5.6,19,13,764,2,
2026.04.15(수) 21:36,2026.04.16(목) 09:06,엘든 링,전체,좋은 아침,11.5,30,17,1846,1,
2026.04.14(화) 10:06,2026.04.14(화) 18:12,코드 베인 II,전체,글씨를 잘 읽어보는사람,8.1,14,11,1129,0,
2026.04.13(월) 09:48,2026.04.13(월) 17:18,코드 베인 II,전체,홀리 잡으러가기ㅣ,7.5,10,7,473,0,
2026.04.12(일) 09:22,2026.04.12(일) 18:06,톰 클랜시의 더 디비전 2|코드 베인 II,전체,ㅎㅇㅇ!!,8.7,17,11,1021,1,
