시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 05:25,2026.06.14(일) 15:54,작혼: 리치 마작|이터널 리턴,성인,우리 애아빠가 화가 많이 났어요,10.5,10,6,1016,0,
2026.06.13(토) 06:43,2026.06.13(토) 14:06,이터널 리턴,전체,베헬라 같은 하루 보내세요,7.4,11,7,924,0,
2026.06.09(화) 10:12,2026.06.09(화) 18:00,작혼: 리치 마작|오버워치,전체,박아서 플레간다,7.8,10,5,1017,0,
2026.06.07(일) 06:23,2026.06.07(일) 13:30,이터널 리턴|오버워치,전체,이터널리턴 메테오 오버워치 플레티넘 작혼 작걸 이환 라리모 풀돌 노방ㅈ,7.1,12,7,770,0,
2026.06.05(금) 10:38,2026.06.05(금) 16:06,작혼: 리치 마작|이터널 리턴,전체,이터널리턴 메테오 오버워치 플레티넘 작혼 작걸 이환 라리모 풀돌 노방ㅈ,5.5,11,7,951,1,
2026.06.03(수) 08:16,2026.06.03(수) 15:18,이환|작혼: 리치 마작,전체,여러분 반드시 뽑아주셔야 합니다,7,10,5,1871,4,
2026.06.02(화) 12:12,2026.06.02(화) 15:12,이터널 리턴,전체,여러분 반드시 뽑아야 합니다,3,9,6,214,0,
2026.05.31(일) 06:45,2026.05.31(일) 14:18,이터널 리턴,전체,늙었음 청년,7.5,12,8,1031,3,
2026.05.29(금) 12:00,2026.05.29(금) 19:36,작혼: 리치 마작|talk,전체,자 일ㄹ색 제발,7.6,9,6,1624,0,
2026.05.27(수) 10:21,2026.05.27(수) 16:00,이터널 리턴|talk,전체,그래서 오늘 뭐함,5.6,10,5,765,-1,
2026.05.26(화) 09:50,2026.05.26(화) 16:36,이터널 리턴,전체,올라갑니다,6.8,13,6,811,-3,
2026.05.23(토) 08:45,2026.05.23(토) 19:06,음악/노래|이터널 리턴,성인,21시 설여리섬 대회 4팀 입니다,10.3,22,8,179,5,
2026.05.22(금) 10:31,2026.05.22(금) 18:36,작혼: 리치 마작|이터널 리턴,전체,ㅂ,8.1,15,8,995,1,
2026.05.21(목) 10:34,2026.05.21(목) 18:36,작혼: 리치 마작|이터널 리턴,전체,8시 10시 스크림 히스이 합니다,8,15,8,1266,6,
2026.05.20(수) 10:22,2026.05.20(수) 15:36,이터널 리턴,전체,기억을 되찾은 노인 / 8식 스크림 대기,5.2,13,7,638,1,
2026.05.19(화) 10:03,2026.05.19(화) 17:00,이터널 리턴,전체,불 모래 주머니 훈련법,6.9,13,8,1224,1,
2026.05.17(일) 07:33,2026.05.17(일) 15:24,이터널 리턴,전체,전사는 힘들때 웃는다.,7.8,13,9,844,1,
2026.05.16(토) 13:55,2026.05.16(토) 18:42,작혼: 리치 마작|이터널 리턴,성인,손목이터널증후근 걸림 진짜 걸림,4.8,13,8,0,3,
2026.05.15(금) 09:59,2026.05.15(금) 17:12,작혼: 리치 마작|이터널 리턴,전체,4번대 대장 박아섭니다,7.2,12,8,2241,3,
2026.05.14(목) 10:24,2026.05.14(목) 16:00,작혼: 리치 마작,성인,4일차 작사 도착 끼얏호,5.6,11,8,0,3,
2026.05.13(수) 09:29,2026.05.13(수) 17:06,이환|작혼: 리치 마작|오버워치,전체,월급 쓰러 두개재,7.6,8,5,1897,1,
2026.05.11(월) 10:33,2026.05.11(월) 16:30,작혼: 리치 마작|이터널 리턴,전체,히스이..합니다..,5.9,10,6,1194,1,
2026.05.10(일) 05:30,2026.05.10(일) 15:06,작혼: 리치 마작|이터널 리턴|오버워치,전체,음 그래그래 바로 올라가주마,9.6,12,7,1802,5,
2026.05.07(목) 12:22,2026.05.07(목) 15:54,이터널 리턴,전체,안녕하세요 이게임 재밌나요 ?,3.5,9,6,797,0,
2026.05.05(화) 07:01,2026.05.05(화) 14:54,이환|전략적 팀 전투 : 우주의 신들,전체,어린이날은 어린이와 함께..,7.9,10,5,1677,1,
2026.05.02(토) 08:49,2026.05.02(토) 18:18,이환|전략적 팀 전투 : 우주의 신들|이터널 리턴|오버워치,전체,피아노를 느껴버린 사람 메인 + 내실,9.5,9,5,1357,1,
2026.05.01(금) 07:52,2026.05.01(금) 21:36,이환,전체,반갑습니다 / 이환하다 옵치 or 이털2,13.7,6,4,1831,-2,
2026.04.29(수) 12:41,2026.04.29(수) 16:18,이환,전체,삼한 사한 오환 이환 일함 엌ㅋㅋ,3.6,5,4,621,-1,
2026.04.28(화) 09:47,2026.04.28(화) 16:12,오버워치,전체,내 네일 부터 출근 합니다,6.4,9,5,1054,0,
2026.04.26(일) 12:17,2026.04.26(일) 18:00,오버워치,전체,31세 측면공격가,5.7,6,4,495,0,
2026.04.25(토) 10:01,2026.04.25(토) 21:30,오버워치|뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|talk,전체,반갑딱구리꾸리,11.5,8,5,1110,2,
2026.04.23(목) 14:10,2026.04.23(목) 19:54,종합 게임|전략적 팀 전투 : 우주의 신들|오버워치,전체,박아서 플레간다,5.7,8,4,481,0,
2026.04.22(수) 12:37,2026.04.22(수) 17:18,전략적 팀 전투 : 우주의 신들|오버워치|talk,전체,반갑읍니다,4.7,6,4,492,0,
2026.04.21(화) 09:57,2026.04.21(화) 19:06,전략적 팀 전투 : 우주의 신들|이터널 리턴|오버워치,전체,일단 개발자와 만나고 옵치하러,9.1,8,6,1567,1,
2026.04.20(월) 11:55,2026.04.20(월) 16:00,오버워치|talk,전체,반갑습니다,4.1,8,6,1371,0,
2026.04.17(금) 13:29,2026.04.17(금) 22:06,음악/노래|전략적 팀 전투 : 우주의 신들|talk,전체,반갑읍니다,8.6,6,3,625,-2,
