시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 10:03,2026.06.13(토) 12:36,스플래툰 3|talk,전체,파산,2.5,8,5,140,0,
2026.06.12(금) 12:53,2026.06.12(금) 14:54,스플래툰 3|talk,전체,아뇽하세요,2,12,9,245,0,
2026.06.09(화) 13:38,2026.06.09(화) 15:00,스플래툰 3|talk,전체,와! 닌다!🦑,1.4,11,9,277,0,
2026.06.07(일) 09:39,2026.06.07(일) 13:00,스플래툰 3|talk,전체,내 주말 어디감,3.3,10,6,145,1,
2026.06.05(금) 16:42,2026.06.05(금) 17:30,스플래툰 3,전체,스플래툰 붐은 온다,0.8,7,5,8,0,
2026.06.03(수) 10:58,2026.06.03(수) 14:36,talk,전체,3년 동안 친구 758명 사귄 여자,3.6,16,11,795,-1,
2026.05.31(일) 10:26,2026.05.31(일) 15:12,포켓몬 챔피언스|talk,전체,11년 된 공유기를 떠나보내며..,4.8,12,7,527,1,
2026.05.30(토) 11:35,2026.05.30(토) 13:24,포켓몬 챔피언스|스플래툰 3,전체,XP 1100대의 싸움이란 이런 것이다,1.8,11,8,125,2,
2026.05.30(토) 11:01,2026.05.30(토) 11:18,스플래툰 3,전체,XP 1100대의 싸움이란 이런 것이다,0.3,5,5,33,0,
2026.05.30(토) 07:38,2026.05.30(토) 11:00,스플래툰 3,전체,XP 1100대의 싸움이란 이런 것이다,3.4,6,4,155,0,
2026.05.30(토) 06:30,2026.05.30(토) 07:36,스플래툰 3|talk,전체,하이~,1.1,9,7,139,0,
2026.05.30(토) 05:30,2026.05.30(토) 06:30,talk,전체,하이~,1,8,6,215,1,
2026.05.27(수) 13:40,2026.05.27(수) 14:48,talk,전체,하이~,1.1,8,7,171,0,
2026.05.23(토) 09:11,2026.05.23(토) 11:12,스플래툰 3,전체,미소를 잃지 않기 :),2,7,4,41,0,
2026.05.23(토) 03:57,2026.05.23(토) 05:06,스플래툰 3,전체,하루 한 시간 건강 스플래툰,1.1,7,4,34,1,
2026.05.17(일) 07:21,2026.05.17(일) 11:30,스플래툰 3,전체,ㅇㅅㅇ,4.1,13,8,144,0,
2026.05.17(일) 07:06,2026.05.17(일) 07:18,talk,전체,ㅅㅈㅅㄱ,0.2,8,7,20,0,
