시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 13:35,2026.06.15(월) 18:18,에이펙스 레전드,전체,"제로컵 2티어 매물 안방입니다 (20, 27일 대회)",4.7,47,30,507,4,
2026.06.12(금) 13:08,2026.06.12(금) 18:18,에이펙스 레전드,전체,오늘 진짜 뭐하지,5.2,27,18,466,4,
2026.06.11(목) 13:08,2026.06.11(목) 18:30,에이펙스 레전드,전체,다이아 런,5.4,37,28,505,3,
2026.06.10(수) 13:45,2026.06.10(수) 18:18,에이펙스 레전드,전체,오늘 좀,4.5,54,34,325,2,
2026.06.09(화) 12:40,2026.06.09(화) 18:24,에이펙스 레전드,전체,오늘 좀 졸린데,5.7,54,38,423,2,
2026.06.08(월) 13:55,2026.06.08(월) 18:24,에이펙스 레전드,전체,낮랭 두려워요,4.5,69,39,196,2,
2026.06.05(금) 13:20,2026.06.05(금) 18:30,에이펙스 레전드,전체,낮랭 두려워요,5.2,41,30,251,3,
2026.06.04(목) 14:48,2026.06.04(목) 20:18,에이펙스 레전드,전체,좀 늦었네요,5.5,31,22,195,3,
2026.06.03(수) 17:05,2026.06.03(수) 20:00,에이펙스 레전드,전체,오늘 쉰다면서 기어 나오기,2.9,29,18,266,1,
2026.06.02(화) 13:39,2026.06.02(화) 17:48,에이펙스 레전드,전체,밴티지 슛,4.1,30,15,242,0,
2026.06.01(월) 12:41,2026.06.01(월) 18:18,에이펙스 레전드,전체,3일 만에 킨 에이펙스,5.6,46,25,509,1,
2026.05.29(금) 11:48,2026.05.29(금) 18:18,종합 게임|오버워치|에이펙스 레전드,전체,결국 다시 종합게임으로 좌천 된 사람,6.5,29,15,312,3,
2026.05.28(목) 13:03,2026.05.28(목) 17:42,에이펙스 레전드,전체,집이 습해,4.7,26,18,111,4,
2026.05.27(수) 12:55,2026.05.27(수) 18:24,에이펙스 레전드,전체,감사합니다,5.5,43,27,317,0,
2026.05.26(화) 11:43,2026.05.26(화) 17:54,종합 게임|에이펙스 레전드,전체,감사합니다,6.2,52,27,417,2,
2026.05.22(금) 12:53,2026.05.22(금) 17:36,종합 게임,전체,감사합니다,4.7,24,17,333,1,
2026.05.21(목) 13:42,2026.05.21(목) 18:30,종합 게임,전체,감사합니다,4.8,29,19,290,0,
2026.05.20(수) 13:20,2026.05.20(수) 18:18,종합 게임,전체,감사합니다,5,29,21,579,1,
2026.05.19(화) 14:14,2026.05.19(화) 18:30,종합 게임,전체,너무더워,4.3,28,20,520,0,
2026.05.18(월) 11:56,2026.05.18(월) 19:54,종합 게임,전체,너무더워,8,32,18,241,2,
2026.05.15(금) 12:36,2026.05.15(금) 18:30,에이펙스 레전드,전체,점점 더워지는 날씨,5.9,18,15,31,0,
