시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 10:05,2026.06.14(일) 15:30,검은사막,전체,[Talk/검은사막] 잘 지내셨나요 ㅎㅎ,5.4,49,36,2184,4,
2026.06.11(목) 10:03,2026.06.11(목) 15:36,종합 게임|talk,전체,[Talk/공겜(20:30)] 아아 밥먹고 늦게 맞는 매.,5.6,24,19,1957,1,
2026.06.10(수) 10:32,2026.06.10(수) 16:48,이환|talk,전체,[Talk/이환4장] 마이크 업그레이드 완료!🎙️,6.3,30,21,2117,3,
2026.06.09(화) 10:01,2026.06.09(화) 15:24,종합 게임|talk,전체,[Talk] 나는 자유의 모미다.,5.4,27,20,1721,1,
2026.06.07(일) 10:02,2026.06.07(일) 15:06,검은사막,전체,[검은사막] 밥먹고 이 동네 의자를 모조리 뽑겠다.,5.1,65,47,1933,5,
2026.06.06(토) 10:00,2026.06.06(토) 16:30,talk,전체,[Talk] 두둥등쟝~✨,6.5,29,22,2224,0,
2026.06.04(목) 08:36,2026.06.04(목) 15:36,이환|talk,전체,[Talk] 잠깐 밥 먹는 방송,7,24,17,1839,1,
2026.06.04(목) 08:34,2026.06.04(목) 08:36,talk,전체,[Talk] 잠깐 밥 먹는 방송,0,1,1,0,0,
2026.06.03(수) 10:01,2026.06.03(수) 13:42,붉은사막,전체,[붉은사막] 엄청난 모험🚂🌿,3.7,30,24,889,2,
2026.06.02(화) 10:01,2026.06.02(화) 15:36,붉은사막,전체,[붉은사막] 위대한 모험🚂🌿,5.6,29,22,1169,0,
2026.05.31(일) 10:02,2026.05.31(일) 13:30,검은사막,전체,[검붉사막] 호호 게임은 오랜만이죠!,3.5,36,28,733,1,
2026.05.30(토) 10:01,2026.05.30(토) 17:30,원신|두근두근타운|talk,전체,[Talk] 자유데이!✨🩵,7.5,23,19,1633,-1,
2026.05.28(목) 12:22,2026.05.28(목) 15:18,talk,전체,[뿌루내 키우기] 밥을 든든히🍙,2.9,24,18,957,0,
2026.05.27(수) 17:34,2026.05.27(수) 19:24,talk,전체,(스윽)눈치👀✨,1.8,13,9,488,0,
2026.05.26(화) 12:08,2026.05.26(화) 15:42,두근두근타운|talk,전체,까꿍,3.6,24,20,1289,-1,
2026.05.24(일) 09:50,2026.05.24(일) 18:36,talk,전체,[작업뱅] 아이고 아이고 죄송해요,8.8,23,19,794,0,
2026.05.21(목) 11:01,2026.05.21(목) 18:06,이환|talk,전체,[Talk/이환4일차] 한국인은 밥심이다.,7.1,32,22,1984,2,
2026.05.20(수) 11:00,2026.05.20(수) 15:12,이환,전체,[이환3일차] 놀이동산! 성 구경! 최고야✨,4.2,33,25,1585,2,
2026.05.19(화) 11:01,2026.05.19(화) 15:42,이환|talk,전체,[이환] 마을 구경을 더 할거에요 히히✨,4.7,31,25,1582,1,
2026.05.17(일) 10:52,2026.05.17(일) 15:30,검은사막|붉은사막,전체,[붉은사막/검사 길레 9시] 두둥 게임하는 날🌿✨,4.6,51,35,1331,2,
2026.05.17(일) 10:04,2026.05.17(일) 10:48,붉은사막,전체,[붉은사막/검사 길레 9시] 두둥 게임하는 날🌿✨,0.7,16,11,179,0,
2026.05.16(토) 10:23,2026.05.16(토) 17:06,붉은사막|talk,전체,[붉은사막] 내 몸뚱이. 총체적 난국.💊🤒,6.7,36,25,2279,1,
