시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 02:30,2026.06.15(월) 04:42,발로란트|PUBG: 배틀그라운드|talk,전체,월요병 자다 깬 넬다보고 힘내자 💛,2.2,11,7,359,1,
2026.06.14(일) 13:13,2026.06.14(일) 21:18,종합 게임|요트 다이스|페블 나이츠|PUBG: 배틀그라운드|talk,전체,다들 밥 먹었어?! 💛,8.1,15,10,914,1,
2026.06.13(토) 20:24,2026.06.13(토) 23:06,요트 다이스|발로란트,전체,우우에에ㅔ! 💛,2.7,15,12,235,0,
2026.06.13(토) 11:49,2026.06.13(토) 20:18,고 에이프 쉽!|요트 다이스|페블 나이츠|PUBG: 배틀그라운드|talk,전체,우우에에ㅔ! 💛,8.5,15,11,543,-1,
2026.06.12(금) 12:45,2026.06.12(금) 23:00,페블 나이츠|발로란트|PUBG: 배틀그라운드|talk,전체,불금! 💛,10.2,19,11,783,0,
2026.06.11(목) 13:00,2026.06.11(목) 21:42,마법 주문 팀|페블 나이츠|멧챠 카멜레온|프로그 스쿼드|발로란트|PUBG: 배틀그라운드|talk,전체,나 배불렁! 💛,8.7,16,11,1301,0,
2026.06.10(수) 12:36,2026.06.11(목) 02:24,페블 나이츠|발로란트|PUBG: 배틀그라운드|talk,전체,안녕? 오늘 수요일 다들 대단한골!? 💛,13.8,19,11,1119,0,
2026.06.09(화) 12:31,2026.06.10(수) 01:00,페블 나이츠|팰월드|발로란트|PUBG: 배틀그라운드|talk,전체,dk akwek 💛,12.5,14,10,1341,2,
2026.06.08(월) 12:58,2026.06.09(화) 02:48,페블 나이츠|발로란트|PUBG: 배틀그라운드|talk,전체,월요병 이겨냈어? 💛,13.8,11,7,910,0,
2026.06.07(일) 12:11,2026.06.08(월) 01:06,마법 주문 팀|팰월드|발로란트|PUBG: 배틀그라운드|talk,전체,어케 벌써 일요일 💛,12.9,24,11,1553,0,
2026.06.06(토) 11:58,2026.06.07(일) 01:06,프랫폴|발로란트|PUBG: 배틀그라운드|talk,전체,오늘 날씨 어때~? 💛,13.1,32,16,1314,0,
2026.06.05(금) 12:29,2026.06.05(금) 22:00,팰월드|발로란트|PUBG: 배틀그라운드|talk,전체,오해야 들어봐! 💛,9.5,12,8,558,-1,
2026.06.04(목) 12:03,2026.06.05(금) 02:24,나이트 오브 더 데드|발로란트|PUBG: 배틀그라운드,전체,오늘 꼬기 먹고 왔옹! 💛,14.3,31,14,1882,1,
2026.06.03(수) 12:00,2026.06.04(목) 01:24,마법 주문 팀|나이트 오브 더 데드|발로란트|PUBG: 배틀그라운드|talk,전체,덥다 💛,13.4,23,11,1115,1,
2026.06.02(화) 12:21,2026.06.03(수) 00:24,팰월드|발로란트|PUBG: 배틀그라운드,전체,아니 글쎼 있잔아? 💛,12,30,14,965,2,
2026.06.01(월) 23:06,2026.06.02(화) 05:36,팰월드|발로란트|PUBG: 배틀그라운드,전체,헤이 모두들 안녕 내가 누군지 아니? 💛,6.5,25,12,619,-1,
2026.06.01(월) 22:00,2026.06.01(월) 23:00,PUBG: 배틀그라운드,전체,헤이 모두들 안녕 내가 누군지 아니? 💛,1,13,8,45,1,
2026.06.01(월) 12:02,2026.06.01(월) 18:12,나이트 오브 더 데드|발로란트|PUBG: 배틀그라운드|talk,전체,헤이 모두들 안녕 내가 누군지 아니? 💛,6.2,14,11,573,-2,
2026.05.31(일) 11:01,2026.05.31(일) 22:24,마법 주문 팀|나이트 오브 더 데드|발로란트|PUBG: 배틀그라운드|talk,전체,여기여기 모이라 💛,11.4,15,11,1185,0,
2026.05.30(토) 15:11,2026.05.30(토) 23:06,마법 주문 팀|나이트 오브 더 데드|발로란트|talk,전체,나 왔엉! 💛,7.9,15,10,1622,0,
2026.05.29(금) 20:03,2026.05.29(금) 22:12,나이트 오브 더 데드|발로란트|talk,전체,짧 💛,2.1,10,7,113,0,
2026.05.28(목) 09:54,2026.05.29(금) 01:18,코어 키퍼|나이트 오브 더 데드|발로란트|Once Human|PUBG: 배틀그라운드|talk,전체,PGS 내가 왔다 내일은 저녁에 없다💛,15.4,28,12,2666,3,
2026.05.28(목) 09:52,2026.05.28(목) 09:54,PUBG: 배틀그라운드,전체,내가 왔다 내일은 저녁에 없다💛,0,1,1,0,0,
2026.05.27(수) 11:19,2026.05.27(수) 23:00,코어 키퍼|나이트 오브 더 데드|발로란트|PUBG: 배틀그라운드,전체,배구배구댯! 💛,11.7,21,11,957,0,
2026.05.26(화) 11:44,2026.05.27(수) 00:54,코어 키퍼|발로란트|PUBG: 배틀그라운드,전체,아아아아아ㅏㅏㅇ 💛,13.2,23,12,1464,5,
2026.05.25(월) 11:52,2026.05.25(월) 23:18,코어 키퍼|발로란트|PUBG: 배틀그라운드,전체,내가 왔댜! 💛,11.4,22,11,612,0,
2026.05.24(일) 09:59,2026.05.25(월) 03:06,딥 락 갤럭틱|코어 키퍼|발로란트|talk,전체,오늘은 배그 말구 종겜! 💛,17.1,23,12,1478,1,
2026.05.23(토) 09:55,2026.05.23(토) 22:54,프랫폴|발로란트|언젠가는 도착해|나마코리움|PUBG: 배틀그라운드|talk,전체,PGS 봐두 된다넹! 헤헤 대회댱 💛,13,16,9,1340,-1,
2026.05.22(금) 16:17,2026.05.23(토) 02:12,발로란트|PUBG: 배틀그라운드|R.E.P.O.|talk,전체,살아 돌아왔어 다들 돌아와 몬스터볼! 💛,9.9,25,13,927,1,
2026.05.21(목) 09:56,2026.05.22(금) 00:18,발로란트|서브노티카 2|PUBG: 배틀그라운드,전체,PGS 같이보쟝~! 💛,14.4,30,14,1546,0,
2026.05.20(수) 10:20,2026.05.21(목) 02:00,이환|발로란트|서브노티카 2|PUBG: 배틀그라운드,전체,그 대회를 볼려했는데 2시였다네? 💛,15.7,33,15,2458,2,
2026.05.20(수) 09:59,2026.05.20(수) 10:00,PUBG: 배틀그라운드,전체,그 대회를 볼려했는데 2시였다네? 💛,0,0,0,0,0,
2026.05.19(화) 10:42,2026.05.19(화) 23:54,슬레딩 게임|발로란트|서브노티카 2|R.E.P.O.|talk,전체,머라고? 잘 안들려 가까이 와봐 💛,13.2,36,14,1311,5,
2026.05.19(화) 03:05,2026.05.19(화) 06:12,슬레딩 게임|발로란트|PUBG: 배틀그라운드|talk,전체,머라고? 잘 안들려 가까이 와봐 💛,3.1,15,9,411,1,
2026.05.18(월) 12:00,2026.05.18(월) 17:06,PUBG: 배틀그라운드,전체,아침에도 보고 저녁에도 보고 💛,5.1,13,10,674,1,
2026.05.17(일) 17:45,2026.05.18(월) 01:54,발로란트|PUBG: 배틀그라운드,전체,안녕? 우리 견주단? 💛,8.1,24,13,1134,-3,
2026.05.17(일) 17:40,2026.05.17(일) 17:42,발로란트,전체,안녕? 우리 견주단? 💛,0,0,0,0,0,
2026.05.16(토) 20:10,2026.05.16(토) 23:12,PUBG: 배틀그라운드,전체,잠 깨버렸엉 💛,3,20,14,548,2,
2026.05.15(금) 12:33,2026.05.16(토) 11:24,마인크래프트|PUBG: 배틀그라운드,전체,[다굴감옥] 나 왔어 죄수번호 4400 💛,22.8,34,17,5178,10,
2026.05.14(목) 12:22,2026.05.15(금) 03:24,마인크래프트,성인,[다굴감옥] 초기화 2번째 료이키.. 텐카이..! 아무리 때려도 죽지 않아...!💛,15,24,14,3412,1,
2026.05.13(수) 15:25,2026.05.14(목) 03:42,발로란트|마인크래프트|PUBG: 배틀그라운드,전체,[다굴감옥] 다이아 이제 800개 남아서 막 나가는 넬다입니다 예~ 💛,12.3,23,14,2863,1,
2026.05.13(수) 12:01,2026.05.13(수) 15:18,마인크래프트|PUBG: 배틀그라운드,전체,다이아 이제 800개 남아서 막 나가는 넬다입니다 예~ 💛,3.3,14,10,365,1,
2026.05.12(화) 11:51,2026.05.13(수) 01:30,마인크래프트|PUBG: 배틀그라운드,전체,[다굴감옥] 네 저 공겜 안합니다 💛,13.6,30,13,3059,2,
2026.05.11(월) 12:05,2026.05.12(화) 02:30,마인크래프트|PUBG: 배틀그라운드,전체,[다굴감옥] 네 저 공겜 안합니다 💛,14.4,28,16,2937,4,
2026.05.10(일) 13:39,2026.05.11(월) 03:30,마인크래프트|PUBG: 배틀그라운드,전체,다이아 안녕 즐거웠어 💛,13.8,27,15,1858,3,
2026.05.10(일) 09:45,2026.05.10(일) 13:36,PUBG: 배틀그라운드,전체,PWS 파이널 3일차야 이걸 안봐? 와바 💛,3.8,14,10,658,0,
2026.05.09(토) 23:22,2026.05.10(일) 03:00,마인크래프트,전체,[다굴감옥] 나 다이아 손절쳐 💛,3.6,25,17,1206,0,
2026.05.09(토) 13:36,2026.05.09(토) 23:18,마인크래프트|PUBG: 배틀그라운드|talk,전체,나 다이아 언제 손절쳐? 💛,9.7,27,12,1422,3,
