시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
카트라이더2026.06.14 어서오세요,초스피드 주말 ㄷㄷ [동호형방송] _해적단 출동,카트라이더,전체,2026.06.14 어서오세요~ 초스피드 주말 ㄷㄷ [동호형방송] _해적단 출동,4.9,27,21,1462,-1,
2026.06.12(금) 11:37,2026.06.12(금) 15:00,종합 게임|넷마블 윷놀이|카트라이더|PUBG: 배틀그라운드,전체,2026.06.12 오 축구 이겼는데?? [동호형방송] _해적단 출동,3.4,30,24,1124,1,
2026.06.12(금) 11:31,2026.06.12(금) 11:36,카트라이더,전체,2026.06.12 오 축구 이겼는데?? [동호형방송] _해적단 출동,0.1,8,8,0,0,
2026.06.10(수) 11:34,2026.06.10(수) 15:00,카트라이더|PUBG: 배틀그라운드,전체,2026.06.10 오락가락 추위 더위 [동호형방송] _해적단 출동,3.4,25,18,1174,-1,
2026.06.07(일) 10:00,2026.06.07(일) 15:00,크레이지 아케이드 비엔비|카트라이더|PUBG: 배틀그라운드,전체,2026.06.07 어서오세유 [동호형방송] _해적단 출동,5,26,22,1667,1,
2026.06.04(목) 11:30,2026.06.04(목) 15:24,카트라이더|PUBG: 배틀그라운드,전체,2026.06.04 죽었다 살아나는 중 [동호형방송] _해적단 출동,3.9,26,20,969,1,
2026.05.29(금) 11:30,2026.05.29(금) 14:24,카트라이더,전체,2026.05.29 오늘은 술먹방 [동호형방송] _해적단 출동,2.9,28,22,1038,-1,
2026.05.27(수) 11:30,2026.05.27(수) 15:00,종합 게임|카트라이더|PUBG: 배틀그라운드,전체,2026.05.27 어서오십시요 [동호형방송] _해적단 출동,3.5,31,23,922,0,
2026.05.25(월) 10:00,2026.05.25(월) 15:00,카트라이더|PUBG: 배틀그라운드,전체,2026.05.25 역시 연휴는 ㅈㄴ 빠름 [동호형방송] _해적단 출동,5,29,21,1220,2,
2026.05.22(금) 11:30,2026.05.22(금) 15:00,카트라이더,전체,2026.05.22 하.. 바쁜거 끝났다 속시원 [동호형방송] _해적단 출동,3.5,31,21,981,-1,
2026.05.20(수) 11:30,2026.05.20(수) 15:00,카트라이더,전체,2026.05.20 뭔 비가 하루죙일옴? [동호형방송] _해적단 출동,3.5,34,22,1047,3,
2026.05.17(일) 10:00,2026.05.17(일) 15:00,카트라이더,전체,2026.05.17 엽기 닭볶음탕.. 입술 개 따가움 (9시 저격랭킹전) [동호형방송] _해적단 출동,5,31,23,2004,2,
2026.05.15(금) 12:30,2026.05.15(금) 15:06,카트라이더,전체,2026.05.15 와.. 오늘 개덥고 개빡심 [동호형방송] _해적단 출동,2.6,25,20,579,0,
