시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:01,LIVE,그림/아트,전체,LIVE,2.2,13,11,356,1,
2026.06.13(토) 02:35,2026.06.13(토) 06:24,스플래툰 3,전체,잠깐 찌끄리러 왔어요,3.8,21,14,403,1,
2026.06.12(금) 12:33,2026.06.12(금) 16:54,데모 게임|친구모아 아일랜드 두근두근 라이프|두근두근타운|talk,전체,금요일이라니요,4.3,15,12,944,1,
2026.06.11(목) 11:10,2026.06.11(목) 19:36,친구모아 아일랜드 두근두근 라이프|두근두근타운|스플래툰 3,전체,수면 주의 방송,8.4,19,12,1004,3,
2026.06.10(수) 10:55,2026.06.10(수) 20:36,친구모아 아일랜드 두근두근 라이프|두근두근타운|스플래툰 3|talk,전체,왜 방송 3달은 쉰 거 같지요,9.7,17,11,1568,-1,
2026.05.29(금) 04:04,2026.05.29(금) 09:00,프래그마타,전체,어부바겜 좀만 더하기,4.9,15,10,395,0,
2026.05.28(목) 05:04,2026.05.28(목) 09:06,두근두근타운|talk,전체,분명 업뎃을 했다고 생각했는데 말이에요,4,17,12,596,1,
2026.05.26(화) 04:02,2026.05.26(화) 08:54,스플래툰 3,전체,낯부터 고통의 길,4.9,26,17,570,1,
2026.05.25(월) 02:00,2026.05.25(월) 06:48,그림/아트,전체,시간 맞추려고 3시간 잔 사람,4.8,21,13,1242,-1,
2026.05.23(토) 03:40,2026.05.23(토) 09:00,스플래툰 3,전체,[능모툰] 1주년 기념 경기!,5.3,18,13,275,1,
2026.05.18(월) 10:58,2026.05.18(월) 15:36,프래그마타|talk,성인,오늘 원래 휴방이라 바로 딸랑구 보러 갈예정,4.6,12,8,276,0,
2026.05.15(금) 11:31,2026.05.15(금) 18:00,종합 게임|음악/노래|스플래툰 3|talk,성인,술마신다네요,6.5,17,11,0,0,
