시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.12(금) 04:18,2026.06.12(금) 08:54,이환|talk,전체,대한민국 우승~~~~~~~~~,4.6,22,18,1374,-2,
2026.06.12(금) 01:08,2026.06.12(금) 04:12,2026 FIFA 북중미 월드컵,전체,[대한민국 vs 체코] 대기방,3.1,19,12,799,1,
2026.06.11(목) 02:05,2026.06.11(목) 08:30,멧챠 카멜레온|talk,전체,으어,6.4,29,20,1256,2,
2026.06.10(수) 02:07,2026.06.10(수) 07:12,종합 게임|홈_0|talk,전체,ㅏㅏ,5.1,31,21,756,2,
2026.06.09(화) 02:07,2026.06.09(화) 08:06,급똥대작전: 지리는 상견례|talk,전체,떵 싸느라 지각,6,27,17,1041,0,
2026.06.08(월) 02:07,2026.06.08(월) 07:54,종합 게임|talk,전체,월요일,5.8,47,28,660,1,
2026.06.05(금) 04:30,2026.06.05(금) 09:30,이환|talk,전체,어흐,5,22,15,1164,1,
2026.06.05(금) 02:40,2026.06.05(금) 04:24,talk,성인,황제를 위하여 같이보아요,1.7,30,19,16,0,
2026.06.05(금) 02:09,2026.06.05(금) 02:36,talk,전체,ㅔㅔ,0.4,11,8,82,0,
2026.06.04(목) 05:23,2026.06.04(목) 08:30,이환|talk,전체,룰루,3.1,62,32,1122,3,
2026.06.04(목) 02:42,2026.06.04(목) 05:18,talk,성인,황해를 보아요,2.6,65,42,0,8,
2026.06.04(목) 02:05,2026.06.04(목) 02:36,이환|talk,전체,에ㅔㅔ,0.5,10,7,101,0,
2026.06.02(화) 02:07,2026.06.02(화) 09:18,이환|talk,전체,찝찝하이,7.2,28,19,1234,3,
2026.06.01(월) 02:06,2026.06.01(월) 09:12,리테일 헬|talk,전체,안녕하세요?,7.1,39,25,1026,1,
2026.05.29(금) 04:34,2026.05.29(금) 08:12,식인종 납치|talk,전체,일어나 일어나,3.6,25,17,603,1,
2026.05.29(금) 02:52,2026.05.29(금) 04:30,talk,전체,정자남자 김기두의 이야기인데 왜 19금이 아닌거죠,1.6,16,12,369,-1,
2026.05.29(금) 02:07,2026.05.29(금) 02:48,talk,전체,룰루,0.7,19,14,122,0,
2026.05.28(목) 02:06,2026.05.28(목) 08:42,후 이즈 이선?|언톨드 메모리즈: 포터스 필드|talk,전체,오늘은,6.6,22,18,1069,-1,
2026.05.27(수) 02:09,2026.05.27(수) 09:06,이환|종합 게임|talk,전체,으ㅔ,6.9,24,17,1055,3,
2026.05.26(화) 02:08,2026.05.26(화) 09:12,서브노티카|talk,전체,그러니까 오늘이..월요일...이 아니라...화요일..,7.1,26,18,1804,2,
2026.05.22(금) 02:07,2026.05.22(금) 09:06,서브노티카|talk,전체,날씨가 조아요,7,19,15,906,0,
2026.05.21(목) 04:35,2026.05.21(목) 08:48,서브노티카|talk,전체,방구,4.2,17,14,628,0,
2026.05.21(목) 02:50,2026.05.21(목) 04:30,talk,전체,자판귀 볼사람...저여~~~~~,1.7,13,10,350,1,
2026.05.21(목) 02:08,2026.05.21(목) 02:48,talk,전체,이따가 자판귀 볼사람...저여~~~~~,0.7,12,10,118,-1,
2026.05.20(수) 02:00,2026.05.20(수) 03:18,talk,전체,급한일이 생겨서 오늘 짧방..,1.3,16,12,211,0,
2026.05.19(화) 02:08,2026.05.19(화) 08:36,서브노티카|talk,전체,드버서 바다로~,6.5,33,19,1051,0,
2026.05.18(월) 02:07,2026.05.18(월) 09:00,서브노티카|talk,전체,드버요,6.9,25,19,1406,0,
2026.05.15(금) 02:07,2026.05.15(금) 08:12,서브노티카|talk,전체,으ㅔ,6.1,23,16,1532,1,
2026.05.14(목) 02:05,2026.05.14(목) 09:00,서브노티카|talk,전체,화창하구먼,6.9,21,18,1512,1,
2026.05.13(수) 02:11,2026.05.13(수) 09:12,이환|종합 게임|talk,전체,어우 머야 시간이 왜 벌써 이렇게,7,22,15,1734,0,
