시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 09:59,2026.06.14(일) 16:06,멧챠 카멜레온|talk,전체,오늘 알이 꽉 찬 개구리를 한 입 먹었다예요,6.1,16,11,1298,3,
2026.06.12(금) 10:24,2026.06.12(금) 14:18,슬레이 더 스파이어 2|talk,전체,"같이 하는데 1승천은 쉽겠지~ 슬더슬2 뉴비의 모임 w.차양,체리아씨,잔월",3.9,9,5,218,-1,
2026.06.12(금) 01:28,2026.06.12(금) 04:06,2026 FIFA 북중미 월드컵,전체,월드컵 응원하고 치킨 받기🍗⚽ 대한민국!!!👏🏻👏🏻👏🏻👏🏻👏🏻 (축구 처음봄.. 설명 대환영),2.6,11,7,1147,1,
2026.06.11(목) 12:58,2026.06.11(목) 16:18,멧챠 카멜레온,전체,[시참] 카멜레온 게임 할 사람? 그림 숨바꼭질 게임!,3.3,12,7,492,2,
2026.06.10(수) 09:59,2026.06.10(수) 15:00,종합 게임|talk,전체,8시부터 공겜간다잇,5,10,6,393,0,
2026.06.08(월) 15:18,2026.06.08(월) 20:18,슬레이 더 스파이어 2|talk,전체,"도란도란 할 일 하면서 수다,고민상담방 / 말 시키면 함",5,19,10,446,0,
2026.06.07(일) 13:28,2026.06.07(일) 22:18,PUBG: 배틀그라운드|talk,전체,오늘 배그 합방 w.볼추형,8.8,19,9,1533,4,
2026.06.06(토) 13:40,2026.06.06(토) 22:30,PUBG: 배틀그라운드|talk,전체,안녕!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,8.8,14,10,776,4,
2026.06.05(금) 15:25,2026.06.05(금) 19:18,PUBG: 배틀그라운드,전체,배부르게 먹고 식곤증에 잠들고 온,3.9,15,9,251,3,
2026.06.04(목) 13:00,2026.06.04(목) 17:12,R.E.P.O.|talk,성인,과자랑 맥주 마시면서 같이 영화보자! 팝콘 소리는 쩔수지~ [대화는 채팅으로],4.2,38,14,57,4,
2026.06.03(수) 10:20,2026.06.03(수) 15:42,R.E.P.O.,전체,레포 모드어케 넣음? 레포하자,5.4,10,8,233,2,
2026.06.02(화) 12:02,2026.06.02(화) 22:54,프로젝트 좀보이드|talk,전체,[좀보 핑뚝팀 킬챌린지] 오늘 섹시 큐티 핑크 고양이 컨셉 ㅋ,10.9,20,8,647,3,
2026.06.01(월) 15:27,2026.06.01(월) 18:06,talk,성인,황해 보자!!! (수다는 채팅으로 하게씀),2.6,59,40,0,21,
2026.06.01(월) 11:26,2026.06.01(월) 15:06,프로젝트 좀보이드,전체,"[뀨포칼립스 삼덕이팀] 팀장님, 저희 뭐 하면 되나요?",3.7,10,6,830,4,
2026.05.31(일) 09:11,2026.05.31(일) 15:18,철권 8,전체,[t8bt 철권대회 엠쓔팀] 팬더등장! 오늘 곰은 사람을 찢나? 아니면 찢기나?,6.1,21,13,829,7,
2026.05.30(토) 09:35,2026.05.30(토) 23:24,철권 8|PUBG: 배틀그라운드|talk,전체,[철권 엠쓔팀 4티어 뉴비] 나는 곰이지만 사람한테 찢겨(?) 즐겁게 게임하자... 즐겁게...!,13.8,20,11,1604,5,
2026.05.29(금) 11:35,2026.05.29(금) 16:30,철권 8|PUBG: 배틀그라운드|talk,전체,일단 머리 말리자;; / [철권 뉴비] 겜 못하는 거 인정하고 걍 즐겁게 겜하자~!,4.9,17,11,526,5,
2026.05.28(목) 09:28,2026.05.28(목) 15:06,철권 8,전체,"철권 뉴비의 중간 점검 당하기 w.엠쓔,비나 Binah,시옷 동쨩 [레우기의 철권대회]",5.6,15,9,637,4,
2026.05.27(수) 10:00,2026.05.27(수) 15:12,데드 바이 데이라이트|talk,전체,"날씨가 좋으면 나도 행복해져♥️ 아 근데 행복과 별개로 피곤하다 / 8시 데바데 합방 w.융쁘,리마파트로나,람사,땽땽",5.2,10,6,664,-1,
2026.05.26(화) 10:33,2026.05.26(화) 17:36,종합 게임|철권 8|talk,전체,[철권뉴비] 얻어 걸려 올라가는 랭크가 의미가 있는가..... 일단 과외 받자 w.신큐브,7,16,9,1117,2,
2026.05.25(월) 09:59,2026.05.25(월) 13:24,철권 8|talk,전체,[철권뉴비] 내가 이제 자리 바꾼다고 당하나 봐라. 2P연습한다 내가!,3.4,13,9,876,4,
2026.05.24(일) 10:03,2026.05.24(일) 14:24,철권 8|talk,전체,[철권뉴비] 내가 이제 자리 바꾼다고 당하나 봐라. 2P연습한다 내가!,4.3,12,6,267,1,
2026.05.23(토) 09:31,2026.05.23(토) 17:06,철권 8|PUBG: 배틀그라운드|talk,전체,보나마나 어제 연습한 거 다 까먹었겠지?,7.6,17,10,271,10,
2026.05.22(금) 10:00,2026.05.22(금) 15:12,철권 8|talk,전체,"철권 찐뉴비, 연습연습연습",5.2,16,11,722,9,
2026.05.21(목) 09:40,2026.05.21(목) 12:48,철권 8,전체,[엠쓔팀] 철권 뉴비. 플타임 12.9시간,3.1,13,9,389,1,
2026.05.20(수) 09:50,2026.05.20(수) 17:12,철권 8,전체,[T8BT] 철권대회 포인트 경매~ 뉴비도 과연 쓸모가 있는가? 과연 날 데려갈 사람 있는가? / 8시부터 철권,7.4,17,9,514,16,
2026.05.18(월) 09:57,2026.05.18(월) 16:18,서브노티카 2|철권 8|talk,전체,아아아악 기분쪼ㅓ아ㅏㅏㅏㅏㅏ > 철권가자,6.3,19,10,1386,1,
