시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:45,LIVE,돈 스타브 투게더,전체,LIVE,2.3,20,15,417,0,
2026.06.12(금) 12:02,2026.06.12(금) 16:48,카 메카닉 시뮬레이터 2018,전체,[혜주🍒06.12] 싸쟌님 차 제대로 못햇찌마 ㄴ열심히 햇으니까 돈 줘 ٩(ˊᗜˋ*)و,4.8,15,12,1291,0,
2026.06.11(목) 12:02,2026.06.11(목) 16:18,로스트아크,전체,[혜주🍒06.11] 숙제열차 칙칙폭폭 ٩(ˊᗜˋ*)و,4.3,19,14,485,0,
2026.06.10(수) 12:02,2026.06.10(수) 16:00,로스트아크,전체,[혜주🍒06.10] 숙제열차 칙칙폭폭 ٩(ˊᗜˋ*)و,4,19,14,436,0,
2026.06.09(화) 11:49,2026.06.09(화) 15:00,헬다이버즈 2,전체,[혜주🍒06.09] 평화에 안주하고 있는 지구녀석들 슈퍼지구군에 합류하라 ٩(ˊᗜˋ*)و,3.2,18,15,374,1,
돈 스타브 투게더[혜주🍒06.08] 혜주 야,"호, 오늘은 집구석 뒤집는 날 ٩(ˊᗜˋ*)و",돈 스타브 투게더,전체,"[혜주🍒06.08] 혜주 야~호, 오늘은 집구석 뒤집는 날 ٩(ˊᗜˋ*)و",4.8,18,15,570,1,
"돈 스타브 투게더, 디스패치, talk[혜주🍒06.07] 여어 힛사싀부리",٩(ˊᗜˋ*)و,돈 스타브 투게더|디스패치|talk,전체,[혜주🍒06.07] 여어 힛사싀부리~ ٩(ˊᗜˋ*)و,16.4,17,12,1742,2,
2026.06.05(금) 23:57,2026.06.06(토) 16:30,돈 스타브 투게더|드레인심|talk,전체,[혜주🍒06.06] 긋뭘닁 ٩(ˊᗜˋ*)و,16.5,18,13,2124,-1,
2026.06.05(금) 11:44,2026.06.05(금) 17:12,돈 스타브 투게더|talk,전체,[혜주🍒06.05] 청소할깡 밥먹을깡 ٩(ˊᗜˋ*)و,5.5,19,14,512,0,
2026.06.04(목) 11:34,2026.06.04(목) 15:00,드레인심|로스트아크,전체,[혜주🍒06.04] 혜데렐라 등장 ٩(ˊᗜˋ*)و,3.4,16,13,564,0,
2026.06.03(수) 05:06,2026.06.03(수) 15:00,로스트아크,전체,[혜주🍒06.03] 오늘 숙제 다뺀다요 ٩(ˊᗜˋ*)و,9.9,22,14,1129,2,
2026.06.02(화) 12:16,2026.06.02(화) 20:36,로스트아크|PUBG: 배틀그라운드|talk,전체,[혜주🍒06.02] ٩(ˊᗜˋ*)و,8.3,18,12,1031,0,
2026.05.30(토) 12:25,2026.05.31(일) 15:30,돈 스타브 투게더|로스트아크,전체,[혜주🍒05.30] 익스 나메 이제.. 깰 수 있어? ٩(ˊᗜˋ*)و,27.1,55,24,2250,5,
2026.05.29(금) 11:13,2026.05.29(금) 21:30,로스트아크,전체,[혜주🍒05.29] 연습2) 혹한의 군주 혜주님을 뵙습니다 ٩(ˊᗜˋ*)و,10.3,15,10,383,0,
2026.05.28(목) 11:56,2026.05.28(목) 19:12,로스트아크,전체,[혜주🍒05.28] 연습) 혹한의 군주 혜주님을 뵙습니다 ٩(ˊᗜˋ*)و,7.3,14,11,207,0,
2026.05.27(수) 11:48,2026.05.27(수) 15:54,로스트아크,전체,[혜주🍒05.27] 이번 주 로로로로로 ٩(ˊᗜˋ*)و,4.1,18,13,439,1,
2026.05.26(화) 12:07,2026.05.26(화) 16:00,로스트아크,전체,[혜주🍒05.26] 이번주는 나포자가 됐지만 담주엔 나브를 깨고 군주가 되겟서요 ٩(ˊᗜˋ*)و,3.9,16,12,524,0,
2026.05.25(월) 04:03,2026.05.25(월) 16:00,로스트아크,전체,[혜주🍒05.25] 혜주도 군주가 되고 싶다 ٩(ˊᗜˋ*)و,11.9,16,12,906,0,
2026.05.24(일) 00:07,2026.05.24(일) 18:06,잇 테이크 투|돈 스타브 투게더|talk,전체,[혜주🍒05.24] 일어나 ٩(ˊᗜˋ*)و,18,14,10,818,2,
2026.05.23(토) 10:08,2026.05.23(토) 17:36,로스트아크,전체,[혜주🍒05.23] 나른한 토요일 오후 ٩(ˊᗜˋ*)و,7.5,15,11,742,0,
2026.05.22(금) 12:03,2026.05.22(금) 17:00,로스트아크,전체,[혜주🍒05.22] 아플 때 가는 도시는? ٩(ˊᗜˋ*)و,4.9,15,12,362,0,
2026.05.21(목) 12:01,2026.05.21(목) 16:24,로스트아크,전체,[혜주🍒05.21] 사무라이가 4인조로만 활동했던 이유는? ٩(ˊᗜˋ*)و,4.4,19,14,563,0,
2026.05.19(화) 12:04,2026.05.19(화) 16:48,로스트아크,전체,[혜주🍒05.19] 와 진자 재밌다 ٩(ˊᗜˋ*)و,4.7,16,13,902,1,
2026.05.18(월) 12:03,2026.05.18(월) 16:18,미설정|돈 스타브 투게더,전체,[혜주🍒05.18] 큰일난 것 같아 ٩(ˊᗜˋ*)و,4.2,17,13,765,-1,
2026.05.17(일) 01:51,2026.05.17(일) 16:48,돈 스타브 투게더|talk,전체,[혜주🍒05.17] 잉 ٩(ˊᗜˋ*)و,14.9,21,14,1820,1,
2026.05.17(일) 00:12,2026.05.17(일) 00:36,talk,전체,[혜주🍒05.17] 하이다 ٩(ˊᗜˋ*)و,0.4,7,6,38,0,
2026.05.16(토) 02:50,2026.05.16(토) 18:48,돈 스타브 투게더|헬다이버즈 2,전체,[혜주🍒05.16] 일어나 게임해야지 ٩(ˊᗜˋ*)و,16,20,15,2127,1,
2026.05.15(금) 11:59,2026.05.15(금) 15:54,로스트아크,전체,[혜주🍒05.15] 개그소재 벌써 떨어짐 ٩(ˊᗜˋ*)و,3.9,20,14,604,0,
2026.05.14(목) 12:02,2026.05.14(목) 15:54,로스트아크,전체,[혜주🍒05.14] 아플 때 죽 먹는 이유는? ٩(ˊᗜˋ*)و,3.9,14,12,418,0,
2026.05.13(수) 11:56,2026.05.13(수) 16:36,로스트아크,전체,[혜주🍒05.13] 용이 놀라면? ٩(ˊᗜˋ*)و,4.7,22,17,654,1,
2026.05.12(화) 12:31,2026.05.12(화) 17:36,로스트아크|PUBG: 배틀그라운드,전체,[혜주🍒05.12] 무기를 버리고 투항하라 ٩(ˊᗜˋ*)و,5.1,15,10,622,1,
2026.05.11(월) 12:02,2026.05.11(월) 16:42,돈 스타브 투게더|talk,전체,[혜주🍒05.11] 밀린 숙제는 귀찮아양 ٩(ˊᗜˋ*)و,4.7,19,14,726,0,
2026.05.10(일) 12:32,2026.05.10(일) 15:06,돈 스타브 투게더|로스트아크,전체,[혜주🍒05.10] 형 다시 왔다 (로스트아크 익기르만) ٩(ˊᗜˋ*)و,2.6,15,12,279,0,
2026.05.10(일) 00:01,2026.05.10(일) 10:54,프래그마타,전체,[혜주🍒05.10] 혜주닮아 말 잘듣고 착하고 귀여운 혜주 2세 키우기 ٩(ˊᗜˋ*)و,10.9,18,15,810,-1,
2026.05.09(토) 12:29,2026.05.09(토) 17:18,돈 스타브 투게더,전체,[혜주🍒05.09] 혜(주 우)디땜에 열받아서 옴 ٩(ˊᗜˋ*)و,4.8,21,14,487,0,
2026.05.08(금) 23:59,2026.05.09(토) 08:48,돈 스타브 투게더|프래그마타|talk,전체,[혜주🍒05.09] 귀여운 혜주 닮은 귀여운 응애주가 있다던데요? ٩(ˊᗜˋ*)و,8.8,26,14,1037,0,
2026.05.08(금) 11:48,2026.05.08(금) 19:36,로스트아크,전체,[혜주🍒05.08] 슬픈 소식이 있따 ٩(ˊᗜˋ*)و,7.8,22,15,787,0,
2026.05.07(목) 12:01,2026.05.07(목) 16:12,로스트아크,전체,[혜주🍒05.07] 모굥일 ٩(ˊᗜˋ*)و,4.2,17,14,749,2,
2026.05.06(수) 12:07,2026.05.06(수) 16:00,로스트아크,전체,[혜주🍒05.06] 노뇨일 ٩(ˊᗜˋ*)و,3.9,16,12,797,0,
2026.05.06(수) 12:03,2026.05.06(수) 12:06,로스트아크,전체,[혜주🍒05.06] 노뇨일 ٩(ˊᗜˋ*)و,0,2,2,0,0,
2026.05.05(화) 05:02,2026.05.05(화) 15:48,돈 스타브 투게더|헬다이버즈 2,전체,[혜주🍒05.05] 혜주 어린이의 날 ٩(ˊᗜˋ*)و,10.8,27,18,1832,3,
2026.05.04(월) 00:02,2026.05.04(월) 16:54,돈 스타브 투게더|프래그마타|talk,전체,[혜주🍒05.04] 두근두근 그 아이를 만나는 날 ٩(ˊᗜˋ*)و,16.9,22,16,1889,0,
2026.05.03(일) 00:12,2026.05.03(일) 09:18,미설정|PUBG: 배틀그라운드,전체,[혜주🍒05.03] ٩(ˊᗜˋ*)و,9.1,23,16,619,0,
2026.05.02(토) 00:13,2026.05.02(토) 16:36,돈 스타브 투게더|그림자 복도,전체,[혜주🍒05.02] 혜주는 오전뱅이 밉다 ٩(ˊᗜˋ*)و,16.4,22,15,1962,1,
2026.05.01(금) 10:02,2026.05.01(금) 18:24,돈 스타브 투게더|로스트아크,전체,[혜주🍒05.01] 에기르 익스 나메 트라이. 바드님 정신차려요! ٩(ˊᗜˋ*)و,8.4,21,17,1350,2,
2026.04.30(목) 11:59,2026.04.30(목) 17:24,로스트아크,전체,[혜주🍒04.30] 바바 숙쩨 쓔웃 ٩(ˊᗜˋ*)و,5.4,18,15,902,1,
2026.04.29(수) 12:11,2026.04.29(수) 16:24,로스트아크,전체,[혜주🍒04.29] 가능? ٩(ˊᗜˋ*)و,4.2,22,14,815,1,
2026.04.28(화) 12:02,2026.04.28(화) 15:54,돈 스타브 투게더|talk,전체,[혜주🍒04.28] 앙농...,3.9,17,13,472,0,
2026.04.27(월) 10:00,2026.04.27(월) 15:12,헬다이버즈 2,전체,[혜주🍒04.27] 벌레(에게) 학살(당하는)자 ٩(ˊᗜˋ*)و,5.2,27,21,862,5,
2026.04.26(일) 00:01,2026.04.26(일) 18:18,돈 스타브 투게더,전체,[혜주🍒04.27] 아직 날개를 펴지 못한 E급헌터 혜진우.. ٩(ˊᗜˋ*)و,18.3,25,17,1614,2,
2026.04.25(토) 09:32,2026.04.25(토) 13:54,돈 스타브 투게더|귀멸의 칼날 히노카미 혈풍담|talk,전체,[혜주🍒04.25] ※스포주의※ 탄지로로 살아남기 (1-7장 스토리모드) ٩(ˊᗜˋ*)و,4.4,22,16,754,1,
2026.04.25(토) 00:01,2026.04.25(토) 09:30,귀멸의 칼날 히노카미 혈풍담|talk,전체,[혜주🍒04.25] 일어나 학교가야지 ٩(ˊᗜˋ*)و,9.5,21,15,641,3,
2026.04.24(금) 11:59,2026.04.24(금) 16:48,로스트아크,전체,[혜주🍒04.24] 나기르 못가는 혜주는 에기르 익스하드나 트라이해 ٩(ˊᗜˋ*)و,4.8,20,14,664,-1,
2026.04.23(목) 11:57,2026.04.23(목) 16:00,로스트아크,전체,[혜주🍒04.23] 오늘도 숙제 열심휘 해 ٩(ˊᗜˋ*)و,4.1,22,17,570,1,
2026.04.22(수) 11:50,2026.04.22(수) 15:18,로스트아크,전체,[혜주🍒04.22] 오늘은 변함없이 숫제 꼬. 에기르 트라이 금요일 ٩(ˊᗜˋ*)و,3.5,18,15,440,0,
2026.04.21(화) 11:59,2026.04.21(화) 15:48,PUBG: 배틀그라운드,전체,[혜주🍒04.21] 빵...야... ٩(ˊᗜˋ*)و,3.8,20,13,319,-1,
