시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:32,LIVE,이터널 리턴|뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈,전체,LIVE,2.6,8,6,154,0,
2026.06.14(일) 11:31,2026.06.14(일) 14:36,이터널 리턴,전체,건강 잃은 사람,3.1,13,9,212,-1,
2026.06.12(금) 12:41,2026.06.12(금) 15:06,이터널 리턴|talk,전체,[코발트 유니온]보상 못 받은 사람만,2.4,10,7,489,0,
2026.06.11(목) 11:36,2026.06.11(목) 17:48,이터널 리턴,전체,새벽 2시까지 아니 3시까지,6.2,17,10,333,0,
2026.06.10(수) 11:32,2026.06.10(수) 17:36,이터널 리턴|talk,전체,미스릴 탐험,6.1,13,10,857,2,
2026.06.09(화) 11:33,2026.06.09(화) 21:24,이터널 리턴,전체,시참해여~,9.8,15,9,909,1,
2026.06.08(월) 11:31,2026.06.08(월) 19:36,이터널 리턴|메이플스토리 월드,전체,미스릴 가나?,8.1,15,8,781,-1,
2026.06.07(일) 11:34,2026.06.07(일) 16:18,이터널 리턴,전체,-메-,4.7,13,9,558,-1,
2026.06.06(토) 11:39,2026.06.06(토) 19:06,이터널 리턴|메이플스토리 월드,전체,이리 짧,7.4,13,8,1039,1,
2026.06.04(목) 11:37,2026.06.04(목) 22:36,이터널 리턴|메이플스토리 월드,전체,클!,11,14,9,1329,0,
2026.06.03(수) 11:33,2026.06.03(수) 19:00,이터널 리턴|메이플스토리 월드,전체,잘 됐으면 좋겠다,7.4,15,8,538,1,
2026.06.02(화) 11:32,2026.06.02(화) 23:30,이터널 리턴|메이플스토리 월드,전체,건망증 클로에,12,12,8,2052,2,
2026.06.01(월) 13:55,2026.06.01(월) 16:36,talk,성인,황해 안 본 사람,2.7,22,10,0,0,
2026.06.01(월) 11:33,2026.06.01(월) 13:54,이터널 리턴,전체,클로에 키우기,2.3,10,8,317,0,
2026.05.31(일) 11:33,2026.05.31(일) 19:00,이터널 리턴|메이플스토리 월드,전체,무지성 클로에 주의보,7.4,17,9,776,-1,
2026.05.30(토) 11:32,2026.05.30(토) 19:48,이터널 리턴|메이플스토리 월드,전체,메테오 현지인,8.3,13,9,1164,0,
2026.05.27(수) 12:02,2026.05.27(수) 14:48,이터널 리턴,전체,거대 메테오,2.8,10,8,118,0,
2026.05.26(화) 11:35,2026.05.26(화) 16:18,이터널 리턴,전체,거대 메테오,4.7,18,11,838,1,
2026.05.25(월) 11:34,2026.05.25(월) 18:54,이터널 리턴|메이플스토리 월드,전체,시참 데이,7.3,17,11,818,-1,
2026.05.24(일) 11:33,2026.05.24(일) 22:12,이터널 리턴|메이플스토리 월드,전체,빠른 클로에,10.6,21,8,917,5,
2026.05.23(토) 11:31,2026.05.23(토) 22:54,이터널 리턴|메이플스토리 월드,전체,비형 따운...,11.4,15,9,1326,5,
2026.05.21(목) 11:33,2026.05.21(목) 18:06,이터널 리턴,전체,비형 클로에,6.5,21,11,774,2,
2026.05.20(수) 11:32,2026.05.20(수) 17:00,이터널 리턴|메이플스토리 월드,전체,언젠가 비형장인,5.5,10,7,691,0,
2026.05.19(화) 11:30,2026.05.19(화) 17:18,이터널 리턴,전체,비형 장인도전기,5.8,12,9,875,0,
2026.05.18(월) 11:34,2026.05.18(월) 17:24,이터널 리턴,전체,랭크에서 쓸 비형 연습,5.8,20,13,702,0,
2026.05.17(일) 11:35,2026.05.17(일) 16:48,이터널 리턴,전체,삐형,5.2,12,8,460,1,
2026.05.16(토) 13:03,2026.05.16(토) 18:30,이터널 리턴,전체,비형,5.4,15,10,1001,1,
2026.05.14(목) 11:36,2026.05.14(목) 18:00,이터널 리턴,전체,비형 맛보기(시참),6.4,14,10,1203,2,
2026.05.13(수) 11:36,2026.05.13(수) 19:42,이터널 리턴|메이플스토리 월드,전체,운석으로 진화하기,8.1,15,9,991,-1,
2026.05.12(화) 11:44,2026.05.12(화) 14:18,이터널 리턴,전체,머리가 아픈 사람,2.6,14,8,115,0,
2026.05.11(월) 11:41,2026.05.11(월) 18:12,이터널 리턴,전체,푹 자고 온 사람,6.5,17,12,846,0,
2026.05.10(일) 11:38,2026.05.10(일) 15:48,이터널 리턴,전체,ㅋㅋ 일찍 일어나서 망겜하고 온 사람,4.2,14,11,312,0,
2026.05.09(토) 11:41,2026.05.09(토) 17:48,이터널 리턴|talk,전체,미스릴부츠 최대 수혜자,6.1,13,9,892,0,
2026.05.08(금) 11:24,2026.05.08(금) 17:24,이터널 리턴,전체,미스릴부츠 클로에,6,11,9,422,0,
2026.05.07(목) 11:29,2026.05.07(목) 18:36,이터널 리턴,전체,[시즌11 랭크]원딜의 정의에 대해 깨우치기,7.1,16,10,597,0,
2026.05.06(수) 10:33,2026.05.06(수) 17:06,구스 구스 덕|이터널 리턴,전체,내 미스릴 부츠가!!,6.5,14,9,748,1,
2026.05.05(화) 11:27,2026.05.05(화) 17:06,이터널 리턴,전체,프리시즌 시참,5.6,26,17,1129,17,
2026.05.03(일) 09:33,2026.05.03(일) 15:30,이터널 리턴,전체,8시 이리와용 앙ㅋㅋ 우승하기,5.9,14,10,221,2,
2026.05.01(금) 11:43,2026.05.01(금) 17:42,이터널 리턴,전체,클로에 원툴 벗어나기,6,16,10,798,2,
2026.04.30(목) 10:32,2026.04.30(목) 19:12,이터널 리턴,전체,이리와용 악성원험매물입니다,8.7,21,9,760,3,
2026.04.29(수) 11:31,2026.04.29(수) 19:18,이터널 리턴,전체,시즌 마지막 날 체한사람(컨디션 최악),7.8,10,6,555,1,
2026.04.28(화) 11:31,2026.04.28(화) 18:06,이터널 리턴,전체,최고의 티어는 이터도 데미갓도 아닌 미스릴(현)인 것 같은데요? 쓲ㅂ,6.6,14,9,1219,0,
2026.04.27(월) 12:00,2026.04.27(월) 18:18,이터널 리턴,전체,시즌말) 1등하는법을 모름,6.3,18,10,375,0,
2026.04.26(일) 11:30,2026.04.26(일) 18:06,이터널 리턴,전체,시즌말 헬릭스 클로에,6.6,12,8,638,0,
2026.04.25(토) 11:39,2026.04.25(토) 18:00,이터널 리턴,전체,클로에 연구소,6.3,14,9,765,1,
2026.04.23(목) 11:25,2026.04.23(목) 17:00,이터널 리턴,전체,미스릴 관광 버스,5.6,15,9,498,0,
2026.04.22(수) 11:33,2026.04.22(수) 18:18,이터널 리턴|포켓몬 챔피언스,전체,"살기 좋은 곳, 인구밀집지, 행복지수 높은곳",6.7,11,7,328,0,
2026.04.21(화) 09:31,2026.04.21(화) 14:54,이터널 리턴,전체,7시 간담회 같이보기,5.4,12,9,736,1,
2026.04.20(월) 11:58,2026.04.20(월) 17:30,이터널 리턴,전체,진지 빡겜..,5.5,13,9,244,0,
2026.04.19(일) 11:28,2026.04.19(일) 16:18,이터널 리턴,전체,미스릴 현지인 클로에 애호가,4.8,13,8,264,0,
2026.04.18(토) 11:33,2026.04.18(토) 19:06,이터널 리턴|포켓몬 챔피언스,전체,점수 사채업자,7.5,16,10,724,1,
2026.04.17(금) 11:17,2026.04.17(금) 18:12,이터널 리턴|포켓몬 챔피언스,전체,솔찍히 게임 못 하는건 죄가 없다고 봐요,6.9,12,8,552,1,
2026.04.16(목) 11:36,2026.04.16(목) 14:54,이터널 리턴|포켓몬 챔피언스,전체,너프 채감 느껴보기,3.3,11,7,148,-1,
2026.04.15(수) 11:41,2026.04.15(수) 17:12,이터널 리턴,전체,클로에 너프전 피날레,5.5,13,8,502,-2,
2026.04.14(화) 11:37,2026.04.14(화) 18:54,이터널 리턴|포켓몬 챔피언스,전체,버스 타고 싶은 데미갓이라도 괜찮을까요?,7.3,14,8,779,-1,
2026.04.13(월) 11:45,2026.04.13(월) 16:30,이터널 리턴|포켓몬 챔피언스,전체,이건 내가 이터니티가 되기까지의 이야기이다..,4.7,14,8,582,0,
2026.04.12(일) 11:54,2026.04.12(일) 18:48,이터널 리턴|포켓몬 챔피언스,전체,이터큐 다시 감 잡기,6.9,25,10,801,2,
2026.04.11(토) 11:41,2026.04.11(토) 20:00,러스트,전체,러스트 레전드 통나무,8.3,9,5,285,1,
2026.04.09(목) 11:40,2026.04.09(목) 17:48,이터널 리턴,전체,이터큐에 존재하는 물이 꽉찬 통나무,6.1,11,8,351,1,
2026.04.08(수) 11:47,2026.04.08(수) 18:30,이터널 리턴,전체,이터큐 사출 테러범,6.7,14,10,510,2,
2026.04.07(화) 11:38,2026.04.07(화) 19:48,이터널 리턴,전체,이터큐까지 크게 한걸음 (8403점 시작),8.2,14,9,790,-1,
2026.04.06(월) 11:38,2026.04.06(월) 18:12,이터널 리턴,전체,클로에 수저라 좋았다..,6.6,13,9,461,0,
