시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 18:56,LIVE,종합 게임,전체,LIVE,4.2,21,14,405,2,
2026.06.11(목) 18:57,2026.06.12(금) 00:24,종합 게임|PUBG: 배틀그라운드|talk,전체,겜 하기 전 같이 얘기나눠요,5.4,24,14,588,5,
2026.06.10(수) 18:58,2026.06.11(목) 02:30,종합 게임|먹방/쿡방,전체,내가 만든 쿠키~ 나를 위해 구웠지,7.5,20,15,726,2,
2026.06.09(화) 18:57,2026.06.10(수) 02:36,종합 게임,전체,면허는 없지만 여동생 운전 가르쳐 볼게요,7.6,17,13,780,2,
2026.06.08(월) 18:57,2026.06.09(화) 00:30,종합 게임,전체,오랜만 ~,5.5,17,11,357,0,
2026.06.05(금) 18:59,2026.06.06(토) 03:30,종합 게임|PUBG: 배틀그라운드|talk,전체,버터떡 만드러요,8.5,24,17,1278,13,
2026.06.04(목) 18:58,2026.06.05(금) 02:06,종합 게임,전체,좀비 아포칼립스 세상에서 살아남기 [인투더데드],7.1,20,14,786,4,
2026.06.03(수) 18:58,2026.06.04(목) 02:00,종합 게임|마인크래프트,전체,짜파게티 먹고 하우스 플리퍼,7,21,14,725,1,
2026.06.03(수) 01:19,2026.06.03(수) 03:24,종합 게임|talk,전체,(ง •̀_•́)ง,2.1,14,11,177,3,
2026.06.01(월) 19:29,2026.06.02(화) 05:00,종합 게임|talk,전체,월요팅 ദ്ദി( • ᴗ < ),9.5,19,13,1298,6,
2026.05.29(금) 19:28,2026.05.30(토) 01:42,종합 게임,전체,불금 함께해요 ദ്ദി( • ᴗ < ),6.2,19,14,720,5,
2026.05.29(금) 02:01,2026.05.29(금) 05:00,종합 게임,전체,아주 조용히 팰월드 할게요 ( ᐢ ⩊ ᐢ ),3,11,8,230,1,
2026.05.27(수) 19:29,2026.05.28(목) 04:06,종합 게임|talk,전체,깨찰빵 쿡방 ᐠ( ᐢ ⩊ ᐢ )ᐟ,8.6,20,13,1346,11,
2026.05.26(화) 23:15,2026.05.27(수) 02:30,종합 게임,전체,큰일났어요 캠이 또 이상해요,3.2,12,8,320,3,
2026.05.26(화) 18:23,2026.05.26(화) 22:18,종합 게임,전체,같이 저녁 먹어요,3.9,18,12,524,2,
2026.05.25(월) 19:57,2026.05.26(화) 01:06,종합 게임,전체,안녕하세요,5.1,20,14,744,2,
2026.05.25(월) 19:30,2026.05.25(월) 19:48,종합 게임,전체,안녕하세요,0.3,10,8,37,0,
2026.05.22(금) 18:38,2026.05.23(토) 03:06,종합 게임,전체,여러분 불금이다아아,8.5,16,11,1395,1,
2026.05.20(수) 19:30,2026.05.21(목) 00:06,서브노티카 2,전체,서브노티카 1일차 !,4.6,17,13,601,3,
2026.05.18(월) 19:42,2026.05.19(화) 01:24,종합 게임|서브노티카 2,전체,같이 저녁 드실래요??,5.7,19,13,851,9,
2026.05.18(월) 19:34,2026.05.18(월) 19:36,종합 게임,전체,캠이 안켜져요......,0,3,3,0,0,
2026.05.18(월) 14:56,2026.05.18(월) 18:12,종합 게임|talk,전체,영상편집중! 조용히 각자 할일 해요,3.3,17,13,217,6,
2026.05.17(일) 19:28,2026.05.18(월) 00:42,종합 게임,전체,안냐세요 머리 잘랐슴다,5.2,19,13,844,8,
2026.05.15(금) 18:54,2026.05.16(토) 02:06,종합 게임,전체,저녁먹방 / 코랄아일랜드 2일차,7.2,15,11,938,4,
2026.05.13(수) 19:29,2026.05.14(목) 00:18,종합 게임,전체,수요팅,4.8,18,12,379,2,
2026.05.12(화) 22:47,2026.05.13(수) 01:42,종합 게임,전체,조용히 떠들면서 스타듀밸리,2.9,14,11,339,1,
2026.05.11(월) 19:26,2026.05.12(화) 01:00,종합 게임,전체,조용히 떠들어요,5.6,16,12,794,10,
2026.05.08(금) 19:29,2026.05.09(토) 00:30,종합 게임,전체,후즈앳더도어 엔딩,5,13,8,524,7,
2026.05.06(수) 22:54,2026.05.07(목) 00:18,종합 게임|talk,전체,인생 첫 공포게임 가보자고,1.4,12,9,305,2,
2026.05.06(수) 19:30,2026.05.06(수) 22:48,종합 게임|talk,전체,오늘은 뭘 해볼까요,3.3,17,9,396,8,
2026.05.06(수) 09:02,2026.05.06(수) 12:00,종합 게임|talk,전체,조용히 각자 할일 하는 방송 (아침이라 쌩얼임ㅈㅅ),3,15,9,284,14,
2026.05.01(금) 22:17,2026.05.02(토) 02:00,종합 게임|talk,전체,토크토크,3.7,14,10,499,4,
2026.04.29(수) 19:27,2026.04.30(목) 02:42,종합 게임|talk,전체,토크하다가 데이브 더 다이버 함,7.2,15,10,979,8,
2026.04.27(월) 19:31,2026.04.28(화) 01:54,종합 게임|talk,전체,투 포인트 호스피탈 할게요,6.4,15,10,816,9,
2026.04.27(월) 18:02,2026.04.27(월) 19:06,종합 게임|talk,전체,저녁 먹기 전 잠깐 켜봄,1.1,9,7,87,5,
2026.04.24(금) 17:10,2026.04.24(금) 19:00,발헤임|talk,전체,[2일차 신입] 이상형 월드컵 / 발헤임 뉴비,1.8,7,5,153,2,
2026.04.23(목) 16:01,2026.04.23(목) 19:42,발헤임,전체,[신입] 방송 1일차 / 발헤임 찐뉴비,3.7,10,7,804,7,
