시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:30,2026.06.15(월) 15:18,종합 게임,전체,생물학충격 : 무한,5.8,12,9,140,0,
2026.06.12(금) 09:32,2026.06.12(금) 15:36,종합 게임,전체,월드컵 대기안하는 방,6.1,17,10,538,0,
2026.06.11(목) 09:10,2026.06.11(목) 14:24,종합 게임,전체,'글리치의 신'이라 불렸던 남자,5.2,18,13,143,0,
2026.06.10(수) 09:57,2026.06.10(수) 12:30,종합 게임,전체,자느라 못본 닌다 보고 귀무자 데모 해봄,2.5,17,11,291,0,
2026.06.10(수) 09:52,2026.06.10(수) 09:54,종합 게임,전체,자느라 못본 닌다 보고 귀무자 데모 해봄,0,0,0,0,0,
2026.06.09(화) 09:33,2026.06.09(화) 13:48,이스케이프 프롬 타르코프,전체,탈콥pve,4.2,9,5,101,0,
2026.06.08(월) 08:34,2026.06.08(월) 16:42,이스케이프 프롬 타르코프|talk,전체,모닝 탈콥,8.1,11,6,862,-1,
2026.06.05(금) 07:51,2026.06.05(금) 15:00,이스케이프 프롬 타르코프,전체,제로부터 다시 시작하는 타르코프 생활,7.1,10,6,333,0,
2026.06.03(수) 10:07,2026.06.03(수) 13:42,이스케이프 프롬 타르코프,전체,ㅇㅅㅇ,3.6,7,4,117,0,
2026.06.02(화) 08:00,2026.06.02(화) 15:54,이스케이프 프롬 타르코프,전체,터미널 죽돌이,7.9,7,5,114,0,
2026.06.01(월) 08:01,2026.06.01(월) 14:42,이스케이프 프롬 타르코프,전체,탈콥 재활,6.7,15,8,306,0,
2026.04.07(화) 12:27,2026.04.07(화) 17:24,테일즈 오브 베르세리아 리마스터,전체,30주년이랍시고 신작 공개도 안하는 시리즈 스피드런,4.9,9,6,81,0,
2026.03.25(수) 12:21,2026.03.25(수) 17:42,제로 ~붉은 나비~ REMAKE,전체,얼빡샷 스피드런 ㅇㅅㅇ,5.3,9,7,271,1,
2026.03.23(월) 13:35,2026.03.23(월) 15:48,제로 ~붉은 나비~ REMAKE,전체,얼빡샷 스피드런,2.2,9,5,103,0,
2026.03.19(목) 13:18,2026.03.19(목) 17:12,제로 ~붉은 나비~ REMAKE,전체,얼빡샷 스피드런,3.9,13,8,312,0,
2026.03.18(수) 11:11,2026.03.18(수) 18:06,제로 ~붉은 나비~ REMAKE,전체,"진엔딩, 추가엔딩 보고 스런 루팅 해볼게요",6.9,17,10,494,2,
2026.03.13(금) 08:11,2026.03.13(금) 14:54,제로 ~붉은 나비~ REMAKE,전체,스팀판] 깨면 퇴근,6.7,14,9,323,0,
2026.03.11(수) 12:27,2026.03.11(수) 18:06,크로노 트리거,전체,크로노 트리거 출시 31주년 기념. 런 한판,5.6,16,10,238,0,
2026.03.07(토) 03:38,2026.03.07(토) 12:06,패스 오브 엑자일,전체,POE 3.28 네크KBOC 대기열 망한자,8.5,13,8,201,0,
2026.03.04(수) 13:22,2026.03.04(수) 18:06,바이오하자드 레퀴엠,전체,광기 난이도 루트 초안은 나옴. 디테일 깎아보기,4.7,14,10,151,1,
2026.03.03(화) 13:02,2026.03.03(화) 18:12,바이오하자드 레퀴엠,전체,광기 난이도 ㅇㅅㅇ,5.2,16,9,70,0,
2026.03.02(월) 13:52,2026.03.02(월) 18:00,바이오하자드 레퀴엠,전체,광기 난이도 연구중,4.1,11,6,43,0,
2026.02.27(금) 12:55,2026.02.28(토) 02:42,바이오하자드 레퀴엠,전체,2시 PC판 오픈 대기중,13.8,11,8,606,0,
2026.02.24(화) 14:21,2026.02.24(화) 16:48,종합 게임,전체,크로노 트리거 100% 스피드런 2일차,2.4,15,11,51,0,
2026.02.23(월) 12:39,2026.02.23(월) 18:06,종합 게임,전체,크로노 트리거 100% 스피드런 1일차,5.4,19,13,149,1,
2026.02.20(금) 12:30,2026.02.20(금) 18:06,종합 게임,전체,본업 복귀. 크로노 트리거 100퍼런 살펴보기,5.6,17,13,266,-1,
2026.02.12(목) 13:59,2026.02.12(목) 17:48,인왕 3,전체,짧방일지도,3.8,9,5,136,0,
2026.02.11(수) 13:37,2026.02.11(수) 17:42,인왕 3,전체,ㅇㅅㅇ,4.1,13,9,126,0,
2026.02.09(월) 13:47,2026.02.09(월) 17:30,인왕 3,전체,게임컴 부팅이 안될줄 알았더니 되서 킨 방송,3.7,12,9,142,0,
2026.02.06(금) 13:03,2026.02.06(금) 17:54,인왕 3,전체,"인왕1,2 와룡 스피드러너였던 자의 인왕 3 1일차",4.8,13,8,213,0,
2026.02.05(목) 11:25,2026.02.05(목) 16:18,이스케이프 프롬 타르코프,전체,정출뉴비 탈콥 터미널 트라이.,4.9,13,8,234,-1,
2026.02.03(화) 12:19,2026.02.03(화) 16:00,이스케이프 프롬 타르코프,전체,탈콥 터미널 트라이,3.7,7,5,113,0,
2026.02.02(월) 10:59,2026.02.02(월) 16:30,명일방주: 엔드필드|이스케이프 프롬 타르코프,전체,엔필 숙제 빼고 탈콥할거임,5.5,13,7,480,0,
2026.01.28(수) 10:50,2026.01.28(수) 17:12,명일방주: 엔드필드|이스케이프 프롬 타르코프,전체,엔필 숙제만 후딱하고 탈콥,6.4,13,7,273,0,
2026.01.27(화) 12:28,2026.01.27(화) 17:12,명일방주: 엔드필드|이스케이프 프롬 타르코프,전체,엔필 숙제모드 돌입. 숙제만 하고 탈콥할거임,4.7,10,7,246,0,
2026.01.26(월) 10:12,2026.01.26(월) 16:18,명일방주: 엔드필드,전체,1부 엔드필드 2부 탈콥(아마도),6.1,10,5,133,0,
2026.01.22(목) 07:56,2026.01.22(목) 15:54,명일방주: 엔드필드,전체,엔드필드 대기중 (11시 오픈),8,15,8,232,0,
2026.01.21(수) 09:37,2026.01.21(수) 16:12,이스케이프 프롬 타르코프,전체,러시아에서 힐링하기,6.6,7,5,212,0,
2026.01.20(화) 09:06,2026.01.20(화) 16:18,옥토패스 트래블러 0,전체,옥토패스 트레블러 0 스피드런 연습,7.2,17,9,275,0,
2026.01.19(월) 09:58,2026.01.19(월) 18:06,옥토패스 트래블러 0,전체,옥토패스 트레블러 0 스피드런 연습 개시,8.1,19,12,200,0,
2026.01.16(금) 08:17,2026.01.16(금) 12:48,옥토패스 트래블러 0,전체,스런 노트 만드는중 (진행도 40%정도),4.5,12,6,7,1,
2026.01.15(목) 09:04,2026.01.15(목) 15:24,옥토패스 트래블러 0,전체,스런 노트 만드는중 (1회차 안해봄),6.3,14,9,138,1,
2026.01.12(월) 08:33,2026.01.12(월) 14:06,옥토패스 트래블러 0,전체,또또 1회차 안해보고 스런 루팅부터 조지는 놈,5.5,20,12,199,0,
2026.01.09(금) 06:51,2026.01.09(금) 12:18,이스케이프 프롬 타르코프,전체,모닝 탈콥,5.4,11,7,171,0,
2026.01.08(목) 07:01,2026.01.08(목) 12:42,이스케이프 프롬 타르코프,전체,그저 탈콥,5.7,22,12,512,1,
2026.01.07(수) 15:35,2026.01.07(수) 19:00,이스케이프 프롬 타르코프|talk,전체,피로가 준내 안풀림,3.4,17,12,438,0,
2026.12.31(수) 11:17,2026.12.31(수) 20:54,종합 게임,전체,슈퍼스피드런마라톤 D-1,9.6,26,18,232,2,
2026.12.31(수) 08:46,2026.12.31(수) 11:12,종합 게임,전체,슈퍼스피드런마라톤 D-1,2.4,30,17,157,1,
2026.12.30(화) 18:29,2026.12.30(화) 18:42,종합 게임,전체,슈퍼스피드런마라톤 D-2,0.2,6,3,9,0,
2026.12.30(화) 17:15,2026.12.30(화) 18:18,종합 게임,전체,슈퍼스피드런마라톤 D-2,1,14,9,45,1,
2026.12.30(화) 16:36,2026.12.30(화) 17:12,종합 게임,전체,슈퍼스피드런마라톤 D-2,0.6,12,8,30,1,
2026.12.26(금) 04:03,2026.12.26(금) 06:30,종합 게임,전체,SSM D-6] ㅇㅅㅇ,2.4,6,3,31,0,
2026.12.25(목) 04:54,2026.12.25(목) 09:36,종합 게임,전체,SSM D-7] 메리 크리스마스,4.7,17,7,219,0,
2026.12.24(수) 04:31,2026.12.24(수) 09:06,종합 게임,전체,SSM D-8] 연습 한바퀴,4.6,23,7,201,0,
2026.12.22(월) 04:54,2026.12.22(월) 10:18,종합 게임,전체,SSM D-10] 1부 밑장빼다 걸린 게임. 2부 리메이크라면서 날로 먹은 게임. 3부 발더게한테 닦인 게임,5.4,24,10,345,1,
2026.12.15(월) 18:43,2026.12.15(월) 23:06,젤다의 전설 티어스 오브 더 킹덤|클레르 옵스퀴르: 33 원정대|메탈 기어 솔리드 Δ: 스네이크 이터,전체,잠 겁나 잔 사람 (SSM D-17),4.4,9,5,165,0,
2026.12.13(토) 15:42,2026.12.13(토) 18:18,클레르 옵스퀴르: 33 원정대,전체,Expert Glitchless(아님),2.6,11,7,112,0,
2026.12.12(금) 13:26,2026.12.12(금) 18:12,종합 게임,전체,TGA 곱창난거 좀 구경하다가 33원정대 1.5패치 테스트,4.8,23,17,1397,0,
2026.12.09(화) 13:16,2026.12.09(화) 17:12,종합 게임,전체,SSM D-23,3.9,18,9,881,-1,
2026.12.05(금) 13:32,2026.12.05(금) 17:30,종합 게임,전체,SSM D-27 오늘은 메기솔 위주로,4,12,9,282,0,
2026.12.04(목) 12:55,2026.12.04(목) 18:12,종합 게임,전체,SSM D-28,5.3,11,8,555,0,
2026.12.03(수) 13:16,2026.12.03(수) 17:48,종합 게임,전체,SSM D-29,4.5,11,8,483,0,
2026.12.01(월) 14:45,2026.12.01(월) 18:06,종합 게임,전체,SSM D-31 탈콥 서버점검중이라 하는거 아님.,3.3,11,9,596,0,
2026.11.27(목) 12:40,2026.11.27(목) 16:18,이스케이프 프롬 타르코프,전체,ㅇㅅㅇ,3.6,11,8,130,0,
2026.11.26(수) 12:49,2026.11.26(수) 17:48,이스케이프 프롬 타르코프,전체,KT를 쓰는 로봇입니다.,5,13,7,568,0,
2026.11.25(화) 13:49,2026.11.25(화) 17:54,이스케이프 프롬 타르코프,전체,ㅇㅅㅇ,4.1,14,7,481,0,
2026.11.24(월) 12:29,2026.11.24(월) 17:54,이스케이프 프롬 타르코프,전체,입문 7일차] 결국 언허드 사고 런처로 재시작함..,5.4,19,13,345,0,
2026.11.21(금) 12:57,2026.11.21(금) 18:00,이스케이프 프롬 타르코프,전체,타르코프 입문 4일차 이제 마켓 열었다 ; (PVE),5,14,10,500,1,
2026.11.20(목) 12:08,2026.11.20(목) 18:00,이스케이프 프롬 타르코프,전체,타르코프 입문 3일차 (PVE),5.9,20,12,671,0,
2026.11.19(수) 13:37,2026.11.19(수) 18:00,이스케이프 프롬 타르코프,전체,타르코프 뉴비 (PVE),4.4,15,11,678,1,
2026.11.18(화) 13:01,2026.11.18(화) 17:18,이스케이프 프롬 타르코프,전체,타르코프 뉴비 (PVE),4.3,15,10,764,2,
2026.11.17(월) 13:10,2026.11.17(월) 17:18,메탈 기어 솔리드 Δ: 스네이크 이터,전체,SSM 연습,4.1,22,15,967,0,
2026.11.14(금) 12:38,2026.11.14(금) 15:12,옥토패스 트래블러 0,전체,옥토패스 0 데모만 하고 튀어야지,2.6,15,11,106,0,
2026.11.13(목) 12:31,2026.11.13(목) 16:54,팩토리오,전체,2026 수능 기념 로켓 쏘기,4.4,20,13,543,0,
