시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 21:52,LIVE,리그 오브 레전드,전체,LIVE,1.2,8,5,60,0,
2026.06.14(일) 14:33,2026.06.14(일) 23:48,종합 게임|리그 오브 레전드,전체,왜 벌써 일요일임? 😱,9.2,10,7,1018,-2,
2026.06.13(토) 14:37,2026.06.14(일) 00:06,종합 게임|리그 오브 레전드,전체,좋은 주말~~,9.5,10,6,524,-1,
2026.06.11(목) 18:05,2026.06.11(목) 23:18,리그 오브 레전드|오버워치,전체,화 안 내기로 굳게 마음 먹기 123456789일차,5.2,8,5,258,1,
2026.06.10(수) 18:06,2026.06.11(목) 00:54,리그 오브 레전드|포르자 호라이즌 6,전체,좋은 저녁~😎,6.8,12,6,923,5,
2026.06.09(화) 15:32,2026.06.09(화) 20:36,리그 오브 레전드,전체,화 안 내고 에메랄드 가기,5.1,12,6,702,2,
2026.06.08(월) 12:52,2026.06.08(월) 23:24,리그 오브 레전드|오버워치|포르자 호라이즌 6|talk,전체,1시 오버쿡 합방 대기 중,10.5,10,6,1025,2,
2026.06.07(일) 12:20,2026.06.07(일) 18:42,리그 오브 레전드,전체,두근두근 솔로 랭크,6.4,14,10,968,3,
2026.06.06(토) 10:08,2026.06.06(토) 22:06,리그 오브 레전드|포르자 호라이즌 6,전체,모닝 드라이브 하고 롤 하기,12,13,8,1415,1,
2026.06.04(목) 08:58,2026.06.04(목) 17:54,리그 오브 레전드|포르자 호라이즌 6,전체,무면허 모닝 드라이브,8.9,23,11,877,10,
2026.05.30(토) 10:40,2026.05.30(토) 19:42,리그 오브 레전드,전체,서포터도 사람이야😱,9,16,9,1148,0,
2026.05.26(화) 18:14,2026.05.27(수) 03:06,종합 게임|리그 오브 레전드,전체,서브노티카 힐링? 하기,8.9,7,4,532,1,
2026.05.25(월) 13:58,2026.05.26(화) 00:30,종합 게임|리그 오브 레전드|talk,전체,솔랭 좀 하고 저녁에 서브노티카2 하기😏,10.5,10,6,602,1,
2026.05.21(목) 08:06,2026.05.21(목) 12:54,리그 오브 레전드,전체,일찍 일어나는 새가 점수를 먹는다 🙄,4.8,11,6,345,0,
2026.05.19(화) 16:37,2026.05.19(화) 23:36,종합 게임|리그 오브 레전드|아웃바운드|talk,전체,나? 플래티넘 달성. 😎,7,10,6,999,2,
2026.05.18(월) 10:50,2026.05.18(월) 16:42,오버쿡! 2,전체,"[합방] 초보 요리사 등장이요🧑‍🍳 (텐더파카,시은누,타로빈)",5.9,7,5,60,-1,
2026.05.16(토) 10:00,2026.05.16(토) 19:24,종합 게임,전체,공쥬들 굿모닝~~😏,9.4,12,8,926,0,
2026.05.15(금) 12:42,2026.05.15(금) 23:30,리그 오브 레전드,전체,모닝모닝🤗,10.8,13,9,1246,1,
2026.05.14(목) 10:48,2026.05.14(목) 17:24,리그 오브 레전드,전체,매!!우!!좋!!은!!아!!침!!🤪🤪🤪🤪,6.6,16,11,626,6,
2026.05.12(화) 20:41,2026.05.13(수) 06:54,종합 게임|리그 오브 레전드,전체,공주들 안녕😎,10.2,17,9,784,9,
2026.05.11(월) 19:38,2026.05.12(화) 00:30,종합 게임,전체,[에이바이오틱 팩터] 스토리 밀고 후열 롤 하기,4.9,8,5,180,-2,
2026.05.10(일) 19:52,2026.05.10(일) 23:36,종합 게임,전체,[에이바이오틱 팩터] 파밍 하고 스토리 슉슉,3.7,9,6,355,0,
2026.05.09(토) 17:37,2026.05.10(일) 05:30,종합 게임,전체,[에이바이오틱 팩터] 파밍 하고 스토리 슉슉,11.9,9,5,569,0,
2026.05.08(금) 19:39,2026.05.09(토) 08:48,종합 게임|리그 오브 레전드,전체,[에이바이오틱 팩터] 반갑습니당😎,13.1,14,8,703,8,
2026.05.07(목) 19:20,2026.05.08(금) 02:42,종합 게임|리그 오브 레전드,전체,[에이바이오틱 팩터] 영원히 직장에 갇혀 버린 것에 대하여👨‍🔬,7.4,14,7,785,1,
2026.05.06(수) 17:30,2026.05.06(수) 23:06,종합 게임,전체,빵갑숩니당,5.6,10,5,291,2,
2026.05.05(화) 17:19,2026.05.06(수) 03:12,종합 게임|리그 오브 레전드,전체,반갑습니당,9.9,15,10,698,1,
2026.05.04(월) 21:53,2026.05.05(화) 05:24,종합 게임|리그 오브 레전드,전체,[시참] 오늘은 연승 가나요 !! 😖,7.5,15,9,925,4,
2026.05.03(일) 16:39,2026.05.04(월) 03:42,종합 게임|리그 오브 레전드,전체,롤 하기 전 파워워시😶‍🌫️,11,20,10,1580,7,
2026.05.02(토) 15:13,2026.05.03(일) 04:00,종합 게임|리그 오브 레전드,전체,오늘 좀 춥다...😖,12.8,11,7,1640,1,
2026.05.01(금) 11:11,2026.05.01(금) 18:48,리그 오브 레전드,전체,[시참] 5월 반갑고🤪,7.6,19,13,604,7,
2026.04.30(목) 16:18,2026.04.30(목) 23:24,리그 오브 레전드,전체,[시참] 내일 5월이라구요...? 🤨,7.1,18,10,1125,8,
2026.04.29(수) 14:55,2026.04.30(목) 00:00,리그 오브 레전드,전체,[시참] 유틸이 제일 재미따🙄,9.1,18,12,1263,7,
2026.04.28(화) 13:45,2026.04.28(화) 19:36,미설정|리그 오브 레전드,전체,좋은 점심~~😇,5.8,18,13,759,13,
2026.04.27(월) 12:30,2026.04.27(월) 16:12,종합 게임|아우터 월드,전체,뒹굴 거리다 늦었다...🙄,3.7,8,6,246,0,
2026.04.25(토) 09:07,2026.04.26(일) 01:12,리그 오브 레전드|프로젝트 좀보이드,전체,미라클 모닝😼,16.1,16,8,874,5,
2026.04.24(금) 11:57,2026.04.25(토) 00:42,프로젝트 좀보이드,전체,좀비 학살자가 돌아왔다🧟 (W.라이무),12.7,13,6,193,-1,
2026.04.23(목) 11:54,2026.04.23(목) 22:30,종합 게임|리그 오브 레전드|talk,전체,조흔저무시무~~🍀,10.6,16,11,1481,4,
2026.04.22(수) 11:08,2026.04.22(수) 23:42,종합 게임,전체,[Wild Hearts] 일본 배경 몬헌 해보기 (W.타로빈),12.6,12,7,1570,0,
2026.04.21(화) 09:38,2026.04.21(화) 22:24,종합 게임|리그 오브 레전드,전체,꿋모닝,12.8,17,11,1280,1,
2026.04.20(월) 11:25,2026.04.20(월) 22:06,종합 게임|리그 오브 레전드|발헤임,전체,월요일에 함께하는 아쿠아쿠😻,10.7,16,9,1178,10,
