시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.12(금) 13:00,2026.06.12(금) 17:18,런 피자 런|talk,전체,아니 세상에 젤다 풀 리메이크라고?~!🗡️👕,4.3,16,12,3206,0,
2026.06.06(토) 12:00,2026.06.06(토) 17:12,돌메어|오버워치|talk,전체,티비 타임~!📺✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨,5.2,15,12,1794,1,
2026.06.05(금) 13:00,2026.06.05(금) 16:54,종합 게임|오버워치|talk,전체,ദ്ദി ' ᵕ ' ) 안녕 친구들~ 내가 누군지 아니~? 티비야!~📺✨,3.9,21,14,1006,0,
2026.05.30(토) 12:00,2026.05.30(토) 17:06,종합 게임|초자연 작전팀|talk,전체,후하하하ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅗㅗㅗㅗㅗㅗ,5.1,19,15,2014,1,
2026.05.29(금) 13:00,2026.05.29(금) 17:24,오버워치|talk,전체,휘이이이하하하하ㅏㅏ 오늘은 옵치 데이~~~~📺📺📺📺📺📺✨✨✨,4.4,18,12,2667,1,
2026.05.24(일) 12:30,2026.05.24(일) 17:48,이환|마인크래프트|PUBG: 배틀그라운드|talk,전체,늦어서 죄송합니다...!,5.3,23,13,3244,5,
2026.05.24(일) 06:08,2026.05.24(일) 06:24,talk,전체,낮에 방송 하는 건 오랜만인데?,0.3,10,9,54,0,
2026.05.23(토) 11:08,2026.05.23(토) 18:18,종합 게임|마인크래프트|talk,전체,늦잠 잤습니다... 죄송합니다...😴,7.2,28,19,4355,3,
2026.05.22(금) 13:00,2026.05.22(금) 18:30,엘스 테일즈: 체어바운드|talk,전체,오늘은 신나는 금요일 티비~! 채널 고정!,5.5,19,11,1665,1,
2026.05.16(토) 12:00,2026.05.16(토) 19:00,로블록스|오버워치|마인크래프트|서브노티카 2|talk,전체,히히 티비 등장! 휘하휘ㅏ휘ㅏㅎ후ㅏㅣ휘ㅏㅎ휘ㅏ휘ㅏㅣㅓㅣ,7,24,13,2935,6,
