시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 22:41,2026.06.15(월) 03:54,패스 오브 엑자일 2,전체,POE2 나만 운없는 뉴비 스피릿 돌개바람 ( 95렙 ),5.2,17,9,215,1,
2026.06.14(일) 09:45,2026.06.14(일) 14:24,패스 오브 엑자일 2|아이온2,전체,아이온2 호법성 660k 큰거와버렸다.. 던전돌자 .. 영차영차,4.6,11,6,66,-1,
2026.06.13(토) 18:38,2026.06.14(일) 02:24,패스 오브 엑자일 2,전체,POE2 돌개 뉴비 지옥의 아틀라스 찍기,7.8,21,13,290,0,
2026.06.13(토) 14:59,2026.06.13(토) 17:18,패스 오브 엑자일 2|아이온2,전체,POE2 스피릿워커 돌개 뉴비 도박 육성기 제발 득템 한번만 ㅠ,2.3,6,3,0,1,
2026.06.12(금) 19:19,2026.06.13(토) 01:36,패스 오브 엑자일 2,전체,POE2 스피릿워커 돌개 뉴비 도박 육성기,6.3,31,16,456,2,
2026.06.12(금) 13:22,2026.06.12(금) 19:06,아이온2,전체,아이온2 하달 호법성 길드원 성역3 성불하기,5.7,6,4,2,0,
2026.06.11(목) 13:36,2026.06.11(목) 17:30,리밋 제로 브레이커스|패스 오브 엑자일 2|아이온2,전체,아이온2 하달 호법성 길드원 성역 성불하기,3.9,9,4,56,0,
2026.06.10(수) 13:06,2026.06.11(목) 03:00,에이펙스 레전드|패스 오브 엑자일 2,전체,에이펙스 레전드 퓨즈는 내가 쓰면 1티어 남이 쓰면 쓰레기,13.9,28,10,424,1,
2026.06.09(화) 12:33,2026.06.10(수) 03:30,종합 게임|패스 오브 엑자일 2,전체,11시 닌텐도 다이렉트 같이보기 ( 그전까지 아이온2 ),14.9,53,20,618,1,
2026.06.08(월) 13:29,2026.06.09(화) 00:18,에이펙스 레전드|패스 오브 엑자일 2,전체,POE2 지옥의 회오리 누비 스피릿 워커 3일차,10.8,48,18,433,0,
2026.06.07(일) 13:28,2026.06.08(월) 04:00,종합 게임|패스 오브 엑자일 2,전체,모바일겜 숙제 후에 에펙 1부,14.5,46,18,244,-1,
2026.06.06(토) 12:04,2026.06.07(일) 02:36,에이펙스 레전드|패스 오브 엑자일 2,전체,에이펙스 레전드 솔직히 퓨즈 1.5티어라고 생각해요,14.5,34,15,563,2,
2026.06.05(금) 12:20,2026.06.05(금) 14:42,에이펙스 레전드|아이온2,전체,에이펙스 레전드 퓨즈 솔랭으로 먓보기,2.4,15,6,16,0,
2026.06.04(목) 12:35,2026.06.05(금) 02:30,아이온2,전체,아이온2 호법성 진짜 지옥의 성역 트라이 + 키나 노가다,13.9,33,15,719,1,
2026.06.03(수) 16:36,2026.06.03(수) 23:18,이환|아이온2,전체,"이환 신캐 "" 라크리모사 "" 가챠 드가쟈",6.7,22,12,150,0,
2026.06.02(화) 11:14,2026.06.03(수) 02:36,아이온2,전체,아이온2 신규 성역 지옥의 트라이,15.4,40,12,391,1,
2026.06.01(월) 13:33,2026.06.01(월) 23:30,에이펙스 레전드|아이온2,전체,에이펙스 레전드 오늘도 못해서 퓨즈좀 하겠읍니다.,9.9,18,12,203,0,
2026.05.31(일) 14:32,2026.05.31(일) 22:30,종합 게임|사이퍼즈,전체,사이퍼즈 2차궁 .. 큰일났다 똥겜에 빠지면 안되는데;,8,12,7,201,-1,
2026.05.30(토) 16:54,2026.05.30(토) 21:48,사이퍼즈,전체,사이퍼즈 2차궁 .. 재미만 고트 ( 후열 poe2 좀 할수도 ),4.9,15,9,26,0,
2026.05.29(금) 13:11,2026.05.29(금) 22:36,사이퍼즈|에이펙스 레전드|스타더스트: 별과 마녀,전체,에이펙스 레전더리 밴티지는 극과 극이다,9.4,25,15,136,0,
2026.05.28(목) 12:08,2026.05.28(목) 20:42,사이퍼즈|에이펙스 레전드,전체,에이펙스 레전드에 곧 솔랭이 생긴다고 합니다 여러분 더러운 트리오놈들 다 죽거라,8.6,21,11,345,0,
2026.05.27(수) 14:18,2026.05.27(수) 19:54,젠레스 존 제로|아이온2|몬길: STAR DIVE,전체,몬길 나래 가챠 후에 모바일게임 숙제 쳐내고 아이온2,5.6,10,3,57,0,
2026.05.26(화) 15:22,2026.05.26(화) 21:48,종합 게임|에이펙스 레전드|아이온2,전체,아이온2 호법 키나 조금 녹이기,6.4,16,6,159,0,
2026.05.25(월) 17:26,2026.05.25(월) 21:00,이환|젠레스 존 제로,전체,이환.. 번외 스토리 밀기,3.6,9,6,76,1,
2026.05.25(월) 15:29,2026.05.25(월) 17:12,종합 게임|프래그마타|아이온2,전체,늦방 on .. 예열 아이온2 후 다른게임,1.7,5,3,1,0,
2026.05.24(일) 12:13,2026.05.24(일) 21:48,종합 게임|사이퍼즈|에이펙스 레전드|프래그마타|아이온2,전체,에이펙스 레전드 ㅋ 밴티지는 좋음 ( 단 스나를 다 맞췄을 경우 ),9.6,26,14,135,0,
2026.05.23(토) 17:01,2026.05.23(토) 22:06,이환|종합 게임|아이온2,전체,새벽 삼삼한 모바일 숙제방송,5.1,13,7,209,2,
2026.05.22(금) 13:53,2026.05.23(토) 00:06,에이펙스 레전드|프래그마타,전체,1시간 에이펙스 예열 후에 프래그마타 다시 이어하기 ( 늦방 ㅈㅅ ),10.2,23,7,100,0,
2026.05.21(목) 13:44,2026.05.21(목) 19:06,종합 게임|에이펙스 레전드|프래그마타,전체,에펙 1시간 후 프래그마타 다시 해보기 ( 멀미 있음 이슈 ),5.4,12,8,100,0,
2026.05.20(수) 17:03,2026.05.20(수) 20:06,프래그마타|아이온2,전체,프래그마타 ~ 딸내미 키우기 잠깐 맛보기,3,6,3,0,0,
2026.05.20(수) 12:30,2026.05.20(수) 16:24,아이온2,전체,아이온2 레이드 빠르게 뛰고 프래그마타 맛보기,3.9,5,2,5,0,
2026.05.19(화) 14:35,2026.05.19(화) 22:30,이환|종합 게임|카오스 제로 나이트메어|에이펙스 레전드|아이온2,전체,에이펙스 레전드 밴티지의 광대쇼,7.9,20,13,103,0,
2026.05.18(월) 14:02,2026.05.18(월) 21:18,종합 게임|에이펙스 레전드|아이온2,전체,에이펙스 레전드 밴티지 혐오 ' 멈춰 ',7.3,17,9,239,-1,
2026.05.17(일) 13:40,2026.05.17(일) 21:00,이환|종합 게임|에이펙스 레전드|아이온2,전체,에이펙스 레전드 밴티지는 구리지 않다 이놈드라,7.3,19,9,80,0,
2026.05.16(토) 14:52,2026.05.16(토) 22:18,이환|에이펙스 레전드,전체,에이펙스 레전드 밴티지는 똥캐인가 ?,7.4,21,9,1013,0,
2026.05.15(금) 13:52,2026.05.15(금) 21:00,에이펙스 레전드|아이온2,전체,에이펙스 레전드 시즌 초 지옥의 골드큐,7.1,20,11,122,0,
