시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 12:00,2026.06.14(일) 16:48,체스 닷컴|그림/아트,전체,[휴뱅온] 그림공부🎨오늘은 뭐 그리는 지 맞춰바ㅏ,4.8,20,13,1361,4,
2026.06.09(화) 11:00,2026.06.09(화) 15:12,그림/아트|talk,전체,[휴뱅온] 🎨손풀기,4.2,15,9,1128,2,
2026.06.07(일) 11:00,2026.06.07(일) 16:36,엘든 링 황금 나무의 그림자,전체,[휴뱅온] 엘데의 왕: 그래서 이제 어디로 가야하죠?,5.6,12,7,469,-1,
2026.06.03(수) 04:01,2026.06.03(수) 14:12,엘든 링 황금 나무의 그림자|그림/아트,전체,[휴뱅온] 1부: 그림공부🎨 2부: 엘든링 DLC,10.2,19,12,1846,-1,
2026.06.02(화) 13:03,2026.06.02(화) 17:48,그림/아트,전체,[휴뱅온] 요가파이어 맞고 아작난 사람..🎨Study with me🎨,4.7,13,10,1286,2,
2026.06.01(월) 13:00,2026.06.01(월) 15:42,그림/아트,전체,[휴뱅온] 🎨Study with me🎨,2.7,12,10,706,-1,
2026.05.31(일) 09:24,2026.05.31(일) 14:42,체스 닷컴|그림/아트,전체,[휴뱅온] 그림공부 해야해 ´ㅅ` 🎨,5.3,14,9,1257,6,
2026.05.31(일) 09:01,2026.05.31(일) 09:18,그림/아트,전체,[휴뱅온] 그림공부 해야해 ´ㅅ` 🎨,0.3,4,3,22,0,
2026.05.25(월) 10:07,2026.05.25(월) 16:06,엘든 링 황금 나무의 그림자|체스 닷컴,전체,[휴뱅온] 덥다아,6,11,7,789,0,
2026.05.21(목) 11:58,2026.05.21(목) 18:06,미설정|엘든 링|체스 닷컴|talk,전체,[휴뱅온] 나 엘데의 왕. DLC하러간다👸,6.1,17,9,1539,4,
2026.05.17(일) 10:00,2026.05.17(일) 15:42,체스 닷컴|그림/아트,전체,[긴급 휴뱅온] 🎨구독배지 그리기,5.7,19,11,1475,4,
2026.05.09(토) 08:01,2026.05.09(토) 18:36,종합 게임|체스 닷컴|그림/아트,전체,[1부]💥파이널 그랑프리 갓필드 1인자 결정전💥[2부] 체스를 배워보자♟️,10.6,20,11,2892,20,
2026.05.08(금) 13:00,2026.05.08(금) 17:24,이환|talk,전체,[휴뱅온] 히히 불금💚,4.4,11,7,425,0,
2026.05.05(화) 07:08,2026.05.05(화) 14:36,이환,전체,[휴뱅온] 이환 찍?먹,7.5,11,7,768,2,
2026.05.05(화) 07:01,2026.05.05(화) 07:06,이환,전체,[휴뱅온] 이환 찍?먹,0.1,3,3,0,0,
2026.05.04(월) 14:00,2026.05.04(월) 20:00,talk,전체,[휴뱅온] 즐거운 연휴 보낸 사람 손🙋‍♀️,6,9,6,1048,0,
2026.04.27(월) 12:58,2026.04.27(월) 14:36,음악/노래,전체,[휴뱅온] 회식 다녀온 자의 음주가무,1.6,13,8,241,0,
2026.04.26(일) 09:00,2026.04.26(일) 13:48,엘든 링,전체,[휴뱅온] 오오 엘데의 왕 오오,4.8,10,7,789,0,
2026.04.26(일) 01:01,2026.04.26(일) 03:36,talk,전체,[휴뱅온] 나랑 모닝커피 한잔해💚,2.6,16,9,813,0,
2026.04.25(토) 04:01,2026.04.25(토) 14:18,프래그마타|talk,전체,[휴뱅온] 우리딸랑구 지구가면 아이돌 시킬거야💚,10.3,17,7,1228,-1,
2026.04.21(화) 11:29,2026.04.21(화) 14:24,프래그마타|talk,전체,[휴뱅온] 아빠의 마음💚,2.9,11,7,596,0,
2026.04.19(일) 12:27,2026.04.19(일) 14:54,프래그마타,전체,[휴뱅온] 아무리 피곤해도 딸이랑 놀아주고 자야지💚,2.4,7,5,236,0,
