시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.05.24(일) 13:29,2026.05.24(일) 16:30,종합 게임,전체,어? 방금 오른쪽 방 가구 움직이지 않았나..?,3,16,11,312,0,
2026.05.21(목) 12:58,2026.05.21(목) 14:00,talk,전체,같이 공부하실 분?,1,11,8,223,0,
2026.05.16(토) 16:00,2026.05.16(토) 21:54,바이오하자드,성인,전설의 시작 바하 제로의 엔딩 보기!!,5.9,14,10,0,1,
2026.05.03(일) 16:00,2026.05.03(일) 21:00,바이오하자드,성인,"모든 공포의 시작, 그날의 기차 안에는 무슨 일이 있었나? [바하 제로]",5,14,10,0,0,
2026.05.02(토) 16:00,2026.05.02(토) 21:00,바이오하자드,성인,"모든 공포의 시작, 그날의 기차 안에는 무슨 일이 있었나? [바하 제로]",5,11,8,0,2,
2026.04.24(금) 14:38,2026.04.24(금) 15:30,talk,전체,여러분 보러 잠깐 왔어요!,0.9,4,3,148,0,
2026.04.21(화) 23:49,2026.04.22(수) 02:00,talk,전체,공부 방송임니다,2.2,12,8,411,0,
2026.03.29(일) 16:00,2026.03.29(일) 21:00,바이오하자드 HD 리마스터,성인,왜 이렇게까지 게임 못하냐고 나쁜 말은...,5,13,8,0,1,
2026.03.28(토) 15:56,2026.03.28(토) 21:06,마인크래프트,전체,쉬움으로 엔더 드래곤 못잡으면 레전드인데,5.2,8,6,243,1,
2026.03.22(일) 16:01,2026.03.22(일) 21:06,마인크래프트,전체,마린이 둘이서 처음 잡는 엔더드래곤 잡기 도전! (with. 모네양님),5.1,10,6,202,-1,
2026.03.21(토) 16:00,2026.03.21(토) 20:24,리애니멀,성인,밤에 보면 안돼요. 꿈에 나올까 봐 무서운 역대급 크리처 디자인,4.4,10,7,0,-1,
2026.03.15(일) 19:52,2026.03.15(일) 21:06,마인크래프트,전체,최고의 디저트를 만들어주겠어! 🍰🧁,1.2,6,4,14,0,
2026.03.15(일) 18:00,2026.03.15(일) 19:06,종합 게임,전체,늦은 밤 홀로 남아 회사에서 탈출하는 공포게임,1.1,15,12,161,0,
2026.03.14(토) 16:01,2026.03.14(토) 20:24,종합 게임,전체,쨔잔! 키약이 등장,4.4,12,8,272,0,
2026.03.08(일) 16:00,2026.03.08(일) 21:00,종합 게임|마인크래프트|바이오쇼크 2,성인,"""딸아, 아빠가 갈게"" 괴물이 되어서라도 지키고 싶은 단 한 사람",5,12,8,56,-1,
2026.03.07(토) 16:00,2026.03.07(토) 20:30,종합 게임,전체,치지직 싸움왕 고양이 [Crypt Custodian],4.5,9,7,325,0,
2026.02.28(토) 16:00,2026.02.28(토) 21:06,종합 게임,전체,귀여운 고양이 청소부! [Crypt Custodian],5.1,8,6,252,1,
2026.02.27(금) 16:00,2026.02.27(금) 20:54,종합 게임,전체,귀여운 고양이 청소부! [Crypt Custodian],4.9,10,6,321,0,
2026.02.26(목) 16:01,2026.02.26(목) 19:18,종합 게임,전체,"""너는 어디서 온 거니?"" 영하 50도 설원에서 만난 신비로운 하얀 여우의 비밀",3.3,11,7,161,0,
2026.02.25(수) 16:00,2026.02.25(수) 18:12,파피 플레이타임,전체,릴리 뭔가 수상해,2.2,13,10,385,0,
2026.02.24(화) 16:00,2026.02.24(화) 20:54,파피 플레이타임,전체,파피 5 프로토타입 드디어 만나보죠,4.9,17,11,390,-1,
2026.02.23(월) 16:00,2026.02.23(월) 21:12,종합 게임|이스케이프 프롬 덕코프|talk,전체,이웃집 훔쳐보기 👀 [TERPENIE],5.2,13,10,572,1,
2026.02.13(금) 09:00,2026.02.13(금) 12:18,우미가리,전체,나는야 기괴한 낚시꾼 🐟,3.3,10,4,114,0,
2026.02.12(목) 16:00,2026.02.12(목) 21:00,우미가리,전체,어느 어촌 마을의 기괴한 '바다 사냥' 전통,5,13,9,209,1,
2026.02.10(화) 16:00,2026.02.10(화) 21:00,종합 게임|우미가리,전체,어제 퍼즐 끝냈냐구요? (아니요),5,13,10,309,0,
2026.02.09(월) 16:00,2026.02.09(월) 21:00,미설정|종합 게임,전체,오늘 머리 터지는 날 🧩,5,13,10,475,1,
2026.02.07(토) 16:00,2026.02.07(토) 17:54,바이오쇼크,성인,바이오쇼크 엔딩 가보자..!,1.9,14,10,0,0,
2026.02.06(금) 16:00,2026.02.06(금) 21:00,바이오쇼크,성인,제일 광기 어린 분을 만난다고요..?,5,12,8,0,0,
2026.02.05(목) 16:00,2026.02.05(목) 21:06,바이오쇼크,성인,"""이게 낙원이라고?"" 대서양 밑 600m, 미쳐버린 황금 도시 '랩처'의 진실",5.1,13,9,0,1,
2026.02.03(화) 16:00,2026.02.03(화) 21:06,바이오쇼크,성인,명작이라 불리는 이유… 바이오쇼크 첫 플레이,5.1,15,12,0,2,
2026.02.02(월) 16:00,2026.02.02(월) 21:00,종합 게임|두근두근타운,성인,살인마 맞장뜨자 어딨어,5,16,12,218,-1,
2026.01.31(토) 16:00,2026.01.31(토) 21:06,종합 게임,성인,"""우리 강아지가 허공을 보고 짖기 시작했다."" 숲속에 숨겨진 끔찍한 '그것'의 정체",5.1,18,13,0,0,
2026.01.30(금) 16:00,2026.01.30(금) 20:18,이용약관에 동의하고 싶어,전체,이용약관에 동의만 하면 클리어하는 게임,4.3,13,8,330,0,
2026.01.29(목) 16:00,2026.01.29(목) 21:00,암네시아: 리버스|두근두근타운,성인,괴물을 더이상 만나고 싶지 않아요 [리버스 3일차],5,13,9,134,0,
2026.01.27(화) 16:00,2026.01.27(화) 21:00,암네시아: 리버스,성인,암네시아 어제 이어서 마저 진행..!,5,16,12,0,1,
2026.01.26(월) 16:00,2026.01.26(월) 21:00,암네시아: 리버스,성인,"""내 아이만은 살려야 해"" 사막 한복판, 임신한 몸으로 마주한 고대의 저주",5,19,14,0,2,
2026.01.24(토) 16:00,2026.01.24(토) 21:30,종합 게임,전체,"""아빠, 여기예요..."" 아이들 목소리를 따라간 '인간 도살장'의 실체",5.5,18,14,493,2,
2026.01.23(금) 19:31,2026.01.23(금) 22:42,미메시스,전체,"난 진짜야..!!! (w. 치코리차, 모네양, 설민09)",3.2,9,6,245,1,
2026.01.20(화) 16:00,2026.01.20(화) 20:54,두근두근타운,전체,두두타! 2일차! 🩷,4.9,15,11,407,1,
2026.01.16(금) 11:00,2026.01.16(금) 16:12,두근두근타운,전체,우왕~!! 힐링 게임이에요! ✨,5.2,13,9,474,4,
2026.01.15(목) 16:00,2026.01.15(목) 21:36,종합 게임,전체,프레디인데… 직접 도망쳐야 한다고? [into the pit],5.6,15,11,795,1,
2026.01.13(화) 16:00,2026.01.13(화) 20:30,종합 게임|talk,성인,암네시아.. 오늘은 엔딩 본다..!,4.5,15,11,97,1,
2026.01.12(월) 15:55,2026.01.12(월) 21:06,스타듀 밸리,전체,뉴비의 스타듀밸리! 🌱 (with. 모네양님),5.2,13,9,354,3,
2026.01.10(토) 16:00,2026.01.10(토) 19:24,암네시아: 더 다크 디센트,성인,멘탈 관리 공포 게임인데 유리 멘탈... [Amnesia],3.4,13,10,0,0,
2026.01.09(금) 16:00,2026.01.09(금) 21:00,암네시아: 더 다크 디센트,성인,도망쳐야만 살아남는 명작 공포게임｜Amnesia,5,15,11,0,2,
2026.01.08(목) 16:42,2026.01.08(목) 21:30,골목길 : 귀흔,전체,어두운 밤에 혼자 골목길 가면 안되는 이유...,4.8,16,13,479,0,
2026.01.08(목) 16:00,2026.01.08(목) 16:42,골목길 : 귀흔,전체,어두운 밤에 혼자 골목길 가면 안되는 이유...,0.7,13,10,252,1,
2026.01.06(화) 16:00,2026.01.06(화) 21:00,종합 게임,전체,올페퍽트 찍을 때까지! (Bits & bops),5,12,8,376,0,
2026.01.05(월) 15:50,2026.01.05(월) 21:12,종합 게임|스타듀 밸리,전체,10시간 넘게 못 깨는 중.. (with.모네양),5.4,15,9,215,2,
2026.12.30(화) 15:50,2026.12.30(화) 23:12,종합 게임,전체,우리는 여기에 있었다..,7.4,14,9,558,3,
2026.12.29(월) 16:00,2026.12.29(월) 21:30,비츠 앤 밥스,전체,리듬 게임 실력 좀 발휘해볼까?!,5.5,13,10,381,0,
2026.12.27(토) 16:00,2026.12.27(토) 19:00,종합 게임,전체,웃고 있는 캐릭터가 제일 무섭다..,3,11,9,159,0,
2026.12.26(금) 16:00,2026.12.26(금) 21:00,벤디 앤 더 잉크 머신,전체,오랜만에 공겜으로 돌아왔습니다..,5,13,9,378,0,
2026.12.25(목) 13:51,2026.12.25(목) 22:42,우리는 여기에 있었다 투게더|마인크래프트|talk,전체,메리 크리스마스! 🎅🌲,8.9,10,8,563,3,
2026.12.23(화) 16:01,2026.12.24(수) 03:12,마인크래프트,전체,광물캐며 힐링하기 🌱 [카퍼플래닛 2일차],11.2,14,10,871,0,
2026.12.22(월) 16:00,2026.12.22(월) 22:24,마인크래프트,전체,삐약이! 넌 내 거야! [1일차],6.4,12,9,302,0,
2026.12.20(토) 22:00,2026.12.21(일) 02:06,이스케이프 프롬 덕코프|마인크래프트,전체,포켓몬 모험을 떠나러 가보쟈! ✨🌱,4.1,15,11,413,1,
2026.12.07(일) 09:00,2026.12.07(일) 14:06,이스케이프 프롬 덕코프,전체,곧 엔딩을 보려나?,5.1,39,22,444,3,
2026.12.06(토) 09:00,2026.12.06(토) 13:54,이스케이프 프롬 덕코프,전체,오늘 한번도 안 죽을 자신 있다,4.9,15,9,533,-1,
2026.12.01(월) 09:01,2026.12.01(월) 14:00,이스케이프 프롬 덕코프,전체,총 진짜 너무 잘 쏘는데 ‎ ▄︻̷̿┻̿═━一,5,29,16,700,1,
2026.11.23(일) 09:00,2026.11.23(일) 14:00,이스케이프 프롬 덕코프,전체,잘 잡을 수 있다구...( • ᴖ • ｡)‎ ▄︻̷̿┻̿═━一,5,22,15,484,2,
2026.11.22(토) 09:00,2026.11.22(토) 14:00,이스케이프 프롬 덕코프,전체,보스 다 잡는 거 보여드릴게요! (˵ •̀ ᴗ - ˵ ) ✧–︻╦╤─,5,28,18,618,4,
2026.11.16(일) 09:00,2026.11.16(일) 15:18,이스케이프 프롬 덕코프,전체,모두 다 쏴 죽이겠다!,6.3,23,16,761,3,
2026.11.15(토) 09:00,2026.11.15(토) 15:06,이스케이프 프롬 덕코프,전체,모두 다 쏴 죽이겠다!,6.1,30,17,955,3,
2026.11.02(일) 09:00,2026.11.02(일) 14:36,이스케이프 프롬 덕코프,전체,총 쏘는 거 좀 나아졌으라나..,5.6,16,11,532,1,
2026.11.01(토) 09:00,2026.11.01(토) 14:30,종합 게임,전체,최초공개! 메이드 걸이다냥 ♥️,5.5,17,12,732,0,
2026.10.26(일) 09:00,2026.10.26(일) 13:30,종합 게임,전체,방과후 학교 몰래 탐방하기,4.5,19,14,681,3,
2026.10.25(토) 09:01,2026.10.25(토) 14:18,종합 게임,전체,이게 찐 리나메3..?!,5.3,17,11,734,1,
2026.10.12(일) 09:00,2026.10.12(일) 15:12,종합 게임|리틀 나이트메어 3,전체,Ai가 나보다 잘해,6.2,18,13,1101,4,
2026.10.11(토) 09:02,2026.10.11(토) 14:06,리틀 나이트메어 3,전체,기다리고 기다리던 리나메3!,5.1,13,8,416,1,
2026.09.28(일) 20:34,2026.09.28(일) 21:54,먹방/쿡방,전체,저녁 냠냠,1.3,8,6,275,0,
2026.09.28(일) 09:00,2026.09.28(일) 15:00,종합 게임|그림자 복도,성인,마지막 해후.. 렛츠고,6,20,12,581,1,
2026.09.27(토) 09:00,2026.09.27(토) 14:24,그림자 복도,전체,뭐?! 오늘은 진짜 진엔딩 본다고?,5.4,16,13,1257,1,
2026.09.21(일) 16:21,2026.09.21(일) 18:06,talk,전체,사일런트힐f 모금함에 돈 주신 분,1.7,11,8,577,0,
2026.09.21(일) 09:01,2026.09.21(일) 15:06,그림자 복도|리틀 나이트메어 3,전체,리나메 3 드디어..!,6.1,20,12,897,2,
2026.09.20(토) 09:00,2026.09.20(토) 14:12,그림자 복도,전체,영집 황곡만 먹으면..!! (오늘 꼭 본다),5.2,14,10,962,0,
2026.09.14(일) 09:04,2026.09.14(일) 14:12,그림자 복도,전체,진엔딩 고고!,5.1,18,13,1352,2,
2026.09.13(토) 09:00,2026.09.13(토) 14:06,그림자 복도,전체,이제 그복 고수 ㅇㅈ?,5.1,20,14,1099,4,
2026.09.08(월) 09:00,2026.09.08(월) 16:30,그림자 복도,전체,그복 영혼집합소 가즈아,7.5,18,9,1282,3,
2026.08.30(토) 14:00,2026.08.30(토) 17:18,컵헤드|그림자 복도,전체,보스 잡자!,3.3,12,8,558,1,
2026.08.29(금) 13:00,2026.08.29(금) 17:24,더 클래스룸|컵헤드,전체,놀이방? 안무서울듯?,4.4,10,6,248,1,
2026.08.28(목) 14:00,2026.08.28(목) 18:24,그림자 복도,전체,완전 겁쟁이 [그복:심연],4.4,14,9,723,3,
2026.08.27(수) 14:00,2026.08.27(수) 17:42,그림자 복도,전체,겁쟁이 아님,3.7,14,12,401,3,
2026.08.26(화) 14:00,2026.08.26(화) 17:42,그림자 복도,전체,그림자 복도...,3.7,15,10,496,1,
2026.08.25(월) 14:20,2026.08.25(월) 17:24,종합 게임|컵헤드,전체,지각 죄송합니다..,3.1,10,8,339,1,
2026.08.23(토) 14:00,2026.08.23(토) 18:54,컵헤드,전체,용용이 덤벼,4.9,7,5,296,1,
2026.08.22(금) 13:00,2026.08.22(금) 17:30,컵헤드,전체,실제로 맞는 건 아니구요 좀 아픈 거 같기도..,4.5,8,5,428,0,
2026.08.21(목) 14:00,2026.08.21(목) 17:42,컵헤드,전체,의외로 피지컬 좋을지도?,3.7,8,7,476,0,
2026.08.19(화) 14:00,2026.08.19(화) 17:48,종합 게임|컵헤드,전체,보스 다 때려 잡아주게따,3.8,10,6,440,0,
2026.08.18(월) 14:01,2026.08.18(월) 17:00,종합 게임,전체,좋은 월요일! 🌞,3,11,7,391,0,
2026.08.14(목) 14:00,2026.08.14(목) 16:30,종합 게임,전체,심오하도다.. 스토리..,2.5,8,7,260,0,
2026.08.13(수) 14:00,2026.08.13(수) 15:18,talk,전체,얘기 나눠요!,1.3,10,8,292,0,
2026.08.12(화) 14:00,2026.08.12(화) 17:36,talk,전체,반전으로 가득한 감동적인 이야기 🌟,3.6,9,7,541,0,
