시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 12:03,2026.06.14(일) 18:48,승리의 여신: 니케|talk,전체,"삼성전자, 삼성라이온즈 최강삼성!!!!!!!",6.7,21,14,1858,3,
2026.06.13(토) 12:06,2026.06.13(토) 17:54,이터널 리턴|talk,전체,자려고 누웠는데 갑자기💛,5.8,23,16,1326,3,
2026.06.12(금) 12:04,2026.06.12(금) 19:30,이터널 리턴|talk,전체,오랜만이지룽💛,7.4,21,16,1790,0,
2026.06.07(일) 10:06,2026.06.07(일) 15:06,talk,전체,오늘은 7시 요정!,5,21,16,1301,0,
2026.06.06(토) 11:02,2026.06.06(토) 19:42,이터널 리턴|talk,전체,리버풀 바르샤 매치 포기하고 왔다,8.7,19,14,1481,1,
2026.06.02(화) 12:36,2026.06.02(화) 12:48,야구,전체,여기가 바로 라팍~ 최강 삼성💙,0.2,10,10,41,0,
2026.06.02(화) 09:33,2026.06.02(화) 10:48,야구|talk,전체,여기가 바로 라팍~ 최강 삼성💙,1.2,14,12,294,0,
2026.06.01(월) 12:03,2026.06.01(월) 17:42,이터널 리턴|talk,전체,왜 벌써 6월?,5.6,23,16,1214,-2,
2026.05.31(일) 12:02,2026.05.31(일) 18:12,PUBG: 배틀그라운드|talk,전체,유일한 취미 생활을 잃을 뻔 했던 날,6.2,17,14,1185,2,
2026.05.30(토) 12:02,2026.05.30(토) 19:00,이터널 리턴|talk,전체,코맹맹이라고 놀리기 엄쯈,7,18,12,1337,-1,
2026.05.26(화) 12:21,2026.05.26(화) 15:00,talk,전체,이게 눈물인지 빗물인지 앙앙앙,2.6,15,12,726,0,
2026.05.25(월) 12:30,2026.05.25(월) 18:48,이터널 리턴|talk,전체,멍멍이만도 못한 사람 왔어요^^;;,6.3,19,16,1518,1,
2026.05.23(토) 12:04,2026.05.23(토) 18:24,서브노티카 2|talk,전체,어푸어푸,6.3,18,13,1798,0,
2026.05.22(금) 12:01,2026.05.22(금) 18:42,슬레이 더 스파이어 2|talk,전체,인간 복숭아의 등장,6.7,22,16,1905,1,
2026.05.20(수) 12:01,2026.05.20(수) 16:42,이터널 리턴|talk,전체,제목 지으려고 앉아있던 시간 5분 이상,4.7,20,16,821,-1,
2026.05.18(월) 12:01,2026.05.18(월) 19:30,슬레이 더 스파이어 2|talk,전체,요정 등장!!!!!!,7.5,25,17,3842,2,
2026.05.16(토) 12:32,2026.05.16(토) 16:42,이터널 리턴|talk,전체,희망 안고 왔습니닷,4.2,18,14,768,1,
2026.05.15(금) 12:57,2026.05.15(금) 19:18,talk,성인,신고를 할까 어쩔까,6.3,22,17,317,0,
2026.05.14(목) 12:01,2026.05.14(목) 20:06,프로스트펑크|talk,전체,오늘 인성 테스트 받습니다;;;,8.1,21,16,1618,0,
2026.05.13(수) 12:02,2026.05.13(수) 18:48,승리의 여신: 니케|슬레이 더 스파이어 2|talk,전체,"힐링했으니, 나도 힐링을 드림!",6.8,22,16,2106,1,
