시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:00,LIVE,리브리토피아: 라이브러리언 시뮬레이터|talk,전체,LIVE,3.3,26,22,1222,0,
2026.06.14(일) 03:04,2026.06.14(일) 14:36,성세천하: 여제의 탄생 Ⅱ|talk,전체,느슨해진 라이브러리에 긴장감을 넣어줄 그 게임,11.5,31,23,2463,1,
2026.06.13(토) 11:30,2026.06.13(토) 12:24,talk,전체,째깍째깍휴방이에요) ㅇ ㅏ 백룸말고 메이뿌리쇼케이스볼걸,0.9,20,17,375,0,
2026.06.12(금) 10:02,2026.06.12(금) 16:00,오버워치|talk,전체,왼쪽 날개뼈있는쪽이 아파!,6,35,26,1724,-1,
2026.06.11(목) 10:00,2026.06.11(목) 14:18,나인 솔즈|메이플스토리|talk,전체,오랜만에 치킨을 먹었어요,4.3,29,24,1160,-2,
2026.06.10(수) 10:00,2026.06.10(수) 14:12,나인 솔즈|talk,전체,저는바보멍청이에요,4.2,26,20,1148,0,
2026.06.09(화) 10:01,2026.06.09(화) 12:24,talk,전체,눈이 안떠져,2.4,25,20,1061,0,
2026.06.08(월) 10:02,2026.06.08(월) 14:18,나인 솔즈|talk,전체,기적적인 기상 성공,4.3,32,24,1434,0,
2026.06.07(일) 10:00,2026.06.07(일) 14:18,메이플스토리|talk,전체,올라가는게어렵지 내려가는건 쉽지않나 ?,4.3,35,28,1616,0,
2026.06.06(토) 11:30,2026.06.06(토) 12:30,talk,전체,어째서 코찔찔이가 된건가요? (째깍째깍 휴방이에요),1,16,14,408,0,
2026.06.05(금) 10:02,2026.06.05(금) 16:24,엔터 더 건전|메이플스토리|007 퍼스트 라이트|talk,전체,낮잠을 못잔 뿌람 이대로 괜찮은가,6.4,31,20,2064,1,
2026.06.04(목) 10:01,2026.06.04(목) 14:06,007 퍼스트 라이트|talk,전체,싱싱미역인간이에요,4.1,28,20,1185,0,
2026.06.03(수) 03:01,2026.06.03(수) 14:00,007 퍼스트 라이트|talk,전체,오랜만에 낮에온녀석,11,34,28,2872,0,
2026.06.02(화) 10:01,2026.06.02(화) 15:06,오버워치|talk,전체,드디어 선풍기를 꺼냈어요,5.1,29,22,1519,0,
2026.06.01(월) 10:00,2026.06.01(월) 14:30,나인 솔즈|talk,전체,도둑이야 상추도둑이야,4.5,29,24,1358,1,
2026.05.31(일) 10:00,2026.05.31(일) 14:12,나인 솔즈|talk,전체,뿌람다쳐써피났서,4.2,32,22,1064,0,
2026.05.30(토) 11:20,2026.05.30(토) 12:30,talk,전체,째깍째깍 휴방이에요~,1.2,17,14,463,0,
2026.05.29(금) 10:03,2026.05.29(금) 15:42,재앙|에브리씽 이즈 크랩: 동물 진화 로그라이트|talk,전체,오늘 집에 아무도없음,5.6,25,19,1692,0,
2026.05.28(목) 10:10,2026.05.28(목) 14:24,재앙|talk,전체,큰일나써 오늘 낮잠을 못자써,4.2,33,27,1205,0,
2026.05.27(수) 10:00,2026.05.27(수) 13:24,메이플스토리|talk,전체,오늘 진짜 이상한 날이었어요@_@,3.4,33,24,1608,2,
2026.05.26(화) 11:01,2026.05.26(화) 14:36,talk,전체,1년만에(당연함) 돌아온 생일특집,3.6,40,33,3906,1,
2026.05.25(월) 10:01,2026.05.25(월) 14:30,오버워치|talk,전체,힐링이 필요할땐,4.5,25,19,1435,2,
2026.05.24(일) 10:01,2026.05.24(일) 15:48,나인 솔즈|talk,전체,오늘 저녁 못먹어서 리조또 시켜써,5.8,33,20,1647,2,
2026.05.23(토) 11:30,2026.05.23(토) 12:30,talk,전체,째깍째깍휴방인데용 오늘 가챠할거 같이하려고 하루종일 기다려써,1,22,20,443,0,
2026.05.22(금) 12:00,2026.05.22(금) 14:48,talk,전체,휴방이에용,2.8,26,20,887,1,
2026.05.21(목) 10:04,2026.05.21(목) 14:12,나인 솔즈|talk,전체,낮잠자다가 알람안울려서 어마가 깨워주고갔써..,4.1,27,20,1295,0,
2026.05.20(수) 10:01,2026.05.20(수) 14:12,메이플스토리|talk,전체,주간보스 돌아서 로얄까야징,4.2,30,25,2067,2,
2026.05.19(화) 10:00,2026.05.19(화) 14:18,에브리씽 이즈 크랩: 동물 진화 로그라이트|talk,전체,저녁을 못먹었따!,4.3,26,21,1429,0,
2026.05.18(월) 10:00,2026.05.18(월) 14:36,매지컬 프린세스|talk,전체,꿀잠자고와써이~,4.6,30,21,1531,0,
2026.05.17(일) 10:00,2026.05.17(일) 14:18,매지컬 프린세스|talk,전체,젠장 더 일찍오려했는데 실패했습니다 콰광,4.3,22,18,1181,1,
2026.05.16(토) 11:30,2026.05.16(토) 12:24,talk,전체,째깍째깍 휴방이에용 엄마가 내 방에 깜짝방문해서 방 더럽다고 혼났씁니다,0.9,22,18,432,0,
2026.05.15(금) 15:02,2026.05.15(금) 15:06,talk,전체,2회차는 컷신이추가되고 스토리가 달라진다고?,0.1,26,26,96,0,
2026.05.15(금) 10:00,2026.05.15(금) 15:00,매지컬 프린세스|talk,전체,2회차는 컷신이추가되고 스토리가 달라진다고?,5,25,23,519,0,
