시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 03:55,2026.06.14(일) 12:06,림월드,전체,3지구 멸망 4지구! [림월드 10일차],8.2,27,21,550,0,
2026.06.13(토) 03:50,2026.06.13(토) 12:24,림월드,전체,뭔가...뭔가!! 33%부족해요![림월드],8.6,32,24,523,1,
2026.06.11(목) 05:55,2026.06.11(목) 14:30,명일방주: 엔드필드,전체,한 걸음 앞으로 나아갔어! 메인스토리+미브 뽑기 [명방엔필],8.6,30,21,843,0,
2026.06.10(수) 05:51,2026.06.10(수) 12:06,림월드,전체,[림월드 8일차] 뭔가...뭔가..!!,6.2,26,18,471,3,
2026.06.09(화) 05:55,2026.06.09(화) 12:18,림월드,전체,[림월드 7일차] 어려운데 재미있다!!,6.4,25,17,390,-1,
2026.06.07(일) 03:54,2026.06.07(일) 12:00,림월드|암네시아: 더 다크 디센트|talk,전체,[암네시아] 엔?딩 가즈아아,8.1,33,25,714,0,
2026.06.06(토) 03:55,2026.06.06(토) 11:12,암네시아: 더 다크 디센트|talk,전체,1부 카페 유머글 읽고 2부 공겜 ㄱㄱ,7.3,28,19,921,0,
2026.06.05(금) 05:57,2026.06.05(금) 12:54,림월드,전체,[림월드 5일차] 3지구 운명 도박 ㄱㄱ?,6.9,29,20,723,2,
2026.06.04(목) 05:55,2026.06.04(목) 12:36,림월드,전체,[림월드 4일차] 3지구가 아슬?아슬,6.7,27,21,627,0,
2026.06.03(수) 03:58,2026.06.03(수) 12:24,이환,전체,라크리모사!포르쉐!스킨!신맵!라크리모사!스킨!포르쉐!신맵!라크리모사!스킨!포르쉐!신맵!라크리모사!스킨!포르쉐!신맵!라크리모사!스킨!포르쉐!신맵!,8.4,17,14,1335,-1,
2026.06.02(화) 05:55,2026.06.02(화) 12:12,림월드,전체,[림월드] 3지구의 운명은!?,6.3,30,22,483,0,
2026.05.31(일) 03:48,2026.05.31(일) 13:06,림월드,전체,[림월드] 2일차인데 2지구인 나 ㅋㅋㅋㅋㅋ,9.3,42,29,977,4,
2026.05.30(토) 03:51,2026.05.30(토) 11:42,이환|림월드|007 퍼스트 라이트|talk,전체,카페 유머글 읽고 [007 퍼스트 라이트] 엔딩보러가기!!,7.8,35,23,1030,0,
2026.05.29(금) 05:55,2026.05.29(금) 12:36,007 퍼스트 라이트,전체,갓!겜! [007 퍼스트 라이트],6.7,20,16,697,1,
2026.05.28(목) 05:55,2026.05.28(목) 12:12,007 퍼스트 라이트,전체,당다라당당 당당당♪ 빠라밤~ 빠!밤! [007 퍼스트 라이트],6.3,23,16,616,0,
2026.05.23(토) 03:55,2026.05.26(화) 11:30,악의|이환|완다와 거상|붉은사막|성세천하: 여제의 탄생|타이탄폴 2|talk,전체,!노방종 카페 유머글 읽고 2부 성세 천?하? 궁중 암투,79.6,76,22,7438,4,
2026.05.21(목) 05:55,2026.05.21(목) 12:42,디아블로 4: 증오의 군주,전체,3호기 메피스토 가능? [디아블로4 증오의 군주],6.8,44,29,626,0,
2026.05.20(수) 05:55,2026.05.20(수) 12:18,디아블로 4: 증오의 군주,전체,메피스토오오오오!! 3호기 복구중 [디아블로4 증오의 군주],6.4,34,26,504,0,
2026.05.19(화) 05:56,2026.05.19(화) 12:24,디아블로 4: 증오의 군주,전체,엔?딩? 2호기 가즈아아 [디아블로4 증오의 군주],6.5,31,21,359,1,
2026.05.17(일) 03:56,2026.05.17(일) 11:42,디아블로 4: 증오의 군주|talk,전체,진짜 미쳐따! 8막~ 2호기 가즈아아,7.8,35,25,609,1,
2026.05.16(토) 03:54,2026.05.16(토) 12:30,돌 임포스터|이환|talk,전체,노방종 룰렛 만들기 + 카페 유머글 읽기! 2부 [공겜] 살인 인형이 있어...? *돌 임포스터*,8.6,22,17,1124,0,
2026.05.15(금) 05:55,2026.05.15(금) 12:24,디아블로 4: 증오의 군주|디아블로 4: 증오의 그릇,전체,진짜 시네마 맛집! 2호기 가즈아 [디아블로4],6.5,28,19,651,2,
2026.05.14(목) 05:59,2026.05.14(목) 12:18,디아블로 4|디아블로 4: 증오의 그릇,전체,6막~2호기 가즈아 [디아블로4],6.3,21,16,543,1,
2026.05.13(수) 05:54,2026.05.13(수) 12:36,이환,전체,호토리호토리호토리 [이환],6.7,23,17,1058,2,
2026.05.12(화) 05:54,2026.05.12(화) 12:06,디아블로 4,전체,두근두근 5막~ [디아블로4],6.2,24,17,506,0,
2026.05.10(일) 03:54,2026.05.10(일) 12:12,디아블로 4,전체,3막 부터 ~ [디아블로4],8.3,29,22,801,0,
2026.05.09(토) 03:50,2026.05.09(토) 12:24,디아블로 4|talk,전체,카페 유머글 읽고 2부 스토리 맛집 보러온 뉴비 [디아블로4],8.6,24,18,1039,0,
2026.05.07(목) 05:55,2026.05.07(목) 12:48,디아블로 4,전체,[디아블로4] 처음 부터 하는 진짜 뉴비,6.9,27,19,603,1,
2026.05.06(수) 05:56,2026.05.06(수) 12:24,이환,전체,이환이환이환 [이환],6.5,27,20,745,2,
2026.05.05(화) 05:55,2026.05.05(화) 12:12,이환,전체,이상헌터 출발! 재미있다!! [이환],6.3,27,21,1229,3,
2026.05.03(일) 03:55,2026.05.03(일) 12:06,이환,전체,은근 무섭다! [ 이환 ],8.2,26,20,1197,2,
2026.05.02(토) 03:55,2026.05.02(토) 11:54,이환|talk,전체,생명 연장 카페 유머글 읽고~ 2부 왜 재미있지? [ 이환 ],8,30,21,1113,0,
2026.05.01(금) 05:59,2026.05.01(금) 13:00,이환,전체,S가 없는데 망한건가요? [ 이환 ],7,22,17,1109,4,
2026.04.30(목) 05:55,2026.04.30(목) 12:30,승리의 여신: 니케|talk,전체,"3.5주년 스토리 보고 레온, 아니스 가챠!!",6.6,20,14,1184,-1,
2026.04.29(수) 05:49,2026.04.29(수) 12:24,이환,전체,선발대 분들 재미있나요? 새로운 세계가 생겼다!! [이환],6.6,22,17,773,0,
2026.04.28(화) 05:56,2026.04.28(화) 12:48,윈드로즈,전체,해적 재미있다!! [윈드로즈],6.9,22,17,483,1,
2026.04.26(일) 03:55,2026.04.26(일) 12:30,윈드로즈|talk,전체,일단 쏴!! 뉴비 해적 생존기 [윈드로즈],8.6,28,20,1217,-1,
2026.04.25(토) 03:55,2026.04.25(토) 11:30,윈드로즈|talk,전체,카페 유머글 읽고 2부 드디어 배가 생긴 뉴비 해적 [윈드로즈],7.6,29,23,1016,1,
2026.04.23(목) 05:56,2026.04.23(목) 13:18,승리의 여신: 니케|붉은사막,전체,메인 45 46지 스토리 보기!,7.4,24,16,1070,1,
2026.04.22(수) 05:54,2026.04.22(수) 12:24,윈드로즈,전체,해적 뉴비의 생존기! [윈드로즈],6.5,28,20,706,0,
2026.04.21(화) 05:55,2026.04.21(화) 12:30,윈드로즈|프래그마타,전체,비밀의 방 깨고 엔딩 2트! [프래그마타],6.6,33,22,561,1,
2026.04.19(일) 03:55,2026.04.19(일) 12:30,프래그마타|talk,전체,엔딩 가즈아! [프래그마타],8.6,25,18,909,1,
2026.04.18(토) 03:55,2026.04.18(토) 12:06,프래그마타,전체,"카페 유머글 읽고, 2부 귀엽고 뇌가 뜨거운 게임! [프래그마타]",8.2,24,18,893,2,
2026.04.17(금) 04:58,2026.04.17(금) 12:30,프래그마타,전체,[프래그마타] 귀여운 다이애나랑 해킹!,7.5,20,16,821,0,
2026.04.16(목) 05:55,2026.04.16(목) 13:00,피크|승리의 여신: 니케|붉은사막,전체,「PRETTY STAR」 스토오오리 보기! 2부???,7.1,26,16,940,2,
2026.04.15(수) 05:55,2026.04.15(수) 12:00,디 오컬티스트|종합 게임|talk,전체,사이비 섬에서 탈출! [디 오컬티스트],6.1,24,17,568,0,
2026.04.14(화) 05:55,2026.04.14(화) 12:06,디 오컬티스트,전체,폐가가서 오컬트 조사하는 게임! [디 오컬티스트],6.2,29,21,484,0,
2026.04.12(일) 04:33,2026.04.12(일) 14:06,붉은사막|talk,전체,지금 일어난 나...,9.5,27,21,1442,0,
2026.04.11(토) 03:50,2026.04.11(토) 11:54,붉은사막|talk,전체,카페 유머글 읽고 2부 붉은 사막 엔딩 가즈아아아!!,8.1,31,22,1042,0,
2026.04.10(금) 07:30,2026.04.10(금) 12:48,붉은사막,전체,휴방이지만 전설 돟물 잡으러온 나 (｡･∀･)ﾉﾞ,5.3,22,15,539,0,
2026.04.09(목) 05:50,2026.04.09(목) 12:48,붉은사막,전체,붉은 사막불끈 사막붉은 사막불끈 사막,7,30,20,594,-1,
2026.04.08(수) 05:56,2026.04.08(수) 12:24,붉은사막,전체,모험 좋아! 붉은 사막붉은 사막붉은 사막,6.5,29,19,561,3,
2026.04.07(화) 05:55,2026.04.07(화) 12:30,붉은사막,전체,붉은 사막에 와따! 붉은 사막붉은 사막붉은 사막,6.6,29,20,488,2,
2026.04.05(일) 03:55,2026.04.05(일) 14:00,붉은사막,전체,해피 중세 판타지 모험!붉은사막붉은사막붉은사막,10.1,37,27,949,1,
2026.04.04(토) 03:55,2026.04.04(토) 14:06,붉은사막|talk,전체,1부 카페 유머글~ 2부 붉며들면 약도 없데요! 어느덧 122시간 붉은사막,10.2,32,22,1052,-1,
2026.04.03(금) 05:56,2026.04.03(금) 14:12,붉은사막,전체,질릴 틈이 없어! 붉사 붉은 사막붉은 사막붉은 사막,8.3,36,26,703,1,
2026.04.02(목) 05:55,2026.04.02(목) 12:36,붉은사막,전체,새로운게 계속나오는 게임ㅋㅋㅋ 붉사 붉은 사막붉은 사막붉은 사막,6.7,36,23,532,1,
2026.04.01(수) 05:55,2026.04.01(수) 12:42,붉은사막,전체,중세 코미디 일상! 붉사 붉은 사막붉은 사막붉은 사막,6.8,49,30,507,1,
2026.03.31(화) 05:50,2026.03.31(화) 12:18,붉은사막,전체,중세 판타지 너무 좋아! 붉사 붉은 사막붉은 사막붉은 사막,6.5,53,28,614,0,
2026.03.29(일) 03:55,2026.03.29(일) 14:00,붉은사막,전체,왜 계속 재미있지? 붉은 사막붉은 사막붉은 사막,10.1,35,27,655,2,
2026.03.28(토) 03:55,2026.03.28(토) 14:12,붉은사막|talk,전체,1부 볼따구 엘다인 뽑?기 2부 붉은 사막붉은 사막붉은 사막붉은,10.3,32,24,1503,1,
