시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:02,LIVE,음악/노래|talk,전체,LIVE,1.3,39,28,728,2,
2026.06.13(토) 11:38,2026.06.13(토) 17:06,슈퍼 배틀 골프|이터널 리턴|PUBG: 배틀그라운드|talk,전체,[예열] 9시 골프 합방!,5.5,36,28,591,0,
2026.06.13(토) 11:29,2026.06.13(토) 11:30,talk,전체,[예열] 9시 골프 합방!,0,0,0,0,0,
2026.06.12(금) 12:02,2026.06.12(금) 15:18,마인크래프트,전체,[혁명PD몬스터] 모험을 떠나보자!,3.3,28,23,538,0,
2026.06.11(목) 12:00,2026.06.11(목) 16:18,다크 아워스|마인크래프트,전체,[혁명 PD서버] 10시 공겜 합방,4.3,27,23,587,0,
2026.06.10(수) 12:01,2026.06.10(수) 20:42,마인크래프트,전체,[혁명 PD서버] 이번에는 전설 포켓몬! 그리고 농사!,8.7,42,29,1396,3,
2026.06.09(화) 14:00,2026.06.09(화) 17:36,마인크래프트,전체,[혁명 PD서버] 함께라면 할 수 있어!,3.6,28,24,722,0,
2026.06.08(월) 12:00,2026.06.08(월) 18:18,마인크래프트,전체,[혁명 PD서버] 딱... 한번만 더...,6.3,39,31,1143,1,
2026.06.07(일) 12:00,2026.06.07(일) 17:48,마인크래프트|talk,전체,📢첫 만남은 너무 어려워!ㅣw.해랑,5.8,49,37,4449,5,
2026.06.07(일) 09:26,2026.06.07(일) 10:30,마인크래프트,전체,[혁명PD몬스터] 잠시 선택받은 아이가 되기 위해 왔어요!!!,1.1,34,27,206,0,
2026.06.06(토) 08:52,2026.06.06(토) 15:06,마인크래프트,전체,[혁명PD몬스터] 찾아라 비밀의 열쇠,6.2,28,22,660,4,
2026.06.05(금) 10:23,2026.06.05(금) 16:12,서브노티카 2|talk,전체,왠지 아까 본거같은! 묘또하!,5.8,27,19,669,4,
2026.06.05(금) 03:22,2026.06.05(금) 09:18,마인크래프트,전체,[혁명PD몬스터] 일어나자마자..막옴! 목소리 이슈!,5.9,23,18,750,2,
2026.06.04(목) 12:01,2026.06.04(목) 14:36,talk,전체,수다수다! 도란도란! 토크토크!,2.6,42,35,1416,0,
2026.06.03(수) 12:01,2026.06.03(수) 15:06,음악/노래|talk,전체,1200일... 애교데이??,3.1,46,38,1801,3,
2026.06.02(화) 14:00,2026.06.02(화) 17:06,talk,전체,🌙 파자마 파티 🛏️,3.1,53,44,2163,0,
2026.05.31(일) 14:59,2026.05.31(일) 17:00,talk,전체,약속 지켰다~! 게릴라 성공!,2,36,29,1318,-1,
2026.05.31(일) 06:00,2026.05.31(일) 06:48,talk,전체,주말 오후! 게릴라~!,0.8,38,33,358,2,
2026.05.30(토) 12:01,2026.05.30(토) 15:42,talk,전체,허허허허... 그런날이라고요?!,3.7,36,30,2079,1,
2026.05.27(수) 12:00,2026.05.27(수) 14:00,음악/노래|talk,전체,와우... 오늘 엄청났다!! 소통도 하고 노래도 하고!!,2,30,25,757,1,
2026.05.26(화) 13:59,2026.05.26(화) 17:42,이터널 리턴|talk,전체,화요일 밤...! 눅눅한 밤..!,3.7,40,28,1246,0,
2026.05.25(월) 10:18,2026.05.25(월) 14:00,슈퍼 배틀 골프|R.E.P.O.|talk,전체,작업은 안끝났는데.. 일단 옴!,3.7,30,25,908,3,
2026.05.24(일) 12:00,2026.05.24(일) 18:54,음악/노래|이터널 리턴|talk,전체,여름 대비 취향 맞추기!,6.9,41,29,1824,-3,
2026.05.23(토) 12:01,2026.05.23(토) 16:54,이터널 리턴|talk,전체,목 상태가 좋지 못한 나... 서럽다..! 하지만 방송은 하고 싶으니깐! 방송은 일단 켰으니깐! 일단은 나는 이야기를 하고 싶으니깐...,4.9,33,27,1099,3,
2026.05.22(금) 12:03,2026.05.22(금) 17:24,음악/노래|이터널 리턴|talk,전체,주말이니깐 놀아야지~,5.3,36,28,1479,2,
2026.05.21(목) 11:44,2026.05.21(목) 17:42,프랫폴|talk,전체,"하.,. 더 빨리 오고 싶었는데...",6,31,22,905,0,
2026.05.20(수) 12:00,2026.05.20(수) 19:12,PUBG: 배틀그라운드|talk,전체,[10시 합방] 합방 기다려보기~!,7.2,28,22,1488,3,
2026.05.19(화) 13:00,2026.05.19(화) 15:24,talk,전체,일찍왔어! 보고싶어서!,2.4,36,29,1286,1,
2026.05.17(일) 06:00,2026.05.17(일) 07:06,talk,전체,언제끝날지 모르는!! 게릴라!!,1.1,43,37,612,0,
2026.05.16(토) 11:01,2026.05.16(토) 16:06,트레저 헌터|PUBG: 배틀그라운드|talk,전체,[9시 합방] 주말입니다~!!,5.1,33,25,988,1,
