시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 10:56,2026.06.14(일) 18:06,이터널 리턴|talk,전체,오 심상치 않은뒈?,7.2,44,29,2343,2,
2026.06.13(토) 10:55,2026.06.13(토) 11:54,talk,전체,므에...,1,18,12,267,0,
2026.06.12(금) 10:57,2026.06.12(금) 18:42,명조:워더링 웨이브|talk,전체,명조 하는 나아아알 ㅇㅅㅇ /,7.7,19,13,2799,2,
2026.06.11(목) 10:57,2026.06.11(목) 16:54,이터널 리턴|talk,전체,안 녕 하 신 가,5.9,37,25,2250,1,
2026.06.10(수) 10:57,2026.06.10(수) 19:42,이터널 리턴|talk,전체,일하는 여러분들 최고 '-' b,8.7,51,30,4429,2,
2026.06.09(화) 12:21,2026.06.09(화) 16:06,이터널 리턴|talk,전체,휴방인데 켜씀 ㅇㅅㅇ /,3.7,28,15,982,-1,
2026.06.07(일) 10:57,2026.06.07(일) 18:48,talk,전체,헬로오 ㅇㅅㅇ /,7.8,26,16,4974,4,
2026.06.06(토) 11:56,2026.06.06(토) 19:18,이터널 리턴|talk,전체,비실비실 ;-;,7.4,49,32,4065,7,
2026.06.05(금) 10:56,2026.06.05(금) 21:00,붕괴: 스타레일|이터널 리턴|talk,전체,으어...으어...,10.1,37,21,3918,5,
2026.06.04(목) 09:56,2026.06.04(목) 17:00,프랫폴|이터널 리턴|talk,전체,'-' / 인사,7.1,36,23,3487,3,
2026.06.03(수) 10:56,2026.06.03(수) 20:06,이터널 리턴|talk,전체,이리괴물청년,9.2,52,31,4658,1,
2026.05.31(일) 15:23,2026.05.31(일) 18:54,talk,전체,깨끗모모,3.5,30,21,7764,1,
2026.05.31(일) 10:49,2026.05.31(일) 14:42,링 피트 어드벤처|이터널 리턴,전체,여러분 대회만 봐도 될까요 흠흠.. !,3.9,26,20,1717,1,
2026.05.30(토) 10:58,2026.05.30(토) 19:24,이터널 리턴|talk,전체,토요일 '0' /,8.4,46,27,2987,0,
2026.05.29(금) 10:57,2026.05.29(금) 19:54,명조:워더링 웨이브|talk,전체,안녕하시오 '-' /,8.9,30,14,4143,1,
2026.05.28(목) 08:57,2026.05.28(목) 18:00,이터널 리턴,전체,몰라 우선 달리고 생각하자,9,36,27,3941,1,
2026.05.27(수) 10:57,2026.05.27(수) 20:30,이터널 리턴,전체,마스터즈 보다가 랭크할거에여 '-' /,9.5,52,29,4573,2,
2026.05.24(일) 16:37,2026.05.24(일) 21:06,이터널 리턴,전체,힘을 쏟고왔다,4.5,50,36,3550,4,
2026.05.24(일) 10:57,2026.05.24(일) 16:00,링 피트 어드벤처|저스트 댄스 2019|talk,전체,안댄다안대애..,5,26,20,2312,-1,
2026.05.23(토) 10:57,2026.05.23(토) 19:12,이터널 리턴|포켓몬 챔피언스|talk,전체,배탈이무서워 밥안먹은 청년,8.2,40,28,4325,4,
2026.05.22(금) 10:57,2026.05.22(금) 18:42,명조:워더링 웨이브|talk,전체,으억ㅇ오오으억,7.7,26,18,3900,1,
2026.05.21(목) 10:57,2026.05.21(목) 20:00,이터널 리턴|talk,전체,배탈나따,9,61,36,4569,3,
2026.05.20(수) 10:57,2026.05.20(수) 20:18,이터널 리턴|talk,전체,호에에에에엑,9.3,45,28,5079,4,
2026.05.17(일) 11:23,2026.05.17(일) 19:48,포켓몬 챔피언스|talk|포켓몬 레전드 Z-A,전체,준비가 덜된방송,8.4,32,22,4650,3,
2026.05.17(일) 11:09,2026.05.17(일) 11:18,talk,전체,준비가 덜된방송,0.1,14,14,85,0,
2026.05.17(일) 10:57,2026.05.17(일) 11:06,talk,전체,준비가 덜된방송,0.1,8,5,48,0,
2026.05.16(토) 10:57,2026.05.16(토) 20:30,이터널 리턴|talk,전체,'0' /,9.5,46,33,4781,4,
2026.05.15(금) 10:57,2026.05.15(금) 20:36,바이오하자드 빌리지|talk,전체,나 바하 모든걸 다했어,9.6,30,21,3364,1,
2026.05.14(목) 10:56,2026.05.14(목) 19:48,바이오하자드 빌리지,전체,나 바하 모든걸 다했어,8.9,26,21,326,0,
