시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 11:51,2026.06.14(일) 17:18,음악/노래|talk,전체,[미쿠월드컵] 미쿠가 조아*.☆,5.4,26,21,2455,2,
2026.06.14(일) 08:53,2026.06.14(일) 11:36,미설정,전체,[T1응원방] 대전갈거야!!! #LCKWatchParty,2.7,23,15,781,-1,
2026.06.13(토) 08:58,2026.06.13(토) 18:00,리그 오브 레전드|talk,전체,[풀트] 링피트 ..,9,44,29,3702,0,
2026.06.12(금) 12:23,2026.06.12(금) 17:12,talk,성인,[풀트] 없을 무,4.8,39,32,52,1,
2026.06.12(금) 11:17,2026.06.12(금) 11:54,미설정,전체,[T1응원방] 티원티원티원!!! #LCKWatchParty,0.6,15,11,192,0,
2026.06.10(수) 09:27,2026.06.10(수) 19:18,종합 게임|talk,전체,👑시바공주🪄 ່˙ .⁺ ˖,9.8,34,26,2759,-1,
2026.06.09(화) 09:28,2026.06.09(화) 17:24,종합 게임|talk,전체,너 내 시바🐶가 돼라,7.9,28,22,2540,3,
2026.06.07(일) 12:28,2026.06.07(일) 16:48,음악/노래|talk,성인,[풀트] 지코쿠!!,4.3,34,27,1913,1,
2026.06.06(토) 08:57,2026.06.06(토) 19:48,리그 오브 레전드|talk,전체,!티어,10.8,31,23,4589,0,
2026.06.05(금) 09:26,2026.06.05(금) 16:36,리그 오브 레전드|음악/노래|talk,전체,개미 털어도 돼요><?,7.2,31,24,2385,1,
2026.06.03(수) 09:28,2026.06.03(수) 18:06,친구모아 아일랜드 두근두근 라이프|talk,전체,너 내 시바🐶가 돼라,8.6,28,21,2418,1,
2026.06.02(화) 09:27,2026.06.02(화) 15:30,친구모아 아일랜드 두근두근 라이프|talk,전체,너 내 시바🐶가 돼라,6,27,21,2639,1,
2026.05.31(일) 08:58,2026.05.31(일) 17:18,친구모아 아일랜드 두근두근 라이프|talk,전체,너 내 시바🐶가 돼라,8.3,32,25,3109,-2,
2026.05.30(토) 12:40,2026.05.30(토) 16:30,음악/노래|talk,전체,[풀트] 네진이가 움직여요,3.8,33,27,2386,1,
2026.05.30(토) 08:56,2026.05.30(토) 12:12,리그 오브 레전드|talk,전체,너 내 시바🐶가 돼라,3.3,27,18,1033,1,
2026.05.29(금) 09:27,2026.05.29(금) 12:48,종합 게임|talk,전체,진짜 시바🐶뿐이야,3.3,23,19,1351,-1,
2026.05.27(수) 09:28,2026.05.27(수) 15:42,리그 오브 레전드|talk,전체,[풀트] 네롱잔치,6.2,40,27,3885,3,
2026.05.26(화) 09:28,2026.05.26(화) 16:30,talk,전체,너 내 시바🐶가 돼라,7,42,31,4368,2,
2026.05.24(일) 15:41,2026.05.24(일) 17:36,talk,전체,너 내 시바🐶가 돼라,1.9,23,17,1007,0,
