시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:59,LIVE,talk|록맨 X 애니버서리 컬렉션,전체,LIVE,2.3,29,23,791,4,
2026.06.13(토) 10:58,2026.06.13(토) 16:30,사일런트 힐 f|talk,전체,아~~무것도 안한 토요일의 으앙코,5.5,29,23,2010,-2,
2026.06.12(금) 10:51,2026.06.12(금) 17:00,사일런트 힐 f|talk,전체,한국 월드컵 짱(아직 안봤음),6.1,27,21,1880,0,
2026.06.11(목) 10:55,2026.06.11(목) 15:54,스포일러가 너무 심한 RPG2 ―절친의 본모습은 대마왕―|talk,성인,프리렌 6화까지 보고 온 사람,5,23,16,661,-1,
2026.06.10(수) 10:55,2026.06.10(수) 16:12,스포일러가 너무 심한 RPG2 ―절친의 본모습은 대마왕―|talk,성인,캬 으앙코방송오늘재밌네(아직안봄),5.3,26,20,0,2,
2026.06.09(화) 10:57,2026.06.09(화) 16:12,메이크 드라마 : MAD|talk,성인,오늘 닌다임😸,5.2,33,25,688,0,
2026.06.09(화) 04:06,2026.06.09(화) 07:18,talk|귀무자 Way of the Sword,전체,피도 눈물도 자비도 없는 쇼츠만들기 낮방,3.2,17,12,709,0,
2026.06.08(월) 10:55,2026.06.08(월) 17:00,talk|록맨 X 애니버서리 컬렉션,전체,젠슨황 유입분들 여기로 오세요,6.1,31,24,1745,1,
2026.06.06(토) 10:56,2026.06.06(토) 16:54,림버스 컴퍼니|스트리트 파이터 6|talk,전체,오늘 하루만해도 뭐 소식이 이렇게 많음;,6,29,20,1846,0,
2026.06.05(금) 10:55,2026.06.05(금) 16:42,종합 게임|talk,전체,손님 되팔이 방지를 위해 으앙코가 했던 대사를 말씀해주세요,5.8,23,19,1494,0,
2026.06.04(목) 10:59,2026.06.04(목) 16:00,스포일러가 너무 심한 RPG2 ―절친의 본모습은 대마왕―|talk,전체,안녕 나는 목요일의요정,5,20,15,1670,4,
2026.06.03(수) 10:57,2026.06.03(수) 16:30,스포일러가 너무 심한 RPG2 ―절친의 본모습은 대마왕―|talk,전체,저는 빙수먹고싶당,5.5,28,20,1512,-1,
2026.06.02(화) 10:58,2026.06.02(화) 17:12,talk|록맨 X 애니버서리 컬렉션,전체,나오늘 뭐 달라진거없어? 너무해 흑흑 마이크암 바꿨잖아,6.2,30,20,2067,2,
2026.06.01(월) 10:51,2026.06.01(월) 15:54,talk,전체,작업저챗,5,33,27,1476,3,
2026.05.30(토) 00:15,2026.05.30(토) 14:18,talk,전체,RG 후쿠오카 사자비 켠왕조립방송(오전 9시 15분에 시작함),14,41,25,2836,4,
2026.05.29(금) 10:56,2026.05.29(금) 15:24,스트리트 파이터 6|talk,전체,고마트 좀 들러도 되겠습니까? / 신병 배고프시단다(군인의 하하 웃는소리),4.5,23,17,1000,1,
2026.05.27(수) 11:00,2026.05.27(수) 15:12,이나즈마 일레븐: 빅토리 로드|포르자 호라이즌 6|talk,전체,아이스크림이 가수를 못하는 이유는? 녹음 안돼서...................,4.2,29,22,1345,1,
2026.05.26(화) 10:57,2026.05.26(화) 16:24,talk|록맨 X 애니버서리 컬렉션,전체,서울여행 대신 포르자 호라이즌6 대신 메가맨 X 합니다,5.4,38,27,1988,0,
2026.05.25(월) 10:59,2026.05.25(월) 16:30,트릭컬 리바이브|talk,전체,"강한 버튜버, 약한 버튜버. 그런 건 사람이 멋대로 정하는 것. 정말로 강한 트레이너라면 자신이 좋아하는 버튜버로 이길 수 있도록 노력해야 해.",5.5,39,26,1542,0,
2026.05.24(일) 12:31,2026.05.24(일) 16:12,talk,전체,디지몬 엔딩까지 본다(좀 많이 늦음),3.7,31,22,1218,3,
2026.05.24(일) 10:28,2026.05.24(일) 12:30,림버스 컴퍼니|talk,전체,림버스 5장 엔딩보고 디지몬 보러 갑니다,2,22,16,580,0,
2026.05.23(토) 11:01,2026.05.23(토) 16:48,포르자 호라이즌 6|talk,전체,저챗하다 일본여행 레이싱하러 갈게요,5.8,33,22,1663,1,
2026.05.22(금) 10:57,2026.05.22(금) 16:36,이나즈마 일레븐: 빅토리 로드|talk,전체,1부 저챗 2부 팬심개봉 3부 디코읽기 어 게임언제하지,5.6,26,20,1195,0,
2026.05.21(목) 10:56,2026.05.21(목) 16:00,림버스 컴퍼니|talk,전체,.림버스 공부하다가 5장 할거예요,5.1,27,21,1260,2,
2026.05.20(수) 11:00,2026.05.20(수) 15:42,림버스 컴퍼니|talk,전체,중대발표 하겠습니다 채팅상단 참고,4.7,33,25,1872,1,
2026.05.19(화) 10:55,2026.05.19(화) 14:48,트릭컬 리바이브,전체,트릭컬 시즌3 챕터3 너네 차원 다 내꺼 읽기,3.9,31,25,1668,1,
2026.05.18(월) 10:59,2026.05.18(월) 14:54,트릭컬 리바이브|talk,전체,으앙코의 월요방송,3.9,33,25,1368,1,
2026.05.16(토) 10:30,2026.05.16(토) 16:12,더 게임 오브 라이프 포 닌텐도 스위치|talk,전체,"인생게임 합방하기(W. 다밍, 밑줄, 호시아)",5.7,24,19,1034,0,
2026.05.15(금) 10:59,2026.05.15(금) 17:00,이나즈마 일레븐: 빅토리 로드|talk,전체,야 축구할사람 생활관당 두명이라 방송했는데 왜 여기는 아무도 안나와,6,23,19,984,1,
