시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 09:59,2026.06.14(일) 14:36,talk,전체,일레그 여장까지 일주일도 안 남았네...,4.6,21,16,823,0,
2026.06.13(토) 10:01,2026.06.13(토) 14:24,talk|VR챗,전체,"8시 4인 시시포스 노예들 합방!! feat 치쭈쭈, 유쭈쭈, 킹쭈쭈",4.4,31,19,778,1,
2026.06.12(금) 10:00,2026.06.12(금) 14:24,프레디의 피자가게 2|talk,전체,프레디따윈 겁먹지않는 상남자 이레보 등장!!,4.4,25,18,1473,-1,
2026.06.11(목) 10:04,2026.06.11(목) 14:42,VR챗,전체,[촉각슈트] 오랜만에 돌아온 촉각슈트... 오늘은 잔잔하게 넘겨줄거지...?,4.6,33,25,1256,1,
2026.06.10(수) 09:58,2026.06.10(수) 15:18,talk,전체,선물받은 건담프라모델 조립방송!!,5.3,21,16,1107,3,
2026.06.09(화) 10:01,2026.06.09(화) 15:06,talk,전체,니케 일레그 여장이 다음주가 될수도있는....사람입니다아...,5.1,22,15,1415,1,
2026.06.07(일) 09:58,2026.06.07(일) 15:12,talk,전체,친척형 결혼식 다녀왔어! / 2부 카페탐방!,5.2,23,17,1566,0,
2026.06.06(토) 03:05,2026.06.06(토) 05:06,talk,전체,생각보다 일찍 일어나서 방송 좀 하다가 결혼식 다녀올게!,2,13,9,621,-1,
2026.06.05(금) 09:58,2026.06.05(금) 14:24,유희왕 마스터 듀얼|talk,전체,나 내일 결혼식가~,4.4,33,20,1094,1,
2026.06.04(목) 11:20,2026.06.04(목) 15:36,talk,전체,[캠방] 선물받았당!! 이따 건프라 조립해야징!! 으히힣 곡끄곡끄 하이 곡끄!!,4.3,25,19,1197,2,
2026.06.04(목) 09:59,2026.06.04(목) 10:18,talk,전체,[캠방] 선물받았당!! 이따 건프라 조립해야징!! 으히힣 곡끄곡끄 하이 곡끄!!,0.3,9,5,18,0,
2026.06.03(수) 10:02,2026.06.03(수) 15:00,talk,전체,[캠방] 6월 3일..? 육쌈냉면 만들기!! (처음해봄),5,25,18,1566,5,
2026.06.02(화) 09:57,2026.06.02(화) 14:12,talk,전체,와씨 반점 발현되서 수명 깎일뻔...,4.2,21,15,916,-1,
2026.05.31(일) 10:00,2026.05.31(일) 14:24,오버워치|talk,전체,"바니걸 여장 내기에서 ""승리""한 상남자 입니다.",4.4,26,20,1574,-2,
2026.05.30(토) 10:01,2026.05.30(토) 14:30,talk,전체,[촉각슈트] 캠키고 촉각슈트 방송이라닛....ㅠㅠ,4.5,52,37,2084,9,
2026.05.29(금) 10:02,2026.05.29(금) 14:24,아이작의 번제: 리버스|talk,전체,아이작...? 재밌나..??,4.4,27,18,1080,0,
2026.05.28(목) 10:03,2026.05.28(목) 16:30,talk,전체,[캠방] 캠 화질 진짜 좋아졌어!! / 8시 즐거운 프라모델 조립방송~!!,6.4,22,18,2115,2,
2026.05.27(수) 09:59,2026.05.27(수) 14:54,VR챗,전체,무료로 입혀진 간호사에요...❤ (벌칙임 벌칙임 벌칙임 벌칙임 벌칙임 벌칙임),4.9,37,28,2240,0,
2026.05.26(화) 10:00,2026.05.26(화) 14:06,talk,전체,큰 코스프레 마쳤으니 이젠 더더더더 큰 여?장이 남은사람,4.1,24,18,1658,4,
2026.05.25(월) 10:03,2026.05.25(월) 11:54,talk,전체,(짧뱅) 드디어 제대로 된 가면라이더 코스프레 하고 왔어요!! (일페후기),1.8,25,22,1050,0,
2026.05.22(금) 13:54,2026.05.22(금) 16:42,talk,성인,진짜 너무너무 늦뱅이당.... 미아내에..ㅠㅠㅠ,2.8,26,20,890,1,
2026.05.21(목) 10:00,2026.05.21(목) 17:24,talk,전체,[캠방] 탈색했오~~ / 2부 MG 샤아 즈고크 조립방송!!,7.4,23,17,2082,1,
2026.05.20(수) 09:59,2026.05.20(수) 15:36,마인크래프트|talk,전체,오늘 내기까지 지면 진짜 안되는데... / 8시 간호복 걸고 마크 다이아32개 캐기,5.6,26,18,1644,0,
