시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 14:01,2026.06.15(월) 01:42,PUBG: 배틀그라운드|talk,전체,[!구독뱃지 리뉴얼!][프리둥] 1부_수다둥 / 2부_배그둥(미성년자x),11.7,28,18,3608,2,
2026.06.13(토) 14:01,2026.06.14(일) 03:18,Grand Theft Auto V|PUBG: 배틀그라운드,전체,[!구독뱃지 리뉴얼!][연장/두둥 룰렛][시참][유입환영] 1부_GTA 5 스토리모드 / 2부_배그둥(미성년자x),13.3,27,20,2046,3,
2026.06.12(금) 14:00,2026.06.13(토) 02:48,프래그마타|PUBG: 배틀그라운드,전체,[!구독뱃지 리뉴얼!][연장/두둥 룰렛][시참][유입환영] 1부_로봇딸래미 키우기 5일차 / 2부_배그둥(미성년자x),12.8,24,15,1351,3,
2026.06.11(목) 15:00,2026.06.12(금) 00:12,리그 오브 레전드|PUBG: 배틀그라운드,전체,[!구독뱃지 리뉴얼!][시참][유입환영][연장룰렛 OPEN] 1부_칼바람둥 / 2부_배그둥(미성년자x),9.2,46,23,1038,-2,
2026.06.09(화) 14:00,2026.06.10(수) 00:48,리그 오브 레전드|PUBG: 배틀그라운드,전체,[!구독뱃지 리뉴얼!][시참][유입환영][연장룰렛 OPEN] 1부_칼바람둥 / 2부_배그둥(미성년자x),10.8,27,17,1168,1,
2026.06.07(일) 14:02,2026.06.08(월) 05:48,PUBG: 배틀그라운드|talk,전체,[프리둥] 1부_수다둥 / 2부_배그둥(미성년자x),15.8,48,28,3985,9,
2026.06.06(토) 14:01,2026.06.07(일) 02:48,Grand Theft Auto V|PUBG: 배틀그라운드,전체,[연장/두둥 룰렛][시참][유입환영] 1부_GTA 5 온라인 / 2부_배그둥(미성년자x),12.8,41,24,2262,5,
2026.06.05(금) 14:00,2026.06.06(토) 01:06,프래그마타|PUBG: 배틀그라운드,전체,[연장/두둥 룰렛][시참][유입환영] 1부_로봇딸래미 키우기 4일차 / 2부_배그둥(미성년자x),11.1,36,19,1138,0,
2026.06.04(목) 14:11,2026.06.05(금) 00:06,리그 오브 레전드|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_칼바람둥 / 2부_배그둥(미성년자x),9.9,25,14,1080,2,
2026.06.03(수) 14:00,2026.06.04(목) 02:48,발로란트|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_발로둥(미성년자x) / 2부_배그둥(미성년자x),12.8,30,15,1204,1,
2026.06.02(화) 14:01,2026.06.03(수) 00:42,리그 오브 레전드|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_칼바람둥 / 2부_배그둥(미성년자x),10.7,27,16,977,2,
2026.05.31(일) 14:01,2026.06.01(월) 00:06,PUBG: 배틀그라운드|talk,전체,[프리둥] 1부_수다둥 / 2부_배그둥(미성년자x),10.1,31,19,2928,0,
2026.05.30(토) 14:00,2026.05.31(일) 00:24,ALTF4|PUBG: 배틀그라운드,전체,[두둥룰렛 똥겜] 아흐레밤 요청_ALTF4 / 2부_배그둥(미성년자x),10.4,28,15,1772,0,
2026.05.29(금) 14:03,2026.05.30(토) 02:24,프래그마타|PUBG: 배틀그라운드,전체,[연장/두둥 룰렛][시참][유입환영] 1부_로봇딸래미 키우기 3일차 / 2부_배그둥(미성년자x),12.3,30,14,1455,1,
2026.05.28(목) 16:36,2026.05.29(금) 00:54,리그 오브 레전드|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_칼바람둥 / 2부_배그둥(미성년자x),8.3,29,19,508,2,
2026.05.28(목) 14:04,2026.05.28(목) 16:30,리그 오브 레전드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_칼바람둥 / 2부_배그둥(미성년자x),2.4,14,12,151,0,
2026.05.27(수) 14:05,2026.05.28(목) 00:54,발로란트|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_발로둥(미성년자x) / 2부_배그둥(미성년자x),10.8,30,18,1134,1,
2026.05.26(화) 14:06,2026.05.27(수) 00:30,리그 오브 레전드|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_칼바람둥 / 2부_배그둥(미성년자x),10.4,27,16,922,1,
2026.05.24(일) 14:02,2026.05.25(월) 00:06,아웃라스트|PUBG: 배틀그라운드,성인,[두둥룰렛 공겜] 흒우 요청_아웃라스트...끝나면 배그........할 수 있을까,10.1,19,13,0,1,
2026.05.23(토) 14:03,2026.05.24(일) 00:30,Grand Theft Auto V|PUBG: 배틀그라운드,성인,[연장/두둥 룰렛][시참][유입환영] 1부_GTA 5 온라인 / 2부_배그둥(미성년자x),10.4,27,17,16,0,
2026.05.22(금) 14:04,2026.05.23(토) 01:00,프래그마타|PUBG: 배틀그라운드,전체,[연장/두둥 룰렛][시참][유입환영] 1부_로봇딸래미 키우기 2일차 / 2부_배그둥(미성년자x),10.9,21,12,955,2,
2026.05.22(금) 01:13,2026.05.22(금) 02:24,talk,전체,오디오 설정 중입니다,1.2,12,9,258,0,
2026.05.21(목) 16:19,2026.05.22(금) 01:06,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,[시참][유입환영][연장룰렛 OPEN] 1부_칼바람둥 / 2부_배그둥(미성년자x),8.8,27,17,589,-2,
2026.05.21(목) 14:00,2026.05.21(목) 16:12,리그 오브 레전드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_칼바람둥 / 2부_배그둥(미성년자x),2.2,21,18,926,0,
2026.05.20(수) 14:04,2026.05.21(목) 00:30,발로란트|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_발로둥(미성년자x) / 2부_배그둥(미성년자x),10.4,35,16,830,2,
2026.05.19(화) 14:04,2026.05.20(수) 00:36,리그 오브 레전드|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_증바람둥 / 2부_배그둥(미성년자x),10.5,22,13,829,0,
2026.05.17(일) 14:00,2026.05.18(월) 01:06,PUBG: 배틀그라운드|talk,전체,[프리둥] 1부_수다둥 / 2부_배그둥(미성년자x),11.1,32,19,2034,3,
2026.05.16(토) 14:01,2026.05.17(일) 01:18,종합 게임|리그 오브 레전드|PUBG: 배틀그라운드,전체,에어컨 설치완료!!! [두둥룰렛 공겜] 아흐레밤 요청_The Professional / 2부_배그둥(미성년자x),11.3,31,18,1271,0,
2026.05.15(금) 14:02,2026.05.16(토) 00:36,프래그마타|PUBG: 배틀그라운드,전체,[연장/두둥 룰렛][시참][유입환영] 1부_로봇딸래미 키우기 1일차 / 2부_배그둥(미성년자x),10.6,27,16,1159,1,
2026.05.14(목) 14:00,2026.05.15(금) 00:12,리그 오브 레전드|PUBG: 배틀그라운드,전체,[연장/두둥 룰렛][시참][유입환영] 1부_증바람둥 / 2부_배그둥(미성년자x),10.2,34,18,729,-1,
2026.05.13(수) 14:17,2026.05.13(수) 23:18,발로란트|PUBG: 배틀그라운드,전체,[연장/두둥 룰렛][시참][유입환영]1부_발로둥 2일차(미성년자x) / 2부_배그둥(미성년자x) **병원일정 8시 방종!**,9,23,16,761,0,
2026.05.12(화) 14:04,2026.05.12(화) 22:18,리그 오브 레전드|PUBG: 배틀그라운드,전체,[연장/두둥 룰렛][시참][유입환영] 1부_증바람둥 / 2부_배그둥(미성년자x) !!!방음부스 설치로 방종 7:00!!!,8.2,20,12,690,2,
2026.05.10(일) 14:01,2026.05.11(월) 14:30,PUBG: 배틀그라운드|talk,전체,[프리둥] 1부_수다둥 : 부산여행 후기 / 2부_배그둥(미성년자x),24.5,26,18,5553,3,
2026.05.07(목) 14:01,2026.05.08(금) 00:36,리그 오브 레전드|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_증바람둥 / 2부_배그둥(미성년자x),10.6,27,19,1281,-1,
2026.05.07(목) 00:47,2026.05.07(목) 05:00,PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_알람이슈로 날아간 발로둥 / 2부_배그둥(미성년자x),4.2,18,14,717,0,
2026.05.06(수) 23:33,2026.05.07(목) 00:42,PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_알람이슈로 날아간 발로둥 / 2부_배그둥(미성년자x),1.1,22,18,146,0,
2026.05.06(수) 23:15,2026.05.06(수) 23:24,PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_알람이슈로 날아간 발로둥 / 2부_배그둥(미성년자x),0.1,14,14,11,0,
2026.05.06(수) 16:49,2026.05.06(수) 23:06,PUBG: 배틀그라운드|talk,전체,[시참][유입환영][연장룰렛 OPEN] 1부_알람이슈로 날아간 발로둥 / 2부_배그둥(미성년자x),6.3,28,16,1054,0,
2026.05.05(화) 16:29,2026.05.06(수) 00:12,리그 오브 레전드|PUBG: 배틀그라운드,전체,[시참][유입환영][연장룰렛 OPEN] 1부_증바람둥 / 2부_배그둥(미성년자x),7.7,22,16,707,1,
2026.05.03(일) 14:04,2026.05.04(월) 00:24,PUBG: 배틀그라운드|talk,전체,[프리둥] 1부_수다둥 : 연애할 때 최악이었던적은?(본인 or 상대방) / 2부_배그둥(미성년자x),10.3,25,19,2935,6,
2026.05.02(토) 14:04,2026.05.03(일) 00:36,Grand Theft Auto V|PUBG: 배틀그라운드,전체,[종겜둥] 1부_gta 5 인핸스드 온라인(구습격) / [시참][유입환영][두둥룰렛] 2부_배그둥(미성년자x),10.5,26,14,1058,1,
2026.05.01(금) 15:06,2026.05.02(토) 01:06,리그 오브 레전드|아웃라스트|PUBG: 배틀그라운드|talk,전체,[두둥룰렛 공겜] 흒우 요청_ 아웃라스트+DLC 켠왕 (배그는 끝나면...),10,27,16,1070,0,
