시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 07:00,2026.06.15(월) 10:54,명조:워더링 웨이브|에이펙스 레전드|talk,전체,월요일으으으으으으은!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,3.9,31,24,1385,0,
2026.06.14(일) 01:00,2026.06.14(일) 08:12,림월드,전체,[훈수화녕]나는 리트에 미쳐찌,7.2,41,33,1719,0,
2026.06.12(금) 05:02,2026.06.12(금) 10:06,리그 오브 레전드|talk,전체,안올줄알아찌?????,5.1,25,19,1183,2,
2026.06.11(목) 08:48,2026.06.11(목) 11:00,명조:워더링 웨이브,전체,콜라보해따고요??,2.2,25,20,185,0,
2026.06.11(목) 04:55,2026.06.11(목) 08:36,종합 게임|명조:워더링 웨이브|서브노티카 2,전체,"그래서 이제 뭐해야함?(w. 서몽, 청예솔)",3.7,28,21,330,2,
2026.06.10(수) 09:31,2026.06.10(수) 11:30,음악/노래,전체,3주년이에요!!!!!!!!!!!!!!!!!,2,56,46,1032,2,
2026.06.10(수) 05:23,2026.06.10(수) 09:30,서브노티카 2|talk,전체,"3년 묵은 물고기2(w. 서몽, 청예솔)",4.1,28,19,361,2,
2026.06.10(수) 05:14,2026.06.10(수) 05:18,서브노티카 2,전체,"3년 묵은 물고기2(w. 서몽, 청예솔)",0.1,9,9,0,0,
2026.06.10(수) 05:11,2026.06.10(수) 05:12,서브노티카 2,전체,"3년 묵은 물고기(w. 서몽, 청예솔)",0,0,0,0,0,
2026.06.10(수) 04:57,2026.06.10(수) 05:00,서브노티카 2,전체,"3년 묵은 물고기(w. 서몽, 청예솔)",0,6,6,0,0,
2026.06.09(화) 05:00,2026.06.09(화) 09:42,서브노티카 2,전체,"나는야 물고기라네(w. 서몽, 청예솔)",4.7,27,18,378,1,
2026.06.05(금) 13:36,2026.06.05(금) 15:00,에이펙스 레전드,전체,잔잔,1.4,16,11,97,2,
