시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:00,LIVE,레드 데드 리뎀션 2|talk,전체,LIVE,5.1,31,25,1072,11,
2026.06.14(일) 09:01,2026.06.14(일) 15:24,왕좌의 게임: 킹스로드|talk,전체,영도 이것저것 보다가 게임하는 방,6.4,39,31,1773,2,
2026.06.12(금) 11:41,2026.06.12(금) 15:06,미설정|talk,전체,정자왕 김기두 [스퍼맨 같이보기],3.4,36,28,1755,-1,
2026.06.12(금) 09:02,2026.06.12(금) 11:36,talk,전체,"8시반 스퍼맨 같이보기, 영도보다가 쓸데 없는 소리 하는 방",2.6,31,23,732,0,
2026.06.11(목) 09:01,2026.06.11(목) 15:48,어비스 스쿨|승리의 여신: 니케|talk,전체,영도보며 쓸데 없는 소리 하다가 니케,6.8,36,24,1767,-2,
2026.06.10(수) 09:01,2026.06.10(수) 15:30,어비스 스쿨|talk,전체,아무 영도나 보면서 노가리 까는 방,6.5,36,27,2347,2,
2026.06.08(월) 09:02,2026.06.08(월) 15:36,연운|talk,전체,영도보며 쓸데 없는 말만 하는 방,6.6,50,30,2137,8,
2026.06.07(일) 09:02,2026.06.07(일) 15:42,왕좌의 게임: 킹스로드|talk,전체,방송이 켜진지 알고 혼자 떠들고 있었슨,6.7,38,26,2100,5,
2026.06.05(금) 11:00,2026.06.05(금) 16:06,미설정|talk,성인,짭레제 눈나랑 [황해 같이보기],5.1,63,37,821,16,
2026.06.05(금) 09:00,2026.06.05(금) 11:00,talk,전체,"영도보며, 헛소리 하는 방_8시에 황해 같이보기",2,37,25,563,0,
2026.06.04(목) 09:00,2026.06.04(목) 15:30,왕좌의 게임: 킹스로드|talk,전체,[영도환영] 황해 같이보기 vs 왕좌의 게임,6.5,33,27,1666,2,
2026.06.03(수) 09:01,2026.06.03(수) 15:30,승리의 여신: 니케|talk,전체,영도보며 쓸데 없는 말 하는 방ㅇㅅㅇ,6.5,36,27,1456,0,
2026.06.01(월) 09:00,2026.06.01(월) 14:18,왕좌의 게임: 킹스로드|talk,전체,영도보면서 쓸데 없는 말 하기 (해장님이 치킨주심 챗치면 참여 됨),5.3,51,28,1723,2,
2026.05.31(일) 09:01,2026.05.31(일) 15:30,연운|talk,전체,영도 보다가 이상한 소리 하는 방,6.5,31,25,1811,1,
2026.05.30(토) 09:02,2026.05.30(토) 18:48,승리의 여신: 니케|왕좌의 게임: 킹스로드|talk,전체,눈뜨니 방송시간,9.8,47,29,3235,20,
2026.05.29(금) 09:00,2026.05.29(금) 15:54,승리의 여신: 니케|talk,전체,영도 보면서 쓸데 없는 소리 하는 방,6.9,31,22,1557,0,
2026.05.28(목) 09:01,2026.05.28(목) 15:36,연운|talk,전체,"영도도 보고, 쓸데 없는 말 하는 방",6.6,27,21,1466,3,
2026.05.27(수) 09:01,2026.05.27(수) 16:24,데빌 메이 크라이 4|talk,전체,[영도환영] 온사이드컴퍼니 워크샵후기,7.4,28,23,2095,1,
