시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:00,LIVE,두근두근타운,전체,LIVE,2.2,16,10,395,0,
2026.06.13(토) 07:00,2026.06.13(토) 17:42,구스 구스 덕|로블록스|두근두근타운|talk,전체,방제 뭐라고 써야하죠.. 아무튼 고소하겠습니다,10.7,17,13,2086,10,
2026.06.12(금) 13:44,2026.06.12(금) 13:48,talk,성인,"[주루마블] 내가 제일 약한 술을 먹는다니 진짜야?(w. 흘티, Jude주드, 감자돌이깡)",0.1,16,16,0,0,
2026.06.12(금) 09:18,2026.06.12(금) 13:30,talk,성인,"[주루마블] 내가 제일 약한 술을 먹는다니 진짜야?(w. 흘티, Jude주드, 감자돌이깡)",4.2,17,12,0,2,
2026.06.12(금) 04:00,2026.06.12(금) 08:36,림버스 컴퍼니,전체,림버스 3장 알은 세개다 스토리 밀기,4.6,15,10,973,0,
2026.06.11(목) 12:00,2026.06.11(목) 16:30,두근두근타운,전체,인생은 듀아니면 타!,4.5,24,15,847,0,
2026.06.09(화) 11:59,2026.06.09(화) 15:30,두근두근타운,전체,갸두타에 노동이 필 수 있을까..,3.5,18,13,562,0,
2026.06.08(월) 12:00,2026.06.08(월) 15:30,두근두근타운,전체,주간 노동으로 두파민 챙길 수 있나..,3.5,18,13,537,0,
2026.06.07(일) 06:00,2026.06.07(일) 15:24,피크|리그 오브 레전드|어그로우|두근두근타운|talk,전체,왜 오르려고하는거죠? 피크가 거기 있으니까요..,9.4,19,9,1130,3,
2026.06.05(금) 13:00,2026.06.05(금) 18:12,종합 게임|두근두근타운,전체,헐레벌떡 타운,5.2,16,11,635,1,
2026.06.04(목) 12:33,2026.06.04(목) 16:00,두근두근타운,전체,느긋하게 즐기는 타운,3.4,17,11,299,0,
2026.06.04(목) 05:50,2026.06.04(목) 12:18,림버스 컴퍼니|talk,전체,림버스 전에 노래뱅 하고싶어서 일찍 오기,6.5,14,10,1352,1,
2026.06.02(화) 12:00,2026.06.02(화) 18:18,악의|종합 게임|두근두근타운,전체,노는게 제일 좋은 뽀로로 생활,6.3,17,10,681,-1,
