시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 15:14,2026.06.14(일) 20:24,마인크래프트,전체,"🔥하드코어 💀위더런! 챌린지! 🌏제32지구, (시참/유입 환영!🤗❤️) 엔더런 깬 사람 환영!)",5.2,11,8,1631,-2,
2026.06.14(일) 09:27,2026.06.14(일) 13:30,마인크래프트,전체,"🔥하드코어 💀위더런! 챌린지! 🌏제28지구, (시참/유입 환영!🤗❤️) 엔더런 깬 사람 환영!)",4,27,21,1926,1,
2026.06.13(토) 14:08,2026.06.13(토) 21:12,마인크래프트|talk,전체,오늘 공연 보러 와주신 분들께 진심으로 감사드립니다!! (유입 환영!🤗❤️),7.1,26,17,4601,2,
2026.06.12(금) 09:56,2026.06.12(금) 15:18,마인크래프트|talk,전체,"불금인데 갈 곳도 없고, 만날 사람도 없는 사람들 환영! (유입 환영!🤗❤️)",5.4,33,22,2964,3,
2026.06.12(금) 09:27,2026.06.12(금) 09:48,talk,전체,"불금인데 갈 곳도 없고, 만날 사람도 없는 사람들 환영! (유입 환영!🤗❤️)",0.3,8,4,24,0,
2026.06.11(목) 08:54,2026.06.11(목) 16:48,마인크래프트|메이플스토리 월드,전체,주말에 뭐 해?,7.9,22,15,2037,0,
2026.06.06(토) 08:43,2026.06.07(일) 02:12,먹방/쿡방|마인크래프트|메이플스토리|메이플스토리 월드|talk,전체,"주말인데 갈 곳도 없고, 만날 사람도 없는 사람들 환영! (유입 환영!🤗❤️)",17.5,23,14,5264,4,
2026.06.05(금) 13:56,2026.06.05(금) 20:06,먹방/쿡방|팰월드|두근두근타운|마인크래프트|메이플스토리,전체,"데스노트!📝 (시참/유입 환영!🤗❤️) (마피아류 자신 있으면 드루와!) (키라 VS 엘, 지능 + 정치 싸움!)",6.2,16,13,1632,2,
2026.06.05(금) 08:26,2026.06.05(금) 13:54,마인크래프트,전체,"불금인데 갈 곳도 없고, 만날 사람도 없는 사람들 환영! (시참/유입 환영!🤗❤️)",5.5,18,13,1944,-1,
2026.06.04(목) 11:50,2026.06.04(목) 15:30,먹방/쿡방|두근두근타운|마인크래프트,전체,[신입] 유입 환영!🤗❤️마크 or 두근두근타운,3.7,15,11,1422,0,
2026.06.03(수) 09:14,2026.06.03(수) 14:18,블루 아카이브|두근두근타운|마인크래프트|talk,전체,(시참/유입/환영!) 틱톡 노래 라이브 끝나고! 힐링 마크 여행🚀🌌👽❤️,5.1,26,18,1986,10,
2026.05.31(일) 10:38,2026.05.31(일) 19:12,종합 게임|이터널 리턴|talk,전체,"주말인데 갈 곳도 없고, 만날 사람도 없는 사람들 환영! (유입/환영!)",8.6,20,14,4525,0,
2026.05.30(토) 09:32,2026.05.30(토) 19:48,종합 게임|먹방/쿡방|마인크래프트,전체,"주말인데 갈 곳도 없고, 만날 사람도 없는 사람들 환영! (유입/환영!)",10.3,28,19,5764,2,
2026.05.30(토) 09:11,2026.05.30(토) 09:24,먹방/쿡방,전체,"주말인데 갈 곳도 없고, 만날 사람도 없는 사람들 환영! (유입/환영!)",0.2,8,5,85,0,
2026.05.29(금) 10:11,2026.05.29(금) 19:48,종합 게임|리그 오브 레전드|이터널 리턴|마인크래프트|talk,전체,안녕하세요! 손견입니다!🐶 다들 잘 지내셨습니까?🥹,9.6,24,16,4462,6,
