시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 07:00,2026.06.15(월) 12:42,talk,전체,저챗의 악마 서르담 (っ･Θ･)っ💬,5.7,26,18,3460,2,
2026.06.14(일) 06:00,2026.06.14(일) 10:30,음악/노래|talk,전체,☁️ 일요일 오후 노래방 ☁️,4.5,21,16,1928,1,
2026.06.12(금) 04:09,2026.06.12(금) 05:54,talk,전체,우리나라가 이겨뜨아ㅏ⚽,1.7,22,18,863,0,
2026.06.12(금) 01:45,2026.06.12(금) 04:06,2026 FIFA 북중미 월드컵,전체,대한민국 vs 체고! 숙취 온 설담의 해설⚽,2.3,18,14,418,2,
2026.06.12(금) 01:31,2026.06.12(금) 01:42,talk,전체,으어어ㅓㅓㅓ 살라ㅕ줘,0.2,10,10,45,0,
2026.06.11(목) 15:56,2026.06.11(목) 17:24,talk,전체,질투가 너무 나.,1.5,23,19,943,0,
2026.06.11(목) 07:00,2026.06.11(목) 14:24,성세천하: 여제의 탄생 Ⅱ|talk,전체,기절하고 왔슴니다 ( ੭ ･ᴗ･ )੭✨,7.4,18,13,1303,-1,
2026.06.10(수) 07:00,2026.06.10(수) 13:48,성세천하: 여제의 탄생 Ⅱ|talk,전체,과몰입 장인 설담 O⩊O,6.8,20,16,1270,1,
2026.06.08(월) 07:30,2026.06.08(월) 12:36,talk,전체,담이가 왔담 O⩊O,5.1,26,19,2762,0,
2026.06.06(토) 07:30,2026.06.06(토) 12:36,talk,전체,담비의 첫 광고하는 날 ٩( °༥° ) 6시 크크쇼,5.1,27,17,1939,-1,
2026.06.05(금) 08:40,2026.06.05(금) 12:48,음악/노래|talk,전체,🎵 6월의 첫 노래방,4.1,21,16,1772,3,
2026.06.04(목) 07:00,2026.06.04(목) 11:24,talk,전체,오하요 ( ᜊ𖧹𝁼𖧹)ᜊ,4.4,21,16,1487,2,
2026.06.02(화) 07:00,2026.06.02(화) 12:12,데이브 더 다이버|talk,전체,냥이가 잠을 계속 깨워서 헤롱..( //꩜ ̫ ꩜'),5.2,20,15,758,0,
2026.06.01(월) 11:54,2026.06.01(월) 13:18,talk,전체,황해 토론회🍿,1.4,18,16,439,0,
2026.06.01(월) 09:08,2026.06.01(월) 11:48,talk,성인,영화 같이보쟈🍿 (처음보는 뇌),2.7,58,36,0,12,
2026.06.01(월) 07:00,2026.06.01(월) 09:00,talk,전체,이제 진짜 여름이야~☀️ (6시 황해같이보기),2,23,17,639,0,
2026.05.31(일) 06:00,2026.05.31(일) 12:42,데이브 더 다이버|talk,전체,눈 딱 감고 낙하 ϵ( 'Θ' )϶,6.7,24,18,2061,-1,
2026.05.30(토) 07:34,2026.05.30(토) 11:18,음악/노래|talk,전체,오늘이 뭐 하는 날이게 (ˊᗨˋ)੭ ♪,3.7,19,16,1523,1,
2026.05.30(토) 07:00,2026.05.30(토) 07:30,음악/노래,전체,오늘이 뭐 하는 날이게 (ˊᗨˋ)੭ ♪,0.5,18,14,152,0,
2026.05.28(목) 07:29,2026.05.28(목) 13:06,구구 피자 : 우주 정거장으로 피자 배달이라니? 사장님|이건 좀 아니잖아요!|talk,전체,담이가 왔어용용용 ​𑙕ㅇoㅇIII,5.6,25,19,1653,0,
2026.05.27(수) 07:00,2026.05.27(수) 12:54,talk,전체,안녕하세요를레이오( ੭ ˙ᗜ˙ )੭♡ˎˊ˗,5.9,32,22,3010,0,
2026.05.26(화) 07:00,2026.05.26(화) 13:54,구구 피자 : 우주 정거장으로 피자 배달이라니? 사장님|이건 좀 아니잖아요!|talk,전체,대청소하고 흐물텅텅🧼,6.9,22,16,1870,-1,
2026.05.23(토) 06:00,2026.05.23(토) 09:42,음악/노래|talk,전체,토요일 노래방🎤,3.7,19,15,894,1,
2026.05.22(금) 07:00,2026.05.22(금) 11:30,종합 게임|talk,전체,🤍 금요일에 시간 어때요? 🤍,4.5,22,16,1829,-1,
2026.05.21(목) 07:00,2026.05.21(목) 11:54,talk,전체,모기가 벌써 왜 있어ㅓ👊🏻🦟,4.9,25,19,2130,1,
2026.05.20(수) 08:00,2026.05.20(수) 12:24,talk,전체,살아돌아와씀니ㄷㅏ!,4.4,24,18,1629,0,
2026.05.19(화) 07:00,2026.05.19(화) 13:30,종합 게임|talk,전체,한식 노ㄹㅐ방🎤 후열저챗,6.5,28,19,3333,-1,
2026.05.17(일) 06:30,2026.05.17(일) 10:30,음악/노래|talk,전체,한식 노ㄹㅐ방🎤,4,35,21,1366,2,
2026.05.16(토) 06:00,2026.05.16(토) 08:54,음악/노래|talk,전체,촉슈는 강력하구ㄴㅏ..부서질 것 같아,2.9,19,15,655,0,
2026.05.15(금) 12:34,2026.05.15(금) 14:24,talk,성인,[촉각슈트] 오고곡ㄱ 맛집,1.8,33,28,0,-1,
