시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:50,LIVE,talk,전체,LIVE,0.5,21,17,123,0,
2026.06.15(월) 07:17,2026.06.15(월) 10:00,talk,전체,작업라디오,2.7,25,19,630,0,
2026.06.14(일) 14:15,2026.06.14(일) 17:48,레이튼 교수와 이상한 마을 HD|talk,전체,양파농장주의 레이튼 2일차,3.5,19,15,1007,1,
2026.06.14(일) 05:18,2026.06.14(일) 09:18,레이튼 교수와 이상한 마을 HD|talk,전체,므..엥...,4,25,21,893,0,
2026.06.13(토) 12:02,2026.06.13(토) 19:36,명조:워더링 웨이브|레이튼 교수와 이상한 마을 HD|talk,전체,므..엥...,7.6,31,20,1368,2,
2026.06.12(금) 11:52,2026.06.12(금) 19:00,talk,전체,므엥!,7.1,26,21,1469,1,
2026.06.11(목) 11:48,2026.06.11(목) 18:24,Once Human|talk,전체,므에?,6.6,26,21,1435,1,
2026.06.09(화) 11:59,2026.06.09(화) 17:18,이환|talk,전체,므에!,5.3,25,17,1306,1,
2026.06.08(월) 13:42,2026.06.08(월) 17:48,명조:워더링 웨이브,전체,콜라보 확인하러 가보자~,4.1,25,17,881,-1,
2026.06.08(월) 11:57,2026.06.08(월) 13:30,명조:워더링 웨이브|talk,전체,ㅁㅡㅇㅔ,1.5,23,19,498,0,
2026.06.07(일) 12:11,2026.06.07(일) 17:54,talk,전체,므에..,5.7,29,22,1943,0,
2026.06.05(금) 11:48,2026.06.05(금) 17:12,talk,전체,일찍 빵꿉하고 오려고 했는데 택배가 네시에 온 건에 관하여,5.4,28,24,1523,1,
2026.06.04(목) 14:41,2026.06.04(목) 17:06,Once Human|talk,전체,습먹고 고장남 청년,2.4,25,19,642,0,
2026.06.03(수) 10:18,2026.06.03(수) 18:48,Once Human|talk,전체,므으에엥,8.5,26,19,1304,1,
2026.06.02(화) 12:00,2026.06.02(화) 18:12,Once Human|talk,전체,엥므엥,6.2,25,21,1178,1,
2026.06.01(월) 12:21,2026.06.01(월) 18:30,림버스 컴퍼니|talk,전체,므엥,6.1,29,20,1843,2,
2026.05.30(토) 04:24,2026.05.30(토) 08:54,림버스 컴퍼니|talk,전체,므...엥....zZ,4.5,23,17,1305,-1,
2026.05.29(금) 12:02,2026.05.29(금) 20:12,림버스 컴퍼니|talk,전체,멩,8.2,31,18,1694,1,
2026.05.28(목) 12:03,2026.05.28(목) 17:30,림버스 컴퍼니|talk,전체,오늘도 찾아온 숙제뱅,5.5,21,17,1243,0,
2026.05.26(화) 11:58,2026.05.26(화) 18:24,talk,전체,므엥멩,6.4,21,16,1328,1,
2026.05.24(일) 11:58,2026.05.24(일) 18:24,이환|림버스 컴퍼니|talk,전체,믕엥,6.4,22,17,1128,0,
2026.05.23(토) 13:18,2026.05.23(토) 17:00,talk,전체,므......ㅇ,3.7,31,25,1500,0,
2026.05.22(금) 12:52,2026.05.22(금) 19:00,talk,전체,오늘 방송이 림버스인줄알았는데 영도데이더라,6.1,20,16,1484,1,
2026.05.21(목) 12:11,2026.05.21(목) 17:06,명조:워더링 웨이브|talk,전체,므?엥,4.9,23,17,1447,0,
2026.05.20(수) 11:48,2026.05.20(수) 15:42,비세라 클린업 디테일|talk,성인,므엥,3.9,19,14,116,0,
2026.05.19(화) 12:00,2026.05.19(화) 17:48,스텔라 소라|talk,전체,므에엥,5.8,19,12,942,0,
2026.05.16(토) 11:34,2026.05.16(토) 18:42,talk,전체,므엥,7.1,29,19,1520,3,
2026.05.15(금) 12:02,2026.05.15(금) 17:18,아주르 프로밀리아,전체,아주르 프로밀리아 CBT! 오래기다렸다..!,5.3,24,20,680,1,
