시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:00,LIVE,talk,전체,LIVE,3.2,15,10,1390,0,
2026.06.12(금) 05:01,2026.06.12(금) 09:30,리그 오브 레전드|스타듀 밸리|talk,전체,[Ve:live] 소통수다 떨면서 힐링게임 하는 사람,4.5,15,9,991,-1,
2026.06.11(목) 05:32,2026.06.11(목) 08:30,그림/아트|talk,전체,[Ve:live] 작업뱅,3,12,9,575,0,
2026.06.10(수) 10:54,2026.06.10(수) 15:54,리그 오브 레전드|talk,전체,[Ve:live] 롤 처음하니까 어떻게 하는지 알려주세요 센세 (w.층가),5,15,11,1474,1,
2026.06.09(화) 10:57,2026.06.09(화) 16:42,종합 게임|talk,성인,[Ve:live] 백수같지만 열심히 살고있는 청년,5.7,24,12,1741,0,
2026.06.08(월) 11:30,2026.06.08(월) 15:54,R.E.P.O.|talk,전체,[Ve:live] 데뷔하신 비버리님 도방하는방 (w.양로원),4.4,14,9,778,0,
2026.06.07(일) 12:36,2026.06.07(일) 16:24,발로란트|talk,전체,[Ve:live] 늦어써 미아넹,3.8,19,12,972,3,
2026.06.06(토) 02:29,2026.06.06(토) 07:42,talk,전체,"[Ve:live] 머더미스터리 광기의 산맥 합방 (w.공성폭탄,이로운,타리,화니,김고량)",5.2,15,11,398,0,
2026.06.05(금) 04:59,2026.06.05(금) 09:00,음악/노래|talk,전체,[Ve:live] 금요일 낮 노래방,4,13,10,1405,1,
2026.06.04(목) 11:02,2026.06.04(목) 16:06,발로란트|talk,전체,[Ve:live] 히히 조아썽 오늘은 진짜 발로란트 해야징!!!!,5.1,17,10,1398,1,
2026.06.03(수) 11:00,2026.06.03(수) 16:24,미설정|시크릿 커리큘럼|발로란트|talk,성인,[Ve:live] 오늘도 시작되는 미시 미연시,5.4,11,8,164,0,
2026.06.02(화) 12:34,2026.06.02(화) 15:36,시크릿 커리큘럼|발로란트|talk,성인,[Ve:live] 너무너무 오랜만에 발로란트,3,12,8,229,1,
2026.06.02(화) 11:01,2026.06.02(화) 12:30,발로란트|talk,전체,[Ve:live] 오늘 뭐할지 궁금하시죠? 오랜만에 해볼게요,1.5,11,9,369,0,
2026.06.01(월) 04:59,2026.06.01(월) 10:24,파티 애니멀즈|음악/노래|시크릿 커리큘럼|talk,성인,[Ve:live] 노래를 잘하진 않지만 연습해보겠슴다,5.4,23,13,1105,3,
2026.05.31(일) 10:52,2026.05.31(일) 15:30,시크릿 커리큘럼|talk,성인,"[Ve:live] 어느 미시가 좋을까요? (w.김네로,케즈라토)",4.6,14,10,616,0,
2026.05.28(목) 05:56,2026.05.28(목) 10:12,talk,전체,[Ve:live] 디지몬 안본뇌 23화부터,4.3,17,10,1180,2,
2026.05.27(수) 10:57,2026.05.27(수) 15:54,작혼: 리치 마작|R.E.P.O.|talk,전체,[Ve:live] 안녕하세요 쉬었음(?) 인지 모르겠는데 그냥 청년임다,4.9,13,9,1756,0,
2026.05.26(화) 10:59,2026.05.26(화) 15:42,talk,전체,[Ve:live] 디지몬 10화부터 보기,4.7,15,9,1601,0,
2026.05.25(월) 10:59,2026.05.25(월) 15:24,talk,전체,[Ve:live] 디지몬 보면서 밥먹으면서 작업도 할거에요,4.4,19,12,2244,2,
2026.05.24(일) 10:58,2026.05.24(일) 15:12,talk,전체,[Ve:live] 합방전 저챗 팬카페 둘러보기,4.2,21,10,1558,0,
2026.05.21(목) 05:59,2026.05.21(목) 10:42,작혼: 리치 마작|talk,전체,[Ve:live] 잔잔 방송,4.7,18,10,1398,-1,
2026.05.20(수) 11:06,2026.05.20(수) 15:30,그림/아트|talk,전체,[Ve:live] 잔잔한 소통,4.4,15,12,1588,0,
2026.05.19(화) 11:00,2026.05.19(화) 15:54,승리의 여신: 니케|talk,전체,[Ve:live] 바블머거야데쓰,4.9,11,8,1036,1,
2026.05.18(월) 11:03,2026.05.18(월) 15:36,승리의 여신: 니케|talk,전체,[Ve:live] 니케 메인스 보는 사람,4.5,13,10,1106,1,
2026.05.17(일) 12:26,2026.05.17(일) 17:00,R.E.P.O.,전체,[Ve:live] 헵부가 모은 레포 합방(w.케즈라토/ 공성폭탄//라떼페인 / 타리 / 니리리 ),4.6,14,11,933,1,
2026.05.17(일) 11:49,2026.05.17(일) 12:18,R.E.P.O.,전체,[Ve:live] 헵부가 모은 레포 합방(w.케즈라토/ 공성폭탄//라떼페인 / 타리 / 니리리 ),0.5,14,12,120,0,
