시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:57,LIVE,킹덤언더파이어: 히어로즈,전체,LIVE,2.2,24,20,293,0,
2026.06.14(일) 06:59,2026.06.14(일) 14:00,톰 클랜시의 더 디비전 2,전체,[Tom Clancy’s The Division® 2] 유명한 암살자 #13,7,40,25,1450,4,
2026.06.13(토) 06:58,2026.06.13(토) 12:54,톰 클랜시의 더 디비전 2,전체,[Tom Clancy’s The Division® 2] 디비전은 은신플레이가 없는건가요? #12,5.9,25,16,723,0,
2026.06.12(금) 12:12,2026.06.12(금) 15:30,킹덤언더파이어: 히어로즈,전체,[Kingdom Under Fire: A War of Heroes] 워리어 개쎄네 ㅅㅂ #4,3.3,20,16,495,0,
2026.06.12(금) 11:55,2026.06.12(금) 12:00,킹덤언더파이어: 히어로즈,전체,[Kingdom Under Fire: A War of Heroes] 워리어 개쎄네 ㅅㅂ #4,0.1,6,6,0,0,
2026.06.10(수) 11:57,2026.06.10(수) 15:12,킹덤언더파이어: 히어로즈,전체,[Kingdom Under Fire: A War of Heroes] 강철이 금보다 귀한 세계 #3,3.2,19,14,352,-1,
2026.06.08(월) 11:57,2026.06.08(월) 15:18,톰 클랜시의 더 디비전 2,전체,[Tom Clancy’s The Division® 2] 안 아픈거 아니까 더 쳐맞어 #11,3.3,29,22,679,0,
2026.06.07(일) 06:57,2026.06.07(일) 13:48,톰 클랜시의 더 디비전 2,전체,[Tom Clancy’s The Division® 2] 내 기억 속 스토리는 빵야빵야 밖에 없다... #10,6.8,32,24,1473,1,
2026.06.06(토) 07:01,2026.06.06(토) 12:24,톰 클랜시의 더 디비전 2,전체,[Tom Clancy’s The Division® 2] 으아악 #9,5.4,28,22,816,0,
2026.06.05(금) 11:56,2026.06.05(금) 16:54,워해머 40|000: 스페이스 마린 2,전체,[스페이스 마린 2] 악마잡으러 왔다가 진드시 먹고 가지요 #38,5,34,24,919,4,
2026.06.03(수) 06:59,2026.06.03(수) 13:54,킹덤언더파이어: 히어로즈,전체,[Kingdom Under Fire: A War of Heroes] 저 옼스쉑들을 몰살시키기 전까지 물러나지 않겠소 #2,6.9,21,16,752,-1,
2026.06.01(월) 11:57,2026.06.01(월) 15:06,톰 클랜시의 더 디비전 2,전체,[Tom Clancy’s The Division® 2] JOJOSOFT #8,3.1,33,24,468,0,
