시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.12(금) 03:42,2026.06.12(금) 11:06,talk,전체,보석십자수 하는 손캠 방송,7.4,33,24,2597,0,
2026.06.11(목) 04:24,2026.06.11(목) 06:42,talk,전체,제리랑 학교가기,2.3,20,16,581,0,
2026.06.10(수) 04:16,2026.06.10(수) 09:00,talk,전체,안냐세여 마자여 오늘은 수요일이에요,4.7,25,20,1679,0,
2026.06.09(화) 06:01,2026.06.09(화) 08:36,미설정,성인,빵까루,2.6,22,18,3,2,
2026.06.09(화) 02:56,2026.06.09(화) 06:00,talk,전체,빵까루,3.1,21,17,1072,1,
2026.06.08(월) 04:05,2026.06.08(월) 08:36,talk,전체,안냐세요 조은 워료일이에여,4.5,20,14,1101,0,
2026.06.05(금) 04:14,2026.06.05(금) 10:00,talk,전체,안냐세요 불타는 금욜이에요,5.8,27,21,2694,0,
2026.06.04(목) 05:35,2026.06.04(목) 09:18,talk,전체,우앙우ㅜ앙,3.7,21,16,788,0,
2026.06.04(목) 03:08,2026.06.04(목) 05:30,talk,전체,우앙우ㅜ앙,2.4,21,16,760,0,
2026.06.03(수) 05:26,2026.06.03(수) 10:00,talk,전체,팀파이트매니저2가 나왓다고여?????,4.6,28,20,1777,-1,
2026.06.03(수) 05:20,2026.06.03(수) 05:24,talk,전체,팀파이트매니저2가 나왓다고여?????,0.1,17,17,100,0,
2026.06.03(수) 04:49,2026.06.03(수) 05:18,talk,전체,팀파이트매니저2가 나왓다고여?????,0.5,15,11,175,0,
2026.06.02(화) 04:28,2026.06.02(화) 11:00,talk,전체,안냐세여 ㅎ,6.5,22,17,1485,0,
2026.06.01(월) 03:51,2026.06.01(월) 09:00,talk,전체,워료일이에요,5.1,26,19,1844,-1,
2026.05.29(금) 03:32,2026.05.29(금) 09:06,talk,전체,불타는 금요일이에여,5.6,27,18,1206,0,
2026.05.28(목) 05:40,2026.05.28(목) 08:54,talk,전체,제리랑 같이 스퍼맨 볼래?,3.2,23,20,1060,1,
2026.05.28(목) 04:14,2026.05.28(목) 05:36,talk,전체,스퍼맨 보는날,1.4,24,16,568,0,
2026.05.27(수) 04:48,2026.05.27(수) 09:36,talk,전체,사연이 많은 청년,4.8,25,20,1786,-2,
2026.05.26(화) 05:48,2026.05.26(화) 08:54,talk,전체,비가와여 주륵주륵 이럴때 바삭팝콘을 먹으며 자매전쟁을 같이 볼까여?,3.1,23,18,1018,1,
2026.05.26(화) 04:38,2026.05.26(화) 05:42,talk,전체,비가와여 주륵주륵 이럴때 바삭팝콘을 드셔보세여,1.1,26,20,452,1,
2026.05.25(월) 02:57,2026.05.25(월) 09:42,talk,전체,바삭팝콘 드셔보세요,6.7,24,19,2008,-1,
