channel_name,channelId,channel_url,platform,follower,categories,is_general_game,is_virtual,peak_max,peak_p95,peak_median,peak_recent_median,avg_median,avg_recent_median,stream_hours,ts_weeks,band,final_include,cohort_role,is_overlap
늙은어린이2,1fd54afbec396b332cf2883561f48a0e,https://chzzk.naver.com/live/1fd54afbec396b332cf2883561f48a0e,naverchzzk,1941.0,원신,True,unknown,63.0,53.0,35.0,44.0,25.0,25.0,34.7,101.0,31-40,True,peer_T1,True
코요 템페스트,8d87e7057474f4506d2db5d0c2769138,https://chzzk.naver.com/live/8d87e7057474f4506d2db5d0c2769138,naverchzzk,662.0,승리의 여신: 니케,True,unknown,97.0,75.0,42.0,43.0,20.0,18.0,361.5,147.0,41-50,True,peer_T1,False
라피니아 GO66,8968e548991e09739da81e75c7dc75c0,https://chzzk.naver.com/live/8968e548991e09739da81e75c7dc75c0,naverchzzk,1390.0,이터널 리턴,True,unknown,84.0,61.0,30.0,43.0,20.0,24.0,38.3,121.0,41-50,True,peer_T1,True
맘쥬,cbfa98548ac10dc499d489fe50f61dc3,https://chzzk.naver.com/live/cbfa98548ac10dc499d489fe50f61dc3,naverchzzk,1150.0,던전앤파이터,True,unknown,70.0,65.0,48.0,42.0,28.0,30.0,239.9,128.0,41-50,True,peer_T1,True
댜앙댜앙,1d2464b7d15ec46eb0016325899cde10,https://chzzk.naver.com/live/1d2464b7d15ec46eb0016325899cde10,naverchzzk,1624.0,Grand Theft Auto V,True,unknown,54.0,47.1,32.0,41.0,21.0,26.0,109.5,107.0,41-50,True,peer_T1,False
달디단레몬,3ecbcdcd5c780344d396c93c61ea2595,https://chzzk.naver.com/live/3ecbcdcd5c780344d396c93c61ea2595,naverchzzk,1337.0,유희왕 마스터 듀얼,True,unknown,91.0,64.7,43.5,41.0,17.0,18.0,97.5,112.0,41-50,True,peer_T1,True
성은 씨,63a1cb463032bb9d88ee5fd17c1a0a3f,https://chzzk.naver.com/live/63a1cb463032bb9d88ee5fd17c1a0a3f,naverchzzk,1280.0,리그 오브 레전드,True,unknown,129.0,84.7,24.0,39.0,13.0,17.0,72.5,87.0,21-30,True,peer_T1,False
빛나람 starnaram,e5c1270f02735e2a381a70c944fd2688,https://chzzk.naver.com/live/e5c1270f02735e2a381a70c944fd2688,naverchzzk,1609.0,오버워치,True,unknown,61.0,54.0,41.0,37.0,22.0,26.0,149.3,125.0,41-50,True,peer_T1,False
세이난,dbb692c84413d92d9bded6ef67246914,https://chzzk.naver.com/live/dbb692c84413d92d9bded6ef67246914,naverchzzk,197.0,고전 게임,True,unknown,62.0,53.1,11.0,37.0,5.0,13.0,395.7,99.0,21-30,True,peer_T1,False
리채 Richae,3e058dcfbb022dfdaa1a9b7d9eefe45a,https://chzzk.naver.com/live/3e058dcfbb022dfdaa1a9b7d9eefe45a,naverchzzk,1210.0,던전앤파이터,True,unknown,150.0,70.0,34.0,37.0,24.0,27.0,49.1,121.0,41-50,True,peer_T1,True
개씨유,d90c796bd7e4ddebf3cfdba1d325b075,https://chzzk.naver.com/live/d90c796bd7e4ddebf3cfdba1d325b075,naverchzzk,805.0,엘든 링,True,unknown,74.0,56.8,15.0,37.0,9.0,26.0,51.2,86.0,41-50,True,peer_T1,False
메가재범,63d1d26a9dbf5ade38d4fb51b960064d,https://chzzk.naver.com/live/63d1d26a9dbf5ade38d4fb51b960064d,naverchzzk,1929.0,마인크래프트,True,unknown,76.0,53.5,37.0,36.0,28.0,24.0,228.8,131.0,41-50,True,peer_T1,True
RIOORI 리우리,3d24cb2450ec17e17f79e964d32a23e3,https://chzzk.naver.com/live/3d24cb2450ec17e17f79e964d32a23e3,naverchzzk,638.0,던전앤파이터,True,unknown,82.0,67.0,39.0,36.0,21.0,23.0,88.1,128.0,31-40,True,peer_T1,True
돼지저금통 치지직,1d19dc348fdf699e63885944b49ff60c,https://chzzk.naver.com/live/1d19dc348fdf699e63885944b49ff60c,naverchzzk,2449.0,talk,True,unknown,98.0,79.1,44.0,35.0,26.0,22.0,105.8,144.0,31-40,True,peer_T1,True
덕드래곤,86d3d8d5997609df783949d107fbde24,https://chzzk.naver.com/live/86d3d8d5997609df783949d107fbde24,naverchzzk,1142.0,철권 8,True,unknown,70.0,59.0,36.0,35.0,24.5,21.0,61.9,128.0,41-50,True,peer_T1,False
여니연어,b6a1a1b3e7bd6a8860d61c09a6b79df5,https://chzzk.naver.com/live/b6a1a1b3e7bd6a8860d61c09a6b79df5,naverchzzk,2104.0,이터널 리턴,True,unknown,195.0,122.0,45.0,34.0,20.0,21.0,165.0,142.0,31-40,True,peer_T1,True
대상어,1bb5d04f49dace3bad16515215a4f7ad,https://chzzk.naver.com/live/1bb5d04f49dace3bad16515215a4f7ad,naverchzzk,1022.0,talk,True,unknown,262.0,64.0,36.0,34.0,22.5,23.0,46.3,86.0,41-50,True,peer_T1,True
RED레드,3e37d763f523aa85702513fc3c04b2d9,https://chzzk.naver.com/live/3e37d763f523aa85702513fc3c04b2d9,naverchzzk,775.0,몬스터 헌터 월드: 아이스본,True,unknown,60.0,47.3,22.0,33.0,15.0,20.0,349.2,88.0,41-50,True,peer_T1,False
우소 마토,ab504d770e36bf59aaf155be434952d8,https://chzzk.naver.com/live/ab504d770e36bf59aaf155be434952d8,naverchzzk,480.0,스타크래프트 : 리마스터,True,unknown,38.0,34.0,13.0,33.0,9.0,21.0,159.5,142.0,16-20,True,peer_T1,True
채팅방장,23fa0556093a22a19cc7f16858c90264,https://chzzk.naver.com/live/23fa0556093a22a19cc7f16858c90264,naverchzzk,1139.0,오버워치,True,unknown,52.0,43.3,28.0,33.0,12.0,14.0,68.9,55.0,31-40,True,peer_T1,False
저무콩,1b6ab1bf0886941211fc9ff44035e6ba,https://chzzk.naver.com/live/1b6ab1bf0886941211fc9ff44035e6ba,naverchzzk,1306.0,명조:워더링 웨이브,True,unknown,102.0,91.0,31.0,32.0,16.0,19.0,112.6,116.0,31-40,True,peer_T1,False
빵지콩,ff38fdec85167efa94405c328e8e8c6e,https://chzzk.naver.com/live/ff38fdec85167efa94405c328e8e8c6e,naverchzzk,2425.0,리그 오브 레전드,True,unknown,107.0,58.0,39.0,32.0,29.0,23.0,69.3,134.0,41-50,True,peer_T1,True
로디마스,7dd6f0927c18f4acc3f40b8d31a80f0f,https://chzzk.naver.com/live/7dd6f0927c18f4acc3f40b8d31a80f0f,naverchzzk,2378.0,talk,True,unknown,239.0,83.0,37.0,32.0,23.0,19.0,101.7,141.0,41-50,True,peer_T1,True
설ㅡ하,42d9e35fdeee6c2163494eb12961e9da,https://chzzk.naver.com/live/42d9e35fdeee6c2163494eb12961e9da,naverchzzk,2187.0,블루 아카이브,True,unknown,224.0,88.6,44.0,31.0,24.0,21.0,104.0,119.0,41-50,True,peer_T1,True
짤녀와 많쿠만in텟슈,72293c76fbcdb06e578ddc6c54ba151b,https://chzzk.naver.com/live/72293c76fbcdb06e578ddc6c54ba151b,naverchzzk,1732.0,에이펙스 레전드,True,unknown,96.0,75.0,37.0,31.0,24.0,21.0,45.8,116.0,31-40,True,peer_T1,False
고일이,cf882ca21960c190dd6af5c8332d3876,https://chzzk.naver.com/live/cf882ca21960c190dd6af5c8332d3876,naverchzzk,2388.0,ASMR,True,unknown,351.0,233.9,29.0,30.0,20.0,20.0,93.9,115.0,31-40,True,peer_T1,True
파랑떡볶이,72daeda32bb15f58ae6c6f1866c35492,https://chzzk.naver.com/live/72daeda32bb15f58ae6c6f1866c35492,naverchzzk,1640.0,레프트 4 데드 2,True,unknown,51.0,37.0,27.0,30.0,18.0,20.0,196.6,126.0,21-30,True,peer_T1,False
김막구,7f14cb1fbbf50fa62cce90321faf57e9,https://chzzk.naver.com/live/7f14cb1fbbf50fa62cce90321faf57e9,naverchzzk,2993.0,카트라이더,True,unknown,110.0,35.3,25.0,30.0,20.0,21.0,56.6,108.0,31-40,True,peer_T1,False
안녕하세요방갑습니다,9c5d25a0c51ed759dad92bebbd01726f,https://chzzk.naver.com/live/9c5d25a0c51ed759dad92bebbd01726f,naverchzzk,874.0,발로란트,True,unknown,39.0,38.0,30.0,30.0,17.0,18.0,44.5,87.0,31-40,True,peer_T1,False
손기현2,dfb27368b4a7ed8c8b4048075875596a,https://chzzk.naver.com/live/dfb27368b4a7ed8c8b4048075875596a,naverchzzk,1648.0,이환,True,unknown,93.0,43.0,27.0,29.0,19.0,21.0,280.0,113.0,31-40,True,peer_T1,False
모카형,52b2f7d78f07b3b175dbaaa3cb9abc85,https://chzzk.naver.com/live/52b2f7d78f07b3b175dbaaa3cb9abc85,naverchzzk,2233.0,스트리노바,True,unknown,65.0,34.0,24.0,28.0,17.0,20.0,604.3,146.0,41-50,True,peer_T1,True
소발자,8df0e2fd888d52ed10562f2cdb9fa6e0,https://chzzk.naver.com/live/8df0e2fd888d52ed10562f2cdb9fa6e0,naverchzzk,936.0,이스케이프 프롬 타르코프,True,unknown,54.0,43.2,25.0,28.0,14.0,20.0,193.1,129.0,21-30,True,peer_T1,False
배쨜이,8895df5b7733f26ccc6b4f54aeaa1072,https://chzzk.naver.com/live/8895df5b7733f26ccc6b4f54aeaa1072,naverchzzk,787.0,메이플스토리,True,unknown,124.0,49.5,28.0,28.0,21.0,20.0,50.3,51.0,31-40,True,peer_T1,True
