channel_name,channelId,channel_url,follower,categories,is_general_game,is_virtual,peak_max,peak_p95,peak_median,peak_recent_median,avg_median,avg_recent_median,stream_hours,ts_weeks,band
한동숙,75cbf189b3bb8f9f687d2aca0d0a382b,https://chzzk.naver.com/live/75cbf189b3bb8f9f687d2aca0d0a382b,404909,"메이플스토리 월드,2026 FIFA 북중미 월드컵,팀파이트 매니저 2",true,false,363759,39759.5,21659,16838,11268,10071,6249.9,131,50k+
괴물쥐,c7ded8ea6b0605d3c78e18650d2df83b,https://chzzk.naver.com/live/c7ded8ea6b0605d3c78e18650d2df83b,350384,"리그 오브 레전드,메이플스토리 월드,아크 레이더스",true,false,22422,19734,9192,7163,5413,4990.5,5176.6,132,50k+
탬탬버린,a7e175625fdea5a7d98428302b7aa57f,https://chzzk.naver.com/live/a7e175625fdea5a7d98428302b7aa57f,316141,"리그 오브 레전드,talk,마인크래프트",false,true,29490,17069.6,9245,11092.5,6304,6972.5,1021.6,139,50k+
아야츠노 유니,45e71a76e949e16a34764deb962f9d9f,https://chzzk.naver.com/live/45e71a76e949e16a34764deb962f9d9f,291026,"talk,엘든 링 황금 나무의 그림자,엘든 링",true,true,21029,13453.8,5856,6459,4216.5,4261,824.1,114,50k+
강지,b5ed5db484d04faf4d150aedd362f34b,https://chzzk.naver.com/live/b5ed5db484d04faf4d150aedd362f34b,277565,"talk,발로란트,팅커랜드: 어 쉽렉트 어드벤처",false,true,18930,10474,4880,3133.5,2488,2310.5,3941.1,125,50k+
아라하시 타비,a6c4ddb09cdb160478996007bff35296,https://chzzk.naver.com/live/a6c4ddb09cdb160478996007bff35296,244269,"talk,스타크래프트 : 리마스터,마인크래프트",true,true,21633,11497.7,5830.5,6188.5,4450,4255.5,966.7,138,50k+
아카네 리제,4325b1d5bbc321fad3042306646e2e50,https://chzzk.naver.com/live/4325b1d5bbc321fad3042306646e2e50,244215,"talk,오버워치,마인크래프트",false,true,12792,7050.7,3751,3474,2977,2914.5,556.7,130,50k+
텐코 시부키,64d76089fba26b180d9c9e48a32600d9,https://chzzk.naver.com/live/64d76089fba26b180d9c9e48a32600d9,232010,"talk,마인크래프트,P의 거짓",false,true,34645,22783,9651,8568.5,6107.5,6022.5,3829.1,134,50k+
시라유키 히나,b044e3a3b9259246bc92e863e7d3f3b8,https://chzzk.naver.com/live/b044e3a3b9259246bc92e863e7d3f3b8,229594,"명조:워더링 웨이브,talk,마인크래프트",false,true,47218,22782.6,7160,6160.5,4107.5,4232,3826.6,134,50k+
아오쿠모 린,516937b5f85cbf2249ce31b0ad046b0f,https://chzzk.naver.com/live/516937b5f85cbf2249ce31b0ad046b0f,208751,"음악/노래,마인크래프트,이터널 리턴",true,true,28781,8726.5,3952.5,4044,3236,3275.5,518.5,124,50k+
네네코 마시로,4515b179f86b67b4981e16190817c580,https://chzzk.naver.com/live/4515b179f86b67b4981e16190817c580,202511,"종합 게임,talk,리그 오브 레전드",true,true,18290,6330.8,3600.5,3734,2868,3028.5,610.6,124,50k+
하나코 나나,4d812b586ff63f8a2946e64fa860bbf5,https://chzzk.naver.com/live/4d812b586ff63f8a2946e64fa860bbf5,198753,"마인크래프트,용과 같이: 극,음악/노래",true,true,38058,16773.1,6069,6389.5,3581,4766,2371.3,119,50k+
유즈하 리코,8fd39bb8de623317de90654718638b10,https://chzzk.naver.com/live/8fd39bb8de623317de90654718638b10,198131,"명조:워더링 웨이브,talk,이터널 리턴",false,true,25886,9397.2,4107.5,4579,3152.5,2852.5,842.5,140,50k+
윤가놈,1ad5aa0f6c6741b072528fad5e5e76b1,https://chzzk.naver.com/live/1ad5aa0f6c6741b072528fad5e5e76b1,184721,"talk,리그 오브 레전드,포켓몬스터 하트골드",true,false,43897,15558,7233,4816,3840,4081,3748.7,128,50k+
옥냥이 RoofTopCAT,0d027498b18371674fac3ed17247e6b8,https://chzzk.naver.com/live/0d027498b18371674fac3ed17247e6b8,157659,"팀파이트 매니저 2,종합 게임,성세천하: 여제의 탄생 Ⅱ",true,false,10536,8818,2474,2104.5,1422,1608,3446.1,113,50k+
피닉스박,c100f81959d1c17044be0541eed56f5b,https://chzzk.naver.com/live/c100f81959d1c17044be0541eed56f5b,154237,"메이플스토리,리그 오브 레전드,메이플스토리 월드",true,false,14245,7316,2303,2469.5,1572.5,1568.5,1314.5,142,50k+
따효니,0dad8baf12a436f722faa8e5001c5011,https://chzzk.naver.com/live/0dad8baf12a436f722faa8e5001c5011,152929,"리그 오브 레전드,스타크래프트 : 리마스터,철권 8",true,false,35523,13717.6,6645,8160.5,4461,4890.5,1243.5,143,50k+
지누,2086f44c7b09a17cef6786f21389db3b,https://chzzk.naver.com/live/2086f44c7b09a17cef6786f21389db3b,151919,"종합 게임,마인크래프트,언레일드 2: 백 온 트랙",true,false,21566,10735.5,6312.5,4801.5,3762,3613,3277.4,118,50k+
릴카,4d0b7d3f825ea982b95f0a5c2b4782d3,https://chzzk.naver.com/live/4d0b7d3f825ea982b95f0a5c2b4782d3,150433,"야구,명조:워더링 웨이브,talk",true,false,7639,4994.8,1773,1563.5,1184,1097.5,661.2,103,50k+
명예훈장,5d53f8fa5bef9b1bd4dc884f9907c079,https://chzzk.naver.com/live/5d53f8fa5bef9b1bd4dc884f9907c079,150106,"메이플스토리,메이플스토리 월드,리그 오브 레전드",true,false,21016,15102.3,4039,1841,1393,1104.5,5923.6,139,50k+
사키하네 후야,36ddb9bb4f17593b60f1b63cec86611d,https://chzzk.naver.com/live/36ddb9bb4f17593b60f1b63cec86611d,147977,"스타크래프트 : 리마스터,마인크래프트,talk",false,true,7006,5037.7,2850.5,3210,2160,2133,614.6,118,50k+
녹두로,6e06f5e1907f17eff543abd06cb62891,https://chzzk.naver.com/live/6e06f5e1907f17eff543abd06cb62891,147392,"프로젝트 좀보이드,요시와 신기한 도감,슬레이 더 스파이어 2",true,false,14752,7571.8,4372,3525,3284,2716,891.7,139,50k+
