name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,collected_at
플러리,naverchzzk,7200feac2e1cc9e0a1875d93a0e3d4c7,,4235,48,10,44507,,41-50,,0,,0,,0,0,unknown,no_category_data,,2026-06-14T17:40:22.042Z
서넹,naverchzzk,74464510ad0e4fad4c855aff6d483b84,,3013,48,14,43243,,41-50,,0,,0,,0,0,unknown,no_category_data,,2026-06-14T17:40:24.026Z
도땡s,naverchzzk,c6fc4a73f3dc6c98611d2a39af36ae3a,,3288.7,19,9,31447,,16-20,,0,,0,,0,0,unknown,no_category_data,,2026-06-14T17:40:24.052Z
김편집,naverchzzk,4435bb951c320149b637c5054c573a46,,2111.5,48,8,18441,,41-50,,0,,0,,0,0,unknown,no_category_data,,2026-06-14T17:41:26.035Z
포포포포 POPOPOPO,naverchzzk,821bfedf4164f26931931fe00aa01ca4,,2773.8,15,6,17521,,10-15,,0,,0,,0,0,unknown,no_category_data,,2026-06-14T17:41:28.043Z
임나은,naverchzzk,252e487ecfc76a8ad524c9119de055b4,,4052.2,25,4,18142,,21-30,,0,,0,,0,0,unknown,no_category_data,,2026-06-14T17:41:28.071Z
칠신,naverchzzk,37932eb04955f8cdd0ff7ea7892797ee,,628.8,45,24,15642,519,41-50,talk,66.7,종합 게임,16.8,007 퍼스트 라이트,10,7,false,talk_primary,,2026-06-14T17:55:29.423Z
치민22,naverchzzk,cd94f8f4b13e8c195e551bc9f42b2646,,748.9,47,20,15260,1496,41-50,종합 게임,81.6,33 이모탈스,10.1,엠버 나이트,3.5,6,true,gg_primary,,2026-06-14T17:55:30.590Z
레아나 Reana,naverchzzk,2228ae2dad51035987c5222b6dcc2b09,,2550,21,5,13807,238,21-30,종합 게임,66,록맨 제로,9.1,블라스퍼머스 2,7.2,8,true,gg_primary,,2026-06-14T17:55:36.167Z
정꽁치,naverchzzk,deb124f491c6debfbf06bcc01deef6ef,,1831.3,18,7,13564,243,16-20,종합 게임,100,,0,,0,1,true,gg_primary,,2026-06-14T17:55:36.896Z
아루다루송송,naverchzzk,a4fd197e164bec9a925c53ac4f831d07,,1487.2,27,8,13107,238,21-30,종합 게임,87.2,이스케이프 프롬 타르코프,7,러시안 피싱 4,3.6,5,true,gg_primary,,2026-06-14T17:55:43.122Z
티아스 Tias,naverchzzk,9becba80e75bd5a7ba73ef7de32d578e,,1091.5,42,12,13111,253,41-50,종합 게임,47.7,명조:워더링 웨이브,22.7,데이 아 빌리언즈,11.4,7,true,gg_primary,,2026-06-14T17:55:43.513Z
유레이 UREI,naverchzzk,67b99b03f73b0bc2f8fe1d2ef5c9af81,,866.5,31,14,12520,618,31-40,림월드,26.6,리그 오브 레전드,25.8,종합 게임,18.4,15,true,multi_game,,2026-06-14T17:55:51.570Z
윤리즈,naverchzzk,65d845f717e3c3abb93de6158c613f0d,,786.1,39,14,11498,1240,31-40,패스 오브 엑자일 2,41,디아블로 4: 증오의 군주,40.7,talk,16.1,4,true,multi_game,,2026-06-14T17:55:51.976Z
이로 클라우드,naverchzzk,063fc5a0287c24c218e32e44325f385e,,3077.3,21,3,11086,376,21-30,종합 게임,100,,0,,0,1,true,gg_primary,,2026-06-14T17:56:00.949Z
즐디1,naverchzzk,d1d9c7fe724bbb2da63cbb8a97bfde26,,937,43,11,10637,516,41-50,talk,50.5,마인크래프트,37.3,종합 게임,12.2,3,false,talk_primary,,2026-06-14T17:56:02.520Z
유람 Yuram,naverchzzk,b955e2a87eb767345d2edc921061c784,,1890.7,18,5,9749,250,16-20,종합 게임,75.1,스타더스트: 별과 마녀,12.7,폴아웃 4,12.2,3,true,gg_primary,,2026-06-14T17:56:06.919Z
먼닉 Munnik,naverchzzk,0f3719d022ddaa297aa801ae5a755dc9,,1024.7,31,9,9695,161,31-40,,0,,0,,0,0,unknown,no_category_data,,2026-06-14T17:56:07.660Z
모카형,naverchzzk,52b2f7d78f07b3b175dbaaa3cb9abc85,,604.3,47,15,9545,2233,41-50,스트리노바,41.5,이환,19.3,명일방주,7.7,20,true,multi_game,,2026-06-14T17:56:13.658Z
쁘눙공작,naverchzzk,4cd76d9219e872fb80681d13308025c6,,1326.3,25,7,9465,295,21-30,종합 게임,35.5,용과 같이 0: 맹세의 장소,15.3,talk,14.3,14,true,gg_primary,,2026-06-14T17:56:14.963Z
아야 AYA,naverchzzk,ee127dbe96d87d8056348dca8798ddd5,,776.3,24,12,9452,379,21-30,종합 게임,77.5,007 퍼스트 라이트,17.8,리밋 제로 브레이커스,4.6,4,true,gg_primary,,2026-06-14T17:56:21.797Z
미스터리박스,naverchzzk,24ff83ceabd555220b6d8b9ddc9de15f,,1936,10,4,8798,59,10-15,종합 게임,100,,0,,0,1,true,gg_primary,,2026-06-14T17:56:22.717Z
Lafa,naverchzzk,8b97e0d12a71178dea5d5957e7ccc9b2,,3366.4,10,2,8666,109,10-15,종합 게임,86.4,데스티니 가디언즈,13.3,철권 8,0.3,3,true,gg_primary,,2026-06-14T17:56:28.885Z
