source_collection_sha256,field,present,absent
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,avg_viewers,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,band,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,category_1,781,184
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,category_1_share,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,category_2,722,243
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,category_2_share,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,category_3,655,310
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,category_3_share,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,channel_id,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,collected_at,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,exclude_reason,0,965
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,follower,958,7
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,gg_reason,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,is_general_game,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,name,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,peak_viewers,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,platform,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,rank,0,965
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,stream_hours,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,timeseries_air_time,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,timeseries_avg_live_views,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,timeseries_max_live_views,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,total_categories,965,0
4ebbfe924ce9fcd56b640c9fb99e4cbfa3a713dab72d270de8479c2ca9bafb89,viewership,965,0
