시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 07:59,2026.06.15(월) 14:54,이환|talk,전체,7시 이환 프로모션 🏙️ (히나 마시로 리코),6.9,3090,2194,31553,151,
2026.06.14(일) 07:51,2026.06.14(일) 14:12,스타크래프트 : 브루드 워|talk,전체,스타 브루드워 테란 편!,6.3,2982,2504,35550,91,
2026.06.13(토) 08:01,2026.06.13(토) 14:42,이터널 리턴|오버워치|33 이모탈스|talk,전체,내일도 아침에 일어날 수 있을까용,6.7,1838,1537,23738,76,
2026.06.12(금) 12:30,2026.06.12(금) 13:54,talk,전체,또 잠깐 들렀어...!,1.4,3308,2280,13741,52,
2026.06.11(목) 12:29,2026.06.11(목) 14:00,talk,전체,잠깐 들렀다가용,1.5,1847,1624,11774,30,
2026.06.09(화) 09:57,2026.06.09(화) 16:18,스타크래프트 : 브루드 워|talk,전체,뉴비의 스타크래프트 브루드 워! 너무 두려워요 😱,6.3,3601,2743,41940,101,
2026.06.08(월) 07:57,2026.06.08(월) 14:48,스타크래프트 : 리마스터|talk,전체,스타 1 오리지널 캠페인 프로토스 끝내기!,6.8,3844,3083,48534,152,
2026.06.06(토) 09:02,2026.06.06(토) 15:30,스타크래프트 : 리마스터|talk,전체,스타크래프트 1 프로토스 캠페인 밀어요!,6.5,2754,2311,49789,108,
2026.06.05(금) 09:57,2026.06.05(금) 14:54,아크 레이더스|이터널 리턴|talk,전체,와아앙 피곤한 용가뤼,4.9,2199,1859,17982,55,
2026.06.03(수) 08:58,2026.06.03(수) 16:48,스타크래프트 : 리마스터|talk,전체,에버리스 X 버터와플 콜라보 D-1,7.8,2912,2153,52299,115,
2026.06.02(화) 07:30,2026.06.02(화) 14:48,스타크래프트 : 리마스터|talk,전체,스타크래프트의 재미를 뒤늦게 배워가는 중인 청년,7.3,6584,4983,65040,244,
2026.05.31(일) 09:53,2026.05.31(일) 15:48,스타크래프트 : 리마스터|talk,전체,스타크래프트 보기만 한 청년의 스타1 캠페인 맛보기 ~멀리서 구경만 하던 내가 직접 게임을 플레이하게 되는 이야기~,5.9,2988,2534,51361,108,
2026.05.30(토) 09:00,2026.05.30(토) 15:00,이환|아크 레이더스|이터널 리턴|talk,전체,합방이 넘쳐난다~,6,2303,1961,24609,104,
2026.05.28(목) 07:33,2026.05.28(목) 14:36,피크|프랫폴|이터널 리턴|로블록스|talk,전체,땅을 파고 내려가요~,7,2234,1852,27181,158,
2026.05.27(수) 09:59,2026.05.27(수) 15:00,이환|talk,전체,노곤노곤,5,3743,2564,26451,113,
2026.05.26(화) 08:19,2026.05.26(화) 14:06,페인|옥토핀스|talk,전체,우와앙 정신업댜,5.8,2822,2155,45852,158,
2026.05.24(일) 08:24,2026.05.24(일) 15:18,마인크래프트|talk,전체,착하게 살자! 1일차,6.9,3660,2407,60329,195,
2026.05.23(토) 08:06,2026.05.23(토) 15:06,마인크래프트|talk,전체,착하게 살자!,7,3539,2827,61609,231,
2026.05.22(금) 08:15,2026.05.22(금) 15:24,마인크래프트|talk,전체,모라시티로 놀러가요 ⛏️💙,7.1,4682,2317,69980,224,
2026.05.20(수) 08:18,2026.05.20(수) 13:42,이터널 리턴|나마코리움|talk,전체,바다를 가쟈 바다로 가자,5.4,3695,2238,22160,61,
2026.05.19(화) 11:40,2026.05.19(화) 14:48,이터널 리턴|talk,전체,늦은 방송 시자악~,3.1,2474,1875,26026,54,
2026.05.17(일) 07:40,2026.05.17(일) 14:12,이환|이터널 리턴|talk,전체,내가 왔소....,6.5,2932,1989,30215,84,
2026.05.16(토) 07:59,2026.05.16(토) 15:00,이터널 리턴|서브노티카 2|talk,전체,합방 전 까지 놀아욧,7,2478,2086,28408,113,
2026.05.14(목) 08:30,2026.05.14(목) 16:30,디렉티브 8020|talk,전체,뜨끈한 날씨,8,1951,1746,27460,66,
2026.05.13(수) 05:50,2026.05.13(수) 12:30,매지컬 프린세스|오버워치|talk,전체,낮잠 자기 싫어잉,6.7,3606,2195,22318,118,
2026.05.11(월) 08:56,2026.05.11(월) 13:48,매지컬 프린세스|talk,전체,졸려용~,4.9,2426,1971,18352,83,
2026.05.10(일) 09:29,2026.05.10(일) 15:12,프랫폴|매지컬 프린세스|로블록스|talk,전체,우ㅇ아아 졸려잉🥱,5.7,3920,2669,43703,203,
2026.05.10(일) 08:54,2026.05.10(일) 09:18,talk,전체,우ㅇ아아 졸려잉🥱,0.4,1948,1485,2239,7,
2026.05.07(목) 10:00,2026.05.07(목) 15:18,매지컬 프린세스|talk,전체,후야 등쟝,5.3,2249,1789,35991,93,
2026.05.06(수) 13:51,2026.05.06(수) 14:42,talk,전체,디지몬 다 봤어용,0.8,2523,2399,11662,23,
2026.05.06(수) 09:23,2026.05.06(수) 13:48,talk,전체,38화부터 남은 디지몬 다 보는 날!,4.4,4296,3251,48156,114,
2026.05.06(수) 08:18,2026.05.06(수) 09:18,talk,전체,38화 부터 남은 디지몬 다 보는 날!,1,2784,2034,7454,23,
2026.05.05(화) 11:55,2026.05.05(화) 15:12,오버워치|talk,전체,어린이 아닙니다. 후열 옵치해용,3.3,2536,1653,17991,95,
2026.05.04(월) 09:22,2026.05.04(월) 14:42,talk,전체,파워디지몬 22화부터~,5.3,3906,3060,56877,110,
2026.05.04(월) 08:09,2026.05.04(월) 09:12,talk,전체,파워디지몬 22화부터~,1,2548,1764,7663,10,
2026.05.02(토) 09:40,2026.05.02(토) 17:06,talk,전체,스컬그레이몬 언제 나옴?,7.4,4057,2896,70834,189,
2026.05.02(토) 08:57,2026.05.02(토) 09:30,talk,전체,나 탱장연이 뭔지 알았어요....ㄱ-,0.5,1644,1241,4415,2,
2026.05.01(금) 08:56,2026.05.01(금) 14:42,프랫폴|오버워치|talk,전체,노동절에 다같이 땅 파기~,5.8,2316,1879,32432,102,
2026.04.30(목) 09:16,2026.04.30(목) 10:24,이환|talk,전체,7시 커버곡 공개!! Melt 인데 다른 버전임ㅋㅋ,1.1,2633,1446,9109,20,
2026.04.29(수) 09:00,2026.04.29(수) 13:54,이환|talk,전체,드디어 이환 오픈이에요! 드가쟈ㅏㅏ,4.9,2625,2257,21642,49,
2026.04.28(화) 08:00,2026.04.28(화) 12:06,융융 전파 신드롬|talk,전체,오늘은 신작 리듬게임 할거에융,4.1,3134,2643,18328,66,
2026.04.26(일) 09:56,2026.04.26(일) 15:54,프래그마타|talk,전체,으에에ㅔ 졸려,6,2152,1785,30298,61,
2026.04.25(토) 08:03,2026.04.25(토) 14:00,최고의 대장장이|오버워치|talk,전체,오늘 하루 후야해요~,5.9,1947,1554,21835,20,
2026.04.24(금) 08:02,2026.04.24(금) 15:54,이터널 리턴|오버워치|talk,전체,힐링이 필요합니다~,7.9,1665,1469,22014,92,
2026.04.22(수) 08:28,2026.04.22(수) 14:30,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|talk,전체,2+2=4,6,3737,2470,22362,76,
2026.04.21(화) 08:00,2026.04.21(화) 14:36,오버워치|프래그마타|talk,전체,감기 날아가라~,6.6,1977,1727,18435,84,
2026.04.19(일) 10:00,2026.04.19(일) 15:24,오버워치|talk,전체,감기 조심하는 방법 1. 감기에 걸리지 않기.,5.4,2087,1799,29163,121,
2026.04.17(금) 08:26,2026.04.17(금) 12:30,프래그마타|talk,전체,목이 부엇지만 괜차나,4.1,2197,1777,17020,38,
2026.04.16(목) 11:58,2026.04.16(목) 14:48,오버워치|몬길: STAR DIVE|talk,전체,잠깐 놀다 갈게용ㅋㅋ 갈게드래곤ㅋㅋ,2.8,1931,1577,13285,45,
2026.04.15(수) 09:00,2026.04.15(수) 14:18,몬길: STAR DIVE|talk,전체,몬스터 길들이기를 모르는 제가 신작을 맛봐도 될까요?,5.3,3317,2705,36498,79,
2026.04.14(화) 07:36,2026.04.14(화) 14:00,종합 게임|오버워치|talk|디제이맥스 리스펙트 V,전체,와~ 여름(?)이다~☀️,6.4,3828,2405,37163,158,
2026.04.12(일) 08:58,2026.04.12(일) 14:42,포장마차 : 한국 길거리 음식 경영시뮬레이터|talk,전체,바스크 치즈 케이크를 하루에 두 조각 먹는 길티함을 원하면 안되는 걸까요.,5.7,2576,1964,44142,136,
2026.04.09(목) 09:01,2026.04.09(목) 14:30,템템: 스웜|에버윈드|talk,전체,비가 주류류류루~,5.5,2248,1925,24451,24,
2026.04.08(수) 08:19,2026.04.08(수) 17:36,젠레스 존 제로|마법소녀의 마녀재판|talk,전체,6시 젠레스 존 제로 스토리 밀어요옷,9.3,4290,2988,72881,122,
2026.04.07(화) 08:31,2026.04.07(화) 16:00,갈취당한 스트리머|마법소녀의 마녀재판|talk,전체,■■■■■ ■■■■ ■■■ ■■■,7.5,3849,2748,67734,119,
