시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:49,2026.06.15(월) 14:54,포탈|리그 오브 레전드,전체,포탈포탈포탈을타ㅏ,2.1,513,480,5779,0,
2026.06.15(월) 09:54,2026.06.15(월) 12:36,포탈|talk,전체,레 이 와 써ㅓ요 하 이,2.7,554,445,7863,3,
2026.06.14(일) 09:54,2026.06.14(일) 18:12,종합 게임|할로우 나이트|talk,전체,안녕하ㅔ세요 레이입니다ㅏ,8.3,646,485,22388,24,
2026.06.13(토) 05:56,2026.06.13(토) 15:48,더 게임 오브 라이프 포 닌텐도 스위치|리그 오브 레전드|Life is a game : 인생게임|모두의마블 PC|talk,전체,레이레이와떠ㅓ레이와떠ㅓㅓㅓ,9.9,589,454,30460,28,
2026.06.12(금) 09:54,2026.06.12(금) 15:48,종합 게임|마이보이스주|talk,전체,레이ㅣ와써ㅓㅓ하이하이ㅣ,5.9,663,522,15147,26,
2026.06.11(목) 07:53,2026.06.11(목) 19:12,스플릿 픽션|talk,전체,레이가 와쓰미다ㅏ!(•̀ᴗ•́)و ̑̑,11.3,657,431,13921,30,
2026.06.10(수) 08:45,2026.06.10(수) 17:00,미설정|스플릿 픽션,전체,크아아ㅏ아아아ㅏ앙!!!,8.2,709,533,17604,45,
2026.06.10(수) 07:59,2026.06.10(수) 08:12,리듬 닥터,전체,리듬의사가되는게임ㅋㅋ키ㅣ키,0.2,372,216,493,0,
2026.06.09(화) 09:54,2026.06.09(화) 19:42,리듬 닥터|talk,전체,하ㅏㅏㅏㅏ이ㅣㅣㅣㅣ츄츄-----,9.8,716,545,24338,70,
2026.06.07(일) 09:55,2026.06.07(일) 22:00,talk,전체,하ㅏ이ㅣ반가브츄츄이므니다,12.1,1424,1094,51005,261,
2026.06.06(토) 12:04,2026.06.06(토) 16:30,미설정|메탈슬러그|talk,전체,조..조은아침...,4.4,949,814,17792,58,
2026.06.06(토) 09:51,2026.06.06(토) 11:48,미설정|두근두근 문예부!,전체,예뿐 언니둘이랑 힐링게임 2뷰~야호~,1.9,1330,1049,16856,69,
2026.06.05(금) 09:56,2026.06.06(토) 00:48,두근두근 문예부!|프레디의 피자가게|talk,전체,아코 올때까지 파라파라나 춰야지 !(•̀ᴗ•́)و ̑̑,14.9,2720,1711,80066,591,
2026.06.04(목) 08:22,2026.06.04(목) 17:18,미설정|래프트|talk,전체,레이ㅣ보고싶어찌??? ≽^•⩊•^≼ 요,8.9,1033,774,15943,182,
2026.06.03(수) 09:54,2026.06.03(수) 18:06,미설정|댓츠 낫 마이 네이버|리그 오브 레전드|talk,전체,레이이ㅣ등 장ㅏ ≽^•⩊•^≼,8.2,1089,844,32507,251,
2026.06.02(화) 09:55,2026.06.02(화) 20:54,이용약관에 동의하고 싶어|talk,전체,쿠쿠오온레레ㅔㅇ이ㅣ등 장! ! !,11,1401,1179,38196,609,
2026.06.01(월) 09:55,2026.06.02(화) 02:18,이용약관에 동의하고 싶어|talk,전체,쿠온 레이 데뷔 아니고 디벗 야호~ 히히히 신난다ㅏ잘뷰탁 드려요!!!,16.4,2413,1272,54284,1572,
2026.05.31(일) 07:00,2026.05.31(일) 08:12,talk,전체,플라네타 [데네브] 쿠온 레이 데뷔 !,1.2,6495,5029,27890,1053,
