시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 07:54,2026.06.15(월) 14:54,명조:워더링 웨이브|talk,전체,명조 콜라보 달리기 전에 저챗 할당제,7,739,540,36558,7,
2026.06.13(토) 05:47,2026.06.14(일) 01:36,작혼: 리치 마작|산나비|talk,전체,인생 첫 켠왕 산나비 이거 보고 나는 울까? 흐음ㅋㅋ,19.8,1484,608,128656,53,
2026.06.12(금) 07:51,2026.06.12(금) 16:54,바바 이즈 유|음악/노래|talk,전체,골골대던 오화요 부활,9,707,591,55069,24,
2026.06.10(수) 07:50,2026.06.10(수) 15:00,음악/노래|talk,전체,보고싶었서,7.2,979,725,45819,30,
2026.06.07(일) 12:38,2026.06.07(일) 17:48,영화|talk,성인,황해 안 본 뇌 같이보기 ㄱㄱ,5.2,762,605,15795,12,
2026.06.07(일) 08:51,2026.06.07(일) 12:36,테이밍 마스터 : 소환수 키우기 2|talk,전체,테이밍 마스터 : 소환수 키우기 2 허니즈 콜라보 해보는 날 두구두구 [AD],3.7,615,412,24593,4,
2026.06.06(토) 07:53,2026.06.06(토) 15:30,아오오니 블루베리 온천의 괴이|talk,전체,누우우나아아와아아써어어,7.6,665,572,50978,9,
2026.06.05(금) 14:09,2026.06.05(금) 16:30,미설정|talk,전체,어제 못 본 이숙캠 같이보기 ㄱㄱ,2.3,702,566,20191,4,
2026.06.05(금) 07:53,2026.06.05(금) 14:06,talk|포켓몬 레전드 Z-A,전체,메롱메롱하다 메롱메롱한,6.2,534,412,26663,8,
2026.06.03(수) 07:54,2026.06.03(수) 17:42,명조:워더링 웨이브|talk,전체,카페탐방 가볼까나아,9.8,715,526,55530,24,
2026.06.02(화) 07:53,2026.06.02(화) 18:12,명조:워더링 웨이브|talk,전체,화요가 와떠이,10.3,789,595,52444,45,
2026.05.31(일) 09:54,2026.05.31(일) 17:48,미사이드|talk,전체,와 진짜 인생이 공포다 (=공포게임함),7.9,878,681,60456,30,
2026.05.30(토) 08:03,2026.05.30(토) 17:06,007 퍼스트 라이트|talk,전체,007 퍼스트라이트 2일차 오늘 완결 볼 수 있을까나 (●'◡'●),9,531,418,51699,7,
2026.05.29(금) 07:54,2026.05.29(금) 19:00,007 퍼스트 라이트|talk,전체,007 퍼스트라이트 신작 달려볼까나,11.1,551,486,64049,21,
2026.05.28(목) 07:54,2026.05.28(목) 18:00,음악/노래|talk,전체,누나가 와써 누나가 와써 누나가 와써,10.1,795,612,45557,24,
