시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 20:07,2026.06.15(월) 23:30,talk,전체,안녕 내이름은 뉴레오라코코,3.4,1353,1028,29595,94,
2026.06.15(월) 15:24,2026.06.15(월) 18:30,talk,전체,목이 찌뿌둥한날에는 요가를 해보기,3.1,1007,873,14362,50,
2026.06.14(일) 12:03,2026.06.14(일) 23:06,미설정|스타크래프트 : 리마스터|talk,전체,일찍 일어나는 검투사가 적을 많이 잡는다,11,1118,832,52221,164,
2026.06.13(토) 22:09,2026.06.13(토) 22:30,미설정,전체,히히 돌아왓서,0.3,531,525,2430,2,
2026.06.13(토) 21:52,2026.06.13(토) 22:06,2026 FIFA 북중미 월드컵,전체,쇼츠 다찍고 쉬는 코코,0.2,595,516,1559,0,
2026.06.13(토) 15:09,2026.06.13(토) 21:48,스타크래프트 : 리마스터|talk,전체,이번에 그런거 안만듭니다,6.6,847,661,35708,65,
2026.06.11(목) 15:18,2026.06.12(금) 00:18,talk,성인,유튜브 4만 달성! 정말 고마워 키몽아,9,1652,1083,8429,116,
2026.06.10(수) 16:03,2026.06.10(수) 20:24,talk,전체,목아파서 찐목코코,4.4,1133,971,18808,57,
2026.06.08(월) 14:52,2026.06.09(화) 01:06,폴리 브릿지|talk,전체,나 이사람 작년부터 진짜 보고싶었어,10.2,2652,1033,48447,176,
2026.06.07(일) 14:51,2026.06.07(일) 23:12,마리오 골프 슈퍼 러시|talk,전체,햇빛을 맞으러가요 크아아아악 타죽는다,8.3,1434,925,56455,218,
2026.06.07(일) 14:39,2026.06.07(일) 14:42,talk,전체,햇빛을 맞으러가요 크아아아악 타죽는다,0,223,223,0,0,
2026.06.06(토) 14:42,2026.06.07(일) 02:00,FC온라인|talk,전체,새벽1시에 써멀구리스를 찾아서 메인보드를 바꿧는데 그동안 났던 쇼트의 원인이 나사엿다,11.3,1212,872,86361,164,
2026.06.04(목) 15:25,2026.06.05(금) 01:24,수박게임|피트니스 복싱|talk,전체,쏟은 젤리가루를 다 치운 코코가 왓서,10,1041,853,39982,175,
2026.06.01(월) 14:55,2026.06.01(월) 22:48,talk,전체,나의 작은 네이버가... 커졌어...,7.9,1305,1028,35555,136,
2026.05.31(일) 14:43,2026.05.31(일) 22:24,talk,성인,귀신 아줌마의 날(진)...,7.7,2257,1575,16411,180,
