시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 05:49,2026.06.14(일) 09:06,talk,전체,( ܸ ⩌⩊⩌ ܸ ),3.3,2467,1858,17545,29,
2026.06.13(토) 05:12,2026.06.13(토) 14:36,데드 바이 데이라이트|오버워치|talk,전체,( ܸ ⩌⩊⩌ ܸ ),9.4,3809,1783,33876,150,
2026.06.12(금) 04:02,2026.06.12(금) 11:00,리그 오브 레전드|프로그 스쿼드|뱀파이어 서바이버즈|R.E.P.O.|talk,전체,( ܸ ⩌⩊⩌ ܸ ),7,3028,2181,15312,131,
2026.06.12(금) 01:25,2026.06.12(금) 04:00,2026 FIFA 북중미 월드컵,전체,졸리 ( ܸ ⩌⩊⩌ ܸ ),2.6,2841,2038,12879,168,
2026.06.12(금) 01:08,2026.06.12(금) 01:24,2026 FIFA 북중미 월드컵|talk,전체,졸리 ( ܸ ⩌⩊⩌ ܸ ),0.3,852,703,476,-4,
2026.06.11(목) 03:34,2026.06.11(목) 09:00,리그 오브 레전드|크레이지 아케이드 비엔비|talk,전체,( ܸ ⩌⩊⩌ ܸ ),5.4,5264,4049,27437,172,
2026.06.09(화) 04:50,2026.06.09(화) 10:48,프랫폴|talk,전체,아마따 공개ㅋㅋ( ܸ ⩌⩊⩌ ܸ ),6,5677,4178,61083,224,
2026.06.07(일) 08:17,2026.06.07(일) 14:30,돔 키퍼|아크 레이더스|이터널 리턴|팅커랜드: 어 쉽렉트 어드벤처|talk,전체,( ܸ ⩌⩊⩌ ܸ ),6.2,1999,1665,18877,94,
2026.06.06(토) 06:46,2026.06.06(토) 15:30,종합 게임|팅커랜드: 어 쉽렉트 어드벤처|PUBG: 배틀그라운드,전체,( ܸ ⩌⩊⩌ ܸ ),8.7,2265,1675,17649,86,
2026.06.05(금) 06:19,2026.06.05(금) 11:48,종합 게임|팅커랜드: 어 쉽렉트 어드벤처|talk,전체,( ܸ ⩌⩊⩌ ܸ ),5.5,2274,1868,16308,36,
2026.06.04(목) 03:16,2026.06.04(목) 15:36,돔 키퍼|이터널 리턴|팅커랜드: 어 쉽렉트 어드벤처|talk,전체,( ܸ ⩌⩊⩌ ܸ ),12.3,5271,2600,28755,232,
2026.06.02(화) 17:46,2026.06.03(수) 03:48,리그 오브 레전드|발로란트|talk,전체,미친사람의 발로랑띠( ܸ ⩌⩊⩌ ܸ ),10,4832,2494,37566,246,
2026.05.31(일) 06:03,2026.05.31(일) 16:12,이터널 리턴|발로란트|talk,전체,( ܸ ⩌⩊⩌ ܸ ),10.1,2373,1744,27674,171,
2026.05.30(토) 05:28,2026.05.30(토) 14:12,이터널 리턴|talk,전체,( ܸ ⩌⩊⩌ ܸ ),8.7,3403,2007,24946,120,
2026.05.29(금) 07:03,2026.05.29(금) 14:42,이터널 리턴|초자연 작전팀|talk,전체,( ܸ ⩌⩊⩌ ܸ ),7.6,2912,1869,24432,71,
2026.05.28(목) 06:59,2026.05.28(목) 14:54,피크|프랫폴|이터널 리턴|로블록스|talk,전체,( ܸ ⩌⩊⩌ ܸ ),7.9,1800,1446,25415,111,
2026.05.24(일) 06:47,2026.05.24(일) 14:42,마인크래프트|talk,전체,( ܸ ⩌⩊⩌ ܸ ),7.9,2831,1623,32257,82,
2026.05.23(토) 07:23,2026.05.23(토) 14:54,마인크래프트|talk,전체,( ܸ ⩌⩊⩌ ܸ ),7.5,2494,1627,25292,85,
2026.05.20(수) 09:42,2026.05.20(수) 11:18,talk,전체,결국 못잤다( ܸ ⩌⩊⩌ ܸ ),1.6,1722,1374,8380,15,
2026.05.19(화) 22:39,2026.05.20(수) 01:54,talk,전체,결국 못잤다( ܸ ⩌⩊⩌ ܸ ),3.2,2277,1811,5557,40,
2026.05.19(화) 05:11,2026.05.19(화) 10:00,로블록스|talk,전체,( ܸ ⩌⩊⩌ ܸ ),4.8,2634,1663,20977,46,
2026.05.17(일) 04:55,2026.05.17(일) 13:06,발로란트|talk,전체,( ܸ ⩌⩊⩌ ܸ ),8.2,3388,2308,27334,126,
2026.05.16(토) 04:35,2026.05.16(토) 12:12,발로란트|talk,전체,좀비감자 ( ܸ ⩌⩊⩌ ܸ ),7.6,3427,1994,25150,112,
2026.05.15(금) 06:15,2026.05.15(금) 16:54,발로란트|오버워치|마인크래프트|talk,전체,좀비감자 ( ܸ ⩌⩊⩌ ܸ ),10.6,4689,2485,44940,185,
2026.05.14(목) 05:11,2026.05.14(목) 10:18,이환|talk,전체,좀비다 좀비 ( ܸ ⩌⩊⩌ ܸ ),5.1,2934,2173,16917,66,
2026.05.12(화) 05:53,2026.05.12(화) 07:48,프랫폴|talk,전체,( ܸ ⩌⩊⩌ ܸ ),1.9,3034,2741,5568,18,
2026.05.12(화) 00:58,2026.05.12(화) 05:48,프랫폴|talk,전체,( ܸ ⩌⩊⩌ ܸ ),4.8,3178,2488,15525,65,
2026.05.10(일) 06:02,2026.05.10(일) 16:42,프랫폴|발로란트|알투비트|talk,전체,( ܸ ⩌⩊⩌ ܸ ),10.7,2701,2010,40788,226,
2026.05.09(토) 04:44,2026.05.09(토) 11:30,종합 게임|talk,전체,( ܸ ⩌⩊⩌ ܸ ),6.8,6575,4677,54796,163,
2026.05.07(목) 21:54,2026.05.08(금) 15:30,프랫폴|talk,전체,테투리스( ܸ ⩌⩊⩌ ܸ ),17.6,3924,2664,60497,358,
2026.05.06(수) 17:33,2026.05.06(수) 23:54,talk,전체,( ܸ ⩌⩊⩌ ܸ ),6.3,2208,1865,26270,115,
2026.05.05(화) 06:40,2026.05.05(화) 15:30,발로란트|talk,전체,( ܸ ⩌⩊⩌ ܸ ),8.8,4606,2095,79158,225,
2026.05.03(일) 03:45,2026.05.03(일) 08:36,친구모아 아일랜드 두근두근 라이프|테트리스 99|talk,전체,졸리( ܸ ⩌⩊⩌ ܸ ),4.8,4167,3308,17458,94,
2026.05.02(토) 04:18,2026.05.02(토) 14:06,리그 오브 레전드|친구모아 아일랜드 두근두근 라이프|talk,전체,( ܸ ⩌⩊⩌ ܸ ),9.8,3932,2282,29184,114,
2026.05.01(금) 08:25,2026.05.01(금) 16:36,리그 오브 레전드|데드 바이 데이라이트|파티 애니멀즈|오버워치|PUBG: 배틀그라운드|talk,전체,( ܸ ⩌⩊⩌ ܸ ),8.2,2459,1844,29418,85,
2026.05.01(금) 05:59,2026.05.01(금) 06:00,talk,전체,( ܸ ⩌⩊⩌ ܸ ),0,0,0,0,0,
2026.04.30(목) 08:06,2026.04.30(목) 14:00,발로란트|talk,전체,( ܸ ⩌⩊⩌ ܸ ),5.9,2032,1740,17716,67,
2026.04.28(화) 17:28,2026.04.28(화) 20:12,스컬: 더 히어로 슬레이어|talk,전체,( ܸ ⩌⩊⩌ ܸ ),2.7,3628,2578,15556,44,
2026.04.26(일) 07:43,2026.04.26(일) 13:00,작혼: 리치 마작|브로테이토|talk,전체,( ܸ ⩌⩊⩌ ܸ ),5.3,4793,2769,30087,46,
2026.04.26(일) 05:33,2026.04.26(일) 07:36,여동생 운전 가르치기|talk,전체,( ܸ ⩌⩊⩌ ܸ ),2,6619,4347,17989,50,
2026.04.25(토) 05:56,2026.04.25(토) 16:06,전략적 팀 전투 : 우주의 신들|talk,전체,( ܸ ⩌⩊⩌ ܸ ),10.2,2577,1511,23959,76,
