시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 06:59,2026.06.15(월) 13:30,ASMR|talk,전체,오늘은 저챗데이! 요정님이 왔어요 ( •̀ ω •́ )✧,6.5,65,35,4112,3,
2026.06.14(일) 04:59,2026.06.14(일) 11:24,리그 오브 레전드|talk,전체,진지한 코튼 등장. ㄱ-,6.4,82,49,2871,18,
2026.06.13(토) 04:59,2026.06.13(토) 11:30,미설정|리그 오브 레전드|성세천하: 여제의 탄생 Ⅱ|talk,전체,"오늘 잔인,표독,예민,악독할 예정 ( ﾟдﾟ)",6.5,44,31,2628,-1,
2026.06.11(목) 06:59,2026.06.11(목) 14:06,명조:워더링 웨이브|talk,전체,4시를 밝혀주는 힘찬 코튼 등장이오 🤍,7.1,53,37,2903,7,
2026.06.10(수) 11:30,2026.06.10(수) 13:00,성세천하: 여제의 탄생 Ⅱ|talk,전체,성세천하2 엔딩 달려보겠습니다! 계화탕만은 제발...,1.5,32,29,619,0,
2026.06.10(수) 06:59,2026.06.10(수) 11:24,성세천하: 여제의 탄생 Ⅱ|talk,전체,꽃의 요정님 등장이오 🤍,4.4,35,28,1372,2,
2026.06.08(월) 06:59,2026.06.08(월) 15:00,ASMR|talk,전체,저챗데이! 소통소통소통 ✨,8,72,38,3747,9,
2026.06.07(일) 06:59,2026.06.07(일) 13:06,미설정|리그 오브 레전드|talk,전체,반갑습니댜으아아아아ㅏㅏ,6.1,39,30,3874,2,
2026.06.06(토) 06:59,2026.06.06(토) 11:48,그림/아트|talk,전체,살아남았다는 건 강하다는 것.,4.8,40,29,2716,1,
2026.06.05(금) 06:59,2026.06.05(금) 12:18,Ib|talk,전체,금요일 저녁을 같이 즐겨보실까요! (❁´◡`❁),5.3,34,28,1898,3,
2026.06.04(목) 06:59,2026.06.04(목) 12:36,명조:워더링 웨이브|talk,전체,오늘도 즐겁게 놀아봅시다요 🤍,5.6,57,33,2351,7,
2026.06.03(수) 06:59,2026.06.03(수) 14:24,팀파이트 매니저 2|ASMR|talk,전체,역시 쉬는 날에는 코튼을 봐야해! 🤍,7.4,95,46,5423,11,
2026.06.01(월) 06:59,2026.06.01(월) 12:42,talk,전체,오늘은 저챗데이 소통해요!!! 🤍,5.7,49,38,3331,0,
2026.05.31(일) 06:59,2026.05.31(일) 12:24,talk,전체,[데뷔 100일차] 방송 시작한지 100일!!!!! 정말 고맙습니다 🤍,5.4,54,46,3330,6,
2026.05.29(금) 06:59,2026.05.29(금) 12:48,리그 오브 레전드|talk,전체,코 튼 부 활,5.8,85,43,2673,26,
2026.05.28(목) 06:59,2026.05.28(목) 07:54,명조:워더링 웨이브|talk,전체,오늘은 방송을 하고 싶따,0.9,36,26,672,-1,
2026.05.27(수) 06:59,2026.05.27(수) 07:12,talk,전체,살려주세요 마녀에게 목소리를 빼앗겼어요,0.2,24,16,83,0,
2026.05.25(월) 06:59,2026.05.25(월) 11:36,talk,전체,오늘은 저텐션 차분차분한 코튼입니댜... 〒▽〒,4.6,45,37,1984,3,
2026.05.24(일) 06:59,2026.05.24(일) 12:00,talk,전체,지치고 병든 나그네여 쉬어가시오 (❁´◡`❁),5,45,36,2032,2,
2026.05.23(토) 06:59,2026.05.23(토) 13:00,서브노티카 2|talk,전체,이렇게 좋은 날에는 코튼을 봐야해 ( •̀ ω •́ )✧,6,43,29,2244,2,
2026.05.21(목) 07:00,2026.05.21(목) 14:06,명조:워더링 웨이브|talk,전체,나른한 오후입니다 (. ❛ ᴗ ❛.),7.1,43,30,1280,1,
2026.05.20(수) 06:59,2026.05.20(수) 13:48,서브노티카 2|talk,전체,비오는 날 요정님과 잔잔하게 소통하시죠! 🤍,6.8,50,38,2091,7,
2026.05.18(월) 06:59,2026.05.18(월) 14:36,ASMR|talk,전체,오늘은 저챗데이! 소통해요 (≧∇≦)ﾉ,7.6,147,55,3233,19,
2026.05.17(일) 06:59,2026.05.17(일) 13:24,후즈 앳 더 도어|언젠가는 도착해|talk,전체,날이 더우니 솜뭉치를 더 껴안아야겠다 ( •̀ ω •́ )✧,6.4,54,40,3121,6,
2026.05.16(토) 06:59,2026.05.16(토) 13:30,리그 오브 레전드|talk,전체,두근두근 결전의날! (≧﹏ ≦),6.5,43,28,3575,2,
2026.05.15(금) 06:59,2026.05.15(금) 14:06,디렉티브 8020|talk,전체,불타는 금요일을 코튼과 함께!!! 🤍,7.1,49,39,2943,5,
2026.05.14(목) 06:59,2026.05.14(목) 14:06,명조:워더링 웨이브|talk,전체,여러분의 자존감 지킴이 등장 (≧∇≦)ﾉ,7.1,56,41,2265,6,
2026.05.11(월) 13:07,2026.05.11(월) 14:24,ASMR,전체,[ASMR] 메이드의 날 기념! 메이드RP ASMR 🤍,1.3,128,98,287,3,
2026.05.11(월) 06:59,2026.05.11(월) 13:06,talk,전체,"월요일, 비오는 날, 최고의 선택. 코튼 방송 보기 ( •̀ ω •́ )✧",6.1,54,38,3051,4,
2026.05.10(일) 06:59,2026.05.10(일) 13:36,호그와트 레거시|talk,전체,코하이이이!! 오늘 날씨 미쳤?!?!?!,6.6,43,36,2027,4,
2026.05.08(금) 06:59,2026.05.08(금) 13:30,음악/노래|골목길 : 귀흔|talk,전체,솜뭉치가 나의 어버이다. ( •̀ ω •́ )✧,6.5,48,39,2955,4,
2026.05.07(목) 06:59,2026.05.07(목) 14:54,명조:워더링 웨이브|talk,전체,비가 추적추적...!!! (≧﹏ ≦),7.9,54,43,2670,11,
2026.05.06(수) 06:59,2026.05.06(수) 13:24,둠스 헤어 살롱|리그 오브 레전드|talk,전체,저챗저챗 소통해요! (. ❛ ᴗ ❛.),6.4,43,34,2651,6,
2026.05.05(화) 10:59,2026.05.05(화) 13:42,음악/노래|talk,전체,오늘은 어린이날 ! 코튼은 네살이라 항상 어린이지롱 (. ❛ ᴗ ❛.),2.7,42,35,1595,5,
2026.05.04(월) 06:59,2026.05.04(월) 14:00,ASMR|talk,전체,오늘은 저챗데이날! 소통해요 ( •̀ ω •́ )✧,7,84,43,3123,7,
2026.05.03(일) 06:59,2026.05.03(일) 13:12,런 피자 런|레벨 데빌|스컬 호텔|종합 게임|여동생 운전 가르치기|talk,전체,4시 요정님이 등장했습니댜! (. ❛ ᴗ ❛.),6.2,55,39,2658,7,
2026.05.02(토) 06:59,2026.05.02(토) 12:00,리그 오브 레전드|talk,전체,5월 첫 시작을 달려볼까요! (5월 2일임) (≧∇≦)ﾉ,5,47,32,2580,7,
2026.04.30(목) 06:59,2026.04.30(목) 14:36,명조:워더링 웨이브|음악/노래|talk,전체,4시 저챗 소통소통!! ( •̀ ω •́ )✧,7.6,53,37,2245,4,
2026.04.29(수) 06:59,2026.04.29(수) 14:06,이환|그림/아트|talk,전체,수요일의 4시 요정님 등장! ( •̀ ω •́ )✧,7.1,46,35,3583,1,
2026.04.27(월) 06:59,2026.04.27(월) 13:00,talk,전체,저챗데이! 요정님과 소통소통 시간! (≧﹏ ≦),6,54,42,3157,2,
2026.04.26(일) 04:59,2026.04.26(일) 12:36,리그 오브 레전드|프래그마타|talk,전체,2시는 오랜만이네요! 반갑습니댱 (≧∇≦)ﾉ,7.6,61,38,2582,4,
2026.04.25(토) 06:59,2026.04.25(토) 15:36,프래그마타|talk,전체,산뜻한 주말 오후 요정님의 정원 가꾸기! (. ❛ ᴗ ❛.),8.6,43,30,2392,0,
2026.04.24(금) 06:59,2026.04.24(금) 12:42,리그 오브 레전드|talk,전체,4시 요정님 등장이오 ! (. ❛ ᴗ ❛.),5.7,39,30,2099,1,
2026.04.23(목) 06:59,2026.04.23(목) 14:24,명조:워더링 웨이브|talk,전체,요정님 등장 ! (. ❛ ᴗ ❛.),7.4,85,52,1790,6,
2026.04.22(수) 06:59,2026.04.22(수) 12:06,야근사건|talk,전체,4시의 소통시간 저챗저챗 🤍,5.1,56,43,2386,10,
2026.04.20(월) 12:32,2026.04.20(월) 14:06,ASMR,성인,[ASMR] 얀데레 멘헤라가 집착하는 ASMR,1.6,158,88,106,21,
