시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 09:04,2026.06.13(토) 13:18,음악/노래,전체,🌙,4.2,145,112,2743,4,
2026.06.12(금) 10:05,2026.06.12(금) 15:42,음악/노래,전체,"8시 서브노티카(w.돈도로다단,아이베츠,노래맛김쿠키)",5.6,60,41,1739,0,
2026.06.11(목) 09:04,2026.06.11(목) 13:12,미설정|멧챠 카멜레온|음악/노래,전체,7시 멧챠 카멜레온 시참,4.1,122,74,2014,3,
2026.06.10(수) 09:00,2026.06.10(수) 13:00,음악/노래,전체,🌙,4,178,128,1926,4,
2026.06.09(화) 08:57,2026.06.09(화) 11:00,음악/노래,전체,🌙,2,163,104,1066,3,
2026.06.05(금) 09:12,2026.06.05(금) 13:12,음악/노래|이터널 리턴,전체,술이 안깬,4,60,42,546,1,
2026.06.04(목) 09:02,2026.06.04(목) 15:06,음악/노래,성인,🌙,6.1,143,115,727,0,
2026.06.02(화) 09:04,2026.06.02(화) 13:12,음악/노래,전체,🌙,4.1,222,154,2594,5,
2026.05.30(토) 09:28,2026.05.30(토) 13:42,음악/노래,전체,노래🌙,4.2,361,179,2926,23,
2026.05.29(금) 09:05,2026.05.29(금) 12:12,음악/노래,전체,🌙,3.1,107,85,1316,1,
2026.05.28(목) 09:03,2026.05.28(목) 13:00,음악/노래|오버워치,전체,🌙,3.9,118,61,1210,3,
2026.05.27(수) 09:11,2026.05.27(수) 13:12,음악/노래,전체,🌙,4,159,125,2293,2,
2026.05.26(화) 09:05,2026.05.26(화) 13:30,음악/노래,전체,🌙,4.4,198,150,3015,8,
2026.05.23(토) 12:22,2026.05.23(토) 15:12,음악/노래,성인,🌙,2.8,109,91,0,0,
2026.05.23(토) 09:02,2026.05.23(토) 12:06,음악/노래,전체,🌙,3.1,135,91,1461,1,
2026.05.22(금) 09:10,2026.05.22(금) 13:06,음악/노래,전체,쪄죽는다아🌙,3.9,171,107,1527,3,
2026.05.21(목) 09:04,2026.05.21(목) 13:36,음악/노래,성인,🌙,4.5,120,95,1845,0,
2026.05.19(화) 09:12,2026.05.19(화) 11:06,음악/노래,전체,🌙짧,1.9,136,92,946,1,
2026.05.16(토) 09:54,2026.05.16(토) 14:00,음악/노래,전체,🎶,4.1,139,98,2060,2,
2026.05.15(금) 09:03,2026.05.15(금) 13:18,파피 플레이타임|음악/노래,전체,🌙,4.2,106,61,1574,-1,
2026.05.14(목) 09:07,2026.05.14(목) 12:36,음악/노래,전체,🌙,3.5,184,137,1599,-1,
2026.05.12(화) 10:14,2026.05.12(화) 13:06,음악/노래,전체,🌙,2.9,136,101,1539,0,
2026.05.09(토) 09:05,2026.05.09(토) 13:12,음악/노래,전체,🌙,4.1,134,94,2545,1,
2026.05.08(금) 09:12,2026.05.08(금) 13:24,파피 플레이타임|음악/노래,전체,🌙,4.2,71,53,1515,-2,
2026.05.08(금) 09:09,2026.05.08(금) 09:12,음악/노래,성인,🌙,0,13,13,0,0,
2026.05.07(목) 09:09,2026.05.07(목) 14:30,음악/노래,성인,🌧,5.3,163,122,1380,2,
2026.05.06(수) 09:09,2026.05.06(수) 13:12,음악/노래,전체,🌙,4,240,145,2582,6,
2026.05.05(화) 09:05,2026.05.05(화) 13:12,음악/노래,전체,🌙,4.1,141,111,2687,1,
2026.05.01(금) 07:05,2026.05.01(금) 11:00,음악/노래,전체,좀일찍 켯서요,3.9,138,114,2008,1,
2026.04.30(목) 12:25,2026.04.30(목) 14:30,음악/노래,성인,이제 약안뭇는다,2.1,105,97,0,1,
2026.04.30(목) 09:03,2026.04.30(목) 12:18,음악/노래,전체,이제 약안뭇는다,3.2,127,98,1283,1,
2026.04.29(수) 09:01,2026.04.29(수) 13:12,음악/노래,전체,XD,4.2,166,127,1289,-1,
2026.04.28(화) 09:00,2026.04.28(화) 13:12,음악/노래,전체,🌙,4.2,194,147,2483,6,
2026.04.24(금) 09:02,2026.04.24(금) 13:00,크라임 씬 클리너|talk,전체,푸엥취,4,52,42,1541,-2,
2026.04.23(목) 08:37,2026.04.23(목) 11:06,talk,전체,감기 결국 걸렸ㅇ ㅓ습ㅂ박..,2.5,63,53,1128,1,
2026.04.18(토) 08:59,2026.04.18(토) 12:18,음악/노래|talk,전체,감기 결국 걸렸ㅇ ㅓ습ㅂ박..,3.3,67,42,1199,-1,
2026.04.17(금) 09:02,2026.04.17(금) 13:00,음악/노래,전체,편도염걸림 흑흑슨,4,58,43,1512,-1,
2026.04.15(수) 11:55,2026.04.15(수) 15:48,음악/노래,성인,🌙,3.9,140,112,40,2,
2026.04.15(수) 09:03,2026.04.15(수) 11:54,음악/노래,전체,🌙,2.8,159,120,2107,1,
2026.04.14(화) 09:51,2026.04.14(화) 14:06,음악/노래,전체,"흐흫ㅎ,",4.2,239,144,2567,0,
2026.04.11(토) 09:10,2026.04.11(토) 14:42,음악/노래,성인,^..^,5.5,102,86,1283,-1,
2026.04.09(목) 11:08,2026.04.09(목) 13:00,음악/노래,전체,짧노래,1.9,143,110,1123,4,
2026.04.08(수) 09:13,2026.04.08(수) 13:36,로그 라이더스|음악/노래,전체,🌙,4.4,92,45,1208,0,
2026.04.07(화) 09:08,2026.04.07(화) 13:06,음악/노래,전체,🌙,4,244,176,1948,9,
2026.04.04(토) 08:58,2026.04.04(토) 13:30,음악/노래,전체,🌙,4.5,133,104,3018,3,
2026.04.03(금) 09:05,2026.04.03(금) 14:00,리그 오브 레전드|음악/노래,전체,🌙,4.9,136,72,1864,2,
2026.04.01(수) 11:11,2026.04.01(수) 14:18,음악/노래,성인,안녕 이쁜이들,3.1,121,105,0,1,
2026.04.01(수) 09:10,2026.04.01(수) 11:06,음악/노래,전체,안녕 이쁜이들,1.9,136,92,1335,2,
2026.03.31(화) 09:03,2026.03.31(화) 13:06,음악/노래,전체,🌙,4,288,211,2255,13,
2026.03.29(일) 09:07,2026.03.29(일) 13:24,음악/노래,전체,🌙,4.3,145,111,2979,4,
2026.03.28(토) 08:55,2026.03.28(토) 13:30,래프트|talk,전체,오늘은 엔딩볼수있을까,4.6,50,38,672,-2,
2026.03.26(목) 08:56,2026.03.26(목) 13:18,음악/노래|이터널 리턴|talk,전체,습박 목아파요,4.4,78,57,1719,-1,
2026.03.25(수) 09:03,2026.03.25(수) 13:00,음악/노래,전체,미옹 마옹 미옹 마옹,3.9,242,171,1994,7,
2026.03.24(화) 08:32,2026.03.24(화) 13:00,음악/노래,전체,좀일찍 왔스요,4.5,252,183,2200,2,
2026.03.22(일) 00:57,2026.03.22(일) 05:36,음악/노래,전체,노래방,4.6,353,256,2869,33,
2026.03.20(금) 09:05,2026.03.20(금) 13:18,음악/노래,전체,🌙,4.2,172,123,2042,3,
2026.03.19(목) 09:01,2026.03.19(목) 10:48,음악/노래,전체,🌙,1.8,162,119,843,0,
