시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:01,2026.06.15(월) 14:54,에이펙스 레전드|talk,전체,퇴근해써?🩷,4.9,100,76,4254,21,
2026.06.13(토) 04:51,2026.06.13(토) 10:30,talk,전체,안녕하세욬;ㅅ삼이야러분,5.6,96,75,5537,0,
2026.06.12(금) 10:00,2026.06.12(금) 15:36,오버워치|talk,전체,오늘 나나랑 뜨밤!!!!!!!!!!!!!!!!!,5.6,73,56,3596,3,
2026.06.11(목) 06:01,2026.06.11(목) 10:48,talk,전체,현실키 148cm가 해보는 키작으면좋은점 월드컵 🫠🫠(4시),4.8,99,68,2864,2,
2026.06.10(수) 04:48,2026.06.10(수) 13:06,명조:워더링 웨이브|talk,전체,끼요오오오옷!~~태권도다녀온청년,8.3,88,65,3451,9,
2026.06.08(월) 10:00,2026.06.08(월) 10:42,talk,전체,끼요요요요욧!!!!!!!!!!,0.7,45,37,306,0,
2026.06.07(일) 04:47,2026.06.07(일) 11:00,오버워치|talk,전체,나나세끼를 받아요!!!!!!!!!!!!!!!!!!,6.2,126,86,4065,-3,
2026.06.05(금) 05:42,2026.06.05(금) 12:00,링 피트 어드벤처|오버워치|talk,전체,나나링피트하는날 😵‍💫🫠🫠🫠,6.3,91,65,3531,5,
2026.06.03(수) 10:31,2026.06.03(수) 16:12,리썰 컴퍼니|talk,전체,"오늘 드디어 재판이있군요...원고로 나갑니다..(w.꽉변님,하카,루묭)",5.7,110,76,2985,20,
2026.06.03(수) 04:48,2026.06.03(수) 09:18,갬블 위드 유어 프렌즈|talk,전체,낮엔 만디님과 두근두근 첫만남♥ 밤에는 법정을 간다...(합방3시),4.5,114,79,1290,8,
2026.06.01(월) 07:00,2026.06.01(월) 14:24,오버워치|메이플스토리 월드|talk,전체,이제는 전기기사님 불러야겠구나.........(리방),7.4,98,78,3095,10,
2026.06.01(월) 04:31,2026.06.01(월) 06:54,talk,전체,테스트,2.4,88,69,964,4,
2026.05.30(토) 04:48,2026.05.30(토) 06:06,미설정|talk,전체,오늘 백만년만에 커버곡 공개!,1.3,75,56,745,1,
2026.05.29(금) 04:48,2026.05.29(금) 16:54,걱정 마세요|난기류입니다|오버워치|talk,전체,금요일!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,12.1,71,57,5168,19,
2026.05.28(목) 12:00,2026.05.28(목) 15:54,테트리스|talk,전체,오늘은 밤에 온 나나 !! (10시 도마즈합방),3.9,63,52,1976,7,
2026.05.27(수) 04:48,2026.05.27(수) 11:36,둠스 헤어 살롱|오버워치|talk,전체,오늘은 똥겜이야 💩💩,6.8,87,66,3212,1,
2026.05.25(월) 08:02,2026.05.25(월) 15:30,오버워치|talk,전체,오빠양 나나오늘 달라진거없떠?🩷,7.5,97,60,4891,-1,
2026.05.24(일) 04:48,2026.05.24(일) 09:12,talk,전체,왔 따 링!!!!,4.4,78,65,1817,2,
2026.05.23(토) 04:49,2026.05.23(토) 11:42,풀즈|아이 엠 캣|오버워치|메이플스토리 월드|talk,전체,VR게임하는나아아아알!,6.9,94,69,3322,4,
2026.05.22(금) 04:48,2026.05.22(금) 08:06,talk,전체,안녕나를머리만큰똥멍청이라고불러주겠니으흑늙고쭈굴한태권도땡땡이친중년,3.3,103,77,1918,-1,
2026.05.21(목) 13:40,2026.05.21(목) 16:00,오버워치,전체,게릴라) 옵치 1패쫑 하고감!!!,2.3,47,38,1498,0,
2026.05.21(목) 04:48,2026.05.21(목) 10:12,메이플스토리 월드|talk,전체,오랜만이에요🫠,5.4,97,81,2204,2,
2026.05.18(월) 07:33,2026.05.18(월) 14:12,오버워치|talk,전체,내가 늙쭈버라니...내가 늙쭈버라니...내가 늙쭈버라니...내가 늙쭈버라니...내가 늙쭈버라니...,6.6,89,65,3335,12,
2026.05.16(토) 04:48,2026.05.16(토) 06:42,talk,전체,공습경보 148 148 !!!!!!!!!,1.9,72,52,1053,1,
2026.05.14(목) 10:03,2026.05.14(목) 15:18,크라임 시뮬레이터|오버워치|talk,전체,바른생활을 하자!!!!!!!!바른생활을 하자!!!!!!!!바른생활을 하자!!!!!!!!,5.2,61,52,2264,2,
2026.05.13(수) 18:49,2026.05.13(수) 19:48,음악/노래|talk,전체,잠미안왕,1,50,41,649,1,
2026.05.13(수) 09:00,2026.05.13(수) 15:18,라이어스 바|R.E.P.O.|talk,전체,"오늘은 기묘한 합방이 있뜸니다 (서로 다 초면인 이보늬, 하렌, 무무 8시)",6.3,83,63,3667,8,
2026.05.11(월) 04:48,2026.05.11(월) 14:42,오버워치|메이플스토리 월드|talk,전체,메이플하느라 못자란청년의 메이플,9.9,125,87,5049,13,
2026.05.10(일) 04:53,2026.05.10(일) 13:06,오버워치|talk,전체,오늘 키커서 53분에 킴 ㅇㅅㅇ;;;,8.2,91,63,6185,-1,
2026.05.09(토) 04:48,2026.05.09(토) 11:30,오버워치|talk,전체,🩷 공습경보 148 148 !!!!!,6.7,99,73,3983,7,
2026.05.07(목) 04:49,2026.05.07(목) 09:00,오버워치|파워워시 시뮬레이터|talk,전체,공습경보 148 148 !!!!!!!!!,4.2,86,69,2355,2,
2026.05.06(수) 04:48,2026.05.06(수) 10:30,talk,전체,공습경보 148 148 !!!!!!!!!,5.7,89,71,5064,4,
2026.05.05(화) 04:48,2026.05.05(화) 11:30,오버워치|talk,전체,끼요요요요욧!!!!!!!!!! 어린이날!!!!!!!!!!!!!,6.7,99,72,2628,4,
2026.05.03(일) 04:48,2026.05.03(일) 17:42,프랫폴|talk,전체,공습경보 148 148 !!!!!!!!!!!!!!!!!!!,12.9,113,82,12305,4,
2026.04.29(수) 11:30,2026.04.29(수) 14:30,스캠 라인|talk,전체,안녕다들잘있었니?휴방은화요일뿐이었는데뭔가되게많은일이있었던것같아이오랜만인기분그만큼내컨디션이조져졌던걸까그래도오늘은괜찮아합방은해야지,3,61,51,2043,9,
2026.04.27(월) 04:48,2026.04.27(월) 11:42,몬스터 헌터 와일즈|talk,전체,!!!!! 공습 경보 148 148 !!!!,6.9,103,85,2970,12,
2026.04.25(토) 04:49,2026.04.25(토) 09:36,talk,전체,오늘은 족타입니다 고양이 발맛 짜장면 ...,4.8,141,111,3508,8,
2026.04.24(금) 05:02,2026.04.24(금) 07:36,talk|마에스트로 VR,전체,오느르ㅡ르른 VR거시기,2.6,97,75,1287,0,
2026.04.23(목) 04:48,2026.04.23(목) 10:18,몬스터 헌터 와일즈|talk,전체,공습경보 148 148 !!!!!!!!!!!!!,5.5,97,78,3224,1,
2026.04.22(수) 04:48,2026.04.22(수) 06:06,talk,전체,[캠] 버튜버의 방은 어떻게 생겼을까? 나나링 방공개🏠,1.3,161,133,908,5,
2026.04.20(월) 04:48,2026.04.20(월) 12:48,몬스터 헌터 와일즈|talk,전체,마이크바꿔써!!!!!!!!!!!마이크바꿔써!!!!!!!!!!!마이크바꿔써!!!!!!!!!!!마이크바꿔써!!!!!!!!!!!마이크바꿔써!!!!!!!!!!!마이크바꿔써!!!!!!!!!,8,129,90,3792,3,
2026.04.19(일) 04:48,2026.04.19(일) 12:18,몬스터 헌터 와일즈|talk,전체,공습경보 148 148 !!!!!!!!!!!!!,7.5,101,78,3960,2,
2026.04.18(토) 04:48,2026.04.18(토) 11:00,몬스터 헌터 와일즈|talk,전체,공습경보 148 148 !!!!!!!!!,6.2,83,66,4600,5,
2026.04.17(금) 04:48,2026.04.17(금) 14:06,오버워치|마인크래프트|talk,전체,공습경보 148 148 !!!!!!!!!!!!!!!!!!!!!!,9.3,96,71,4214,10,
2026.04.15(수) 04:48,2026.04.15(수) 16:54,마인크래프트|talk,전체,공습경보 148 148 !!!!!!,12.1,81,66,6525,7,
2026.04.13(월) 08:01,2026.04.13(월) 08:36,talk,전체,나하!🩷,0.6,52,36,446,1,
2026.04.12(일) 06:06,2026.04.12(일) 17:12,오버워치|마인크래프트|talk,전체,쪼꼼 밝히는 속마음과 근황,11.1,110,56,7540,9,
2026.04.11(토) 12:52,2026.04.11(토) 15:12,마인크래프트,전체,리방!!!!!!!!!!!!,2.3,62,56,1989,0,
2026.04.11(토) 04:30,2026.04.11(토) 12:48,몬스터 헌터 와일즈|마인크래프트|talk,전체,조오오와아앗써!!!!! 몬헌 처음해보는날 !!!!,8.3,121,93,7412,15,
2026.04.10(금) 08:00,2026.04.10(금) 12:24,오버워치|talk,성인,일단 켜!!!!!!!!!!!!!,4.4,78,63,2518,4,
2026.04.09(목) 05:59,2026.04.09(목) 10:24,명조:워더링 웨이브|talk,전체,앗 오늘 방송공지안했넹 오뱅 3시ㅇㅅㅇ;;,4.4,74,56,2153,0,
2026.04.06(월) 05:59,2026.04.06(월) 12:18,종합 게임|talk,전체,도를 넘은 인터넷 방송ㄷㄷㄷㄷㄷ (고양이 디진다돈까스 먹방),6.3,196,113,6030,4,
2026.04.05(일) 10:00,2026.04.05(일) 13:36,오버워치|talk,전체,호잇쨔!!!🩷,3.6,67,56,2394,1,
2026.04.04(토) 04:00,2026.04.04(토) 09:18,오버워치|talk,전체,와따!🩷,5.3,99,76,3851,3,
2026.04.03(금) 13:31,2026.04.03(금) 15:54,미설정,전체,리방!!!! 영화 미녀는 괴로워 같이보기 !!!!!!!!,2.4,80,70,2395,4,
2026.04.03(금) 10:00,2026.04.03(금) 13:24,talk,전체,오늘 생일이에요...🥹🎂🩷,3.4,91,73,3348,3,
2026.04.01(수) 11:00,2026.04.01(수) 14:24,talk,전체,나나와땨!!!🩷낮에 한 찐목 게릴라 방송은 재밌으셨나요...?,3.4,81,64,2925,10,
2026.04.01(수) 05:45,2026.04.01(수) 07:12,talk,전체,[만우절특집] 다신없을 눈나링 찐목 게릴라 방송 (다시보기x),1.4,187,156,1738,2,
2026.03.30(월) 10:04,2026.03.30(월) 16:00,미설정|종합 게임|talk,전체,와땨와땨!🩷,5.9,60,51,3837,2,
2026.03.29(일) 04:04,2026.03.29(일) 12:30,명조:워더링 웨이브|talk,전체,끼요옹오오오오옷!!!!!!!!!!!,8.4,113,74,4653,-2,
2026.03.27(금) 08:05,2026.03.27(금) 13:18,데드 바이 데이라이트|음악/노래|talk,전체,오랜만에 기타 갖구와써!🩷,5.2,115,74,2735,3,
2026.03.25(수) 06:57,2026.03.25(수) 14:06,종합 게임|talk,전체,부우ㅐㅐㄱ링피트의날 (늦어ㅏㅓ서미않래!!!!!!!,7.1,89,72,5362,2,
2026.03.23(월) 08:08,2026.03.23(월) 13:18,종합 게임|오버워치|talk,전체,ㅇ,5.2,108,73,3170,-1,
2026.03.21(토) 10:08,2026.03.21(토) 12:06,talk,전체,게릴라 / 나나링집 폭발 3초전 (도마즈 현실모임중),2,148,120,3451,5,
2026.03.19(목) 12:34,2026.03.19(목) 16:12,talk,전체,영화보러와또~,3.6,79,58,3637,3,
2026.03.19(목) 06:04,2026.03.19(목) 09:54,명조:워더링 웨이브|talk,전체,왔따링🩷,3.8,86,59,1254,4,
2026.03.18(수) 06:04,2026.03.18(수) 12:36,음악/노래|포켓몬 포코피아|오버워치|talk,전체,와또🩷,6.5,96,75,2427,0,
2026.03.16(월) 05:38,2026.03.16(월) 12:42,포켓몬 포코피아|낙원: LAST PARADISE|talk,전체,한국배경 생존게임 낙원 막차!!!!!! 3시간 타임어택!!!!!!!!!,7.1,108,80,2692,-2,
2026.03.14(토) 05:11,2026.03.14(토) 14:24,포켓몬 포코피아|talk,전체,와땨!🩷,9.2,85,67,4504,4,
2026.03.13(금) 06:06,2026.03.13(금) 10:00,미설정|오버워치,전체,끼요오옷!!!!ㅇㅅㅇ!!!!!,3.9,82,62,1201,-3,
2026.03.11(수) 06:49,2026.03.11(수) 10:54,오버워치|talk,전체,너무느저따ㅏ으ㅏ미안!!!!!!!!,4.1,83,67,2174,-2,
2026.03.10(화) 06:36,2026.03.10(화) 16:24,바이오하자드 레퀴엠|talk,전체,울디말고 씩씩대자 (4시 바하 레퀴엠),9.8,97,71,5580,3,
2026.03.08(일) 08:23,2026.03.08(일) 14:12,바이오하자드 레퀴엠,전체,리방 매니아,5.8,96,78,3052,4,
2026.03.08(일) 08:07,2026.03.08(일) 08:12,바이오하자드 레퀴엠,전체,개쫄보탱이의 바하...오늘ㅇ는 울지않고할꺼ㅏ야ㅏ..,0.1,40,40,0,0,
2026.03.08(일) 05:09,2026.03.08(일) 07:48,바이오하자드 레퀴엠|talk,전체,안녕하세요 개쫄보탱이가왔뜹니댜...꾸애애ㄱ...,2.6,118,87,2626,0,
2026.03.07(토) 05:07,2026.03.07(토) 11:24,바이오하자드 레퀴엠|talk,전체,킷삼이 호구조사 하는날 🚨(2:30),6.3,124,93,5180,3,
2026.03.05(목) 06:03,2026.03.05(목) 14:36,명조:워더링 웨이브|talk,전체,끼요오!!!!!,8.5,103,70,3113,-2,
2026.03.04(수) 08:02,2026.03.04(수) 11:06,오버워치|talk,전체,살아돌아와쎠🥹,3.1,78,62,2323,-3,
2026.03.02(월) 05:35,2026.03.02(월) 06:06,talk,전체,늙고병든고양ㅇ이 게릴라,0.5,72,46,520,0,
2026.02.27(금) 11:06,2026.02.27(금) 14:48,종합 게임|talk,전체,z컵의 그녀와 금요일 저녁 스근한 토크 어떠세요?,3.7,71,56,1942,-2,
2026.02.25(수) 06:09,2026.02.25(수) 14:12,미설정|명조:워더링 웨이브|오버워치,전체,오늘은요~,8,99,75,4293,9,
2026.02.23(월) 05:10,2026.02.23(월) 13:00,명조:워더링 웨이브|오버워치|talk,전체,헤헤헤헤헤헤🩷,7.8,107,80,2940,19,
2026.02.22(일) 10:06,2026.02.22(일) 15:54,talk,성인,고양이 땅콩 떼고왔땨... (8시 도마즈 합방),5.8,78,64,3313,7,
2026.02.21(토) 04:15,2026.02.21(토) 08:06,명조:워더링 웨이브|talk,전체,오늘 명조 해보는 날 ! 🩷 (2시),3.8,175,97,3098,23,
