시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 01:59,2026.06.15(월) 08:30,로스트아크|talk,전체,인터넷 괜찮아 졌나..? 테스트,6.5,43,25,2287,0,
2026.06.14(일) 03:07,2026.06.14(일) 10:48,Once Human|talk,전체,인터넷..오늘만 버텨보자 ㅠㅠ,7.7,39,31,2324,1,
2026.06.14(일) 02:49,2026.06.14(일) 03:06,talk,전체,인터넷..오늘만 버텨보자 ㅠㅠ,0.3,21,17,95,0,
2026.06.13(토) 06:19,2026.06.13(토) 12:48,명조:워더링 웨이브|로스트아크|talk,전체,종막 노말 트라이(w.김호씨),6.5,30,25,2406,-1,
2026.06.13(토) 00:55,2026.06.13(토) 06:18,로스트아크,전체,인터넷이.. 이상해 ㅠ,5.4,54,36,1490,-1,
2026.06.12(금) 04:02,2026.06.12(금) 07:06,명조:워더링 웨이브|talk,전체,너무 재밌다!! 한국!! 선수들 고생했어요오!!,3.1,30,26,1447,1,
2026.06.12(금) 01:19,2026.06.12(금) 04:00,2026 FIFA 북중미 월드컵,전체,축구 잘 모르는데 한국은 응원해야지~ 재밌겠다! ㅎㅎ 같이봐요오!,2.7,33,27,1160,2,
2026.06.12(금) 00:03,2026.06.12(금) 01:18,talk,전체,다들 잘있었어~~?,1.2,53,37,487,1,
2026.06.11(목) 23:44,2026.06.12(금) 00:00,talk,전체,다들 잘있었어~~?,0.3,48,37,104,0,
2026.06.11(목) 23:20,2026.06.11(목) 23:36,talk,전체,다들 잘있었어~~?,0.3,29,20,132,0,
2026.06.08(월) 01:05,2026.06.08(월) 08:30,크라임 씬 클리너|talk,전체,늦잠을 자 버린것..ㅠㅠ,7.4,26,20,1547,2,
2026.06.07(일) 06:06,2026.06.07(일) 06:24,Once Human,전체,[원스휴먼] 오늘은~~ 줍줍줍 하는 날!,0.3,23,21,93,0,
2026.06.07(일) 06:00,2026.06.07(일) 06:06,Once Human,전체,[원스휴먼] 오늘은~~ 줍줍줍 하는 날!,0.1,27,27,2,0,
2026.06.07(일) 05:59,2026.06.07(일) 06:00,Once Human,전체,[원스휴먼] 오늘은~~ 줍줍줍 하는 날!,0,0,0,45,0,
2026.06.07(일) 02:51,2026.06.07(일) 05:54,Once Human|talk,전체,오늘은~~ 줍줍줍 하는 날!,3,29,24,1310,0,
2026.06.07(일) 02:35,2026.06.07(일) 02:48,talk,전체,오늘은~~ 줍줍줍 하는 날!,0.2,13,12,64,0,
2026.06.07(일) 02:29,2026.06.07(일) 02:30,talk,전체,오늘은~~ 줍줍줍 하는 날!,0,2,2,0,0,
2026.06.05(금) 23:27,2026.06.06(토) 10:24,명조:워더링 웨이브|로스트아크|talk,전체,으아아아아/모르둠 트라이 10시~11시 합방선생님>> (w.김호씨),10.9,71,44,3189,-2,
2026.06.05(금) 06:18,2026.06.05(금) 12:12,talk,전체,휴방,5.9,31,24,3353,0,
2026.06.04(목) 02:55,2026.06.04(목) 13:00,크라임 씬 클리너|talk,전체,안녕안녕!,10.1,37,29,2658,-1,
2026.06.04(목) 02:40,2026.06.04(목) 02:48,talk,전체,안녕안녕!,0.1,15,10,56,0,
2026.06.03(수) 03:28,2026.06.03(수) 10:18,크라임 씬 클리너|talk,전체,늦었따아아아!ㅠㅠ,6.8,42,34,2351,0,
2026.06.02(화) 00:45,2026.06.02(화) 07:30,레스토랫츠|talk,전체,"벌써 6월이야! 너무 더워!! 오늘 합방 있었어 일찍왔어요오/레스토랫츠 합방 11시(w.나솜,강단해)",6.7,47,31,847,4,
2026.05.31(일) 08:11,2026.05.31(일) 12:12,명조:워더링 웨이브|Once Human,전체,[원스휴먼] 오늘도 메인을 진행해볼까아,4,37,28,1060,0,
2026.05.31(일) 03:41,2026.05.31(일) 08:06,Once Human|talk,전체,좋은 오후!! 점심먹어요ㅠㅠ,4.4,42,33,1190,1,
2026.05.30(토) 00:00,2026.05.30(토) 08:48,명조:워더링 웨이브|로스트아크|talk,전체,주말이구나아아!,8.8,66,42,2947,8,
2026.05.28(목) 23:49,2026.05.29(금) 06:42,종합 게임|트랜스포트 트레인|talk,전체,덥..덥다..,6.9,44,33,1621,0,
2026.05.27(수) 23:57,2026.05.28(목) 08:42,서브노티카 2|talk,전체,오늘은!!,8.7,42,30,2382,0,
2026.05.26(화) 23:49,2026.05.27(수) 08:12,서브노티카 2|talk,전체,쉬고왔어요오오오 오늘도 바다여행갈거에요오,8.4,38,30,2552,1,
2026.05.24(일) 23:53,2026.05.25(월) 07:36,서브노티카 2|talk,전체,오늘도 쉬는 날이지~?,7.7,60,46,2443,0,
2026.05.23(토) 23:54,2026.05.24(일) 05:30,Once Human|talk,전체,일요일~~~~,5.6,64,45,2387,0,
2026.05.22(금) 23:25,2026.05.23(토) 08:36,로스트아크|서브노티카 2|talk,전체,오늘은 모하지이 스토리나 빨리 밀어볼까..?,9.2,55,39,2950,-2,
2026.05.21(목) 23:34,2026.05.22(금) 07:18,최후의 주유소|밀크티 시간이다!|talk,전체,행복한 하루 보내기!,7.7,47,31,1859,1,
2026.05.20(수) 23:54,2026.05.21(목) 05:12,프리즌 이스케이프 시뮬레이터: 디그 아웃|talk,전체,좋은아침!,5.3,42,32,1301,0,
2026.05.19(화) 23:51,2026.05.20(수) 07:00,던전 클롤러|플라워 서바이버스|talk,전체,으아아아아아아아아ㅏㅏㅏ,7.1,39,27,1602,1,
2026.05.18(월) 23:52,2026.05.19(화) 08:06,왕좌의 게임: 킹스로드|최후의 주유소|talk,전체,🍀오늘은 찍먹?!🍀,8.2,64,40,1701,3,
2026.05.16(토) 23:35,2026.05.17(일) 09:06,로스트아크|Once Human,전체,🍀흠🍀,9.5,86,57,4132,7,
2026.05.15(금) 22:25,2026.05.16(토) 08:24,최후의 주유소|Once Human|talk,전체,🍀즐거운 주말이에오~🍀,10,59,36,2412,5,
2026.05.13(수) 22:56,2026.05.14(목) 04:06,최후의 주유소|talk,전체,🍀아침..아침!! 일찍왔다 일찍갈거다!🍀,5.2,43,30,967,0,
2026.05.12(화) 23:28,2026.05.13(수) 03:54,종합 게임|리스토리: 칠 일렉트로닉스 리페어스|talk,전체,🍀이번주는 하고 싶은 게임들!🍀,4.4,40,26,884,0,
2026.05.10(일) 18:41,2026.05.11(월) 10:24,마인크래프트,전체,🍀[다굴감옥] 조용히 광질..! 이번주에 나가자 ㅌㅌ🍀,15.7,39,29,4818,7,
2026.05.09(토) 14:26,2026.05.10(일) 04:18,로스트아크|마인크래프트|Once Human,전체,🍀[다굴감옥] 잔잔하게.. 다이아..ㅋ...ㅋ...🍀,13.9,67,34,3562,3,
2026.05.08(금) 14:02,2026.05.09(토) 06:12,로스트아크|마인크래프트,전체,🍀[다굴감옥] 주말안에 밤낮 바꾸기..성공할까..ㅠ🍀,16.2,87,41,4526,5,
2026.05.08(금) 09:21,2026.05.08(금) 14:00,마인크래프트,전체,🍀[다굴감옥] 주말안에 밤낮 바꾸기..성공할까..ㅠ🍀,4.6,29,22,2026,3,
2026.05.07(목) 22:13,2026.05.08(금) 03:00,마인크래프트,전체,🍀[다굴감옥] 이렇게 된거 밤낮을 바꾸자~!🍀,4.8,46,31,1192,0,
2026.05.07(목) 03:59,2026.05.07(목) 18:06,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|마인크래프트|talk,전체,🍀그냥하고 싶은 거 하는 날🍀,14.1,31,24,3197,0,
2026.05.06(수) 03:38,2026.05.06(수) 17:06,붉은사막|마인크래프트|talk,전체,🍀🍀,13.5,45,27,3320,2,
2026.05.05(화) 03:24,2026.05.05(화) 20:42,품멜 파티|붉은사막|마인크래프트|talk,전체,🍀🍀,17.3,41,27,3933,3,
2026.05.04(월) 04:02,2026.05.04(월) 16:18,마인크래프트,전체,🍀[다굴감옥] 내실..다지기...??.🍀,12.3,36,27,3850,-1,
2026.05.03(일) 07:34,2026.05.03(일) 14:06,마인크래프트|Once Human|talk,전체,🍀인터넷이 이상해 !🍀,6.5,32,25,2278,-1,
2026.05.03(일) 03:43,2026.05.03(일) 07:24,Once Human|talk,전체,🍀비가온다아..!🍀,3.7,37,27,1599,1,
2026.05.02(토) 03:38,2026.05.02(토) 19:00,붉은사막|마인크래프트|talk,전체,🍀행복해지기!🍀,15.4,71,36,4691,-3,
2026.05.01(금) 03:25,2026.05.01(금) 13:30,붉은사막|마인크래프트|talk,전체,🍀벌써 5월달이라니!🍀,10.1,40,27,2651,2,
2026.04.30(목) 04:27,2026.04.30(목) 10:18,붉은사막,전체,🍀[붉은사막] 오늘은 메인 10장 스윽 해볼게요오~🍀,5.8,63,49,1122,1,
2026.04.30(목) 03:22,2026.04.30(목) 04:24,붉은사막|talk,전체,🍀오늘도 행복하세요~🍀,1,43,27,473,-1,
2026.04.29(수) 03:16,2026.04.29(수) 10:24,붉은사막|talk,전체,🍀점심먹자요오~🍀,7.1,58,39,1380,1,
2026.04.28(화) 01:56,2026.04.28(화) 09:48,붉은사막,전체,🍀[붉은사막] 게임하려고 하니까 캡쳐보드 안되고 그러다가 갑자기 인터넷이 터지고 인터넷이 터지니까 캡쳐보드가 또 되는데 이게뭐지..?🍀,7.9,60,45,1535,1,
2026.04.28(화) 01:40,2026.04.28(화) 01:48,붉은사막,전체,🍀[붉은사막] 게임하려고 하니까 캡쳐보드 안되고 그러다가 갑자기 인터넷이 터지고 인터넷이 터지니까 캡쳐보드가 또 되는데 이게뭐지..?🍀,0.1,14,12,22,0,
2026.04.28(화) 00:39,2026.04.28(화) 01:30,붉은사막|talk,전체,🍀화요일~🍀,0.8,21,14,271,0,
2026.04.26(일) 02:14,2026.04.26(일) 13:18,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|Once Human|talk,전체,🍀오늘은 쉬어가는 날!!🍀,11.1,65,43,3529,10,
2026.04.25(토) 01:47,2026.04.25(토) 10:06,붉은사막|talk,전체,🍀즐거운 주말이다아아~🍀,8.3,46,35,2016,1,
2026.04.24(금) 02:21,2026.04.24(금) 09:12,붉은사막|talk,전체,🍀🍀,6.8,94,60,1808,4,
2026.04.23(목) 00:04,2026.04.23(목) 09:18,붉은사막|talk,전체,🍀좋은 아침!!🍀,9.2,109,72,3132,8,
