시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 03:51,2026.06.15(월) 08:24,이터널 리턴,전체,모기 때문에 잠은 못자도... 드롭스는 못 참쥐~! 드롭스 받아갓,4.5,99,47,538,8,
2026.06.12(금) 02:06,2026.06.12(금) 08:06,이터널 리턴,전체,이터널리턴 드롭스다!! 받아가숑,6,156,95,1310,17,
2026.06.11(목) 06:13,2026.06.11(목) 10:42,이터널 리턴,전체,이터널리턴 드롭스다!! 받아가숑,4.5,94,64,684,3,
2026.06.10(수) 03:13,2026.06.10(수) 08:06,이터널 리턴,전체,연습..? 그냥 랭 박치기..?,4.9,12,7,231,-1,
2026.06.08(월) 05:06,2026.06.08(월) 08:30,이터널 리턴,전체,월요일 화이팅 해보자구우~!,3.4,17,12,221,2,
2026.06.05(금) 04:40,2026.06.05(금) 09:00,이터널 리턴,전체,지각 지각!!!!!!!!!!!!!!!!!!!!!,4.3,17,11,339,3,
2026.06.04(목) 01:28,2026.06.04(목) 08:00,이터널 리턴,전체,지각 지각!!!!!!!!!!!!!!!!!!!!!!,6.5,36,23,1427,7,
2026.06.02(화) 04:11,2026.06.02(화) 08:54,이터널 리턴,전체,메라3 미스릴 갈 수 있을까..---___---,4.7,27,16,476,6,
2026.06.01(월) 04:41,2026.06.01(월) 09:54,이터널 리턴,전체,메라3 미스릴 갈 수 있을까..,5.2,31,21,586,8,
2026.05.31(일) 04:37,2026.05.31(일) 08:06,이터널 리턴,전체,이리 시참을 해보까 ~~,3.5,21,15,541,5,
2026.05.29(금) 01:49,2026.05.29(금) 07:54,이터널 리턴,전체,냠냠 점수도 냠냠 피자빵도 냠냠,6.1,19,12,622,3,
2026.05.28(목) 06:32,2026.05.28(목) 10:30,이터널 리턴,전체,알아요 저 못하는거 근데 미스릴은 다시 가고싶어요.,4,12,7,469,1,
2026.05.27(수) 04:45,2026.05.27(수) 09:24,이터널 리턴,전체,박치기 공룡,4.6,16,11,557,-2,
2026.05.26(화) 02:46,2026.05.26(화) 08:00,이터널 리턴,전체,안냥하세요 메라 찍먹하고 다2빙 한 모다해 입니댱,5.2,19,13,422,2,
2026.05.22(금) 04:48,2026.05.22(금) 08:18,이터널 리턴,전체,어어 드롭스~ 냐미 근데 이번 드롭스 뭐 주는거얌..?,3.5,17,11,265,3,
2026.05.21(목) 03:57,2026.05.21(목) 06:12,이터널 리턴,전체,으어엉 이리 드롭스가 사라졌다니 ㅠ0ㅠ,2.2,13,9,225,0,
2026.05.20(수) 03:06,2026.05.20(수) 09:36,이터널 리턴,전체,이터널리턴 드롭스 받아가숑숑~(⸝⸝•ᴗ•✿),6.5,88,53,794,4,
2026.05.19(화) 03:45,2026.05.19(화) 09:30,이터널 리턴,전체,이터널리턴 드롭스 받아가숑숑~(⸝⸝•ᴗ•✿),5.7,84,49,485,2,
2026.05.18(월) 04:08,2026.05.18(월) 10:54,이터널 리턴,전체,이터널리턴 드롭스 받아가숑숑~(⸝⸝•ᴗ•✿),6.8,130,45,529,5,
2026.05.15(금) 03:44,2026.05.15(금) 09:00,이터널 리턴,전체,이터널리턴 드롭스 받아가숑숑~(⸝⸝•ᴗ•✿),5.3,55,39,456,2,
2026.05.14(목) 06:01,2026.05.14(목) 10:54,이터널 리턴,전체,이터널리턴 드롭스 받아가숑숑~(⸝⸝•ᴗ•✿),4.9,81,52,682,1,
2026.05.13(수) 11:40,2026.05.13(수) 13:36,이터널 리턴|talk,전체,바로 운동 2시간 박살내고 인바디 하고 왔습니다 미션자 분.. 어디계시죠 . 당장 들어오세요. . 씻지도 않고 기다리는중 급해요 치킨 먹고싶어요.,1.9,15,9,411,1,
2026.05.13(수) 03:10,2026.05.13(수) 08:54,이터널 리턴,전체,이터널리턴 드롭스 >~< 받아가숑숑,5.7,109,75,405,3,
2026.05.12(화) 03:56,2026.05.12(화) 10:18,이터널 리턴,전체,이터널리턴 드롭스 >~< 받아가숑숑 <쁘띠미뇽>,6.4,91,52,263,5,
2026.05.11(월) 03:05,2026.05.11(월) 11:12,이터널 리턴,전체,이터널리턴 드롭스 >~< 받아가숑숑,8.1,179,93,662,11,
2026.05.08(금) 03:11,2026.05.08(금) 08:24,이터널 리턴,전체,이터널리턴 드롭스 >~< 받아가숑숑,5.2,52,27,341,-1,
2026.05.07(목) 06:15,2026.05.07(목) 10:36,이터널 리턴,전체,이터널리턴 드롭스 >~< 받아가숑숑,4.3,98,56,179,6,
2026.05.06(수) 02:57,2026.05.06(수) 08:24,이터널 리턴,전체,운동하고 와서 이터널리턴 뿌시기!!,5.4,20,14,773,0,
2026.05.05(화) 05:54,2026.05.05(화) 08:42,이터널 리턴,전체,안녕하세요 짧게 시참 하까요!?!,2.8,17,10,299,-1,
2026.05.04(월) 03:02,2026.05.04(월) 08:06,이터널 리턴,전체,안녕하세요 반갑습니다 사랑합니다,5.1,24,17,549,9,
2026.05.01(금) 03:25,2026.05.01(금) 07:42,이터널 리턴,전체,냐옹 시참 박치기,4.3,22,14,605,10,
2026.04.30(목) 09:06,2026.04.30(목) 11:18,이터널 리턴,전체,트렌드 따라 가다 멀미나서 좀 자다 온 나.. 이터널리턴 업데이트 ^^휴 끝,2.2,10,7,143,1,
