시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 05:39,2026.06.15(월) 09:24,성세천하: 여제의 탄생,전체,성세천하 첫경험💓,3.7,43,37,777,-2,
2026.06.15(월) 04:00,2026.06.15(월) 05:36,성세천하: 여제의 탄생|talk,전체,와,1.6,74,51,965,0,
2026.06.14(일) 00:00,2026.06.14(일) 05:30,talk,성인,모이,5.5,123,63,2040,6,
2026.06.13(토) 00:00,2026.06.13(토) 03:24,talk,전체,섹시아침,3.4,64,47,2043,-1,
2026.06.12(금) 00:00,2026.06.12(금) 07:06,음악/노래,전체,모이카세 노래뱅,7.1,243,147,3813,40,
2026.06.10(수) 00:00,2026.06.10(수) 06:06,그림/아트|talk,전체,모두모두 좋은아침! 모이가 왔다구 :),6.1,76,51,1985,3,
2026.06.08(월) 00:00,2026.06.08(월) 07:06,음악/노래|로블록스|talk,전체,아침밥 먹었저?,7.1,80,62,1997,10,
2026.06.07(일) 00:00,2026.06.07(일) 04:36,talk,전체,오늘만을 기다렸습니다,4.6,95,76,2109,1,
2026.06.06(토) 00:40,2026.06.06(토) 05:00,이환|talk,전체,헤헤,4.3,89,70,1647,3,
2026.06.05(금) 00:00,2026.06.05(금) 04:12,음악/노래|talk,전체,모덩아 일어났어?,4.2,114,79,1928,3,
2026.06.03(수) 00:00,2026.06.03(수) 06:18,음악/노래|talk,전체,(՞⸝⸝› ̫ ‹⸝⸝՞),6.3,172,126,3401,12,
2026.06.02(화) 07:55,2026.06.02(화) 15:06,서브노티카 2,전체,노예 모이,7.2,42,34,933,8,
2026.05.31(일) 00:00,2026.05.31(일) 06:54,이환|음악/노래|talk,전체,이환은 머하는 게임이에여? ㅎㅅㅎ,6.9,139,96,3204,17,
2026.05.30(토) 00:00,2026.05.30(토) 06:48,데드 스페이스|talk,전체,야옹야옹,6.8,99,64,3954,3,
2026.05.29(금) 00:00,2026.05.29(금) 07:30,음악/노래|talk,전체,모이,7.5,183,139,5363,30,
2026.05.27(수) 00:00,2026.05.27(수) 09:54,그림/아트|두근두근타운|talk,전체,모이,9.9,64,52,3896,2,
2026.05.26(화) 04:33,2026.05.26(화) 07:48,talk,전체,[우주괴담] 오늘 데뷔합니다!,3.2,81,73,2570,7,
2026.05.26(화) 02:00,2026.05.26(화) 04:30,talk,전체,[우주괴담] 오늘 데뷔합니다!,2.5,108,90,1369,13,
